#PeakID(python scan_motif.py ./ENCODE_processed_files/E2F7_idr.fa E2F7 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
103_0	chrM	12226	12626	+	1000	1241.0	[8.3977785]	[64]	[]	[]	[12383]	[]
103_10000	chr1	112809218	112809618	+	779	27.5	[]	[]	[8.3977785]	[161]	[]	[112809461]
103_10002	chr1	147085014	147085414	+	703	27.5	[7.2898073]	[193]	[]	[]	[147085255]	[]
103_10010	chr1	193070065	193070465	+	611	27.5	[8.3977785]	[150]	[]	[]	[193070243]	[]
103_10013	chr1	204176998	204177398	+	738	27.5	[]	[]	[8.3977785]	[106]	[]	[204177179]
103_10014	chr1	207817825	207818225	+	669	27.5	[]	[]	[13.948019]	[164]	[]	[207818060]
103_10021	chr1	231211343	231211743	+	687	27.5	[8.3977785]	[139]	[7.2898073]	[158]	[231211565]	[231211584]
103_10036	chr10	45594720	45595120	+	762	27.5	[]	[]	[7.2898073]	[131]	[]	[45594890]
103_10042	chr10	63630563	63630963	+	769	27.5	[]	[]	[11.009154]	[65]	[]	[63630714]
103_10044	chr10	68075016	68075416	+	728	27.5	[]	[]	[8.3977785]	[164]	[]	[68075217]
103_10055	chr10	124461401	124461801	+	737	27.5	[]	[]	[8.468314]	[73]	[]	[124461552]
103_10071	chr12	6639121	6639521	+	766	27.5	[]	[]	[8.933427]	[85]	[]	[6639292]
103_10078	chr12	54360856	54361256	+	624	27.5	[]	[]	[8.3977785]	[233]	[]	[54361100]
103_10079	chr12	54987558	54987958	+	735	27.5	[8.3977785]	[208]	[]	[]	[54987776]	[]
103_10081	chr12	64759378	64759778	+	711	27.5	[]	[]	[8.3977785]	[119]	[]	[64759531]
103_10086	chr12	106357550	106357950	+	647	27.5	[]	[]	[8.3977785]	[164]	[]	[106357767]
103_10093	chr12	122266847	122267247	+	699	27.5	[8.3977785, 4.3509426]	[163, 200]	[]	[]	[122267034, 122267071]	[]
103_10095	chr12	123719134	123719534	+	770	27.5	[]	[]	[8.3977785]	[153]	[]	[123719349]
103_10096	chr12	124939258	124939658	+	784	27.5	[7.2898073]	[156]	[]	[]	[124939473]	[]
103_10098	chr13	50909659	50910059	+	590	27.5	[]	[]	[4.3509426]	[170]	[]	[50909871]
103_10104	chr13	113296771	113297171	+	742	27.5	[8.3977785, 7.2898073]	[106, 132]	[]	[]	[113296950, 113296976]	[]
103_10107	chr14	93066292	93066692	+	683	27.5	[7.2898073, 11.009154]	[142, 150]	[4.3509426]	[112]	[93066493, 93066501]	[93066463]
103_10116	chr15	74889289	74889689	+	699	27.5	[8.3977785]	[178]	[]	[]	[74889514]	[]
103_10119	chr16	3234930	3235330	+	710	27.5	[11.009154]	[110]	[]	[]	[3235132]	[]
103_10122	chr16	28824003	28824403	+	712	27.5	[9.901183]	[117]	[7.2898073]	[126]	[28824187]	[28824196]
103_10146	chr17	48492429	48492829	+	751	27.5	[]	[]	[4.3509426, 13.948019]	[144, 178]	[]	[48492609, 48492643]
103_1015	chr22	21607284	21607684	+	1000	59.0	[4.3509426]	[170]	[]	[]	[21607467]	[]
103_10151	chr17	63600607	63601007	+	758	27.5	[]	[]	[4.3509426]	[233]	[]	[63600849]
103_10157	chr17	81345352	81345752	+	624	27.5	[]	[]	[13.948019]	[176]	[]	[81345589]
103_1016	chr3	179562650	179563050	+	1000	59.0	[]	[]	[8.3977785]	[162]	[]	[179562845]
103_10165	chr19	1904958	1905358	+	777	27.5	[8.3977785]	[235]	[]	[]	[1905196]	[]
103_10167	chr19	3953306	3953706	+	753	27.5	[8.3977785]	[83]	[]	[]	[3953475]	[]
103_10171	chr19	8051018	8051418	+	568	27.5	[]	[]	[8.3977785]	[126]	[]	[8051231]
103_10177	chr19	12933667	12934067	+	772	27.5	[8.3977785]	[183]	[]	[]	[12933873]	[]
103_10180	chr19	17249266	17249666	+	705	27.5	[8.3977785]	[113]	[]	[]	[17249436]	[]
103_10185	chr19	36170572	36170972	+	717	27.5	[]	[]	[8.3977785]	[177]	[]	[36170819]
103_10189	chr19	41835872	41836272	+	564	27.5	[8.3977785]	[146]	[]	[]	[41836061]	[]
103_10193	chr19	46860149	46860549	+	600	27.5	[7.2898073, 4.3509426]	[150, 166]	[7.2898073]	[108]	[46860384, 46860400]	[46860342]
103_10196	chr19	49580517	49580917	+	558	27.5	[]	[]	[8.3977785]	[151]	[]	[49580742]
103_10197	chr19	51904789	51905189	+	730	27.5	[]	[]	[4.3509426]	[172]	[]	[51905002]
103_10199	chr2	3423876	3424276	+	752	27.5	[15.05599, 7.2898073]	[104, 116]	[]	[]	[3424054, 3424066]	[]
103_102	chr2	47402832	47403232	+	1000	241.5	[7.2898073]	[113]	[13.948019]	[79]	[47403027]	[47402993]
103_10218	chr2	111973722	111974122	+	782	27.5	[]	[]	[8.3977785]	[110]	[]	[111973901]
103_1022	chr12	70242733	70243133	+	1000	58.5	[4.3509426]	[105]	[8.3977785]	[117]	[70242923]	[70242935]
103_10220	chr2	118803232	118803632	+	750	27.5	[8.3977785]	[79]	[]	[]	[118803397]	[]
103_10224	chr2	157492174	157492574	+	784	27.5	[15.05599]	[101]	[]	[]	[157492366]	[]
103_10225	chr2	169095449	169095849	+	593	27.5	[]	[]	[7.2898073]	[190]	[]	[169095653]
103_10229	chr2	171434186	171434586	+	767	27.5	[7.2898073, 8.3977785]	[172, 200]	[]	[]	[171434404, 171434432]	[]
103_10235	chr20	34703532	34703932	+	641	27.5	[]	[]	[7.2898073]	[179]	[]	[34703765]
103_10236	chr20	34955749	34956149	+	717	27.5	[]	[]	[8.3977785]	[188]	[]	[34955993]
103_1024	chr15	40506941	40507341	+	1000	58.5	[8.3977785, 8.3977785]	[120, 141]	[]	[]	[40507144, 40507165]	[]
103_10243	chr20	58651000	58651400	+	762	27.5	[]	[]	[8.3977785]	[187]	[]	[58651223]
103_10245	chr21	29335501	29335901	+	731	27.5	[8.3977785]	[119]	[]	[]	[29335681]	[]
103_1025	chr17	5486351	5486751	+	1000	58.5	[7.2898073]	[94]	[4.3509426]	[120]	[5486533]	[5486559]
103_10253	chr21	43789056	43789456	+	680	27.5	[4.3509426]	[164]	[]	[]	[43789224]	[]
103_10256	chr22	17785175	17785575	+	731	27.5	[8.3977785]	[104]	[7.2898073]	[83]	[17785349]	[17785328]
103_10259	chr22	19113887	19114287	+	702	27.5	[8.3977785]	[201]	[]	[]	[19114117]	[]
103_1026	chr19	10569029	10569429	+	1000	58.5	[]	[]	[8.468314]	[71]	[]	[10569187]
103_10260	chr22	19349796	19350196	+	776	27.5	[]	[]	[4.3509426]	[162]	[]	[19350046]
103_10261	chr22	19367193	19367593	+	756	27.5	[]	[]	[8.3977785]	[138]	[]	[19367411]
103_10262	chr22	19380214	19380614	+	777	27.5	[4.3509426]	[165]	[]	[]	[19380427]	[]
103_10268	chr22	20897651	20898051	+	759	27.5	[]	[]	[8.3977785]	[189]	[]	[20897867]
103_1027	chr19	48492827	48493227	+	1000	58.5	[13.948019]	[138]	[]	[]	[48493036]	[]
103_1028	chr21	44939436	44939836	+	1000	58.5	[11.009154]	[155]	[8.3977785]	[106]	[44939658]	[44939609]
103_1029	chr22	19730632	19731032	+	1000	58.5	[]	[]	[7.2898073]	[132]	[]	[19730863]
103_10290	chr22	40951337	40951737	+	765	27.5	[]	[]	[4.3509426, 4.3509426]	[124, 160]	[]	[40951516, 40951552]
103_10297	chr3	12720075	12720475	+	738	27.5	[4.3509426]	[61]	[]	[]	[12720228]	[]
103_103	chr4	39977916	39978316	+	1000	241.0	[13.948019]	[117]	[15.05599]	[98]	[39978115]	[39978096]
103_10302	chr3	44198633	44199033	+	774	27.5	[8.3977785]	[133]	[]	[]	[44198860]	[]
103_10303	chr3	45167413	45167813	+	558	27.5	[]	[]	[8.3977785]	[197]	[]	[45167647]
103_10305	chr3	46971849	46972249	+	678	27.5	[]	[]	[8.3977785]	[67]	[]	[46972000]
103_10321	chr4	10183509	10183909	+	760	27.5	[]	[]	[7.2898073]	[66]	[]	[10183672]
103_10336	chr4	139665834	139666234	+	748	27.5	[7.2898073]	[55]	[8.3977785]	[93]	[139665985]	[139666023]
103_10341	chr5	14664209	14664609	+	754	27.5	[8.3977785]	[176]	[7.2898073]	[113]	[14664443]	[14664380]
103_10350	chr5	134632552	134632952	+	763	27.5	[]	[]	[8.3977785]	[135]	[]	[134632736]
103_10356	chr5	157743192	157743592	+	603	27.5	[8.3977785]	[131]	[]	[]	[157743408]	[]
103_10369	chr6	24389152	24389552	+	550	27.5	[4.3509426]	[133]	[]	[]	[24389318]	[]
103_1038	chr7	151520076	151520476	+	1000	58.5	[11.009154]	[70]	[4.3509426]	[94]	[151520245]	[151520269]
103_10389	chr6	36197174	36197574	+	615	27.5	[8.468314]	[129]	[]	[]	[36197340]	[]
103_10399	chr6	90587126	90587526	+	639	27.5	[]	[]	[4.886591, 4.3509426]	[151, 166]	[]	[90587319, 90587334]
103_1040	chr1	16951702	16952102	+	1000	58.0	[]	[]	[8.3977785]	[105]	[]	[16951870]
103_10400	chr6	99515566	99515966	+	610	27.5	[8.3977785]	[108]	[]	[]	[99515744]	[]
103_10420	chr7	42706604	42707004	+	702	27.5	[8.3977785]	[111]	[8.933427]	[183]	[42706763]	[42706835]
103_1043	chr1	226111106	226111506	+	1000	58.0	[8.3977785]	[80]	[]	[]	[226111263]	[]
103_1046	chr12	56333735	56334135	+	1000	58.0	[]	[]	[13.948019]	[128]	[]	[56333938]
103_10460	chr7	155298750	155299150	+	570	27.5	[8.3977785]	[220]	[]	[]	[155298989]	[]
