#PeakID(python identify_motif.py ./ENCODE_processed_files/CTCF_idr.fa CTCF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
322_10001	chr18	31741131	31741531	+	1000	235.0	[18.417717]	[108]	[]	[]	[31741335]	[]
322_10002	chr19	9914630	9915030	+	1000	235.0	[]	[]	[13.150976, 5.0888543, 6.8946676]	[88, 91, 151]	[]	[9914817, 9914820, 9914880]
322_10003	chr19	11881196	11881596	+	1000	235.0	[16.215086]	[95]	[]	[]	[11881388]	[]
322_10004	chr19	38976577	38976977	+	1000	235.0	[]	[]	[10.02482]	[85]	[]	[38976758]
322_10005	chr19	44552293	44552693	+	1000	235.0	[15.163602]	[91]	[7.687741]	[120]	[44552479]	[44552508]
322_10006	chr2	25522102	25522502	+	1000	235.0	[]	[]	[15.073155]	[90]	[]	[25522290]
322_10007	chr2	28396757	28397157	+	1000	235.0	[]	[]	[13.784378]	[97]	[]	[28396954]
322_10009	chr2	75609075	75609475	+	1000	235.0	[8.179101]	[92]	[13.906907]	[92]	[75609264]	[75609264]
322_10012	chr20	4607226	4607626	+	1000	235.0	[16.670963]	[93]	[]	[]	[4607415]	[]
322_10014	chr20	38790453	38790853	+	1000	235.0	[9.2309475]	[95]	[16.265343]	[95]	[38790636]	[38790636]
322_10015	chr20	47272783	47273183	+	1000	235.0	[14.8383465, 7.919389]	[98, 108]	[]	[]	[47272975, 47272985]	[]
322_10017	chr22	19106218	19106618	+	1000	235.0	[15.320296]	[104]	[8.380924]	[130]	[19106414]	[19106440]
322_1002	chr1	17494218	17494618	+	1000	421.0	[20.757269]	[110]	[7.8137336]	[85]	[17494426]	[17494401]
322_10020	chr3	69161590	69161990	+	1000	235.0	[6.500398]	[94]	[]	[]	[69161776]	[]
322_10021	chr3	170037715	170038115	+	1000	235.0	[8.5452175, 13.2108965]	[54, 95]	[]	[]	[170037868, 170037909]	[]
322_10026	chr4	152500800	152501200	+	1000	235.0	[15.193062]	[101]	[]	[]	[152500999]	[]
322_10027	chr4	183472209	183472609	+	1000	235.0	[21.566265]	[105]	[4.7893834]	[105]	[183472408]	[183472408]
322_10028	chr4	189904402	189904802	+	1000	235.0	[]	[]	[13.702353, 13.046827]	[96, 117]	[]	[189904597, 189904618]
322_1003	chr11	77091141	77091541	+	1000	421.0	[]	[]	[7.8117948, 17.945604, 4.3292313]	[89, 92, 155]	[]	[77091323, 77091326, 77091389]
322_10030	chr5	170744458	170744858	+	1000	235.0	[14.229858]	[104]	[]	[]	[170744652]	[]
322_10031	chr5	176619242	176619642	+	1000	235.0	[]	[]	[12.0868635]	[125]	[]	[176619454]
322_10032	chr6	14046471	14046871	+	1000	235.0	[]	[]	[12.24503]	[90]	[]	[14046660]
322_10033	chr6	26569128	26569528	+	1000	235.0	[]	[]	[9.395215]	[80]	[]	[26569308]
322_10036	chr6	49409924	49410324	+	1000	235.0	[]	[]	[15.191456]	[92]	[]	[49410111]
322_10037	chr6	118893871	118894271	+	1000	235.0	[15.59185]	[91]	[]	[]	[118894053]	[]
322_10039	chr7	12524793	12525193	+	1000	235.0	[16.315418]	[91]	[]	[]	[12524978]	[]
322_10040	chr7	31488593	31488993	+	1000	235.0	[]	[]	[18.968145]	[93]	[]	[31488786]
322_10041	chr7	38107407	38107807	+	1000	235.0	[10.963666]	[99]	[]	[]	[38107603]	[]
322_10042	chr7	71925613	71926013	+	1000	235.0	[7.216323, 9.551922]	[61, 121]	[]	[]	[71925774, 71925834]	[]
322_10043	chr7	99386895	99387295	+	1000	235.0	[5.9780407]	[119]	[16.262371]	[119]	[99387104]	[99387104]
322_10044	chr7	100190019	100190419	+	1000	235.0	[14.599325]	[86]	[]	[]	[100190203]	[]
322_10048	chr8	22287234	22287634	+	1000	235.0	[13.156998]	[83]	[]	[]	[22287417]	[]
322_10050	chr8	124888718	124889118	+	1000	235.0	[]	[]	[8.9650345]	[77]	[]	[124888892]
322_10051	chr9	93154271	93154671	+	1000	235.0	[13.437905, 4.4915586]	[102, 123]	[]	[]	[93154473, 93154494]	[]
322_10052	chr9	105415382	105415782	+	1000	235.0	[9.15887]	[61]	[16.84998]	[102]	[105415539]	[105415580]
322_10055	chr1	19344326	19344726	+	1000	234.0	[14.438269]	[107]	[5.2822676, 7.193225, 5.164093]	[72, 76, 106]	[19344527]	[19344492, 19344496, 19344526]
322_10057	chr1	27643856	27644256	+	1000	234.0	[8.079993]	[107]	[]	[]	[27644058]	[]
322_10059	chr1	157496025	157496425	+	1000	234.0	[]	[]	[14.83261]	[107]	[]	[157496231]
322_1006	chr19	38335466	38335866	+	1000	421.0	[]	[]	[11.712825]	[92]	[]	[38335653]
322_10060	chr1	220733049	220733449	+	1000	234.0	[]	[]	[14.528187]	[105]	[]	[220733251]
322_10063	chr10	80596646	80597046	+	1000	234.0	[8.268143]	[94]	[5.789303]	[87]	[80596839]	[80596832]
322_10066	chr11	6812378	6812778	+	1000	234.0	[15.155221]	[100]	[]	[]	[6812577]	[]
322_10067	chr11	13344122	13344522	+	1000	234.0	[5.9010515]	[102]	[18.49722]	[102]	[13344315]	[13344315]
322_10068	chr11	35616167	35616567	+	1000	234.0	[17.534967]	[92]	[]	[]	[35616354]	[]
322_10069	chr11	71580036	71580436	+	1000	234.0	[17.280499]	[116]	[]	[]	[71580251]	[]
322_1007	chr2	9799638	9800038	+	1000	421.0	[20.972078]	[108]	[6.6751523]	[61]	[9799845]	[9799798]
322_10072	chr11	119065407	119065807	+	1000	234.0	[14.1037]	[94]	[]	[]	[119065601]	[]
322_10073	chr12	6039997	6040397	+	1000	234.0	[]	[]	[15.52344]	[109]	[]	[6040195]
322_10077	chr14	22471515	22471915	+	1000	234.0	[7.8956933]	[89]	[12.485511, 10.806319]	[82, 118]	[22471703]	[22471696, 22471732]
322_1008	chr20	32778424	32778824	+	1000	421.0	[5.4357343]	[66]	[19.84632]	[110]	[32778589]	[32778633]
322_10082	chr15	78979705	78980105	+	1000	234.0	[]	[]	[18.94916]	[88]	[]	[78979892]
322_10084	chr16	23597003	23597403	+	1000	234.0	[]	[]	[5.7148705]	[105]	[]	[23597200]
322_10085	chr16	30055004	30055404	+	1000	234.0	[]	[]	[14.203012]	[108]	[]	[30055197]
322_10086	chr16	69123955	69124355	+	1000	234.0	[10.921712]	[101]	[18.957668]	[101]	[69124155]	[69124155]
322_10087	chr16	85717851	85718251	+	1000	234.0	[]	[]	[6.9521394, 11.357807]	[62, 110]	[]	[85718012, 85718060]
322_10090	chr17	44203640	44204040	+	1000	234.0	[12.759573]	[99]	[]	[]	[44203834]	[]
322_10091	chr17	46253802	46254202	+	1000	234.0	[21.866621]	[119]	[]	[]	[46253997]	[]
322_10092	chr17	57009978	57010378	+	1000	234.0	[]	[]	[5.7879934]	[103]	[]	[57010169]
322_10094	chr19	4140329	4140729	+	1000	234.0	[11.718556]	[101]	[]	[]	[4140522]	[]
322_10095	chr19	4267636	4268036	+	1000	234.0	[18.31318]	[86]	[8.122027]	[153]	[4267817]	[4267884]
322_10096	chr19	12760536	12760936	+	1000	234.0	[23.15451]	[101]	[]	[]	[12760736]	[]
322_10097	chr19	17870259	17870659	+	1000	234.0	[7.952961, 15.134538, 5.2028403]	[82, 92, 102]	[]	[]	[17870439, 17870449, 17870459]	[]
322_10100	chr2	11829868	11830268	+	1000	234.0	[6.83122]	[109]	[]	[]	[11830067]	[]
322_10101	chr2	24382371	24382771	+	1000	234.0	[5.2774105]	[125]	[15.946772]	[124]	[24382588]	[24382587]
322_10102	chr2	102806238	102806638	+	1000	234.0	[]	[]	[16.826872]	[109]	[]	[102806437]
322_10105	chr2	218356531	218356931	+	1000	234.0	[]	[]	[18.115568]	[87]	[]	[218356711]
322_10108	chr20	31460473	31460873	+	1000	234.0	[10.687927]	[86]	[]	[]	[31460657]	[]
322_10109	chr20	50981442	50981842	+	1000	234.0	[18.536402]	[96]	[]	[]	[50981637]	[]
322_1011	chr1	172728001	172728401	+	1000	420.0	[11.195041, 6.9064493]	[118, 139]	[15.735271]	[128]	[172728212, 172728233]	[172728222]
322_10110	chr22	28855593	28855993	+	1000	234.0	[13.47008]	[95]	[]	[]	[28855784]	[]
322_10112	chr3	122679117	122679517	+	1000	234.0	[4.592485, 7.173113]	[96, 107]	[16.635504]	[93]	[122679312, 122679323]	[122679309]
322_10114	chr4	15231494	15231894	+	1000	234.0	[15.325487]	[107]	[]	[]	[15231697]	[]
322_10115	chr4	38759555	38759955	+	1000	234.0	[17.415775]	[78]	[]	[]	[38759729]	[]
322_10117	chr4	74623034	74623434	+	1000	234.0	[]	[]	[14.876603]	[98]	[]	[74623230]
322_10119	chr4	153344379	153344779	+	1000	234.0	[10.235414]	[86]	[6.487578]	[62]	[153344560]	[153344536]
322_10122	chr5	38265547	38265947	+	1000	234.0	[20.757269]	[87]	[5.2664876]	[133]	[38265732]	[38265778]
322_10123	chr5	43010667	43011067	+	1000	234.0	[7.5896764]	[112]	[13.30815]	[100]	[43010879]	[43010867]
322_10125	chr5	149430234	149430634	+	1000	234.0	[15.893704]	[95]	[]	[]	[149430425]	[]
322_10128	chr5	168987552	168987952	+	1000	234.0	[20.350471, 4.5186405]	[99, 142]	[4.659665]	[88]	[168987748, 168987791]	[168987737]
322_1013	chr11	61947619	61948019	+	1000	420.0	[12.722601]	[107]	[13.921106]	[96]	[61947824]	[61947813]
322_10131	chr6	116531994	116532394	+	1000	234.0	[]	[]	[17.827475]	[96]	[]	[116532185]
322_10133	chr7	29589174	29589574	+	1000	234.0	[10.116489, 4.607242]	[80, 90]	[13.855355]	[79]	[29589354, 29589364]	[29589353]
322_10135	chr7	90154204	90154604	+	1000	234.0	[18.78945]	[95]	[8.87949, 9.259491]	[95, 161]	[90154386]	[90154386, 90154452]
322_10138	chr8	8247770	8248170	+	1000	234.0	[15.4544935]	[111]	[5.8111825]	[129]	[8247975]	[8247993]
322_1014	chr17	29180247	29180647	+	1000	420.0	[]	[]	[11.441932]	[108]	[]	[29180453]
322_10142	chr9	133160939	133161339	+	1000	234.0	[]	[]	[12.609137]	[101]	[]	[133161128]
322_10143	chrX	13506567	13506967	+	1000	234.0	[18.024231]	[118]	[]	[]	[13506767]	[]
322_10144	chrX	15470992	15471392	+	1000	234.0	[16.878292]	[97]	[]	[]	[15471188]	[]
322_10145	chrX	23782761	23783161	+	1000	234.0	[19.00502]	[98]	[5.0390406]	[132]	[23782956]	[23782990]
322_10148	chr1	18299695	18300095	+	1000	233.0	[13.93533]	[113]	[7.976493]	[156]	[18299895]	[18299938]
322_10149	chr1	46547993	46548393	+	1000	233.0	[]	[]	[12.600172]	[84]	[]	[46548174]
322_10151	chr1	147389920	147390320	+	1000	233.0	[]	[]	[15.708179]	[97]	[]	[147390115]
322_10153	chr1	157163621	157164021	+	1000	233.0	[18.056576]	[105]	[]	[]	[157163819]	[]
322_10155	chr10	58177335	58177735	+	1000	233.0	[14.820978]	[110]	[]	[]	[58177533]	[]
322_10156	chr10	97210472	97210872	+	1000	233.0	[]	[]	[19.784864]	[102]	[]	[97210671]
322_10158	chr10	133329706	133330106	+	1000	233.0	[20.14682]	[100]	[]	[]	[133329906]	[]
322_10159	chr11	67648088	67648488	+	1000	233.0	[14.405483, 13.559614]	[117, 149]	[]	[]	[67648303, 67648335]	[]
322_10160	chr11	77046909	77047309	+	1000	233.0	[7.6890583]	[97]	[7.0491114]	[96]	[77047102]	[77047101]
322_10166	chr12	95534376	95534776	+	1000	233.0	[]	[]	[5.600287, 16.157501]	[96, 99]	[]	[95534566, 95534569]
322_10168	chr12	108337299	108337699	+	1000	233.0	[10.761663]	[87]	[8.781355]	[86]	[108337484]	[108337483]
322_10169	chr12	117849957	117850357	+	1000	233.0	[]	[]	[19.07401]	[105]	[]	[117850156]
322_10170	chr12	120646901	120647301	+	1000	233.0	[19.273039]	[104]	[]	[]	[120647103]	[]
322_10171	chr13	26184701	26185101	+	1000	233.0	[18.269005]	[84]	[4.52608]	[77]	[26184884]	[26184877]
322_10175	chr14	100851126	100851526	+	1000	233.0	[19.852055, 5.040382, 4.7411437]	[100, 110, 135]	[4.417979]	[156]	[100851313, 100851323, 100851348]	[100851369]
322_10176	chr14	101707270	101707670	+	1000	233.0	[18.989819]	[101]	[]	[]	[101707468]	[]
322_10177	chr15	42133885	42134285	+	1000	233.0	[]	[]	[18.721584]	[107]	[]	[42134089]
322_10178	chr15	73305911	73306311	+	1000	233.0	[7.0592036]	[96]	[]	[]	[73306098]	[]
322_10179	chr15	76185637	76186037	+	1000	233.0	[7.223896]	[97]	[]	[]	[76185832]	[]
322_1018	chr7	106176655	106177055	+	1000	420.0	[11.767273]	[96]	[6.284772]	[114]	[106176847]	[106176865]
322_10180	chr15	77024285	77024685	+	1000	233.0	[19.485754]	[77]	[]	[]	[77024458]	[]
322_10183	chr16	2961688	2962088	+	1000	233.0	[]	[]	[16.351982]	[108]	[]	[2961891]
322_10184	chr16	4548738	4549138	+	1000	233.0	[]	[]	[20.409697]	[102]	[]	[4548927]
322_10185	chr16	27457098	27457498	+	1000	233.0	[4.8920417]	[96]	[19.864367, 9.534551]	[96, 151]	[27457292]	[27457292, 27457347]
322_10186	chr17	7822686	7823086	+	1000	233.0	[19.942999]	[99]	[]	[]	[7822881]	[]
322_10187	chr17	18033466	18033866	+	1000	233.0	[]	[]	[16.727453]	[117]	[]	[18033682]
322_10190	chr17	61837214	61837614	+	1000	233.0	[]	[]	[12.654795]	[101]	[]	[61837409]
322_10191	chr17	64776815	64777215	+	1000	233.0	[16.736393]	[119]	[]	[]	[64777017]	[]
322_10192	chr17	68466115	68466515	+	1000	233.0	[4.918586]	[93]	[16.213179, 4.8440075]	[93, 96]	[68466308]	[68466308, 68466311]
322_10193	chr17	75105761	75106161	+	1000	233.0	[]	[]	[9.159363]	[78]	[]	[75105939]
322_10194	chr17	76793771	76794171	+	1000	233.0	[16.551216, 6.850213]	[95, 98]	[]	[]	[76793963, 76793966]	[]
322_10195	chr17	82424543	82424943	+	1000	233.0	[]	[]	[15.849616]	[105]	[]	[82424745]
322_10196	chr18	23131700	23132100	+	1000	233.0	[20.391836]	[100]	[]	[]	[23131893]	[]
322_10197	chr18	26649708	26650108	+	1000	233.0	[]	[]	[17.29901]	[87]	[]	[26649894]
322_10198	chr19	3852675	3853075	+	1000	233.0	[13.678071]	[98]	[]	[]	[3852869]	[]
322_10199	chr19	13597641	13598041	+	1000	233.0	[13.443011]	[85]	[]	[]	[13597818]	[]
322_10201	chr2	8986657	8987057	+	1000	233.0	[]	[]	[9.052401]	[88]	[]	[8986844]
