#PeakID(python identify_motif.py ./ENCODE_processed_files/GATA2_idr.fa GATA2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
946_0	chrM	14780	15180	+	1000	1347.0	[9.93833]	[194]	[]	[]	[15017]	[]
946_1000	chr1	224160337	224160737	+	1000	244.0	[12.699877, 7.083552]	[108, 130]	[]	[]	[224160530, 224160552]	[]
946_10000	chr11	111698938	111699338	+	1000	77.0	[]	[]	[12.699877]	[82]	[]	[111699097]
946_1001	chr17	601511	601911	+	1000	244.0	[7.169444]	[125]	[]	[]	[601718]	[]
946_10016	chr14	20477588	20477988	+	1000	77.0	[9.387603, 10.555019]	[84, 94]	[]	[]	[20477765, 20477775]	[]
946_10019	chr14	33917129	33917529	+	1000	77.0	[10.555019, 9.722767]	[97, 127]	[]	[]	[33917307, 33917337]	[]
946_1002	chr2	26961703	26962103	+	1000	244.0	[]	[]	[9.93833]	[153]	[]	[26961947]
946_10020	chr14	50396316	50396716	+	1000	77.0	[]	[]	[12.699877]	[141]	[]	[50396504]
946_10024	chr15	40894910	40895310	+	1000	77.0	[]	[]	[12.699877]	[101]	[]	[40895106]
946_10035	chr17	2089460	2089860	+	1000	77.0	[7.5779095]	[97]	[]	[]	[2089636]	[]
946_10040	chr17	64363071	64363471	+	1000	77.0	[7.169444]	[108]	[]	[]	[64363273]	[]
946_10041	chr17	77959668	77960068	+	1000	77.0	[7.5779095]	[61]	[9.722767]	[67]	[77959820]	[77959826]
946_10056	chr2	39620066	39620466	+	1000	77.0	[7.5779095]	[122]	[]	[]	[39620273]	[]
946_10058	chr2	113173621	113174021	+	1000	77.0	[12.699877]	[155]	[]	[]	[113173844]	[]
946_10059	chr2	170236636	170237036	+	1000	77.0	[]	[]	[9.387603]	[109]	[]	[170236815]
946_10061	chr20	18624915	18625315	+	1000	77.0	[]	[]	[10.555019]	[125]	[]	[18625138]
946_10067	chr20	51600153	51600553	+	1000	77.0	[10.555019]	[120]	[]	[]	[51600329]	[]
946_10069	chr20	62274534	62274934	+	1000	77.0	[9.722767]	[137]	[]	[]	[62274740]	[]
946_1007	chr4	138910810	138911210	+	1000	244.0	[]	[]	[9.722767]	[155]	[]	[138911047]
946_10075	chr22	19233174	19233574	+	1000	77.0	[12.699877]	[203]	[]	[]	[19233422]	[]
946_1008	chr5	135192441	135192841	+	1000	244.0	[12.699877]	[140]	[]	[]	[135192679]	[]
946_10080	chr22	19607648	19608048	+	1000	77.0	[9.93833]	[102]	[]	[]	[19607810]	[]
946_1010	chr1	14436994	14437394	+	1000	243.0	[]	[]	[9.93833]	[80]	[]	[14437172]
946_10109	chr22	22020053	22020453	+	1000	77.0	[7.083552]	[117]	[]	[]	[22020224]	[]
946_1011	chr1	154320866	154321266	+	1000	243.0	[12.699877]	[100]	[]	[]	[154321064]	[]
946_10136	chr3	183306873	183307273	+	1000	77.0	[]	[]	[9.93833]	[90]	[]	[183307054]
946_1014	chr19	17405237	17405637	+	1000	243.0	[]	[]	[9.387603]	[115]	[]	[17405446]
946_10142	chr5	1333355	1333755	+	1000	77.0	[]	[]	[8.567237, 8.567237]	[107, 142]	[]	[1333531, 1333566]
946_10144	chr5	34867122	34867522	+	1000	77.0	[12.699877]	[97]	[]	[]	[34867319]	[]
946_10145	chr5	56688377	56688777	+	1000	77.0	[12.699877]	[75]	[]	[]	[56688551]	[]
946_10147	chr5	82329369	82329769	+	1000	77.0	[8.174054]	[98]	[9.93833]	[127]	[82329566]	[82329595]
946_10148	chr5	98954610	98955010	+	1000	77.0	[8.174054]	[114]	[]	[]	[98954783]	[]
946_10157	chr5	170248589	170248989	+	1000	77.0	[]	[]	[7.6269035]	[153]	[]	[170248832]
946_1016	chr19	38544012	38544412	+	1000	243.0	[]	[]	[8.065871]	[129]	[]	[38544231]
946_10173	chr6	43683049	43683449	+	1000	77.0	[12.699877]	[124]	[]	[]	[43683267]	[]
946_10179	chr6	136737422	136737822	+	1000	77.0	[10.555019]	[75]	[]	[]	[136737576]	[]
946_10183	chr6	157891581	157891981	+	1000	77.0	[]	[]	[12.699877]	[139]	[]	[157891807]
946_10188	chr7	35753681	35754081	+	1000	77.0	[12.699877]	[89]	[]	[]	[35753852]	[]
946_10189	chr7	36092413	36092813	+	1000	77.0	[10.555019]	[119]	[8.174054]	[111]	[36092623]	[36092615]
946_1019	chr1	156958247	156958647	+	1000	242.0	[]	[]	[12.699877]	[83]	[]	[156958421]
946_10190	chr7	51366959	51367359	+	1000	77.0	[]	[]	[12.699877]	[134]	[]	[51367168]
946_10192	chr7	99362717	99363117	+	1000	77.0	[12.699877]	[123]	[]	[]	[99362939]	[]
946_10194	chr7	103148667	103149067	+	1000	77.0	[]	[]	[7.6269035]	[153]	[]	[103148855]
946_10198	chr8	3107952	3108352	+	1000	77.0	[]	[]	[7.5779095, 12.699877]	[91, 150]	[]	[3108126, 3108185]
946_10206	chr8	141338634	141339034	+	1000	77.0	[]	[]	[7.373495]	[155]	[]	[141338859]
946_10207	chr8	143333839	143334239	+	1000	77.0	[]	[]	[7.7934723]	[143]	[]	[143334059]
946_10211	chr9	105676234	105676634	+	1000	77.0	[10.555019, 9.722767]	[132, 162]	[]	[]	[105676450, 105676480]	[]
946_10218	chr9	133002870	133003270	+	1000	77.0	[12.699877]	[154]	[]	[]	[133003093]	[]
946_10220	chr9	136190195	136190595	+	1000	77.0	[8.174054, 8.174054, 8.174054]	[75, 102, 129]	[]	[]	[136190356, 136190383, 136190410]	[]
946_10228	chr1	3653203	3653603	+	1000	76.0	[]	[]	[12.699877]	[173]	[]	[3653448]
946_10229	chr1	6183425	6183825	+	1000	76.0	[]	[]	[12.699877]	[110]	[]	[6183622]
946_10240	chr1	55039277	55039677	+	1000	76.0	[]	[]	[7.6269035]	[95]	[]	[55039466]
946_10247	chr1	153059307	153059707	+	1000	76.0	[10.555019]	[126]	[]	[]	[153059513]	[]
946_10248	chr1	154963711	154964111	+	1000	76.0	[]	[]	[10.555019]	[94]	[]	[154963886]
946_1025	chr1	57218700	57219100	+	1000	241.0	[12.699877]	[117]	[]	[]	[57218904]	[]
946_10252	chr1	179026633	179027033	+	1000	76.0	[8.065871]	[134]	[10.555019]	[118]	[179026855]	[179026839]
946_10258	chr1	231357858	231358258	+	1000	76.0	[]	[]	[7.6269035]	[159]	[]	[231358101]
946_10262	chr10	28432144	28432544	+	1000	76.0	[]	[]	[9.93833]	[103]	[]	[28432347]
946_10272	chr11	60056363	60056763	+	1000	76.0	[]	[]	[9.722767]	[196]	[]	[60056610]
946_10278	chr11	119378957	119379357	+	1000	76.0	[12.699877]	[135]	[]	[]	[119379151]	[]
946_1028	chr1	205255916	205256316	+	1000	241.0	[12.699877]	[91]	[]	[]	[205256106]	[]
946_10288	chr12	104289193	104289593	+	1000	76.0	[12.699877]	[139]	[]	[]	[104289415]	[]
946_1029	chr16	23667199	23667599	+	1000	241.0	[12.699877, 9.387603]	[84, 111]	[]	[]	[23667369, 23667396]	[]
946_10292	chr15	41495883	41496283	+	1000	76.0	[]	[]	[12.699877]	[137]	[]	[41496113]
946_10297	chr16	67226433	67226833	+	1000	76.0	[]	[]	[8.567237]	[105]	[]	[67226614]
946_103	chr1	40820871	40821271	+	1000	540.0	[12.699877, 9.722767]	[72, 114]	[]	[]	[40821033, 40821075]	[]
946_10300	chr17	47844264	47844664	+	1000	76.0	[]	[]	[10.555019]	[121]	[]	[47844455]
946_10302	chr17	60388721	60389121	+	1000	76.0	[9.722767]	[70]	[9.93833]	[118]	[60388890]	[60388938]
946_10309	chr18	3666285	3666685	+	1000	76.0	[]	[]	[9.93833]	[114]	[]	[3666487]
946_1031	chr21	42403681	42404081	+	1000	241.0	[9.93833]	[117]	[]	[]	[42403891]	[]
946_10312	chr18	9758741	9759141	+	1000	76.0	[]	[]	[8.065871]	[141]	[]	[9758980]
946_10313	chr18	32091918	32092318	+	1000	76.0	[]	[]	[8.250492]	[88]	[]	[32092077]
946_10324	chr19	18380162	18380562	+	1000	76.0	[]	[]	[7.5779095]	[85]	[]	[18380314]
946_10329	chr2	42927440	42927840	+	1000	76.0	[12.699877]	[119]	[]	[]	[42927652]	[]
