#PeakID(python identify_motif.py ./ENCODE_processed_files/CUX1_idr.fa CUX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
152_100	chr19	3700515	3700915	+	1000	223.0	[10.203943]	[82]	[6.0151424, 5.975493, 5.975493]	[82, 119, 147]	[3700694]	[3700694, 3700731, 3700759]
152_10003	chr15	92799813	92800213	+	1000	37.0	[6.0151424]	[100]	[10.203943]	[100]	[92799994]	[92799994]
152_10007	chr16	15573426	15573826	+	1000	37.0	[6.0151424]	[127]	[10.203943]	[127]	[15573616]	[15573616]
152_10011	chr16	23814789	23815189	+	1000	37.0	[6.0151424, 6.0151424, 6.0151424]	[100, 104, 108]	[10.203943, 10.203943, 10.203943]	[100, 104, 108]	[23814989, 23814993, 23814997]	[23814989, 23814993, 23814997]
152_10012	chr16	24273362	24273762	+	1000	37.0	[10.935475]	[123]	[10.935475]	[123]	[24273578]	[24273578]
152_10021	chr16	81080993	81081393	+	1000	37.0	[10.203943]	[105]	[6.0151424]	[105]	[81081195]	[81081195]
152_1005	chr16	66899889	66900289	+	1000	89.0	[6.0151424]	[81]	[10.203943]	[81]	[66900056]	[66900056]
152_10055	chr18	3869828	3870228	+	1000	37.0	[10.203943]	[112]	[6.0151424]	[112]	[3870001]	[3870001]
152_10056	chr18	8994586	8994986	+	1000	37.0	[5.975493]	[52]	[]	[]	[8994737]	[]
152_10057	chr18	9908291	9908691	+	1000	37.0	[6.0151424]	[114]	[10.203943]	[114]	[9908481]	[9908481]
152_10061	chr18	32018124	32018524	+	1000	37.0	[6.0151424]	[91]	[10.203943]	[91]	[32018312]	[32018312]
152_10066	chr18	55547270	55547670	+	1000	37.0	[10.203943]	[105]	[6.0151424]	[105]	[55547469]	[55547469]
152_10067	chr18	70025613	70026013	+	1000	37.0	[5.975493, 6.0151424, 5.975493]	[89, 154, 162]	[10.203943]	[154]	[70025780, 70025845, 70025853]	[70025845]
152_1007	chr17	82494533	82494933	+	1000	89.0	[5.975493]	[115]	[]	[]	[82494739]	[]
152_10070	chr19	965152	965552	+	612	37.0	[6.0151424]	[152]	[10.203943]	[152]	[965345]	[965345]
152_10072	chr19	2507112	2507512	+	1000	37.0	[10.203943]	[111]	[6.0151424]	[111]	[2507299]	[2507299]
152_10097	chr2	26397018	26397418	+	917	37.0	[10.203943]	[149]	[6.0151424]	[149]	[26397221]	[26397221]
152_10098	chr2	27191458	27191858	+	999	37.0	[5.975493]	[186]	[]	[]	[27191689]	[]
152_1010	chr19	3036213	3036613	+	1000	89.0	[6.0151424]	[115]	[10.203943]	[115]	[3036422]	[3036422]
152_10102	chr2	46020502	46020902	+	1000	37.0	[6.0151424]	[115]	[10.203943]	[115]	[46020711]	[46020711]
152_1011	chr19	16197248	16197648	+	1000	89.0	[6.0151424]	[109]	[10.203943]	[109]	[16197444]	[16197444]
152_10110	chr2	96890133	96890533	+	1000	37.0	[10.203943, 10.203943]	[102, 106]	[6.0151424, 6.0151424]	[102, 106]	[96890284, 96890288]	[96890284, 96890288]
152_10111	chr2	112989598	112989998	+	850	37.0	[6.0151424]	[90]	[10.203943]	[90]	[112989772]	[112989772]
152_10116	chr2	157670534	157670934	+	1000	37.0	[5.975493]	[120]	[]	[]	[157670745]	[]
152_1012	chr21	33544382	33544782	+	1000	89.0	[6.0151424]	[120]	[10.203943]	[120]	[33544588]	[33544588]
152_10123	chr2	171144057	171144457	+	1000	37.0	[10.203943]	[189]	[6.0151424]	[189]	[171144281]	[171144281]
152_10133	chr21	21179616	21180016	+	1000	37.0	[6.0151424]	[155]	[10.203943]	[155]	[21179862]	[21179862]
