#PeakID(python identify_motif.py ./ENCODE_processed_files/SPI1_idr.fa SPI1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
685_10000	chr6	166907392	166907792	+	1000	68.0	[]	[]	[12.423825]	[102]	[]	[166907588]
685_10001	chr7	7989088	7989488	+	1000	68.0	[]	[]	[10.547462]	[94]	[]	[7989281]
685_10002	chr7	8201697	8202097	+	1000	68.0	[5.785965]	[75]	[]	[]	[8201870]	[]
685_10010	chr7	149028341	149028741	+	1000	68.0	[9.3341465]	[123]	[]	[]	[149028555]	[]
685_10012	chr8	37835621	37836021	+	1000	68.0	[9.508922]	[151]	[9.986488]	[102]	[37835870]	[37835821]
685_10013	chr8	66663630	66664030	+	1000	68.0	[15.325211, 5.875284]	[123, 150]	[]	[]	[66663846, 66663873]	[]
685_10017	chr8	141358898	141359298	+	1000	68.0	[8.041502]	[92]	[]	[]	[141359090]	[]
685_1002	chr19	17036076	17036476	+	1000	241.0	[]	[]	[6.4403615]	[101]	[]	[17036277]
685_10022	chr9	128252369	128252769	+	1000	68.0	[13.078213]	[97]	[]	[]	[128252562]	[]
685_10025	chrX	40152690	40153090	+	1000	68.0	[15.111111]	[89]	[]	[]	[40152879]	[]
685_10027	chrX	49174775	49175175	+	1000	68.0	[8.251339]	[90]	[]	[]	[49174963]	[]
685_10029	chrX	123803542	123803942	+	1000	68.0	[]	[]	[9.865494]	[123]	[]	[123803755]
685_1003	chr19	50415670	50416070	+	1000	241.0	[]	[]	[12.384123]	[101]	[]	[50415871]
685_10032	chr1	11736081	11736481	+	1000	67.0	[12.126314]	[92]	[]	[]	[11736268]	[]
685_10038	chr1	58979185	58979585	+	1000	67.0	[17.053406]	[119]	[8.631376]	[135]	[58979391]	[58979407]
685_10041	chr1	92785010	92785410	+	1000	67.0	[6.9037414]	[99]	[]	[]	[92785208]	[]
685_10043	chr1	109923453	109923853	+	1000	67.0	[]	[]	[11.585554]	[94]	[]	[109923644]
685_10047	chr1	150545551	150545951	+	1000	67.0	[]	[]	[10.391923, 5.692341, 6.4365544]	[113, 141, 179]	[]	[150545724, 150545752, 150545790]
685_1005	chr3	194194198	194194598	+	1000	241.0	[]	[]	[8.682187, 16.407028]	[86, 100]	[]	[194194383, 194194397]
685_10052	chr1	164343182	164343582	+	1000	67.0	[19.177654]	[93]	[]	[]	[164343372]	[]
685_10054	chr1	180156211	180156611	+	1000	67.0	[12.83136]	[125]	[]	[]	[180156419]	[]
685_10056	chr1	184824900	184825300	+	1000	67.0	[]	[]	[12.45914]	[131]	[]	[184825116]
685_10059	chr1	221826809	221827209	+	1000	67.0	[14.05181]	[98]	[7.3536415]	[124]	[221827005]	[221827031]
685_1006	chr6	161393851	161394251	+	1000	241.0	[13.731146]	[97]	[]	[]	[161394048]	[]
685_10061	chr1	241998320	241998720	+	1000	67.0	[9.24617]	[104]	[]	[]	[241998522]	[]
685_10064	chr10	15725583	15725983	+	1000	67.0	[8.349082]	[94]	[]	[]	[15725777]	[]
685_10065	chr10	28791114	28791514	+	1000	67.0	[15.535567]	[102]	[]	[]	[28791313]	[]
685_10069	chr10	124647775	124648175	+	1000	67.0	[13.372028, 9.533911]	[90, 122]	[]	[]	[124647964, 124647996]	[]
685_10075	chr11	64225179	64225579	+	1000	67.0	[12.422853]	[100]	[6.944475]	[119]	[64225377]	[64225396]
685_10076	chr11	64252577	64252977	+	1000	67.0	[14.101634, 6.14521]	[107, 120]	[]	[]	[64252777, 64252790]	[]
685_10077	chr11	67288328	67288728	+	1000	67.0	[]	[]	[9.410587]	[118]	[]	[67288533]
685_10078	chr11	83193478	83193878	+	1000	67.0	[8.450185, 10.45075]	[86, 112]	[]	[]	[83193653, 83193679]	[]
685_10080	chr12	8948576	8948976	+	1000	67.0	[]	[]	[14.188168]	[99]	[]	[8948772]
685_10082	chr12	47834634	47835034	+	974	67.0	[13.980856]	[104]	[7.970999]	[143]	[47834835]	[47834874]
685_10083	chr12	93376458	93376858	+	1000	67.0	[]	[]	[9.1490135, 7.609862, 7.560937, 7.1518097]	[73, 77, 106, 143]	[]	[93376628, 93376632, 93376661, 93376698]
685_10085	chr12	115322198	115322598	+	1000	67.0	[]	[]	[12.002285, 19.177654]	[95, 101]	[]	[115322392, 115322398]
685_10086	chr12	130748173	130748573	+	1000	67.0	[8.158327]	[103]	[]	[]	[130748369]	[]
685_10087	chr12	132489933	132490333	+	1000	67.0	[6.740977]	[117]	[15.9819355]	[94]	[132490138]	[132490115]
685_10094	chr15	39447872	39448272	+	1000	67.0	[]	[]	[15.87502]	[104]	[]	[39448073]
685_10097	chr15	64285874	64286274	+	1000	67.0	[]	[]	[11.835433]	[137]	[]	[64286092]
685_10098	chr15	68834342	68834742	+	1000	67.0	[8.314245, 5.868994, 12.634181, 8.408533]	[77, 83, 91, 142]	[]	[]	[68834519, 68834525, 68834533, 68834584]	[]
685_101	chr1	206012053	206012453	+	1000	461.0	[16.133993]	[90]	[]	[]	[206012243]	[]
685_10101	chr15	78437939	78438339	+	1000	67.0	[]	[]	[8.2786045, 7.5441947, 6.1191964]	[97, 102, 112]	[]	[78438108, 78438113, 78438123]
685_10103	chr15	82849587	82849987	+	1000	67.0	[6.2493105]	[64]	[]	[]	[82849745]	[]
