#name (cmd = mergePeaks -d given ./ENCODE_processed_files/GATA1_idr_cutoff.tsv ./ENCODE_processed_files/TAL1_idr_cutoff.tsv)	chr	start	end	strand	Stat	Parent files	Total subpeaks	./ENCODE_processed_files/GATA1_idr_cutoff.tsv	./ENCODE_processed_files/TAL1_idr_cutoff.tsv
Merged-chr6-139500224-1	chr6	139500024	139500424	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24523
Merged-chrX-74343512-1	chrX	74343312	74343712	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12509
Merged-chr4-123176746-1	chr4	123176546	123176946	+	561.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36540
Merged-chr6-146857625-1	chr6	146857425	146857825	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24525
Merged-chr4-138972338-1	chr4	138972138	138972538	+	544.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36541
Merged-chr6-150896161-1	chr6	150895961	150896361	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24527
Merged-chr4-169757864-1	chr4	169757664	169758064	+	575.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36543
Merged-chr6-158201101-1	chr6	158200901	158201301	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24529
Merged-chr5-6711973-1	chr5	6711773	6712173	+	549.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36545
Merged-chr5-41891234-1	chr5	41891034	41891434	+	571.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36547
Merged-chr5-42994109-1	chr5	42993909	42994309	+	586.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36548
Merged-chr17-57343158-1	chr17	57342958	57343358	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4403
Merged-chr18-62850709-1	chr18	62850509	62850909	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4404
Merged-chr2-24461849-1	chr2	24461649	24462049	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4405
Merged-chr2-85840305-1	chr2	85840105	85840505	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4407
Merged-chr2-157751868-1	chr2	157751668	157752068	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4408
Merged-chrX-125758091-1	chrX	125757891	125758291	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12510
Merged-chrX-136898942-1	chrX	136898742	136899142	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12511
Merged-chr1-842970-1	chr1	842770	843170	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12512
Merged-chr1-54397188-1	chr1	54396988	54397388	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12515
Merged-chr6-166629849-1	chr6	166629649	166630049	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24530
Merged-chr1-78052945-1	chr1	78052745	78053145	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12516
Merged-chr6-170553247-1	chr6	170553047	170553447	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24531
Merged-chr7-6059120-1	chr7	6058920	6059320	+	932.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24532
Merged-chr7-7640926-1	chr7	7640726	7641126	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24533
Merged-chr7-12802217-1	chr7	12802017	12802417	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24534
Merged-chr7-13175970-1	chr7	13175770	13176170	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24535
Merged-chr5-81641212-1	chr5	81641012	81641412	+	553.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36551
Merged-chr5-95773938-1	chr5	95773738	95774138	+	576.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36552
Merged-chr7-23474781-1	chr7	23474581	23474981	+	955.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24537
Merged-chr7-23531956-1	chr7	23531756	23532156	+	765.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24538
Merged-chr5-116492244-1	chr5	116492044	116492444	+	599.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36554
Merged-chr7-26420603-1	chr7	26420403	26420803	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24539
Merged-chr5-140174986-1	chr5	140174786	140175186	+	587.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36556
Merged-chr5-149811038-1	chr5	149810838	149811238	+	563.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36557
Merged-chr5-168579929-1	chr5	168579729	168580129	+	550.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36559
Merged-chrX-130179773-1	chrX	130179573	130179973	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_500
Merged-chr2-178269953-1	chr2	178269753	178270153	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_503
Merged-chr7-5458088-1	chr7	5457888	5458288	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_504
Merged-chr9-128115742-1	chr9	128115542	128115942	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_505
Merged-chr1-42936465-1	chr1	42936265	42936665	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_507
Merged-chr20-44394923-1	chr20	44394723	44395123	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4411
Merged-chr3-155248818-1	chr3	155248618	155249018	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4415
Merged-chr7-10645090-1	chr7	10644890	10645290	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4419
Merged-chr7-32747746-1	chr7	32747546	32747946	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24540
Merged-chr11-18016987-1	chr11	18016787	18017187	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12525
Merged-chr7-32905311-1	chr7	32905111	32905511	+	924.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24541
Merged-chr7-33103463-1	chr7	33103263	33103663	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24542
Merged-chr11-43394132-1	chr11	43393932	43394332	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12527
