#PeakID	chr	start	end	strand	idrScore	count
9_0	chrM	40	290	+	1000	764.0
9_1	chrM	12476	12703	+	1000	720.0
9_2	chrM	3101	3323	+	1000	709.0
9_3	chrM	13692	13941	+	1000	669.0
9_4	chrM	11172	11411	+	1000	667.0
9_5	chrM	9827	10029	+	1000	665.0
9_6	chrM	10485	10824	+	1000	662.0
9_7	chr22	19723337	19723542	+	1000	643.0
9_8	chr3	93470410	93470778	+	1000	637.0
9_9	chrM	11734	12007	+	1000	615.0
9_10	chr11	9613200	9613401	+	1000	597.0
9_11	chr9	120897187	120897392	+	1000	588.0
9_12	chrM	14304	14505	+	1000	580.0
9_13	chr19	55158972	55159172	+	1000	567.0
9_14	chr22	20557374	20557582	+	1000	553.0
9_15	chr6	15062693	15062895	+	1000	551.0
9_16	chrM	5296	5518	+	1000	543.0
9_17	chr1	225999586	225999800	+	1000	527.0
9_18	chrM	6273	6588	+	1000	523.0
9_19	chr10	44978774	44978976	+	1000	522.0
9_20	chrM	4848	5060	+	1000	522.0
9_21	chr9	97503532	97503751	+	1000	518.0
9_22	chr6	51050189	51050397	+	1000	514.0
9_23	chr1	226111228	226111435	+	1000	513.0
9_24	chr1	182236237	182236438	+	1000	510.0
9_25	chr11	65472208	65472414	+	1000	506.0
9_26	chr22	19719011	19719227	+	1000	505.0
9_27	chr5	54325645	54325859	+	1000	499.0
9_28	chr10	77971318	77971529	+	1000	497.0
9_29	chr5	62277050	62277250	+	1000	488.0
9_30	chr2	85994038	85994239	+	1000	484.0
9_31	chr6	31777085	31777293	+	1000	473.0
9_32	chr1	224334080	224334288	+	1000	472.0
9_33	chr20	33419270	33419475	+	1000	466.0
9_34	chr8	124017614	124017815	+	1000	458.0
9_35	chr1	100347447	100347669	+	1000	456.0
9_36	chr13	110870375	110870576	+	1000	454.0
9_37	chr10	49300598	49300811	+	1000	444.0
9_38	chr2	70686965	70687169	+	1000	444.0
9_39	chr17	50707917	50708117	+	1000	443.0
9_40	chr2	9607988	9608188	+	1000	434.0
9_41	chr10	3785389	3785603	+	1000	430.0
9_42	chr2	108595000	108595203	+	1000	429.0
9_43	chr1	160989926	160990137	+	1000	426.0
9_44	chr11	2778656	2778862	+	1000	423.0
9_45	chrM	8042	8244	+	1000	421.0
9_46	chr16	88688113	88688318	+	1000	419.0
9_47	chr1	58783980	58784203	+	1000	412.0
9_48	chr12	56988395	56988606	+	1000	407.0
9_49	chr20	58907889	58908127	+	1000	406.0
9_50	chr5	90644224	90644440	+	1000	403.0
9_51	chr19	45439855	45440065	+	1000	396.0
9_52	chr1	246699123	246699331	+	1000	390.0
9_53	chr15	99565871	99566074	+	1000	390.0
9_54	chr17	77233957	77234163	+	1000	390.0
9_55	chr11	66418315	66418518	+	1000	388.0
9_56	chr19	47241094	47241304	+	1000	384.0
9_57	chr1	156281413	156281614	+	1000	379.0
9_58	chr9	98932140	98932341	+	1000	375.0
9_59	chr20	23152492	23152696	+	1000	373.0
9_60	chr3	39261014	39261221	+	1000	372.0
9_61	chr1	212234746	212234951	+	1000	371.0
