#PeakID(python scan_motif.py ./ENCODE_processed_files/MYC_idr.fa MYC --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
640_10006	chr6	43798854	43799254	+	1000	83.0	[9.957076]	[117]	[9.3206]	[118]	[43799064]	[43799065]
640_10007	chr6	52504069	52504469	+	1000	83.0	[]	[]	[7.3538165]	[124]	[]	[52504274]
640_10008	chr6	68635008	68635408	+	1000	83.0	[]	[]	[8.415534]	[184]	[]	[68635206]
640_1001	chr5	140564465	140564865	+	1000	259.0	[9.3206]	[141]	[12.820818]	[142]	[140564684]	[140564685]
640_10011	chr6	166956490	166956890	+	1000	83.0	[7.3984704]	[108]	[7.4328523]	[109]	[166956672]	[166956673]
640_10012	chr7	22443463	22443863	+	1000	83.0	[9.957076]	[145]	[12.820818]	[146]	[22443691]	[22443692]
640_10016	chr7	113071451	113071851	+	1000	83.0	[12.820818]	[132]	[12.820818]	[133]	[113071678]	[113071679]
640_10019	chr8	9438536	9438936	+	1000	83.0	[9.859796, 9.859796]	[78, 87]	[12.820818, 12.820818]	[79, 88]	[9438713, 9438722]	[9438714, 9438723]
640_10021	chr8	95131168	95131568	+	1000	83.0	[12.820818]	[118]	[9.859796]	[119]	[95131380]	[95131381]
640_10023	chr8	143952550	143952950	+	1000	83.0	[9.957076]	[73]	[12.820818]	[74]	[143952710]	[143952711]
640_10024	chr8	144852830	144853230	+	1000	83.0	[]	[]	[7.5613456]	[62]	[]	[144852990]
640_1003	chr9	120897186	120897586	+	1000	259.0	[8.334265]	[119]	[]	[]	[120897368]	[]
640_10030	chr9	127825559	127825959	+	1000	83.0	[7.3538165]	[101]	[]	[]	[127825756]	[]
640_10034	chrX	120485798	120486198	+	1000	83.0	[9.957076]	[106]	[12.820818]	[107]	[120485959]	[120485960]
640_10035	chrX	153667930	153668330	+	1000	83.0	[12.820818]	[104]	[9.957076]	[105]	[153668132]	[153668133]
640_10036	chr1	1201366	1201766	+	1000	82.0	[8.344066, 7.3805842]	[95, 109]	[7.981569]	[110]	[1201551, 1201565]	[1201566]
640_10037	chr1	1347864	1348264	+	1000	82.0	[7.3805842]	[103]	[7.981569]	[104]	[1348060]	[1348061]
640_10038	chr1	17437768	17438168	+	1000	82.0	[7.981569]	[84]	[]	[]	[17437937]	[]
640_10039	chr1	20493795	20494195	+	1000	82.0	[8.334265]	[79]	[7.5613456]	[80]	[20493969]	[20493970]
640_1004	chr1	161153833	161154233	+	1000	258.0	[8.344066]	[80]	[]	[]	[161154011]	[]
640_10044	chr1	71047616	71048016	+	1000	82.0	[]	[]	[7.4328523]	[161]	[]	[71047863]
640_10045	chr1	93847393	93847793	+	1000	82.0	[]	[]	[8.334265]	[87]	[]	[93847568]
640_10048	chr1	153404695	153405095	+	1000	82.0	[12.820818]	[84]	[12.820818]	[85]	[153404872]	[153404873]
640_1005	chr17	2029923	2030323	+	1000	258.0	[8.415787]	[139]	[]	[]	[2030151]	[]
640_10051	chr1	203273051	203273451	+	1000	82.0	[7.5613456]	[78]	[]	[]	[203273218]	[]
640_10052	chr1	212488513	212488913	+	1000	82.0	[]	[]	[7.5613456, 9.081068]	[71, 137]	[]	[212488682, 212488748]
640_10053	chr1	225817660	225818060	+	1000	82.0	[]	[]	[9.081068]	[73]	[]	[225817833]
640_10054	chr1	226109975	226110375	+	1000	82.0	[]	[]	[8.344066]	[157]	[]	[226110216]
640_10056	chr10	47326827	47327227	+	1000	82.0	[9.3206]	[137]	[9.957076]	[138]	[47327063]	[47327064]
640_10059	chr10	117375412	117375812	+	1000	82.0	[12.820818]	[169]	[8.415534, 12.820818]	[76, 170]	[117375657]	[117375564, 117375658]
640_1006	chr17	76506356	76506756	+	1000	258.0	[12.820818]	[123]	[12.820818]	[124]	[76506575]	[76506576]
