#PeakID(python identify_motif.py ./ENCODE_processed_files/NFATC3_idr.fa NFATC3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
28_10003	chr18	3293438	3293838	+	1000	37.5	[]	[]	[10.276439]	[121]	[]	[3293625]
28_10008	chr19	3986116	3986516	+	1000	37.5	[7.408826]	[209]	[]	[]	[3986332]	[]
28_10009	chr19	4130944	4131344	+	1000	37.5	[]	[]	[10.276439]	[173]	[]	[4131141]
28_10011	chr19	11564273	11564673	+	1000	37.5	[]	[]	[7.657809]	[113]	[]	[11564482]
28_10012	chr19	17261041	17261441	+	1000	37.5	[7.0441737]	[110]	[]	[]	[17261224]	[]
28_10016	chr19	35375303	35375703	+	1000	37.5	[]	[]	[7.408826, 7.408826, 7.408826, 7.408826]	[70, 139, 148, 153]	[]	[35375460, 35375529, 35375538, 35375543]
28_10020	chr19	44590430	44590830	+	1000	37.5	[7.657809]	[127]	[10.276439]	[142]	[44590649]	[44590664]
28_10022	chr19	45493176	45493576	+	1000	37.5	[7.657809]	[137]	[]	[]	[45493364]	[]
28_10023	chr19	45523491	45523891	+	584	37.5	[]	[]	[7.408826]	[87]	[]	[45523645]
28_10025	chr19	46413682	46414082	+	1000	37.5	[10.276439]	[115]	[]	[]	[46413837]	[]
28_1003	chr4	128177594	128177994	+	1000	72.5	[10.276439]	[137]	[]	[]	[128177807]	[]
28_10032	chr2	39229744	39230144	+	1000	37.5	[]	[]	[7.657809]	[134]	[]	[39229936]
28_10034	chr2	55482160	55482560	+	884	37.5	[10.276439]	[159]	[10.276439]	[71]	[55482407]	[55482319]
28_10036	chr2	70078320	70078720	+	1000	37.5	[]	[]	[10.276439]	[238]	[]	[70078564]
28_10045	chr20	3159755	3160155	+	1000	37.5	[10.276439]	[123]	[]	[]	[3159962]	[]
28_1005	chr6	26571596	26571996	+	1000	72.5	[]	[]	[10.276439]	[139]	[]	[26571808]
28_10054	chr21	22210237	22210637	+	993	37.5	[7.408826]	[133]	[]	[]	[22210422]	[]
28_10061	chr22	20519251	20519651	+	1000	37.5	[10.276439]	[145]	[]	[]	[20519404]	[]
28_10065	chr22	21085257	21085657	+	1000	37.5	[]	[]	[7.0441737]	[137]	[]	[21085476]
28_1007	chr6	30872593	30872993	+	1000	72.5	[7.0441737, 7.408826]	[135, 143]	[]	[]	[30872816, 30872824]	[]
28_10071	chr22	22677729	22678129	+	909	37.5	[10.276439]	[93]	[]	[]	[22677882]	[]
28_10072	chr22	22739769	22740169	+	1000	37.5	[7.408826]	[100]	[7.657809]	[133]	[22739945]	[22739978]
28_10074	chr22	23198947	23199347	+	1000	37.5	[7.408826]	[163]	[]	[]	[23199185]	[]
28_10080	chr3	16546490	16546890	+	1000	37.5	[7.408826]	[120]	[]	[]	[16546684]	[]
28_10083	chr3	47117785	47118185	+	1000	37.5	[]	[]	[7.408826]	[154]	[]	[47117980]
28_10084	chr3	47503058	47503458	+	1000	37.5	[]	[]	[7.408826]	[67]	[]	[47503217]
28_10088	chr3	152471886	152472286	+	1000	37.5	[7.408826, 7.408826]	[125, 178]	[]	[]	[152472070, 152472123]	[]
28_10093	chr3	171967932	171968332	+	1000	37.5	[7.657809]	[125]	[]	[]	[171968152]	[]
28_10100	chr4	15153718	15154118	+	1000	37.5	[7.657809]	[154]	[]	[]	[15153906]	[]
28_10101	chr4	39046083	39046483	+	1000	37.5	[]	[]	[7.408826]	[151]	[]	[39046315]
