#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF13_idr.fa KLF13 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
92_100	chr15	31216797	31217197	+	1000	212.5	[]	[]	[5.075543, 3.4378278]	[115, 173]	[]	[31216965, 31217023]
92_10002	chr1	42823972	42824372	+	627	30.5	[]	[]	[11.03247]	[157]	[]	[42824201]
92_10011	chr1	115138944	115139344	+	643	30.5	[4.079453]	[181]	[]	[]	[115139149]	[]
92_1002	chr19	49641812	49642212	+	1000	75.0	[5.0910344, 5.2643027]	[129, 157]	[]	[]	[49642012, 49642040]	[]
92_10020	chr1	182790694	182791094	+	621	30.5	[5.943053]	[97]	[]	[]	[182790881]	[]
92_10031	chr10	11639734	11640134	+	540	30.5	[16.471863]	[89]	[]	[]	[11639890]	[]
92_10040	chr10	130136166	130136566	+	639	30.5	[9.228874]	[111]	[7.3515005]	[67]	[130136366]	[130136322]
92_10041	chr10	132453083	132453483	+	581	30.5	[6.5128508]	[135]	[6.867345]	[116]	[132453301]	[132453282]
92_10048	chr11	65040648	65041048	+	626	30.5	[3.899134, 3.899134]	[163, 168]	[4.0226517]	[146]	[65040881, 65040886]	[65040864]
92_10063	chr12	101698268	101698668	+	578	30.5	[9.01742]	[202]	[]	[]	[101698508]	[]
92_10064	chr12	113584105	113584505	+	629	30.5	[]	[]	[5.024693]	[153]	[]	[113584327]
92_1007	chr22	23177133	23177533	+	1000	75.0	[4.4800086]	[202]	[]	[]	[23177375]	[]
92_1008	chr3	38346596	38346996	+	1000	75.0	[]	[]	[5.212461]	[76]	[]	[38346767]
92_1009	chr6	26312866	26313266	+	1000	75.0	[9.103169]	[123]	[]	[]	[26313057]	[]
92_10102	chr16	69529605	69530005	+	582	30.5	[4.3939676, 4.5502915]	[158, 160]	[]	[]	[69529841, 69529843]	[]
92_10124	chr19	45059494	45059894	+	616	30.5	[11.797658]	[159]	[]	[]	[45059717]	[]
92_1013	chr9	129824058	129824458	+	1000	75.0	[7.404994]	[114]	[]	[]	[129824271]	[]
92_10134	chr2	139864855	139865255	+	639	30.5	[5.875249]	[130]	[]	[]	[139865040]	[]
92_10141	chr2	238320189	238320589	+	631	30.5	[]	[]	[11.1475]	[145]	[]	[238320418]
92_10146	chr21	31732296	31732696	+	617	30.5	[]	[]	[4.3881173]	[141]	[]	[31732526]
92_1015	chr1	21647895	21648295	+	1000	74.5	[]	[]	[15.659694]	[195]	[]	[21648143]
92_10156	chr22	19745003	19745403	+	603	30.5	[5.7045054]	[160]	[8.457088]	[174]	[19745212]	[19745226]
92_10160	chr22	20176466	20176866	+	649	30.5	[]	[]	[6.2123165]	[119]	[]	[20176655]
92_10164	chr22	20569130	20569530	+	600	30.5	[]	[]	[7.8661165]	[219]	[]	[20569373]
92_10168	chr22	20816824	20817224	+	584	30.5	[]	[]	[3.2941816]	[200]	[]	[20817050]
