#PeakID(python identify_motif.py ./ENCODE_processed_files/E2F5_idr.fa E2F5 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
489_10001	chr11	32434411	32434811	+	1000	69.0	[]	[]	[9.302818]	[163]	[]	[32434653]
489_10003	chr11	62787169	62787569	+	1000	69.0	[]	[]	[6.051324]	[115]	[]	[62787327]
489_10004	chr11	63681384	63681784	+	1000	69.0	[]	[]	[11.7800665]	[123]	[]	[63681586]
489_10008	chr11	69297314	69297714	+	1000	69.0	[]	[]	[11.7800665, 9.302818]	[163, 177]	[]	[69297550, 69297564]
489_1001	chr2	241508507	241508907	+	1000	165.0	[10.704447, 5.667835]	[119, 121]	[]	[]	[241508711, 241508713]	[]
489_10012	chr11	110296457	110296857	+	1000	69.0	[11.665144, 9.187896]	[133, 207]	[10.704447]	[190]	[110296632, 110296706]	[110296689]
489_10014	chr12	6970582	6970982	+	1000	69.0	[]	[]	[6.051324]	[122]	[]	[6970755]
489_10019	chr12	98515266	98515666	+	1000	69.0	[10.704447]	[155]	[11.7800665, 5.667835]	[86, 124]	[98515511]	[98515442, 98515480]
489_10021	chr12	109880351	109880751	+	1000	69.0	[]	[]	[5.570742]	[66]	[]	[109880506]
489_10022	chr12	110450142	110450542	+	1000	69.0	[5.570742]	[181]	[]	[]	[110450345]	[]
489_10030	chr14	31420457	31420857	+	1000	69.0	[11.7800665]	[95]	[]	[]	[31420638]	[]
489_10034	chr14	104677727	104678127	+	1000	69.0	[10.589524]	[154]	[10.378438]	[129]	[104677959]	[104677934]
489_10038	chr15	45548777	45549177	+	1000	69.0	[]	[]	[9.302818]	[137]	[]	[45548990]
489_10039	chr15	51622838	51623238	+	1000	69.0	[11.7800665]	[132]	[]	[]	[51623069]	[]
489_10042	chr15	66622073	66622473	+	1000	69.0	[]	[]	[11.7800665]	[87]	[]	[66622253]
489_10044	chr15	76311326	76311726	+	1000	69.0	[10.589524, 11.665144]	[56, 142]	[]	[]	[76311481, 76311567]	[]
489_10045	chr15	76905232	76905632	+	1000	69.0	[]	[]	[10.378438, 10.589524]	[170, 227]	[]	[76905425, 76905482]
489_10055	chr16	81077120	81077520	+	1000	69.0	[]	[]	[10.378438]	[210]	[]	[81077333]
489_10057	chr16	84617772	84618172	+	1000	69.0	[6.051324]	[73]	[]	[]	[84617930]	[]
489_10059	chr17	28527280	28527680	+	1000	69.0	[11.665144]	[159]	[]	[]	[28527516]	[]
489_1006	chr8	56074404	56074804	+	1000	165.0	[11.665144]	[133]	[]	[]	[56074635]	[]
489_10067	chr17	42824134	42824534	+	1000	69.0	[]	[]	[5.570742]	[56]	[]	[42824288]
489_10073	chr17	80689276	80689676	+	1000	69.0	[9.187896]	[135]	[]	[]	[80689499]	[]
489_10074	chr17	81119770	81120170	+	1000	69.0	[]	[]	[5.570742]	[88]	[]	[81119939]
489_10078	chr18	12883886	12884286	+	1000	69.0	[]	[]	[10.378438, 11.7800665]	[112, 181]	[]	[12884049, 12884118]
489_10080	chr18	36129685	36130085	+	1000	69.0	[5.570742]	[107]	[]	[]	[36129889]	[]
489_10081	chr19	680188	680588	+	1000	69.0	[]	[]	[5.570742]	[122]	[]	[680407]
489_10085	chr19	6863466	6863866	+	1000	69.0	[6.051324]	[75]	[5.552912, 5.570742]	[65, 102]	[6863632]	[6863622, 6863659]
489_10090	chr19	41353694	41354094	+	1000	69.0	[10.589524]	[196]	[]	[]	[41353903]	[]
489_10095	chr19	45792614	45793014	+	1000	69.0	[]	[]	[10.378438]	[96]	[]	[45792790]
489_10101	chr19	53869265	53869665	+	1000	69.0	[]	[]	[11.7800665, 10.378438]	[201, 210]	[]	[53869485, 53869494]
489_10105	chr19	58544282	58544682	+	1000	69.0	[]	[]	[6.051324]	[122]	[]	[58544434]
489_10107	chr2	9555679	9556079	+	1000	69.0	[]	[]	[10.378438]	[165]	[]	[9555862]
489_1011	chr15	75843000	75843400	+	1000	164.0	[9.302818]	[92]	[]	[]	[75843189]	[]
489_10116	chr2	73234095	73234495	+	1000	69.0	[10.704447]	[113]	[]	[]	[73234299]	[]
489_10119	chr2	74554337	74554737	+	1000	69.0	[9.187896]	[135]	[10.704447, 9.302818]	[132, 166]	[74554494]	[74554491, 74554525]
489_10120	chr2	128443638	128444038	+	1000	69.0	[5.667835]	[107]	[6.051324]	[114]	[128443842]	[128443849]
489_10124	chr2	158456696	158457096	+	1000	69.0	[11.7800665]	[151]	[]	[]	[158456906]	[]
489_10129	chr2	174248602	174249002	+	1000	69.0	[]	[]	[5.570742]	[116]	[]	[174248802]
489_10134	chr20	32584030	32584430	+	1000	69.0	[11.7800665, 10.704447]	[87, 93]	[]	[]	[32584189, 32584195]	[]
489_10138	chr20	63216140	63216540	+	1000	69.0	[11.665144]	[190]	[]	[]	[63216372]	[]
489_1014	chr19	51594295	51594695	+	1000	164.0	[]	[]	[10.378438]	[66]	[]	[51594459]
489_10146	chr22	20131029	20131429	+	1000	69.0	[11.7800665]	[126]	[]	[]	[20131199]	[]
489_10148	chr22	28772459	28772859	+	1000	69.0	[10.378438]	[117]	[]	[]	[28772652]	[]
489_1015	chr22	19941585	19941985	+	1000	164.0	[]	[]	[10.2635145]	[120]	[]	[19941794]
489_1016	chr22	41286128	41286528	+	1000	164.0	[]	[]	[10.704447]	[56]	[]	[41286281]
489_10161	chr3	31472910	31473310	+	1000	69.0	[]	[]	[5.570742]	[99]	[]	[31473073]
489_10166	chr3	128680715	128681115	+	1000	69.0	[]	[]	[10.378438]	[73]	[]	[128680866]
489_10174	chr3	196528764	196529164	+	1000	69.0	[5.667835]	[165]	[]	[]	[196528997]	[]
489_10177	chr4	1785097	1785497	+	1000	69.0	[5.570742]	[101]	[]	[]	[1785287]	[]
489_10178	chr4	25160201	25160601	+	1000	69.0	[11.7800665]	[126]	[5.667835]	[85]	[25160397]	[25160356]
489_10185	chr4	145098052	145098452	+	1000	69.0	[]	[]	[5.667835]	[156]	[]	[145098250]
489_10186	chr5	6713041	6713441	+	1000	69.0	[10.378438]	[210]	[]	[]	[6713285]	[]
489_10188	chr5	14664283	14664683	+	1000	69.0	[]	[]	[11.665144]	[88]	[]	[14664465]
489_10189	chr5	39149950	39150350	+	1000	69.0	[]	[]	[11.665144]	[61]	[]	[39150108]
489_10190	chr5	43313530	43313930	+	1000	69.0	[5.667835]	[146]	[]	[]	[43313730]	[]
489_10199	chr5	132410798	132411198	+	1000	69.0	[]	[]	[9.302818]	[60]	[]	[132410949]
489_102	chr9	120580048	120580448	+	1000	357.0	[9.302818]	[67]	[9.302818]	[64]	[120580211]	[120580208]
489_1020	chr8	123396438	123396838	+	1000	164.0	[5.570742]	[198]	[]	[]	[123396689]	[]
489_10206	chr5	171387300	171387700	+	1000	69.0	[11.7800665, 11.7800665]	[158, 179]	[]	[]	[171387524, 171387545]	[]
489_10215	chr6	25652181	25652581	+	1000	69.0	[]	[]	[5.570742]	[104]	[]	[25652368]
489_10226	chr6	53348831	53349231	+	1000	69.0	[6.051324]	[152]	[]	[]	[53349074]	[]
489_10227	chr6	99520827	99521227	+	1000	69.0	[9.302818]	[100]	[]	[]	[99521002]	[]
489_10229	chr6	136792421	136792821	+	1000	69.0	[]	[]	[9.302818]	[143]	[]	[136792634]
489_1023	chr9	134067922	134068322	+	1000	164.0	[11.7800665]	[59]	[]	[]	[134068075]	[]
489_10232	chr7	7182318	7182718	+	1000	69.0	[9.302818]	[214]	[11.7800665]	[167]	[7182539]	[7182492]
489_10239	chr7	107874563	107874963	+	1000	69.0	[]	[]	[10.2635145]	[156]	[]	[107874811]
489_1024	chrUn_GL000219v1	99660	100060	+	1000	164.0	[11.665144]	[153]	[11.7800665]	[113]	[99888]	[99848]
489_10255	chr8	144137684	144138084	+	1000	69.0	[]	[]	[9.302818, 9.302818, 9.302818]	[73, 79, 141]	[]	[144137852, 144137858, 144137920]
489_10259	chr9	97984152	97984552	+	1000	69.0	[]	[]	[11.665144, 5.667835]	[86, 131]	[]	[97984315, 97984360]
489_10261	chr9	129460397	129460797	+	1000	69.0	[10.704447, 5.667835]	[83, 133]	[]	[]	[129460555, 129460605]	[]
489_10266	chr9	137240273	137240673	+	1000	69.0	[]	[]	[5.667835]	[179]	[]	[137240513]
489_10271	chr1	959076	959476	+	1000	68.0	[]	[]	[5.570742]	[168]	[]	[959299]
489_10273	chr1	15833084	15833484	+	1000	68.0	[9.302818]	[169]	[]	[]	[15833304]	[]
489_10274	chr1	16173051	16173451	+	1000	68.0	[5.570742]	[135]	[]	[]	[16173279]	[]
489_1028	chr1	243255280	243255680	+	1000	163.0	[9.187896]	[148]	[]	[]	[243255508]	[]
489_10280	chr1	35718691	35719091	+	1000	68.0	[9.302818]	[239]	[]	[]	[35718942]	[]
489_10282	chr1	37410719	37411119	+	1000	68.0	[6.051324]	[82]	[]	[]	[37410886]	[]
489_10284	chr1	41361059	41361459	+	1000	68.0	[9.302818]	[79]	[]	[]	[41361229]	[]
489_10297	chr1	180117249	180117649	+	1000	68.0	[]	[]	[11.665144]	[66]	[]	[180117412]
489_103	chr17	67993530	67993930	+	1000	356.0	[9.302818]	[119]	[]	[]	[67993742]	[]
