#PeakID	chr	start	end	strand	idrScore	count
504_0	chr3	93470600	93470803	+	1000	1042.5
504_1	chrM	12468	12673	+	1000	979.5
504_2	chrM	11986	12219	+	1000	977.0
504_3	chr16	46390441	46390820	+	1000	959.5
504_4	chrM	16106	16252	+	1000	935.0
504_5	chr22	20867493	20867705	+	1000	863.5
504_6	chr9	130854138	130854419	+	1000	853.0
504_7	chr12	54294240	54294453	+	1000	844.0
504_8	chrM	14036	14358	+	1000	838.5
504_9	chrM	13411	13626	+	1000	838.0
504_10	chrM	3119	3444	+	1000	837.0
504_11	chrM	10505	10764	+	1000	837.0
504_12	chrM	2568	2802	+	1000	835.5
504_13	chrM	11033	11384	+	1000	834.5
504_14	chrM	1992	2228	+	1000	831.0
504_15	chr19	49210094	49210304	+	1000	830.5
504_16	chr22	23177244	23177445	+	1000	828.5
504_17	chr6	31959214	31959469	+	1000	827.5
504_18	chrM	8078	8280	+	1000	822.5
504_19	chr6	43836628	43836859	+	1000	820.5
504_20	chr10	70667274	70667485	+	1000	818.0
504_21	chrM	5251	5451	+	1000	816.0
504_22	chrM	8601	8818	+	1000	816.0
504_23	chrM	6589	6797	+	1000	809.5
504_24	chrM	7604	7804	+	1000	809.0
504_25	chrM	5760	5977	+	1000	805.5
504_26	chr22	37803262	37803525	+	1000	801.0
504_27	chrM	6286	6486	+	1000	798.0
504_28	chr7	139090963	139091166	+	1000	794.5
504_29	chr8	93502115	93502347	+	1000	784.5
504_30	chr19	40750212	40750433	+	1000	780.0
504_31	chr1	61091649	61091857	+	1000	765.0
504_32	chr1	228452542	228452798	+	1000	765.0
504_33	chr5	135134041	135134338	+	1000	762.0
504_34	chr6	30556627	30556988	+	1000	761.0
504_35	chr1	154354633	154354840	+	1000	746.5
504_36	chr5	151126209	151126454	+	1000	743.5
504_37	chr19	13051658	13051863	+	1000	742.0
504_38	chr6	149129525	149129730	+	1000	742.0
504_39	chr7	108246368	108246579	+	1000	739.0
