#PeakID	chr	start	end	strand	idrScore	count
789_0	chrM	16015	16216	+	1000	821.0
789_1	chrM	2932	3317	+	1000	819.0
789_2	chrM	13697	13952	+	1000	813.0
789_3	chrM	15003	15208	+	1000	812.0
789_4	chr9	131125477	131125680	+	1000	795.0
789_5	chr4	119454610	119454812	+	1000	790.0
789_6	chr12	123633657	123633872	+	1000	785.0
789_7	chr12	132144303	132144512	+	1000	775.0
789_8	chr6	17706854	17707059	+	1000	766.0
789_9	chr12	122896112	122896316	+	1000	763.0
789_10	chr12	132446033	132446303	+	1000	755.0
789_11	chr6	31972182	31972394	+	1000	755.0
789_12	chr6	149545997	149546201	+	1000	748.0
789_13	chrM	4820	5058	+	1000	745.0
789_14	chr7	66844886	66845093	+	1000	742.0
789_15	chrM	5268	5496	+	1000	741.0
789_16	chr1	1724317	1724528	+	1000	739.0
789_17	chr1	1574815	1575018	+	1000	736.0
789_18	chr7	76166490	76166699	+	1000	735.0
789_19	chr2	108719336	108719540	+	1000	734.0
789_20	chr7	158829506	158829711	+	1000	731.0
789_21	chrM	6199	6399	+	1000	730.0
789_22	chr1	223992543	223992754	+	1000	729.0
789_23	chr3	10026297	10026500	+	1000	728.0
789_24	chr18	2571380	2571592	+	1000	727.0
789_25	chr8	144456753	144456970	+	1000	724.0
789_26	chr9	137188503	137188706	+	1000	723.0
789_27	chr1	156728762	156728967	+	1000	722.0
789_28	chr1	2180417	2180622	+	1000	721.0
789_29	chr19	38899562	38899795	+	1000	721.0
789_30	chr7	124929852	124930059	+	1000	721.0
789_31	chr16	88706365	88706575	+	1000	715.0
789_32	chr1	1658914	1659159	+	1000	712.0
789_33	chr7	45768963	45769164	+	1000	712.0
789_34	chr19	10416658	10416860	+	1000	711.0
789_35	chr1	31644553	31644755	+	1000	708.0
789_36	chr17	38825262	38825466	+	1000	708.0
789_37	chr4	39458872	39459077	+	1000	707.0
789_38	chr22	20117158	20117361	+	1000	706.0
789_39	chr1	70205536	70205744	+	1000	703.0
789_40	chr1	778594	778797	+	1000	699.0
789_41	chr6	32195833	32196045	+	1000	699.0
789_42	chr3	16264900	16265102	+	1000	698.0
789_43	chr7	1160170	1160378	+	1000	695.0
789_44	chr12	109573145	109573351	+	1000	693.0
789_45	chr8	124474566	124474771	+	1000	692.0
789_46	chr1	1000799	1001008	+	1000	689.0
789_47	chr1	9428882	9429083	+	1000	687.0
789_48	chr1	11980136	11980523	+	1000	686.0
789_49	chr10	73167983	73168186	+	1000	686.0
789_50	chr6	139134898	139135101	+	1000	686.0
789_51	chr19	17351948	17352177	+	1000	684.0
789_52	chr20	33811036	33811263	+	1000	683.0
789_53	chr1	19210245	19210446	+	1000	681.0
789_54	chr1	228109210	228109416	+	1000	680.0
789_55	chr16	1971927	1972129	+	1000	680.0
789_56	chr7	66493497	66493704	+	1000	679.0
789_57	chr11	4094690	4094891	+	1000	678.0
789_58	chr18	79069118	79069351	+	1000	677.0
789_59	chr3	9986771	9986973	+	1000	676.0
789_60	chr1	26432202	26432404	+	1000	675.0
789_61	chr1	44775395	44775597	+	1000	674.0
789_62	chr3	196568486	196568691	+	1000	671.0
789_63	chr11	67428341	67428547	+	1000	670.0
789_64	chr1	40161204	40161405	+	1000	669.0
789_65	chr4	152536101	152536331	+	1000	667.0
789_66	chr16	1420736	1420971	+	1000	665.0
789_67	chr17	78840914	78841116	+	1000	664.0
789_68	chr5	62412658	62412860	+	1000	664.0
789_69	chr12	98593526	98593727	+	1000	663.0
789_70	chr6	125956594	125956796	+	1000	663.0
789_71	chr9	136866313	136866542	+	1000	663.0
789_72	chr3	150546536	150546737	+	1000	662.0
789_73	chr6	144095517	144095730	+	1000	662.0
789_74	chr11	60841944	60842149	+	1000	661.0
789_75	chr22	19144677	19144879	+	1000	661.0
789_76	chr1	47179130	47179337	+	1000	659.0
789_77	chr17	81119724	81119925	+	1000	659.0
789_78	chr1	186375679	186375882	+	1000	657.0
789_79	chr17	35587154	35587356	+	1000	656.0
789_80	chr19	50511440	50511650	+	1000	656.0
789_81	chr2	2574045	2574284	+	1000	656.0
789_82	chr2	88691456	88691665	+	1000	656.0
789_83	chr1	53238438	53238639	+	1000	654.0
789_84	chr19	50358893	50359094	+	1000	654.0
789_85	chr19	45584809	45585140	+	1000	651.0
789_86	chr5	95961960	95962165	+	1000	651.0
789_87	chr12	120446318	120446519	+	1000	647.0
789_88	chr4	118591609	118591819	+	1000	647.0
789_89	chr11	111879094	111879308	+	1000	646.0
789_90	chr21	42010252	42010464	+	1000	645.0
789_91	chr3	93470570	93470803	+	1000	643.0
