#PeakID(python identify_motif.py ./ENCODE_processed_files/JUND_idr.fa JUND --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
658_0	chrM	-85	315	+	1000	788.0	[7.2844954]	[136]	[]	[]	[141]	[]
658_10	chr8	630886	631286	+	1000	693.0	[13.223235, 10.535975]	[87, 126]	[10.826309, 9.107981, 7.2844954]	[87, 126, 155]	[631063, 631102]	[631063, 631102, 631131]
658_1000	chr4	87011628	87012028	+	1000	371.0	[10.535975, 12.340323]	[55, 102]	[9.107981, 13.200696]	[55, 102]	[87011783, 87011830]	[87011783, 87011830]
658_10004	chr5	109191268	109191668	+	1000	121.0	[11.393932]	[100]	[12.655612]	[100]	[109191464]	[109191464]
658_10005	chr5	146203025	146203425	+	1000	121.0	[11.393932]	[97]	[12.655612]	[97]	[146203206]	[146203206]
658_1001	chr5	34686764	34687164	+	1000	371.0	[11.482367]	[105]	[9.653064]	[105]	[34686967]	[34686967]
658_10015	chr6	37460195	37460595	+	1000	121.0	[]	[]	[7.2844954]	[148]	[]	[37460438]
658_10016	chr6	90502797	90503197	+	1000	121.0	[8.595078]	[127]	[7.0539017]	[127]	[90503005]	[90503005]
658_10021	chr7	116339588	116339988	+	1000	121.0	[12.340323]	[121]	[13.200696]	[121]	[116339795]	[116339795]
658_10025	chr8	60950868	60951268	+	1000	121.0	[15.887955, 7.2759295]	[86, 144]	[14.058652, 8.773093]	[86, 144]	[60951051, 60951109]	[60951051, 60951109]
658_10028	chr8	124287980	124288380	+	1000	121.0	[12.128834, 6.8162904]	[98, 120]	[12.132883, 6.7545238]	[98, 120]	[124288173, 124288195]	[124288173, 124288195]
658_10031	chr9	94945480	94945880	+	1000	121.0	[10.508272]	[101]	[11.437814]	[101]	[94945676]	[94945676]
658_10044	chr1	25477371	25477771	+	1000	120.0	[14.169626]	[176]	[11.371393]	[176]	[25477616]	[25477616]
658_1005	chr9	87516233	87516633	+	1000	371.0	[14.058652, 14.058652]	[89, 96]	[15.887955, 15.887955]	[89, 96]	[87516420, 87516427]	[87516420, 87516427]
658_10050	chr1	167548357	167548757	+	1000	120.0	[9.464114]	[97]	[8.90054]	[97]	[167548551]	[167548551]
658_10052	chr1	212242187	212242587	+	1000	120.0	[7.349969]	[91]	[6.2111917]	[91]	[212242377]	[212242377]
658_10068	chr11	74138566	74138966	+	1000	120.0	[11.371393, 8.364392]	[108, 118]	[14.169626]	[108]	[74138765, 74138775]	[74138765]
658_1007	chr1	44048239	44048639	+	1000	370.0	[10.826309]	[125]	[13.223235]	[125]	[44048462]	[44048462]
658_10082	chr13	113837668	113838068	+	1000	120.0	[12.340323]	[110]	[6.526481, 13.200696]	[85, 110]	[113837871]	[113837846, 113837871]
658_10087	chr15	34616589	34616989	+	1000	120.0	[10.826309]	[122]	[13.223235]	[122]	[34616810]	[34616810]
658_10095	chr17	7842910	7843310	+	1000	120.0	[8.16159]	[69]	[9.990892]	[69]	[7843078]	[7843078]
658_10109	chr19	48399597	48399997	+	1000	120.0	[8.110663, 9.107981]	[67, 154]	[10.082722, 10.535975]	[67, 154]	[48399759, 48399846]	[48399759, 48399846]
658_1011	chr12	124904754	124905154	+	1000	370.0	[8.706673]	[106]	[10.9372835]	[106]	[124904956]	[124904956]
658_10110	chr19	49038649	49039049	+	1000	120.0	[13.200696]	[97]	[12.340323]	[97]	[49038845]	[49038845]
658_10112	chr2	9142761	9143161	+	1000	120.0	[10.9372835]	[128]	[8.706673]	[128]	[9142983]	[9142983]
658_10113	chr2	12325862	12326262	+	1000	120.0	[9.653064]	[97]	[11.482367]	[97]	[12326057]	[12326057]
