#PeakID	chr	start	end	strand	idrScore	count
92_0	chrM	90	290	+	1000	792.0
92_1	chrM	11132	11377	+	1000	782.0
92_2	chrM	15021	15319	+	1000	782.0
92_3	chrM	3100	3362	+	1000	780.0
92_4	chrM	12663	12924	+	1000	773.0
92_5	chrM	9782	9986	+	1000	771.0
92_6	chrM	13695	13902	+	1000	757.0
92_7	chrM	11738	12063	+	1000	712.0
92_8	chr3	93470570	93470775	+	1000	618.0
92_9	chrM	6385	6589	+	1000	613.0
92_10	chrM	5295	5504	+	1000	609.0
92_11	chrM	4857	5063	+	1000	601.0
92_12	chr22	20777844	20778055	+	1000	561.0
92_13	chrM	8020	8228	+	1000	485.0
92_14	chr17	77233932	77234161	+	1000	471.0
92_15	chr22	21556098	21556298	+	1000	438.0
92_16	chr12	132446113	132446363	+	1000	431.0
92_17	chr16	46390443	46390817	+	1000	431.0
92_18	chr8	630981	631183	+	1000	405.0
92_19	chrM	9151	9353	+	1000	399.0
92_20	chr22	23251662	23251870	+	1000	394.0
92_21	chr13	110965358	110965603	+	1000	379.0
92_22	chr7	149719128	149719350	+	1000	376.0
92_23	chr4	1043694	1043898	+	1000	373.0
92_24	chr3	8629543	8629752	+	1000	361.0
92_25	chr13	110870359	110870574	+	1000	352.0
92_26	chr1	2180348	2180559	+	1000	339.0
92_27	chr1	36386531	36386740	+	1000	337.0
92_28	chr7	101138556	101138764	+	1000	336.0
92_29	chrM	7131	7333	+	1000	333.0
92_30	chr7	129958718	129958920	+	1000	328.0
92_31	chr11	36149771	36149983	+	1000	325.0
92_32	chr22	21102864	21103067	+	1000	323.0
92_33	chr22	19984384	19984597	+	1000	321.0
92_34	chr16	46394774	46394981	+	1000	319.0
92_35	chr5	133240577	133240791	+	1000	315.0
92_36	chr8	144456688	144456933	+	1000	314.0
92_37	chrUn_KI270467v1	2233	2544	+	1000	314.0
92_38	chr11	9566023	9566241	+	1000	311.0
92_39	chr1	151311652	151311869	+	1000	310.0
92_40	chr6	26204384	26204587	+	1000	309.0
92_41	chr22	21666230	21666452	+	1000	306.0
92_42	chr18	22668050	22668256	+	1000	303.0
92_43	chr2	88600194	88600424	+	1000	303.0
92_44	chr9	97922139	97922351	+	1000	300.0
92_45	chr7	20219822	20220033	+	1000	298.0
92_46	chr1	15952825	15953034	+	1000	293.0
92_47	chr7	155291134	155291337	+	1000	293.0
92_48	chr7	87110881	87111085	+	1000	288.0
92_49	chr19	47244171	47244375	+	1000	286.0
92_50	chr22	21791777	21791992	+	1000	285.0
92_51	chr6	20811274	20811477	+	1000	285.0
92_52	chr15	58332234	58332448	+	1000	284.0
92_53	chr5	34924024	34924227	+	1000	284.0
92_54	chr6	43627325	43627528	+	1000	283.0
92_55	chr16	15590933	15591208	+	1000	282.0
92_56	chr18	3652930	3653140	+	1000	280.0
92_57	chr10	72320765	72320983	+	1000	279.0
92_58	chr18	9005545	9005757	+	1000	279.0
92_59	chr16	89995936	89996160	+	1000	278.0
92_60	chr7	99562959	99563160	+	1000	277.0
92_61	chr12	51884702	51884907	+	1000	276.0
92_62	chr6	43798928	43799130	+	1000	274.0
92_63	chr6	32971896	32972106	+	1000	273.0
92_64	chr5	175517957	175518158	+	1000	272.0
92_65	chr1	1000804	1001017	+	1000	270.0
92_66	chr3	5023417	5023621	+	1000	270.0
92_67	chr3	45133866	45134087	+	1000	266.0
92_68	chr12	113582702	113582917	+	1000	265.0
92_69	chr7	100867213	100867414	+	1000	264.0
92_70	chr9	131125482	131125682	+	1000	264.0
92_71	chr20	62088561	62088764	+	1000	262.0
92_72	chr3	43770741	43770942	+	1000	262.0
92_73	chr6	31734736	31734941	+	1000	262.0
92_74	chr6	42028608	42028816	+	1000	261.0
92_75	chr9	122402479	122402680	+	1000	261.0
92_76	chr10	63707429	63707637	+	1000	260.0
92_77	chr19	8389869	8390081	+	1000	259.0
92_78	chr4	72112610	72112824	+	1000	258.0
92_79	chr16	69530743	69530946	+	1000	257.0
92_80	chr6	158040389	158040681	+	1000	257.0
92_81	chr10	71860501	71860731	+	1000	256.0
92_82	chr12	56158202	56158409	+	1000	255.0
92_83	chr19	2962108	2962321	+	1000	255.0
92_84	chr7	151039389	151039607	+	1000	255.0
92_85	chr1	212558940	212559158	+	1000	252.0
92_86	chrUn_KI270467v1	3294	3516	+	1000	252.0
92_87	chr19	48326022	48326243	+	1000	251.0
92_88	chr8	61760203	61760412	+	1000	249.0
92_89	chr12	6167863	6168112	+	1000	248.0
92_90	chr1	201895994	201896203	+	1000	247.0
92_91	chr9	121287109	121287316	+	1000	247.0
92_92	chr6	90369068	90369299	+	1000	245.0
92_93	chr13	100392804	100393017	+	1000	244.0
92_94	chr19	55158961	55159169	+	1000	244.0
92_95	chr21	36430097	36430308	+	1000	244.0
92_96	chr22	20916856	20917060	+	1000	243.0
92_97	chr22	21629299	21629511	+	1000	241.0
92_98	chr6	157515092	157515300	+	1000	241.0
92_99	chr6	14744059	14744269	+	1000	240.0
92_100	chr16	34586719	34586963	+	1000	239.0
92_101	chr6	35694535	35694746	+	1000	239.0
92_102	chr2	157261354	157261590	+	1000	238.0
92_103	chr3	5428996	5429221	+	1000	238.0
92_104	chr1	168178629	168178837	+	1000	237.0
92_105	chr10	17228436	17228653	+	1000	237.0
92_106	chr16	46388656	46388861	+	1000	237.0
92_107	chr2	27321165	27321374	+	1000	237.0
92_108	chr6	11143806	11144009	+	1000	237.0
92_109	chr6	44966838	44967045	+	1000	237.0
