#PeakID	chr	start	end	strand	idrScore	count
640_0	chr22	21629281	21629498	+	1000	795.0
640_1	chr13	91349008	91349214	+	1000	785.0
640_2	chrM	5	290	+	1000	779.0
640_3	chrM	15009	15220	+	1000	772.0
640_4	chrM	11115	11334	+	1000	768.0
640_5	chrM	12671	12928	+	1000	766.0
640_6	chrM	3209	3413	+	1000	765.0
640_7	chr7	4642016	4642236	+	1000	764.0
640_8	chrM	13700	13908	+	1000	744.0
640_9	chrM	9724	10040	+	1000	743.0
640_10	chrM	10556	10766	+	1000	742.0
640_11	chr1	32817249	32817451	+	1000	719.0
640_12	chrM	11738	12013	+	1000	705.0
640_13	chr22	20117328	20117561	+	1000	686.0
640_14	chr17	44070596	44070797	+	1000	679.0
640_15	chr3	39406797	39406999	+	1000	674.0
640_16	chr17	63773744	63773946	+	1000	666.0
640_17	chr3	93470496	93470777	+	1000	645.0
640_18	chr22	20085018	20085219	+	1000	641.0
640_19	chrX	9463115	9463317	+	1000	636.0
640_20	chr12	56468426	56468627	+	1000	633.0
640_21	chr22	19171571	19171771	+	1000	630.0
640_22	chr5	154754889	154755103	+	1000	618.0
640_23	chrM	5308	5517	+	1000	614.0
640_24	chr9	92293596	92293798	+	1000	612.0
640_25	chr12	57772008	57772222	+	1000	608.0
640_26	chr1	39899125	39899333	+	1000	601.0
640_27	chr9	131125480	131125690	+	1000	599.0
640_28	chr6	35468342	35468580	+	1000	597.0
640_29	chrM	6178	6556	+	1000	594.0
640_30	chr22	20981862	20982088	+	1000	588.0
640_31	chr7	2104349	2104550	+	1000	588.0
640_32	chr22	37561824	37562037	+	1000	584.0
640_33	chr9	128322417	128322622	+	1000	584.0
640_34	chrM	4861	5071	+	1000	582.0
640_35	chr17	51153453	51153653	+	1000	576.0
640_36	chr22	19432266	19432537	+	1000	575.0
640_37	chr20	38435164	38435430	+	1000	572.0
640_38	chr12	64404950	64405163	+	1000	571.0
640_39	chr19	10106272	10106475	+	1000	569.0
640_40	chr1	114716726	114716927	+	1000	565.0
640_41	chr15	92809251	92809452	+	1000	563.0
640_42	chr2	171999885	172000088	+	1000	563.0
