#PeakID(python identify_motif.py ./ENCODE_processed_files/ATF3_idr.fa ATF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
886_10005	chr9	96778049	96778449	+	1000	198.5	[6.8989677]	[154]	[6.779144]	[154]	[96778233]	[96778233]
886_1001	chr5	68456643	68457043	+	1000	749.0	[12.965319]	[111]	[12.536653]	[111]	[68456851]	[68456851]
886_10012	chr1	113140494	113140894	+	1000	198.0	[6.8296685]	[150]	[6.6060014]	[150]	[113140723]	[113140723]
886_10026	chr16	66619499	66619899	+	1000	198.0	[5.902131]	[92]	[6.3307967]	[92]	[66619680]	[66619680]
886_10029	chr17	45132794	45133194	+	1000	198.0	[17.30608]	[108]	[17.29618]	[108]	[45132999]	[45132999]
886_10035	chr2	132337107	132337507	+	1000	198.0	[10.671558]	[139]	[10.661659]	[139]	[132337336]	[132337336]
886_1004	chr19	10251985	10252385	+	1000	748.0	[17.30608]	[99]	[17.29618]	[99]	[10252181]	[10252181]
886_10048	chr7	103594169	103594569	+	1000	198.0	[12.536653]	[112]	[12.965319]	[112]	[103594379]	[103594379]
886_10079	chr5	132020865	132021265	+	1000	197.5	[]	[]	[4.037037]	[130]	[]	[132021084]
886_10098	chr1	70041730	70042130	+	1000	197.0	[5.259015]	[276]	[5.697581]	[276]	[70041962]	[70041962]
886_10100	chr1	225689879	225690279	+	1000	197.0	[5.902131]	[91]	[6.3307967]	[91]	[225690069]	[225690069]
886_10101	chr1	234639947	234640347	+	1000	197.0	[12.536653]	[95]	[12.965319]	[95]	[234640137]	[234640137]
886_10124	chr6	75334639	75335039	+	1000	197.0	[12.536653]	[100]	[12.965319]	[100]	[75334833]	[75334833]
886_1013	chr1	167223691	167224091	+	1000	745.5	[12.536653]	[99]	[12.965319]	[99]	[167223886]	[167223886]
886_10131	chr9	36400100	36400500	+	1000	197.0	[12.332103]	[125]	[11.8935375]	[125]	[36400311]	[36400311]
886_10137	chr1	109796504	109796904	+	1000	196.5	[12.965319]	[95]	[12.536653]	[95]	[109796682]	[109796682]
886_1014	chr1	161083245	161083645	+	1000	745.0	[12.536653, 10.028443]	[89, 128]	[12.965319, 10.028443]	[89, 128]	[161083431, 161083470]	[161083431, 161083470]
886_10147	chr14	21893938	21894338	+	1000	196.5	[17.30608]	[96]	[17.29618]	[96]	[21894133]	[21894133]
886_10165	chr22	39319540	39319940	+	1000	196.5	[7.9426265]	[176]	[8.172357]	[176]	[39319777]	[39319777]
886_10175	chr7	133829314	133829714	+	1000	196.5	[5.268915, 12.965319]	[98, 101]	[5.687681, 12.536653]	[98, 101]	[133829493, 133829496]	[133829493, 133829496]
886_10177	chr9	34457208	34457608	+	1000	196.5	[12.965319]	[97]	[12.536653]	[97]	[34457391]	[34457391]
886_1020	chr3	119638821	119639221	+	1000	744.0	[6.919559]	[151]	[6.929459]	[151]	[119639068]	[119639068]
886_10211	chr8	99404215	99404615	+	1000	196.0	[5.268915]	[113]	[5.687681]	[113]	[99404392]	[99404392]
886_10212	chr8	105731617	105732017	+	1000	196.0	[12.536653]	[136]	[12.965319]	[136]	[105731826]	[105731826]
886_10218	chr1	207034168	207034568	+	1000	195.5	[4.670253, 12.536653]	[66, 101]	[4.670253, 12.965319]	[66, 101]	[207034329, 207034364]	[207034329, 207034364]
886_10223	chr15	51843022	51843422	+	1000	195.5	[12.332103]	[165]	[11.8935375]	[165]	[51843262]	[51843262]
