#PeakID(python identify_motif.py ./ENCODE_processed_files/IRF2_idr.fa IRF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_10	chr1	110034245	110034645	+	1000	731.0	[6.1232615, 12.521293, 4.3336134]	[79, 85, 103]	[]	[]	[110034424, 110034430, 110034448]	[]
642_10010	chr22	41446657	41447057	+	1000	40.0	[]	[]	[3.4720602]	[79]	[]	[41446816]
642_10024	chr3	45631439	45631839	+	1000	40.0	[5.6029005]	[68]	[]	[]	[45631606]	[]
642_1003	chr15	34101868	34102268	+	1000	122.0	[5.863081]	[182]	[]	[]	[34102104]	[]
642_10034	chr3	153160987	153161387	+	1000	40.0	[]	[]	[10.991825]	[88]	[]	[153161140]
642_1004	chr22	19217911	19218311	+	1000	122.0	[13.352664]	[129]	[]	[]	[19218136]	[]
642_10047	chr4	78644643	78645043	+	1000	40.0	[4.593794]	[101]	[12.261112]	[121]	[78644817]	[78644837]
642_10049	chr4	78732532	78732932	+	1000	40.0	[]	[]	[7.6802387]	[126]	[]	[78732690]
642_10056	chr5	36870423	36870823	+	1000	40.0	[]	[]	[4.4393797]	[93]	[]	[36870615]
642_10058	chr5	54744326	54744726	+	1000	40.0	[]	[]	[4.3336134]	[155]	[]	[54744558]
642_10061	chr5	79235359	79235759	+	1000	40.0	[]	[]	[8.736752, 4.593794]	[148, 155]	[]	[79235528, 79235535]
642_10064	chr5	94618437	94618837	+	1000	40.0	[]	[]	[5.6029005]	[105]	[]	[94618626]
642_10066	chr5	108681298	108681698	+	952	40.0	[12.261112]	[141]	[]	[]	[108681521]	[]
642_10067	chr5	110817460	110817860	+	1000	40.0	[]	[]	[18.919323]	[148]	[]	[110817708]
642_10068	chr5	115625816	115626216	+	1000	40.0	[4.3336134]	[77]	[]	[]	[115625993]	[]
642_1007	chr4	77862555	77862955	+	1000	122.0	[]	[]	[6.5886865, 10.991825]	[89, 95]	[]	[77862730, 77862736]
642_10072	chr5	139646976	139647376	+	1000	40.0	[]	[]	[10.006039]	[66]	[]	[139647134]
642_10075	chr5	170248635	170249035	+	777	40.0	[]	[]	[6.5886865, 10.266219]	[155, 161]	[]	[170248871, 170248877]
