#PeakID	chr	start	end	strand	idrScore	count
303_0	chr3	93470503	93470709	+	1000	844.0
303_1	chrM	168	478	+	1000	833.0
303_2	chrM	3013	3223	+	1000	825.0
303_3	chrM	10658	10885	+	1000	823.0
303_4	chrM	9895	10152	+	1000	822.0
303_5	chrM	13756	14119	+	1000	818.0
303_6	chrM	11134	11347	+	1000	812.0
303_7	chrM	6265	6468	+	1000	730.0
303_8	chrM	5341	5549	+	1000	710.0
303_9	chrM	4856	5056	+	1000	688.0
303_10	chrM	8488	8748	+	1000	635.0
303_11	chrM	7964	8236	+	1000	634.0
303_12	chr19	18281688	18281888	+	1000	632.0
303_13	chr12	7995356	7995558	+	1000	601.0
303_14	chr10	3873803	3874013	+	1000	600.0
303_15	chr16	46390558	46390764	+	1000	579.0
303_16	chrUn_KI270467v1	2222	2443	+	1000	553.0
303_17	chr19	14006152	14006373	+	1000	544.0
303_18	chr2	177753975	177754177	+	1000	543.0
303_19	chr7	158818355	158818580	+	1000	533.0
303_20	chr5	149485787	149485998	+	1000	522.0
303_21	chr19	53867524	53867733	+	1000	519.0
303_22	chrM	9089	9421	+	1000	517.0
303_23	chr11	95416052	95416269	+	1000	516.0
303_24	chr1	20008522	20008732	+	1000	510.0
303_25	chr1	227848519	227848723	+	1000	503.0
303_26	chr3	172750372	172750585	+	1000	499.0
303_27	chr3	14144594	14144809	+	1000	488.0
303_28	chr5	672824	673030	+	1000	487.0
303_29	chr6	37102547	37102748	+	1000	487.0
303_30	chr14	75259114	75259331	+	1000	485.0
303_31	chrM	7134	7337	+	1000	484.0
303_32	chr12	8026381	8026591	+	1000	481.0
303_33	chr16	46394686	46394891	+	1000	476.0
303_34	chr6	126054514	126054715	+	1000	473.0
303_35	chr13	80592411	80592615	+	1000	469.0
303_36	chr6	162727861	162728063	+	1000	467.0
303_37	chr1	234724437	234724641	+	1000	466.0
303_38	chr11	63567095	63567299	+	1000	462.0
303_39	chr12	7864693	7864908	+	1000	452.0
303_40	chr14	75277123	75277326	+	1000	448.0
303_41	chr9	3525779	3526018	+	1000	446.0
303_42	chr22	21556121	21556322	+	1000	444.0
303_43	chr16	67857927	67858162	+	1000	440.0
303_44	chr12	7986849	7987054	+	1000	439.0
303_45	chr1	159923719	159923931	+	1000	434.0
303_46	chrX	120245146	120245346	+	1000	434.0
303_47	chrUn_KI270467v1	3002	3207	+	1000	433.0
303_48	chr5	172765286	172765536	+	1000	429.0
