#PeakID(python identify_motif.py ./ENCODE_processed_files/ELF4_idr.fa ELF4 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
765_10002	chr5	68460172	68460572	+	1000	35.5	[5.980667]	[142]	[5.484291]	[121]	[68460379]	[68460358]
765_10010	chr6	13702787	13703187	+	1000	35.5	[]	[]	[8.093627]	[124]	[]	[13702995]
765_10012	chr6	28079778	28080178	+	998	35.5	[]	[]	[8.093627]	[98]	[]	[28079942]
765_10025	chr7	75073615	75074015	+	811	35.5	[5.5534124]	[104]	[]	[]	[75073803]	[]
765_10029	chr7	138400443	138400843	+	1000	35.5	[5.2921834]	[142]	[]	[]	[138400658]	[]
765_10030	chr7	150433491	150433891	+	1000	35.5	[]	[]	[5.133758]	[160]	[]	[150433681]
765_10037	chr8	107336368	107336768	+	1000	35.5	[7.619102]	[125]	[]	[]	[107336586]	[]
765_10039	chr9	4988538	4988938	+	785	35.5	[]	[]	[14.216931]	[207]	[]	[4988724]
765_10047	chrX	47662189	47662589	+	1000	35.5	[]	[]	[5.9616046]	[107]	[]	[47662351]
765_10053	chr1	11707059	11707459	+	600	35.0	[11.206088]	[201]	[]	[]	[11707248]	[]
765_10054	chr1	11785598	11785998	+	1000	35.0	[]	[]	[7.619102]	[207]	[]	[11785820]
765_10056	chr1	23914185	23914585	+	890	35.0	[]	[]	[12.04467]	[110]	[]	[23914395]
765_10057	chr1	25978324	25978724	+	843	35.0	[]	[]	[8.144602]	[119]	[]	[25978521]
765_1006	chr14	21383846	21384246	+	1000	152.5	[18.177921]	[88]	[14.28685]	[122]	[21384024]	[21384058]
765_10063	chr1	51296863	51297263	+	959	35.0	[9.284557]	[128]	[10.346185]	[126]	[51297058]	[51297056]
765_10065	chr1	52841792	52842192	+	815	35.0	[8.093627]	[119]	[]	[]	[52841947]	[]
765_10071	chr1	173603312	173603712	+	1000	35.0	[]	[]	[6.6380987]	[183]	[]	[173603475]
765_10073	chr1	228085376	228085776	+	1000	35.0	[]	[]	[5.822973]	[134]	[]	[228085549]
765_10079	chr10	17472852	17473252	+	1000	35.0	[6.61811, 11.621676]	[77, 110]	[]	[]	[17473024, 17473057]	[]
765_10090	chr10	117187310	117187710	+	678	35.0	[10.760686]	[134]	[]	[]	[117187516]	[]
