#PeakID(python identify_motif.py ./ENCODE_processed_files/BACH1_idr.fa BACH1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
593_10	chr22	35376920	35377320	+	1000	692.0	[9.818272]	[139]	[11.300851, 16.412586]	[73, 137]	[35377158]	[35377092, 35377156]
593_1003	chr21	33761679	33762079	+	1000	83.0	[13.45553]	[119]	[13.902448]	[117]	[33761885]	[33761883]
593_1005	chr3	130390056	130390456	+	1000	83.0	[9.716079]	[107]	[13.902448]	[105]	[130390251]	[130390249]
593_1008	chr4	6052675	6053075	+	1000	83.0	[]	[]	[10.854122, 16.412586]	[103, 115]	[]	[6052874, 6052886]
593_1010	chr5	7857893	7858293	+	1000	83.0	[7.0733485]	[128]	[16.412586]	[126]	[7858108]	[7858106]
593_1011	chr6	90596946	90597346	+	1000	83.0	[13.902448]	[100]	[9.716079]	[98]	[90597146]	[90597144]
593_1012	chr7	102122012	102122412	+	1000	83.0	[10.945392]	[104]	[13.45553]	[102]	[102122213]	[102122211]
593_1013	chr7	129401443	129401843	+	1000	83.0	[13.902448]	[111]	[13.45553]	[109]	[129401646]	[129401644]
593_1019	chr14	60981945	60982345	+	1000	82.0	[16.412586]	[102]	[9.163619]	[100]	[60982144]	[60982142]
593_102	chr16	89326009	89326409	+	1000	311.0	[16.412586]	[105]	[9.818272]	[103]	[89326211]	[89326209]
593_1020	chr16	1941870	1942270	+	1000	82.0	[9.818272]	[131]	[16.412586]	[129]	[1942086]	[1942084]
593_1023	chr2	156431023	156431423	+	1000	82.0	[6.6792603]	[100]	[16.412586]	[98]	[156431220]	[156431218]
593_1028	chr5	179819373	179819773	+	1000	82.0	[]	[]	[16.412586]	[121]	[]	[179819585]
593_1031	chr6	137680953	137681353	+	1000	82.0	[16.412586]	[121]	[10.945392]	[119]	[137681166]	[137681164]
593_1032	chr7	12715687	12716087	+	1000	82.0	[9.636316]	[92]	[]	[]	[12715838]	[]
593_1033	chr7	79281400	79281800	+	1000	82.0	[10.945392]	[110]	[16.412586]	[108]	[79281600]	[79281598]
593_1036	chr13	29922880	29923280	+	1000	81.0	[9.636316, 7.407627]	[97, 116]	[16.412586, 13.902448]	[95, 114]	[29923070, 29923089]	[29923068, 29923087]
593_1037	chr13	41588925	41589325	+	1000	81.0	[7.2122426, 11.244649]	[64, 112]	[]	[]	[41589080, 41589128]	[]
593_1040	chr19	10502611	10503011	+	1000	81.0	[12.082088]	[108]	[7.2316713]	[131]	[10502794]	[10502817]
593_1045	chr6	43972425	43972825	+	1000	81.0	[]	[]	[11.999462]	[118]	[]	[43972640]
593_1049	chr1	28736568	28736968	+	1000	80.0	[]	[]	[6.7076573]	[146]	[]	[28736809]
