#PeakID	chr	start	end	strand	idrScore	count
103_0	chrM	12319	12533	+	1000	1241.0
103_1	chrM	16079	16282	+	1000	1164.5
103_2	chr3	93470447	93470712	+	1000	1056.5
103_3	chrM	15452	15703	+	1000	930.0
103_4	chrM	13988	14322	+	1000	929.0
103_5	chrM	3456	3664	+	1000	914.5
103_6	chrM	2198	2463	+	1000	910.0
103_7	chrM	10761	11076	+	1000	894.0
103_8	chrM	9670	9892	+	1000	890.0
103_9	chrM	5283	5493	+	1000	862.0
103_10	chrM	8555	8772	+	1000	859.0
103_11	chrM	1633	1851	+	1000	858.5
103_12	chrM	6353	6589	+	1000	852.0
103_13	chr1	145996562	145996793	+	1000	841.5
103_14	chr16	46390594	46390800	+	1000	813.5
103_15	chrM	7131	7337	+	1000	810.0
103_16	chr1	125180079	125180299	+	1000	795.5
103_17	chr15	97960378	97960579	+	1000	786.5
103_18	chr2	135876404	135876607	+	1000	768.0
103_19	chr2	173354604	173354821	+	1000	748.0
103_20	chrUn_KI270438v1	103946	104191	+	1000	704.0
103_21	chr6	52284747	52284953	+	1000	701.0
103_22	chr6	20401738	20401941	+	1000	685.5
103_23	chr10	102152024	102152227	+	1000	663.5
103_24	chr16	34588120	34588356	+	1000	609.0
103_25	chr22	19479792	19479995	+	1000	606.5
103_26	chr20	37095966	37096227	+	1000	581.5
103_27	chr8	47960655	47960896	+	1000	576.0
103_28	chr4	1712564	1712813	+	1000	570.0
103_29	chr1	155244753	155244965	+	1000	564.0
103_30	chr22	20117325	20117539	+	1000	560.0
103_31	chrUn_KI270438v1	109331	109534	+	1000	559.0
103_32	chr1	23531164	23531366	+	1000	534.5
103_33	chr22	35399884	35400156	+	1000	532.0
103_34	chrUn_KI270438v1	104789	104990	+	1000	529.0
103_35	chr20	5119309	5119525	+	1000	525.0
103_36	chr11	125625897	125626100	+	1000	518.0
103_37	chr1	212035648	212035864	+	1000	513.5
103_38	chr7	100101323	100101528	+	1000	470.5
103_39	chr17	78187028	78187243	+	1000	463.5
103_40	chrUn_KI270467v1	2227	2448	+	1000	455.0
103_41	chr21	28992944	28993160	+	1000	452.5
103_42	chr6	37169687	37169891	+	1000	449.5
103_43	chr3	9986785	9987006	+	1000	438.0
103_44	chr16	46394710	46394924	+	1000	437.5
103_45	chr1	145979562	145979787	+	1000	426.5
103_46	chrUn_KI270467v1	3331	3591	+	1000	424.0
103_47	chr8	123396580	123396799	+	1000	422.0
103_48	chr17	26603788	26604022	+	1000	412.0
103_49	chr1	32651025	32651252	+	1000	401.0
103_50	chr17	58007545	58007746	+	1000	394.5
103_51	chr8	127736069	127736275	+	1000	391.0
103_52	chr15	48332083	48332287	+	1000	384.0
103_53	chr16	31105839	31106064	+	1000	384.0
103_54	chr1	143214638	143214841	+	1000	381.5
103_55	chr17	21099190	21099407	+	1000	381.5
103_56	chr9	96418297	96418505	+	1000	381.0
103_57	chr7	148884557	148884758	+	1000	377.0
103_58	chr16	46386330	46386533	+	1000	369.0
103_59	chr12	56127939	56128142	+	1000	366.5
103_60	chr6	89829654	89829869	+	1000	362.0
103_61	chr16	85688870	85689074	+	1000	361.0
103_62	chr12	109097956	109098156	+	1000	357.0
