#PeakID	chr	start	end	strand	idrScore	count
892_0	chr1	21905106	21905309	+	1000	3303.0
892_1	chrM	12120	12337	+	1000	2805.0
892_2	chr3	93470445	93470645	+	1000	2680.5
892_3	chrM	16016	16250	+	1000	2605.0
892_4	chr1	30768971	30769182	+	1000	2508.5
892_5	chr1	125180109	125180309	+	1000	2477.5
892_6	chrM	13719	14078	+	1000	2451.0
892_7	chrM	10931	11246	+	1000	2445.5
892_8	chrM	3202	3449	+	1000	2443.5
892_9	chrM	14486	14839	+	1000	2435.0
892_10	chrM	1978	2221	+	1000	2427.0
892_11	chrM	8095	8422	+	1000	2426.0
892_12	chrM	8581	8781	+	1000	2424.0
892_13	chr7	138257616	138257849	+	1000	2419.0
892_14	chrM	5227	5450	+	1000	2419.0
892_15	chrM	6310	6567	+	1000	2375.5
892_16	chr5	126884416	126884688	+	1000	2373.5
892_17	chr1	28884996	28885200	+	1000	2322.5
892_18	chr3	37986987	37987189	+	1000	2300.5
892_19	chr6	44966855	44967058	+	1000	2292.5
892_20	chr9	112422819	112423030	+	1000	2261.5
892_21	chr7	121038732	121039003	+	1000	2234.5
892_22	chr3	46509292	46509494	+	1000	2225.5
892_23	chr1	26070468	26070691	+	1000	2205.5
892_24	chr11	33944798	33945025	+	1000	2192.5
892_25	chr2	157324429	157324633	+	1000	2181.0
892_26	chr6	37302152	37302369	+	1000	2179.0
892_27	chr12	32005556	32005773	+	1000	2119.5
892_28	chr7	107007441	107007664	+	1000	2115.5
892_29	chrX	49244263	49244482	+	1000	2113.0
892_30	chrUn_KI270467v1	2603	2823	+	1000	2107.0
892_31	chr4	99842433	99842641	+	1000	2082.5
892_32	chr1	225999437	225999645	+	1000	2079.0
892_33	chr2	6893952	6894213	+	1000	2077.0
892_34	chr6	32131603	32131850	+	1000	2053.5
892_35	chr1	65293073	65293302	+	1000	2053.0
892_36	chr20	53175502	53175717	+	1000	2031.0
892_37	chr8	10777342	10777573	+	1000	2013.0
892_38	chr17	42320050	42320267	+	1000	2011.5
892_39	chr1	241696112	241696336	+	1000	2007.5
892_40	chr1	236913790	236913996	+	1000	1997.0
892_41	chr16	85535471	85535688	+	1000	1997.0
892_42	chr6	27773958	27774184	+	1000	1963.0
892_43	chr17	11908809	11909044	+	1000	1962.0
892_44	chr2	170013957	170014182	+	1000	1960.0
892_45	chr3	20022967	20023169	+	1000	1943.0
892_46	chr9	130845953	130846160	+	1000	1912.0
892_47	chr8	85959203	85959429	+	1000	1898.0
892_48	chr2	168774170	168774392	+	1000	1895.5
892_49	chr1	47232255	47232457	+	1000	1893.5
892_50	chr3	65039828	65040051	+	1000	1893.5
892_51	chr7	143504689	143504934	+	1000	1891.5
892_52	chr2	85934213	85934421	+	1000	1861.0
892_53	chr3	45137736	45137951	+	1000	1859.0
892_54	chr2	102069388	102069590	+	1000	1847.5
892_55	chr1	14437060	14437280	+	1000	1846.0
892_56	chr7	116950143	116950365	+	1000	1838.5
892_57	chr4	159151190	159151405	+	1000	1831.5
892_58	chr19	14007030	14007278	+	1000	1812.0
892_59	chr2	68135533	68135774	+	1000	1811.0
892_60	chr2	30290784	30290994	+	1000	1808.0
892_61	chr3	43678391	43678601	+	1000	1779.5
892_62	chr2	54589650	54589863	+	1000	1778.0
892_63	chr1	47181309	47181515	+	1000	1774.5
892_64	chr16	46390224	46390490	+	1000	1768.0
892_65	chr8	18122787	18122995	+	1000	1759.0
892_66	chr7	116876940	116877145	+	1000	1756.0
892_67	chr7	129879948	129880198	+	1000	1744.5
892_68	chr2	237965090	237965306	+	1000	1743.5
892_69	chr6	42197698	42197919	+	1000	1739.0
892_70	chr12	117042371	117042595	+	1000	1724.5
892_71	chr18	9009107	9009369	+	1000	1723.5
892_72	chr15	50260978	50261272	+	1000	1721.5
892_73	chr1	179047040	179047263	+	1000	1711.0
892_74	chrX	130179661	130179877	+	1000	1709.0
892_75	chr7	20219845	20220048	+	1000	1702.5
892_76	chr10	29009544	29009749	+	1000	1700.5
892_77	chr3	178170741	178170958	+	1000	1695.5
892_78	chr9	97960904	97961111	+	1000	1688.0
892_79	chr22	23223915	23224118	+	1000	1684.0
892_80	chr11	64335103	64335327	+	1000	1679.5
892_81	chr17	28865274	28865490	+	1000	1676.5
892_82	chr10	61765664	61765924	+	1000	1674.5
892_83	chr6	135323229	135323448	+	1000	1672.5
892_84	chr9	40939455	40939666	+	1000	1670.0
892_85	chr1	43522838	43523044	+	1000	1669.0
892_86	chr1	207024433	207024635	+	1000	1669.0
892_87	chr1	160540215	160540419	+	1000	1661.0
892_88	chr4	78691994	78692195	+	1000	1661.0
892_89	chr2	170263754	170263960	+	1000	1659.5
892_90	chr6	11931285	11931510	+	1000	1655.5
892_91	chr1	61013308	61013531	+	1000	1654.5
892_92	chr17	49739892	49740123	+	1000	1651.0
892_93	chr9	134338565	134338789	+	1000	1648.5
892_94	chr5	154653975	154654184	+	1000	1645.5
892_95	chr7	73886118	73886319	+	1000	1638.5
892_96	chr9	129863120	129863333	+	1000	1632.5
892_97	chr1	166705499	166705702	+	1000	1631.5
892_98	chr13	107942163	107942386	+	1000	1631.0
892_99	chr7	139090972	139091187	+	1000	1629.5
892_100	chr7	56107269	56107489	+	1000	1626.5
892_101	chr22	20777798	20778033	+	1000	1625.0
