#PeakID(python identify_motif.py ./ENCODE_processed_files/RREB1_idr.fa RREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
874_1	chrM	12207	12607	+	1000	1013.0	[3.344858]	[193]	[]	[]	[12409]	[]
874_10003	chr5	134874302	134874702	+	1000	38.0	[]	[]	[1.9763261, 6.6043897]	[96, 131]	[]	[134874492, 134874527]
874_1001	chr7	73587772	73588172	+	1000	70.0	[]	[]	[8.274291]	[143]	[]	[73588006]
874_10012	chr6	20409706	20410106	+	970	38.0	[4.7813997]	[87]	[]	[]	[20409860]	[]
874_10021	chr6	32048197	32048597	+	1000	38.0	[1.8128216]	[99]	[]	[]	[32048348]	[]
874_10043	chr7	96709407	96709807	+	1000	38.0	[3.2430575]	[198]	[]	[]	[96709617]	[]
874_10047	chr7	100612483	100612883	+	983	38.0	[1.7125633, 2.2514043]	[204, 205]	[]	[]	[100612712, 100612713]	[]
874_1008	chr1	207321068	207321468	+	1000	69.5	[7.91669, 3.2811625]	[84, 86]	[]	[]	[207321237, 207321239]	[]
874_10086	chr9	131221639	131222039	+	1000	38.0	[1.7644244, 6.3308992, 6.8196006, 3.4814107, 7.1059365, 6.5462646, 6.2282557, 4.654734, 2.0271504, 4.115423, 9.9829235, 4.7074995]	[180, 186, 187, 188, 190, 193, 194, 195, 196, 197, 199, 200]	[]	[]	[131221827, 131221833, 131221834, 131221835, 131221837, 131221840, 131221841, 131221842, 131221843, 131221844, 131221846, 131221847]	[]
874_10095	chrX	153927588	153927988	+	1000	38.0	[3.3468022]	[106]	[]	[]	[153927794]	[]
874_10104	chr1	16443906	16444306	+	1000	37.5	[3.5454593]	[139]	[]	[]	[16444140]	[]
874_10106	chr1	20187148	20187548	+	1000	37.5	[]	[]	[7.914263, 2.0990539, 8.304175]	[113, 114, 117]	[]	[20187336, 20187337, 20187340]
874_10107	chr1	20486305	20486705	+	595	37.5	[]	[]	[4.1489425, 6.028111, 6.09218, 7.6084185]	[75, 76, 77, 78]	[]	[20486457, 20486458, 20486459, 20486460]
874_10121	chr1	54405138	54405538	+	1000	37.5	[6.5443716, 3.4827232, 6.5022383]	[132, 133, 136]	[]	[]	[54405364, 54405365, 54405368]	[]
874_10124	chr1	109792118	109792518	+	1000	37.5	[]	[]	[2.301308]	[101]	[]	[109792310]
874_10129	chr1	153566592	153566992	+	1000	37.5	[5.1634774, 8.410367]	[138, 231]	[]	[]	[153566744, 153566837]	[]
874_10135	chr1	173824655	173825055	+	951	37.5	[]	[]	[2.9774017]	[145]	[]	[173824888]
874_10136	chr1	180610220	180610620	+	1000	37.5	[2.7782745, 4.8772454]	[111, 116]	[]	[]	[180610376, 180610381]	[]
874_10144	chr1	212635635	212636035	+	1000	37.5	[]	[]	[10.289779, 4.8454685, 6.0922837, 14.8605995, 6.784984]	[189, 191, 196, 197, 198]	[]	[212635871, 212635873, 212635878, 212635879, 212635880]
874_10168	chr10	71377122	71377522	+	1000	37.5	[7.357018, 3.5680525]	[202, 203]	[]	[]	[71377335, 71377336]	[]
874_10183	chr11	65386624	65387024	+	933	37.5	[6.764942, 9.920748, 2.368863]	[188, 192, 195]	[]	[]	[65386866, 65386870, 65386873]	[]
874_10196	chr11	119356311	119356711	+	955	37.5	[3.4300838]	[120]	[]	[]	[119356530]	[]
874_10199	chr12	47829088	47829488	+	1000	37.5	[2.8927171]	[85]	[]	[]	[47829258]	[]
874_1020	chr22	20116088	20116488	+	1000	69.5	[]	[]	[4.073487, 3.346751, 10.286826, 4.6114855, 4.084641]	[224, 225, 227, 228, 230]	[]	[20116322, 20116323, 20116325, 20116326, 20116328]
874_10200	chr12	50597450	50597850	+	1000	37.5	[]	[]	[2.4910057]	[67]	[]	[50597605]
874_10205	chr12	57229757	57230157	+	936	37.5	[]	[]	[2.301308]	[138]	[]	[57229913]
874_10218	chr13	52450493	52450893	+	971	37.5	[]	[]	[1.8305123, 1.6250395]	[143, 147]	[]	[52450689, 52450693]
874_1022	chr22	23248582	23248982	+	1000	69.5	[]	[]	[5.2838817, 3.5145001]	[125, 129]	[]	[23248778, 23248782]
874_10223	chr14	20461568	20461968	+	1000	37.5	[5.0845156]	[188]	[]	[]	[20461815]	[]
874_10230	chr15	52569019	52569419	+	1000	37.5	[2.143297]	[127]	[]	[]	[52569185]	[]
874_10240	chr16	1929803	1930203	+	1000	37.5	[5.1634774, 6.5462646, 9.56324, 5.806482, 2.5351157]	[136, 139, 140, 141, 142]	[]	[]	[1930030, 1930033, 1930034, 1930035, 1930036]	[]
874_10244	chr16	11128488	11128888	+	1000	37.5	[5.92883]	[233]	[]	[]	[11128730]	[]
874_10252	chr16	70436995	70437395	+	666	37.5	[4.4755554, 3.0500638]	[63, 66]	[]	[]	[70437156, 70437159]	[]
874_10261	chr17	29179188	29179588	+	1000	37.5	[4.0856524, 6.028111, 2.7054892, 4.7074995, 4.135465, 12.938287, 3.0630395]	[88, 90, 91, 98, 99, 102, 103]	[]	[]	[29179346, 29179348, 29179349, 29179356, 29179357, 29179360, 29179361]	[]
874_10267	chr17	44123859	44124259	+	1000	37.5	[3.2314265, 2.625468]	[157, 159]	[4.2755046]	[176]	[44124019, 44124021]	[44124038]
874_10271	chr17	47895424	47895824	+	1000	37.5	[3.134943, 1.9763261, 8.419172, 2.0977414]	[105, 111, 114, 116]	[]	[]	[47895581, 47895587, 47895590, 47895592]	[]
874_10279	chr17	82297889	82298289	+	740	37.5	[]	[]	[4.241039, 6.9010177, 3.7159367, 2.4366748, 1.9708328, 2.4366748, 2.3331492, 4.3043294]	[111, 113, 115, 130, 153, 155, 159, 170]	[]	[82298046, 82298048, 82298050, 82298065, 82298088, 82298090, 82298094, 82298105]
874_10288	chr19	3557641	3558041	+	1000	37.5	[5.7952495, 7.253493, 2.3655448, 2.7545712]	[129, 153, 158, 160]	[]	[]	[3557861, 3557885, 3557890, 3557892]	[]
874_10294	chr19	16542552	16542952	+	1000	37.5	[]	[]	[4.003051]	[118]	[]	[16542741]
874_10300	chr19	45001084	45001484	+	916	37.5	[2.6105254]	[124]	[]	[]	[45001258]	[]
874_10308	chr19	49146117	49146517	+	1000	37.5	[]	[]	[6.598126]	[152]	[]	[49146352]
874_10316	chr2	7008170	7008570	+	1000	37.5	[3.8208783]	[143]	[]	[]	[7008374]	[]
874_10321	chr2	27628967	27629367	+	1000	37.5	[]	[]	[8.17957, 4.155485]	[74, 77]	[]	[27629121, 27629124]
874_10326	chr2	67993287	67993687	+	985	37.5	[4.137462]	[137]	[]	[]	[67993504]	[]
874_10330	chr2	88016918	88017318	+	919	37.5	[]	[]	[11.809524, 1.7125633]	[113, 117]	[]	[88017097, 88017101]
874_10355	chr21	34022915	34023315	+	1000	37.5	[]	[]	[14.26663, 9.277438, 6.8377275, 6.498752, 1.7125633]	[78, 79, 82, 113, 116]	[]	[34023087, 34023088, 34023091, 34023122, 34023125]
874_10364	chr22	19571225	19571625	+	955	37.5	[]	[]	[2.1089787]	[91]	[]	[19571411]
874_10370	chr22	19893273	19893673	+	843	37.5	[3.1472118]	[160]	[]	[]	[19893440]	[]
874_10395	chr3	14848104	14848504	+	1000	37.5	[12.378052, 3.5136182]	[95, 99]	[]	[]	[14848292, 14848296]	[]
874_10396	chr3	33914736	33915136	+	1000	37.5	[13.995188, 4.5914435, 8.835819, 6.5339026]	[147, 149, 150, 151]	[]	[]	[33914928, 33914930, 33914931, 33914932]	[]
874_10403	chr3	149129557	149129957	+	1000	37.5	[]	[]	[3.0287929, 2.5137436, 1.6704822]	[224, 226, 229]	[]	[149129794, 149129796, 149129799]
874_10407	chr3	172160091	172160491	+	1000	37.5	[]	[]	[2.7670372]	[162]	[]	[172160280]
874_10413	chr4	2416749	2417149	+	973	37.5	[3.2430575, 5.71984]	[164, 167]	[]	[]	[2416973, 2416976]	[]
874_10417	chr4	15681652	15682052	+	1000	37.5	[]	[]	[2.4700813]	[117]	[]	[15681807]
874_10418	chr4	40055867	40056267	+	1000	37.5	[2.0112615]	[132]	[]	[]	[40056040]	[]
874_10426	chr4	139178078	139178478	+	1000	37.5	[]	[]	[3.0409071, 2.683554, 1.6449046]	[156, 158, 167]	[]	[139178293, 139178295, 139178304]
874_10446	chr6	13384947	13385347	+	1000	37.5	[]	[]	[3.228802]	[185]	[]	[13385191]
874_10454	chr6	32081253	32081653	+	1000	37.5	[1.8873494]	[210]	[]	[]	[32081483]	[]
874_10460	chr6	41545774	41546174	+	1000	37.5	[3.8034604]	[83]	[2.9285345]	[170]	[41545925]	[41546012]
874_10465	chr6	44221625	44222025	+	1000	37.5	[]	[]	[5.2986712]	[238]	[]	[44221869]
