#PeakID	chr	start	end	strand	idrScore	count
293_0	chrM	85	285	+	1000	1029.0
293_1	chr16	46390417	46390628	+	1000	939.0
293_2	chrM	12375	12592	+	1000	923.0
293_3	chrUn_KI270438v1	109330	109532	+	1000	893.5
293_4	chr1	125180085	125180287	+	1000	887.5
293_5	chrM	16227	16427	+	1000	868.0
293_6	chrM	2295	2623	+	1000	821.5
293_7	chrM	3014	3283	+	1000	819.5
293_8	chrM	1674	1890	+	1000	815.0
293_9	chrM	6145	6540	+	1000	807.5
293_10	chrM	4852	5245	+	1000	807.0
293_11	chr16	34588162	34588367	+	1000	750.0
293_12	chrUn_KI270438v1	104010	104212	+	1000	737.5
293_13	chr16	46398781	46399018	+	1000	649.0
293_14	chr17	26603810	26604012	+	1000	649.0
293_15	chrUn_KI270467v1	2220	2461	+	1000	634.0
293_16	chr16	46394662	46394920	+	1000	628.5
293_17	chrUn_KI270438v1	104795	104995	+	1000	605.5
293_18	chrUn_KI270467v1	3334	3587	+	1000	601.0
293_19	chr17	26881293	26881521	+	1000	579.5
293_20	chr21	8234395	8234610	+	1000	578.0
293_21	chr16	34585839	34586068	+	1000	544.5
293_22	chr17	26619715	26619959	+	1000	543.5
293_23	chrUn_KI270438v1	112031	112234	+	1000	520.0
293_24	chr17	26885253	26885456	+	1000	505.5
293_25	chr3	72035094	72035360	+	1000	469.5
293_26	chr1	143214601	143214810	+	1000	453.0
293_27	chr21	8219843	8220046	+	1000	443.5
293_28	chrUn_KI270466v1	891	1130	+	1000	434.0
293_29	chr16	46386330	46386546	+	1000	432.0
293_30	chrUn_KI270438v1	105656	106041	+	1000	411.5
293_31	chr1	161166451	161166672	+	1000	407.5
293_32	chr1	109213780	109213997	+	1000	406.0
293_33	chr22	20777854	20778088	+	1000	385.0
293_34	chrUn_GL000224v1	3742	3952	+	1000	373.0
293_35	chr22	20858767	20859035	+	1000	371.0
293_36	chr1	143217457	143217659	+	1000	370.0
293_37	chr1	143194917	143195257	+	1000	358.5
293_38	chrUn_KI270438v1	110442	110650	+	1000	345.5
293_39	chr19	12919192	12919421	+	1000	345.0
293_40	chr16	46401311	46401515	+	1000	316.5
293_41	chrX	14065007	14065245	+	1000	304.5
293_42	chr21	8420080	8420287	+	1000	304.0
293_43	chr16	46387827	46388030	+	1000	302.5
293_44	chr6	3157530	3157772	+	1000	299.5
293_45	chr17	25920097	25920307	+	1000	298.5
293_46	chr2	90398454	90398669	+	1000	292.5
293_47	chr17	60392350	60392560	+	1000	291.5
293_48	chr1	143193033	143193270	+	1000	285.5
293_49	chr16	34582153	34582379	+	1000	285.5
293_50	chr3	170222268	170222473	+	1000	285.5
293_51	chr1_KI270709v1_random	7431	7632	+	1000	283.0
293_52	chr22	19723360	19723567	+	1000	280.5
293_53	chr16	34587128	34587332	+	1000	277.0
293_54	chr1	9300189	9300391	+	1000	263.5
293_55	chrUn_GL000216v2	258	648	+	1000	259.0
293_56	chr19	12938171	12938405	+	1000	258.5
293_57	chr22	19806512	19806731	+	1000	258.0
293_58	chr20	64221150	64221462	+	1000	252.5
