#PeakID	chr	start	end	strand	idrScore	count
680_0	chr17	59106897	59107116	+	1000	946.0
680_1	chr1	15835926	15836138	+	1000	934.0
680_2	chr6	24666831	24667031	+	1000	880.0
680_3	chr9	131125348	131125550	+	1000	876.0
680_4	chr11	2400504	2400714	+	1000	834.0
680_5	chr1	16613472	16613681	+	1000	826.0
680_6	chr19	55503751	55503951	+	1000	826.0
680_7	chr19	6199520	6199725	+	1000	824.0
680_8	chr1	32013605	32013826	+	1000	821.0
680_9	chr3	184185917	184186126	+	1000	821.0
680_10	chr21	32279055	32279268	+	1000	820.0
680_11	chr7	158856422	158856632	+	1000	819.0
680_12	chr10	5684570	5684770	+	1000	818.0
680_13	chr22	21001702	21001904	+	1000	818.0
680_14	chr2	3518861	3519123	+	1000	817.0
680_15	chr17	28951572	28951780	+	1000	816.0
680_16	chr19	3762941	3763144	+	1000	816.0
680_17	chr17	7615203	7615407	+	1000	815.0
680_18	chr3	46976410	46976612	+	1000	815.0
680_19	chr1	167220485	167220686	+	1000	814.0
680_20	chr19	49929452	49929652	+	1000	814.0
680_21	chr20	36951672	36951875	+	1000	813.0
680_22	chr6	30067034	30067236	+	1000	813.0
680_23	chr1	231337825	231338031	+	1000	812.0
680_24	chr17	59892860	59893075	+	1000	812.0
680_25	chr19	43596182	43596386	+	1000	812.0
680_26	chr19	48363990	48364190	+	1000	812.0
680_27	chr16	27203787	27203993	+	1000	811.0
680_28	chr16	29815959	29816166	+	1000	811.0
680_29	chr19	43754885	43755093	+	1000	811.0
680_30	chr1	25247415	25247618	+	1000	810.0
680_31	chr10	27100444	27100644	+	1000	810.0
680_32	chr12	54280064	54280277	+	1000	810.0
680_33	chr19	45902751	45902982	+	1000	810.0
680_34	chr5	134226233	134226440	+	1000	810.0
680_35	chr8	23246374	23246575	+	1000	810.0
680_36	chr1	202889107	202889318	+	1000	809.0
680_37	chr19	34359244	34359493	+	1000	809.0
680_38	chr19	54102666	54102869	+	1000	809.0
680_39	chr10	122954284	122954484	+	1000	808.0
680_40	chr17	79009738	79010009	+	1000	808.0
680_41	chr16	69754953	69755160	+	1000	807.0
680_42	chr21	33324849	33325050	+	1000	807.0
680_43	chr5	1799744	1800014	+	1000	807.0
680_44	chr8	116874791	116874997	+	1000	807.0
680_45	chr9	137086726	137086928	+	1000	807.0
680_46	chr19	19192606	19192808	+	1000	806.0
680_47	chr20	36773741	36773949	+	1000	805.0
680_48	chr21	46635435	46635679	+	1000	805.0
680_49	chr6	135054748	135054951	+	1000	805.0
680_50	chr1	176207525	176207728	+	1000	804.0
680_51	chr10	27504036	27504244	+	1000	804.0
680_52	chr10	58268999	58269201	+	1000	804.0
680_53	chr19	42217760	42217963	+	1000	804.0
680_54	chr22	19854834	19855043	+	1000	804.0
680_55	chr19	5720541	5720741	+	1000	803.0
680_56	chr19	39532778	39532981	+	1000	803.0
680_57	chr19	47349144	47349352	+	1000	803.0
680_58	chr20	38472638	38472850	+	1000	803.0
680_59	chr5	218102	218337	+	1000	803.0
680_60	chr5	98929060	98929260	+	1000	803.0
680_61	chr7	6447884	6448085	+	1000	803.0
680_62	chr7	44582156	44582371	+	1000	803.0
680_63	chr19	55653796	55654001	+	1000	802.0
680_64	chr5	179623634	179623845	+	1000	802.0
680_65	chr11	114400465	114400680	+	1000	801.0
680_66	chr7	143288201	143288409	+	1000	801.0
680_67	chr2	33599231	33599437	+	1000	800.0
680_68	chr3	14124866	14125081	+	1000	800.0
680_69	chr1	38873303	38873527	+	1000	799.0
680_70	chr2	27489692	27489910	+	1000	799.0
680_71	chr7	139340319	139340520	+	1000	799.0
680_72	chr6	164040140	164040342	+	1000	798.0
680_73	chr7	25125455	25125657	+	1000	798.0
680_74	chr2	70248644	70248865	+	1000	797.0
680_75	chr22	20393991	20394191	+	1000	797.0
680_76	chr21	42009949	42010155	+	1000	796.0
680_77	chr19	5978096	5978425	+	1000	795.0
680_78	chr9	136118874	136119090	+	1000	795.0
680_79	chr17	41688591	41688798	+	1000	794.0
680_80	chr17	49677473	49677675	+	1000	794.0
680_81	chr3	48556975	48557181	+	1000	794.0
680_82	chr5	112707385	112707586	+	1000	794.0
680_83	chr5	179678473	179678687	+	1000	794.0
680_84	chr7	6348925	6349139	+	1000	794.0
680_85	chr12	69359599	69359804	+	1000	793.0
680_86	chr19	39834170	39834372	+	1000	793.0
680_87	chr20	34112208	34112417	+	1000	793.0
680_88	chr20	45363004	45363208	+	1000	793.0
680_89	chr3	47513653	47513860	+	1000	793.0
680_90	chr4	6673819	6674019	+	1000	793.0
680_91	chr6	41072508	41072720	+	1000	793.0
680_92	chr12	49567797	49568001	+	1000	792.0
680_93	chr12	121686888	121687089	+	1000	792.0
680_94	chr19	42220115	42220318	+	1000	792.0
680_95	chr11	65615577	65615784	+	1000	791.0
680_96	chr17	7307249	7307449	+	1000	791.0
680_97	chr19	35124550	35124750	+	1000	791.0
680_98	chr21	33915774	33915975	+	1000	791.0
680_99	chr3	136196298	136196504	+	1000	791.0
680_100	chr4	53377506	53377712	+	1000	791.0
680_101	chr5	132737575	132737780	+	1000	791.0
680_102	chr7	152676090	152676296	+	1000	791.0
680_103	chr10	122879527	122879728	+	1000	790.0
680_104	chr11	18396129	18396355	+	1000	790.0
680_105	chr21	28885282	28885484	+	1000	790.0
680_106	chr3	17742660	17742998	+	1000	790.0
680_107	chr5	171387514	171387720	+	1000	790.0
680_108	chr7	42932102	42932332	+	1000	790.0
680_109	chr1	156338387	156338588	+	1000	789.0
680_110	chr11	78139574	78139783	+	1000	789.0
680_111	chr1	15976044	15976247	+	1000	788.0
680_112	chr1	46604227	46604430	+	1000	788.0
680_113	chrM	3564	3778	+	1000	788.0
680_114	chrM	11773	11976	+	1000	788.0
680_115	chr2	112255045	112255278	+	1000	787.0
