#PeakID	chr	start	end	strand	idrScore	count
582_0	chrM	451	706	+	1000	1650.0
582_1	chrM	12167	12389	+	1000	1345.0
582_2	chr3	93470445	93470645	+	1000	1297.0
582_3	chrM	11056	11262	+	1000	1266.5
582_4	chrUn_KI270467v1	2457	2657	+	1000	1265.5
582_5	chrM	10420	10729	+	1000	1261.5
582_6	chrM	3147	3377	+	1000	1256.0
582_7	chrM	14700	14943	+	1000	1250.0
582_8	chrM	7965	8270	+	1000	1227.5
582_9	chr16	46390415	46390637	+	1000	1223.0
582_10	chrM	6300	6502	+	1000	1215.5
582_11	chrM	5074	5373	+	1000	1215.0
582_12	chrUn_KI270467v1	3026	3246	+	1000	1148.5
582_13	chrUn_KI270438v1	112028	112232	+	1000	1012.0
582_14	chrUn_KI270438v1	109511	109717	+	1000	995.0
582_15	chrUn_KI270438v1	104010	104213	+	1000	855.5
582_16	chr1	125180085	125180308	+	1000	826.5
582_17	chr19	33373970	33374172	+	1000	815.0
582_18	chr17	26603812	26604013	+	1000	693.5
582_19	chrUn_KI270466v1	625	860	+	1000	668.5
582_20	chr1	234601710	234601920	+	1000	665.5
582_21	chr16	34588167	34588372	+	1000	658.0
582_22	chr16	46394710	46394926	+	1000	633.0
582_23	chr16	46398816	46399018	+	1000	609.5
582_24	chr1	143246823	143247026	+	1000	605.0
582_25	chr22	22836626	22836828	+	1000	587.5
582_26	chrUn_GL000224v1	3541	3885	+	1000	587.0
582_27	chr3	5126726	5126930	+	1000	574.5
582_28	chr17	26885408	26885625	+	1000	566.0
582_29	chr22	21784779	21784979	+	1000	561.0
582_30	chr16	46386328	46386529	+	1000	538.5
582_31	chr6	26568701	26568928	+	1000	536.5
582_32	chr22	19109586	19109809	+	1000	527.0
582_33	chr10	21724693	21724904	+	1000	518.0
582_34	chr19	33372740	33372947	+	1000	515.0
582_35	chr17	26619737	26619951	+	1000	506.0
582_36	chr1	204507053	204507255	+	1000	504.0
582_37	chr9	112530927	112531131	+	1000	503.5
582_38	chr2	12456526	12456738	+	1000	502.0
582_39	chr7	106568847	106569078	+	1000	498.5
582_40	chr3	45842092	45842295	+	1000	494.0
582_41	chr1	143263326	143263552	+	1000	483.0
582_42	chr4	73704640	73704857	+	1000	478.5
582_43	chr22	22748404	22748631	+	1000	469.5
582_44	chr16	25005768	25005978	+	1000	460.5
582_45	chr6	7698214	7698424	+	1000	452.0
582_46	chr17	26881300	26881521	+	1000	450.0
582_47	chr2	177263400	177263601	+	1000	449.5
582_48	chr1	121525449	121525653	+	1000	447.5
582_49	chr22	21876836	21877047	+	1000	446.5
582_50	chr2	177164687	177164900	+	1000	440.5
582_51	chr3	5197680	5197881	+	1000	433.5
582_52	chr6	87731895	87732096	+	1000	433.0
582_53	chr16	34585851	34586058	+	1000	431.5
582_54	chr7	99408789	99408990	+	1000	429.5
582_55	chr3	4904903	4905106	+	1000	423.5
582_56	chr6	45445902	45446105	+	1000	417.0
582_57	chr1	36464315	36464530	+	1000	415.0
582_58	chr17	25920111	25920317	+	1000	410.5
582_59	chr2	183124249	183124460	+	1000	403.0
582_60	chr21	38831583	38831784	+	1000	397.0
582_61	chr4	140427797	140428000	+	1000	393.5
582_62	chr1	193111680	193111885	+	1000	385.0
582_63	chr7	77538716	77538921	+	1000	382.5
582_64	chr1	15885817	15886023	+	1000	380.5
582_65	chr16	34583258	34583465	+	1000	378.5
582_66	chr1	143214606	143214819	+	1000	378.0
582_67	chr22	20509628	20509836	+	1000	377.5
582_68	chr11	63689338	63689539	+	1000	373.5
582_69	chr7	65503767	65503996	+	1000	372.5
582_70	chr1	28246417	28246624	+	1000	366.0
582_71	chr16	34586764	34586965	+	1000	366.0
582_72	chr1	28235292	28235502	+	1000	363.5
582_73	chr1	6260055	6260262	+	1000	361.0
582_74	chr1	1308137	1308339	+	1000	360.5
582_75	chr12	102441244	102441454	+	1000	360.0
582_76	chr2	170744322	170744541	+	1000	360.0
582_77	chr1	31111318	31111518	+	1000	357.5
582_78	chr7	129299977	129300182	+	1000	357.5
582_79	chr7	121160123	121160338	+	1000	356.5
582_80	chr20	23361891	23362093	+	1000	351.5
582_81	chr5	143051630	143051841	+	1000	351.5
582_82	chr10	71888749	71888950	+	1000	350.0
582_83	chr6	15062766	15062966	+	1000	349.0
582_84	chr3	196055865	196056099	+	1000	348.0
582_85	chr8	20200861	20201067	+	1000	347.0
582_86	chr22	22752576	22752786	+	1000	346.0
582_87	chr1	143503038	143503397	+	1000	342.5
582_88	chr5	49599554	49599759	+	1000	342.0
582_89	chr10	70302428	70302649	+	1000	340.0
582_90	chr2	201406443	201406643	+	1000	340.0
582_91	chr1	109162405	109162606	+	1000	338.5
582_92	chr6	31971919	31972121	+	1000	337.0
582_93	chr21	8234403	8234610	+	1000	335.0
582_94	chr15	77420580	77420783	+	1000	334.5
582_95	chr13	107874548	107874753	+	1000	332.0
582_96	chrUn_KI270438v1	105832	106035	+	1000	330.5
582_97	chr6	27134483	27134694	+	1000	329.0
582_98	chr22	16569319	16569521	+	1000	326.5
582_99	chr9	91424330	91424560	+	1000	323.5
582_100	chr16	76293	76496	+	1000	322.0
582_101	chr1	182200550	182200755	+	1000	321.5
582_102	chr12	49235045	49235250	+	1000	320.0
582_103	chr3	4712160	4712367	+	1000	320.0
582_104	chr6	137904598	137904802	+	1000	316.5
582_105	chr4	40621716	40621946	+	1000	315.0
582_106	chr22	21037764	21037983	+	1000	314.0
582_107	chr16	46387833	46388033	+	1000	313.0
582_108	chr22	22063170	22063377	+	1000	312.5
582_109	chr22	22839150	22839359	+	1000	312.5
582_110	chr1	110032416	110032618	+	1000	311.0
582_111	chr6	30516089	30516308	+	1000	310.0
582_112	chr1	234627109	234627313	+	1000	307.5
582_113	chr11	67529519	67529721	+	1000	307.0
582_114	chr19	11324316	11324538	+	1000	307.0
582_115	chr4	38621027	38621232	+	1000	307.0
582_116	chr1	121400687	121400894	+	1000	304.5
582_117	chr5	5585735	5585952	+	1000	304.5
582_118	chr2	183032279	183032502	+	1000	303.5
582_119	chr22	20777837	20778094	+	1000	302.0
582_120	chr8	123592491	123592699	+	1000	302.0
582_121	chr11	78290275	78290500	+	1000	301.0
582_122	chr1	230860708	230860917	+	1000	300.0
582_123	chr12	27549828	27550029	+	1000	300.0
582_124	chr13	91456935	91457141	+	1000	299.5
582_125	chr1	231049454	231049659	+	1000	296.0
582_126	chr1	143254179	143254381	+	1000	295.5
582_127	chr19	8540644	8540845	+	1000	295.0
582_128	chr2	65436516	65436728	+	1000	294.5
582_129	chr16	34582131	34582352	+	1000	294.0
582_130	chr6	20573014	20573221	+	1000	294.0
582_131	chr2	46542229	46542429	+	1000	293.5
582_132	chr10	70405613	70405818	+	1000	292.5
582_133	chr18	109502	109714	+	1000	290.5
582_134	chr21	34908410	34908635	+	1000	289.0
582_135	chr21	34939797	34940004	+	1000	289.0
582_136	chr5	44808786	44808995	+	1000	288.0
582_137	chr3	4981914	4982138	+	1000	287.0
582_138	chr12	46430531	46430732	+	1000	286.0
582_139	chr22	20904664	20904897	+	1000	285.5
582_140	chr2	215620115	215620318	+	1000	283.5
582_141	chr9	130732830	130733035	+	1000	283.5
582_142	chr15	41689899	41690103	+	1000	283.0
582_143	chr1	143202346	143202547	+	1000	282.5
582_144	chr15	92802095	92802331	+	1000	282.5
582_145	chr6	17907768	17907996	+	1000	282.0
582_146	chr19	33293338	33293593	+	1000	281.5
582_147	chr11	72434558	72434786	+	1000	281.0
582_148	chr9	107282871	107283075	+	1000	280.5
582_149	chr8	123167613	123167813	+	1000	280.0
582_150	chr6	146857572	146857773	+	1000	278.0
582_151	chr3	9422750	9422966	+	1000	277.5
582_152	chr4	81405916	81406129	+	1000	277.0
582_153	chr1	234876458	234876666	+	1000	276.5
582_154	chr10	72272840	72273042	+	1000	276.5
582_155	chr19	33348365	33348568	+	1000	276.5
582_156	chr2	27010873	27011092	+	1000	275.5
582_157	chr5	53560468	53560670	+	1000	275.5
582_158	chr2	90398160	90398385	+	1000	275.0
582_159	chr16	85098657	85098864	+	1000	274.5
582_160	chr7	106914109	106914320	+	1000	274.5
582_161	chr2	68762214	68762415	+	1000	274.0
582_162	chr20	53579509	53579732	+	1000	274.0
582_163	chr20	63339769	63340113	+	1000	274.0
582_164	chr6	26596762	26596975	+	1000	272.5
582_165	chr5	139475597	139475809	+	1000	272.0
582_166	chr6	146551013	146551218	+	1000	271.5
582_167	chr1	197184261	197184477	+	1000	269.0
582_168	chr12	93244234	93244437	+	1000	269.0
582_169	chr12	98440130	98440372	+	1000	269.0
582_170	chr17	36192404	36192614	+	1000	267.5
582_171	chr15	39837558	39837763	+	1000	266.5
582_172	chr6	7661466	7661669	+	1000	266.5
582_173	chr18	21600705	21600906	+	1000	266.0
582_174	chr22	22168927	22169174	+	1000	264.5
582_175	chr5	140720074	140720287	+	1000	264.5
582_176	chr1	110964093	110964304	+	1000	264.0
582_177	chr11	8057091	8057293	+	1000	264.0
582_178	chr3	15287616	15287829	+	1000	263.5
582_179	chr6	14727202	14727413	+	1000	263.0
582_180	chr6	35737650	35737870	+	1000	262.0
582_181	chr6	125014454	125014656	+	1000	261.5
582_182	chr1	202927162	202927366	+	1000	261.0
582_183	chr5	177545486	177545743	+	1000	260.5
582_184	chr1	89823125	89823327	+	1000	260.0
582_185	chr14	31229808	31230009	+	1000	260.0
582_186	chr15	43541851	43542073	+	1000	260.0
582_187	chr22	20523362	20523564	+	1000	259.5
582_188	chr5	80399808	80400018	+	1000	259.5
582_189	chrUn_KI270749v1	31892	32289	+	1000	259.0
582_190	chr16	46401313	46401517	+	1000	258.5
582_191	chr2	48120974	48121177	+	1000	258.0
582_192	chr3	152100595	152100809	+	1000	258.0
582_193	chr12	47770131	47770345	+	1000	257.0
582_194	chr16	30814270	30814473	+	1000	256.0
582_195	chr22	16659379	16659580	+	1000	255.5
582_196	chr11	130314912	130315115	+	1000	255.0
582_197	chr22_KI270735v1_random	13920	14158	+	1000	255.0
582_198	chr15	92900792	92901007	+	1000	254.5
582_199	chr12	54304241	54304460	+	1000	254.0
582_200	chr16	87779100	87779396	+	1000	254.0
582_201	chr22	23157214	23157425	+	1000	254.0
582_202	chr6	43926661	43927044	+	1000	254.0
582_203	chr13	90430272	90430477	+	1000	253.5
582_204	chr17	22521292	22521517	+	1000	253.5
582_205	chr1	53787735	53787938	+	1000	253.0
582_206	chr5	145681746	145681962	+	1000	253.0
582_207	chr2	68420360	68420567	+	1000	252.5
582_208	chr12	39287922	39288137	+	1000	251.5
582_209	chr10	23512474	23512676	+	1000	249.5
582_210	chr4	8441583	8441794	+	1000	249.5
582_211	chr21	37370886	37371096	+	1000	249.0
582_212	chr6	13407741	13407999	+	1000	249.0
582_213	chr22	20953912	20954125	+	1000	248.5
582_214	chr12	101877216	101877426	+	1000	248.0
582_215	chr6	27601675	27601880	+	1000	248.0
582_216	chrUn_GL000216v2	363	593	+	1000	247.0
582_217	chr12	25386213	25386423	+	1000	246.5
582_218	chr1	150363348	150363555	+	1000	246.0
582_219	chr9	130845299	130845554	+	1000	245.5
582_220	chr4	83630227	83630436	+	1000	245.0
582_221	chr1	118963722	118963937	+	1000	244.5
582_222	chr1	246215109	246215316	+	1000	244.0
582_223	chr7	12747662	12747867	+	1000	244.0
582_224	chr18	967140	967342	+	1000	243.0
582_225	chr18	21699637	21699844	+	1000	243.0
582_226	chr12	70053106	70053312	+	1000	242.5
582_227	chr3	14205016	14205221	+	1000	242.5
582_228	chr19	21594101	21594308	+	1000	242.0
582_229	chr6	31703298	31703498	+	1000	242.0
582_230	chr10	67791026	67791244	+	1000	241.0
582_231	chr3	45065135	45065357	+	1000	241.0
582_232	chr1	26015472	26015684	+	1000	240.5
582_233	chr22	20079725	20079949	+	1000	240.5
582_234	chr7	56033645	56033848	+	1000	240.5
582_235	chr1	8212064	8212291	+	1000	240.0
582_236	chr2	161160840	161161059	+	1000	240.0
582_237	chr17	55672775	55672984	+	1000	239.5
582_238	chr7	157405112	157405318	+	1000	239.5
582_239	chr1	125177600	125177816	+	1000	238.5
582_240	chr2	24508981	24509185	+	1000	238.5
582_241	chr15	40593848	40594057	+	1000	238.0
582_242	chr6	135523302	135523557	+	1000	238.0
582_243	chr10	114025402	114025604	+	1000	237.5
582_244	chr18	105911	106114	+	1000	237.5
582_245	chr22	19947752	19947959	+	1000	237.5
582_246	chr22	23147683	23147916	+	1000	237.5
582_247	chr5	32391027	32391236	+	1000	236.5
582_248	chr6	43114556	43114758	+	1000	236.0
582_249	chr1	123175914	123176115	+	1000	235.5
582_250	chr1	212608604	212608850	+	1000	235.0
582_251	chr5	97231087	97231303	+	1000	235.0
582_252	chr1	143311223	143311428	+	1000	234.5
582_253	chr10	63114089	63114300	+	1000	234.5
582_254	chr6	29478806	29479008	+	1000	234.5
582_255	chr1	124250642	124250854	+	1000	233.5
582_256	chr11	34654938	34655155	+	1000	233.5
582_257	chr2	8598388	8598615	+	1000	233.5
582_258	chr8	128176973	128177177	+	1000	233.5
582_259	chr1	143194907	143195262	+	1000	233.0
582_260	chr18	31711501	31711703	+	1000	233.0
582_261	chr17	50933465	50933678	+	1000	232.0
582_262	chr2	64273544	64273753	+	1000	232.0
582_263	chr8	90230974	90231178	+	1000	232.0
582_264	chr1	52055665	52055865	+	1000	231.5
582_265	chr17	27529205	27529583	+	1000	231.5
582_266	chr1	143217430	143217652	+	1000	231.0
582_267	chr16	87388278	87388515	+	1000	231.0
582_268	chr1	61121038	61121239	+	1000	230.5
582_269	chr22	22727885	22728100	+	1000	230.5
582_270	chr7	65146005	65146209	+	1000	230.5
