#PeakID(python identify_motif.py ./ENCODE_processed_files/SOX6_idr.fa SOX6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
986_1000	chr1	12745312	12745712	+	1000	300.5	[]	[]	[12.026935]	[149]	[]	[12745552]
986_10002	chr6	27785314	27785714	+	1000	93.5	[13.042722]	[163]	[]	[]	[27785537]	[]
986_10008	chr6	119303159	119303559	+	1000	93.5	[]	[]	[8.496483]	[128]	[]	[119303383]
986_10011	chr7	4625808	4626208	+	1000	93.5	[]	[]	[7.2768254]	[121]	[]	[4626003]
986_10022	chr8	26385427	26385827	+	1000	93.5	[13.042722]	[126]	[]	[]	[26385643]	[]
986_10023	chr8	30052488	30052888	+	1000	93.5	[]	[]	[11.946385]	[90]	[]	[30052668]
986_10024	chr8	41604225	41604625	+	1000	93.5	[8.055507]	[142]	[]	[]	[41604450]	[]
986_10026	chr8	126322456	126322856	+	1000	93.5	[]	[]	[12.799757]	[149]	[]	[126322676]
986_1003	chr19	44590458	44590858	+	1000	300.5	[7.3200583]	[104]	[6.2220955]	[101]	[44590657]	[44590654]
986_10032	chrX	155641472	155641872	+	1000	93.5	[]	[]	[12.18935, 6.3923864]	[69, 75]	[]	[155641637, 155641643]
986_10043	chr1	230860997	230861397	+	1000	93.0	[]	[]	[8.496483, 13.042722]	[106, 118]	[]	[230861192, 230861204]
986_10044	chr1	234874504	234874904	+	1000	93.0	[]	[]	[11.78397]	[76]	[]	[234874671]
986_10046	chr10	45437692	45438092	+	1000	93.0	[12.799757, 9.153132]	[93, 156]	[]	[]	[45437876, 45437939]	[]
986_1005	chr11	34727199	34727599	+	1000	300.0	[]	[]	[9.925955, 7.8125415]	[87, 124]	[]	[34727379, 34727416]
986_10052	chr11	12174459	12174859	+	1000	93.0	[12.18935]	[125]	[]	[]	[12174670]	[]
986_10053	chr11	17208137	17208537	+	1000	93.0	[9.925955]	[99]	[]	[]	[17208302]	[]
986_10056	chr11	87190987	87191387	+	1000	93.0	[6.2220955]	[131]	[]	[]	[87191191]	[]
986_10060	chr12	56853586	56853986	+	1000	93.0	[8.910168]	[161]	[]	[]	[56853826]	[]
986_10063	chr15	41276851	41277251	+	1000	93.0	[12.026935, 6.2220955]	[80, 123]	[]	[]	[41277029, 41277072]	[]
986_10067	chr15	89226646	89227046	+	1000	93.0	[6.2220955]	[67]	[]	[]	[89226810]	[]
986_10069	chr16	4852179	4852579	+	1000	93.0	[7.805526]	[84]	[]	[]	[4852360]	[]
986_10070	chr16	21300523	21300923	+	1000	93.0	[6.6004295]	[94]	[7.6431108]	[128]	[21300698]	[21300732]
986_10072	chr16	84132530	84132930	+	1000	93.0	[]	[]	[12.026935]	[99]	[]	[84132719]
986_10074	chr17	67110618	67111018	+	1000	93.0	[]	[]	[6.2220955]	[107]	[]	[67110787]
986_10079	chr18	55592652	55593052	+	1000	93.0	[]	[]	[6.5548015]	[147]	[]	[55592882]
986_10084	chr19	43672052	43672452	+	1000	93.0	[6.2220955]	[104]	[12.18935]	[135]	[43672248]	[43672279]
986_10088	chr2	47336909	47337309	+	1000	93.0	[6.2220955]	[143]	[]	[]	[47337151]	[]
986_1009	chr3	141805195	141805595	+	1000	300.0	[]	[]	[12.026935]	[121]	[]	[141805406]
986_10092	chr2	189880455	189880855	+	1000	93.0	[]	[]	[11.946385]	[111]	[]	[189880650]
986_10094	chr2	217059158	217059558	+	1000	93.0	[12.880307]	[103]	[]	[]	[217059348]	[]
986_10097	chr20	51617204	51617604	+	1000	93.0	[6.3845105]	[97]	[]	[]	[51617386]	[]
986_10098	chr20	53739276	53739676	+	1000	93.0	[]	[]	[12.880307]	[100]	[]	[53739446]
986_10105	chr4	4339652	4340052	+	1000	93.0	[9.153132, 6.3845105]	[103, 154]	[]	[]	[4339833, 4339884]	[]
