#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPG_idr.fa CEBPG --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
582_1000	chr16	33064516	33064916	+	1000	143.5	[6.095848]	[114]	[]	[]	[33064721]	[]
582_10000	chr8	82564587	82564987	+	1000	51.0	[10.481071, 5.873225]	[138, 150]	[9.623465]	[137]	[82564799, 82564811]	[82564798]
582_10001	chr8	98280865	98281265	+	1000	51.0	[15.210169]	[105]	[15.617505]	[104]	[98281069]	[98281068]
582_10005	chr8	144074243	144074643	+	1000	51.0	[6.7882476]	[130]	[]	[]	[144074454]	[]
582_10008	chr9	116472101	116472501	+	927	51.0	[5.9220176]	[106]	[]	[]	[116472299]	[]
582_1001	chr17	30344778	30345178	+	1000	143.5	[7.540198]	[145]	[5.1364346]	[144]	[30345016]	[30345015]
582_10016	chr1	12294076	12294476	+	1000	50.5	[7.540198]	[129]	[10.1494055]	[128]	[12294287]	[12294286]
582_10019	chr1	26900330	26900730	+	1000	50.5	[]	[]	[7.3027105, 5.6703434]	[109, 144]	[]	[26900521, 26900556]
582_10020	chr1	43918701	43919101	+	1000	50.5	[10.481071]	[136]	[9.623465]	[135]	[43918916]	[43918915]
582_10021	chr1	44953968	44954368	+	1000	50.5	[10.3232355]	[196]	[7.046636]	[195]	[44954192]	[44954191]
582_10022	chr1	45407826	45408226	+	1000	50.5	[11.503221]	[105]	[10.229654]	[104]	[45408030]	[45408029]
582_10023	chr1	51971564	51971964	+	1000	50.5	[]	[]	[5.3427215]	[181]	[]	[51971748]
582_10024	chr1	52870824	52871224	+	1000	50.5	[5.9220176]	[98]	[]	[]	[52871017]	[]
582_10029	chr1	180352022	180352422	+	683	50.5	[11.503221]	[105]	[10.636991]	[104]	[180352227]	[180352226]
582_1003	chr18	31926952	31927352	+	1000	143.5	[15.617505]	[122]	[15.210169]	[121]	[31927165]	[31927164]
