#PeakID(python identify_motif.py ./ENCODE_processed_files/MEIS2_idr.fa MEIS2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
596_10	chr5	90983119	90983519	+	1000	1654.0	[11.310461]	[100]	[]	[]	[90983310]	[]
596_100	chr19	15452090	15452490	+	1000	1445.5	[11.310461]	[102]	[]	[]	[15452290]	[]
596_10000	chr1	226344710	226345110	+	1000	139.0	[11.310461]	[102]	[7.239613]	[79]	[226344907]	[226344884]
596_10001	chr1	236108226	236108626	+	1000	139.0	[]	[]	[7.705946]	[122]	[]	[236108437]
596_10003	chr10	43627947	43628347	+	1000	139.0	[11.310461]	[134]	[]	[]	[43628151]	[]
596_10004	chr10	45404403	45404803	+	1000	139.0	[7.705946]	[94]	[]	[]	[45404593]	[]
596_10005	chr10	71909372	71909772	+	1000	139.0	[7.239613]	[131]	[]	[]	[71909588]	[]
596_10007	chr10	74826403	74826803	+	1000	139.0	[]	[]	[7.705946, 7.239613]	[99, 115]	[]	[74826601, 74826617]
596_10008	chr11	3345717	3346117	+	1000	139.0	[7.705946, 7.239613]	[190, 206]	[]	[]	[3345950, 3345966]	[]
596_10009	chr11	88484804	88485204	+	1000	139.0	[7.705946]	[173]	[7.705946]	[154]	[88485033]	[88485014]
596_10011	chr13	95380602	95381002	+	1000	139.0	[]	[]	[11.310461]	[108]	[]	[95380809]
596_10013	chr17	32956263	32956663	+	1000	139.0	[11.310461]	[116]	[7.239613, 11.310461]	[99, 186]	[32956433]	[32956416, 32956503]
596_10014	chr17	59435265	59435665	+	1000	139.0	[]	[]	[7.4989777]	[127]	[]	[59435490]
596_10018	chr19	5575492	5575892	+	1000	139.0	[7.4989777]	[111]	[]	[]	[5575700]	[]
596_1002	chr17	42266815	42267215	+	1000	724.5	[11.310461]	[98]	[]	[]	[42266999]	[]
596_10021	chr2	39515348	39515748	+	1000	139.0	[]	[]	[11.310461]	[98]	[]	[39515532]
596_10023	chr2	189613066	189613466	+	1000	139.0	[]	[]	[7.705946]	[163]	[]	[189613270]
596_10025	chr21	29794730	29795130	+	1000	139.0	[11.310461]	[111]	[]	[]	[29794906]	[]
596_10028	chr22	30720431	30720831	+	1000	139.0	[]	[]	[11.310461]	[110]	[]	[30720640]
596_1003	chr6	119170760	119171160	+	1000	724.5	[]	[]	[7.239613]	[70]	[]	[119170924]
596_10031	chr3	142579357	142579757	+	1000	139.0	[7.239613]	[80]	[7.239613]	[84]	[142579527]	[142579531]
596_10032	chr3	167734871	167735271	+	1000	139.0	[7.705946]	[178]	[]	[]	[167735051]	[]
596_10033	chr3	169751921	169752321	+	1000	139.0	[]	[]	[11.310461]	[89]	[]	[169752108]
596_10034	chr3	183349446	183349846	+	1000	139.0	[]	[]	[7.4989777]	[127]	[]	[183349617]
596_10035	chr4	8336354	8336754	+	1000	139.0	[]	[]	[7.705946]	[124]	[]	[8336561]
596_10038	chr5	132872960	132873360	+	1000	139.0	[11.310461]	[145]	[]	[]	[132873145]	[]
596_10040	chr6	15376875	15377275	+	1000	139.0	[]	[]	[7.239613]	[126]	[]	[15377100]
596_10041	chr6	30769593	30769993	+	1000	139.0	[]	[]	[7.705946]	[127]	[]	[30769814]
596_10043	chr6	150156481	150156881	+	1000	139.0	[7.4989777]	[112]	[]	[]	[150156670]	[]
596_10046	chr9	97980445	97980845	+	1000	139.0	[7.239613, 7.4989777]	[103, 108]	[]	[]	[97980645, 97980650]	[]
596_10047	chrX	90458095	90458495	+	1000	139.0	[11.310461]	[99]	[]	[]	[90458292]	[]
596_10049	chr1	24694326	24694726	+	1000	138.5	[]	[]	[7.705946]	[106]	[]	[24694528]
596_10053	chr1	207781312	207781712	+	1000	138.5	[]	[]	[7.239613]	[100]	[]	[207781511]
596_10054	chr1	219907584	219907984	+	1000	138.5	[7.4989777]	[108]	[]	[]	[219907781]	[]
596_10058	chr11	130308861	130309261	+	1000	138.5	[11.310461]	[98]	[]	[]	[130309044]	[]
596_10060	chr13	28640748	28641148	+	1000	138.5	[7.4989777]	[78]	[]	[]	[28640921]	[]
