#PeakID	chr	start	end	strand	idrScore	count
151_0	chrM	12492	12734	+	1000	1478.0
151_1	chr3	14947636	14947850	+	1000	1470.0
151_2	chrM	5049	5449	+	1000	1411.0
151_3	chrM	3176	3510	+	1000	1349.0
151_4	chr22	19479475	19479730	+	1000	1339.0
151_5	chr20	32358150	32358364	+	1000	1328.0
151_6	chrM	13786	14036	+	1000	1325.0
151_7	chrM	235	443	+	1000	1323.0
151_8	chr20	33811030	33811249	+	1000	1322.0
151_9	chr2	152717382	152717583	+	1000	1320.0
151_10	chr11	71928498	71928739	+	1000	1318.0
151_11	chr17	63827105	63827328	+	1000	1310.0
151_12	chrM	10494	10734	+	1000	1310.0
151_13	chr17	28952279	28952480	+	1000	1302.0
151_14	chr12	68686848	68687049	+	1000	1300.0
151_15	chr16	30922523	30922724	+	1000	1295.0
151_16	chr1	169367940	169368158	+	1000	1294.0
151_17	chr22	20507452	20507666	+	1000	1290.0
151_18	chr1	35557538	35557747	+	1000	1289.0
151_19	chr22	21665936	21666154	+	1000	1287.0
151_20	chr19	2950453	2950654	+	1000	1284.0
151_21	chr22	20117362	20117564	+	1000	1281.0
151_22	chr6	31959192	31959394	+	1000	1279.0
151_23	chr14	75176579	75176808	+	1000	1275.0
151_24	chr8	80030125	80030325	+	1000	1275.0
151_25	chr3	47475876	47476085	+	1000	1273.0
151_26	chr1	1407223	1407424	+	1000	1266.0
151_27	chr21	21146987	21147187	+	1000	1266.0
151_28	chr11	86302146	86302346	+	1000	1264.0
151_29	chr1	202348407	202348609	+	1000	1263.0
151_30	chr12	49568021	49568237	+	1000	1262.0
151_31	chr7	66921056	66921268	+	1000	1262.0
151_32	chr8	56074480	56074687	+	1000	1260.0
151_33	chr11	64269993	64270218	+	1000	1259.0
151_34	chr6	13615218	13615420	+	1000	1259.0
151_35	chr6	99425256	99425459	+	1000	1259.0
151_36	chr20	38033579	38033806	+	1000	1256.0
151_37	chr3	150546667	150546882	+	1000	1255.0
151_38	chr5	150449735	150449968	+	1000	1255.0
151_39	chr3	15378240	15378444	+	1000	1252.0
151_40	chr7	4641910	4642141	+	1000	1249.0
151_41	chr10	12195928	12196134	+	1000	1248.0
151_42	chr12	56041791	56042004	+	1000	1246.0
151_43	chr6	31665836	31666053	+	1000	1243.0
151_44	chr1	42658333	42658537	+	1000	1242.0
151_45	chr6	42217770	42217974	+	1000	1241.0
151_46	chr9	128656724	128656927	+	1000	1239.0
151_47	chr4	47914691	47914891	+	1000	1238.0
151_48	chr17	28335407	28335612	+	1000	1237.0
151_49	chr21	25735000	25735217	+	1000	1237.0
151_50	chr11	65615241	65615447	+	1000	1236.0
151_51	chr19	36573220	36573429	+	1000	1236.0
151_52	chr3	119677020	119677254	+	1000	1236.0
151_53	chr5	138178764	138178970	+	1000	1236.0
151_54	chr6	33289409	33289615	+	1000	1236.0
151_55	chr12	95858832	95859044	+	1000	1234.0
151_56	chrM	2298	2650	+	1000	1233.0
151_57	chr13	112689747	112689959	+	1000	1232.0
151_58	chr9	137618566	137618776	+	1000	1229.0
151_59	chr17	63843091	63843294	+	1000	1227.0
151_60	chr2	218568662	218568868	+	1000	1227.0
151_61	chr3	15065266	15065466	+	1000	1227.0
151_62	chr1	203861499	203861706	+	1000	1226.0
151_63	chr4	25914148	25914351	+	1000	1226.0
151_64	chr1	6701721	6701922	+	1000	1224.0
151_65	chr2	105337217	105337418	+	1000	1223.0
151_66	chr2	74472577	74472777	+	1000	1222.0
151_67	chr5	94618533	94618734	+	1000	1219.0
151_68	chr12	70243288	70243524	+	1000	1217.0
151_69	chr5	40835178	40835378	+	1000	1217.0
151_70	chr7	47979566	47979821	+	1000	1217.0
151_71	chr12	55829546	55829749	+	1000	1216.0
151_72	chr19	4723697	4723915	+	1000	1215.0
151_73	chr3	12841609	12841837	+	1000	1213.0
151_74	chr5	892736	892937	+	1000	1213.0
151_75	chr17	63773742	63773943	+	1000	1212.0
151_76	chr20	49915506	49915732	+	1000	1212.0
151_77	chr11	57712311	57712519	+	1000	1211.0
151_78	chr16	30558310	30558510	+	1000	1210.0
151_79	chr19	14081246	14081469	+	1000	1208.0
151_80	chr8	123274218	123274423	+	1000	1208.0
151_81	chr19	14571972	14572181	+	1000	1206.0
151_82	chr7	73522358	73522573	+	1000	1206.0
151_83	chr11	72112523	72112751	+	1000	1205.0
151_84	chr16	24729538	24729741	+	1000	1205.0
151_85	chr21	44801716	44801928	+	1000	1205.0
151_86	chr1	211675828	211676036	+	1000	1204.0
151_87	chr6	36885820	36886034	+	1000	1204.0
151_88	chr8	143733966	143734169	+	1000	1204.0
151_89	chr9	124415331	124415546	+	1000	1203.0
151_90	chr19	49641886	49642097	+	1000	1202.0
151_91	chr1	173868247	173868451	+	1000	1199.0
151_92	chr11	65117609	65117817	+	1000	1199.0
151_93	chr19	58387115	58387320	+	1000	1197.0
151_94	chr10	73743976	73744199	+	1000	1196.0
151_95	chr11	66002247	66002511	+	1000	1196.0
151_96	chr15	64356128	64356333	+	1000	1195.0
151_97	chr20	63707799	63708000	+	1000	1195.0
151_98	chr4	1721225	1721438	+	1000	1194.0
151_99	chr1	44631848	44632056	+	1000	1193.0
151_100	chr11	58578162	58578382	+	1000	1193.0
151_101	chr3	14651510	14651710	+	1000	1193.0
151_102	chr2	70087162	70087393	+	1000	1190.0
151_103	chr1	155934448	155934652	+	1000	1189.0
151_104	chr1	1375322	1375528	+	1000	1188.0
151_105	chr14	69398432	69398654	+	1000	1188.0
151_106	chr9	137578820	137579025	+	1000	1188.0
151_107	chr19	51460525	51460728	+	1000	1187.0
151_108	chr6	159727005	159727222	+	1000	1187.0
151_109	chr1	1273773	1273977	+	1000	1186.0
151_110	chr17	44503549	44503756	+	1000	1186.0
151_111	chr8	42843221	42843430	+	1000	1186.0
151_112	chr1	110964157	110964374	+	1000	1185.0
151_113	chr10	97425900	97426114	+	1000	1184.0
151_114	chr11	10751074	10751277	+	1000	1183.0
151_115	chr3	37176300	37176507	+	1000	1182.0
151_116	chr3	158644449	158644651	+	1000	1182.0
151_117	chr2	27771639	27771843	+	1000	1181.0
151_118	chr1	44355193	44355397	+	1000	1180.0
151_119	chr11	66438811	66439024	+	1000	1180.0
151_120	chr7	92245836	92246042	+	1000	1180.0
151_121	chrX	2629625	2629828	+	1000	1180.0
151_122	chr19	17309729	17309956	+	1000	1179.0
151_123	chr2	43996081	43996308	+	1000	1179.0
