#PeakID	chr	start	end	strand	idrScore	count
124_0	chrM	455	692	+	1000	1187.0
124_1	chr16	84930367	84930572	+	1000	972.5
124_2	chrM	15820	16216	+	1000	962.0
124_3	chrM	14050	14333	+	1000	888.0
124_4	chrM	10017	10220	+	1000	870.0
124_5	chrM	3420	3646	+	1000	868.5
124_6	chr3	93470600	93470801	+	1000	846.5
124_7	chrM	5219	5440	+	1000	836.0
124_8	chrM	8179	8418	+	1000	836.0
124_9	chrM	6409	6611	+	1000	816.5
124_10	chr16	46390585	46390789	+	1000	697.0
124_11	chr5	180594760	180594960	+	1000	694.0
124_12	chrUn_KI270438v1	109333	109533	+	1000	676.5
124_13	chr19	944242	944443	+	1000	668.5
124_14	chr17	82212647	82212848	+	1000	631.5
124_15	chr22	21791782	21791994	+	1000	630.5
124_16	chrUn_KI270438v1	103962	104208	+	1000	624.0
124_17	chr10	72626005	72626214	+	1000	621.5
124_18	chr6	13274029	13274254	+	1000	601.0
124_19	chr17	78129033	78129237	+	1000	599.5
124_20	chr2	26245164	26245381	+	1000	596.0
124_21	chr1	89524649	89524876	+	1000	589.5
124_22	chr9	128947536	128947744	+	1000	588.5
124_23	chr3	196695226	196695504	+	1000	585.0
124_24	chr6	31777164	31777394	+	1000	579.5
124_25	chr3	130757864	130758069	+	1000	577.5
124_26	chr3	196694522	196694729	+	1000	570.5
124_27	chr1	15835817	15836033	+	1000	565.0
124_28	chr1	50960120	50960327	+	1000	564.5
124_29	chr19	47778342	47778554	+	1000	557.0
124_30	chr11	6390257	6390465	+	1000	554.0
124_31	chr5	139273603	139273815	+	1000	554.0
124_32	chr11	65215890	65216098	+	1000	551.0
124_33	chr19	2169040	2169250	+	1000	546.0
124_34	chr22	19722254	19722459	+	1000	546.0
124_35	chr9	129568063	129568275	+	1000	545.5
124_36	chr1	16620974	16621183	+	1000	544.5
124_37	chr2	70190947	70191159	+	1000	542.0
124_38	chr6	31652538	31652768	+	1000	541.5
124_39	chr5	151447474	151447680	+	1000	533.5
124_40	chr6	37644037	37644239	+	1000	533.0
124_41	chr19	17680273	17680480	+	1000	532.5
124_42	chr5	90529550	90529759	+	1000	531.5
124_43	chr3	42600473	42600677	+	1000	527.5
124_44	chr1	37556802	37557007	+	1000	523.5
124_45	chr12	57086579	57086780	+	1000	521.5
124_46	chr17	64506106	64506345	+	1000	517.5
124_47	chr16	68080089	68080292	+	1000	516.0
124_48	chr1	40161209	40161418	+	1000	515.5
124_49	chr8	41827765	41827969	+	1000	515.5
124_50	chr1	30732189	30732391	+	1000	512.0
124_51	chr19	3812510	3812718	+	1000	510.5
124_52	chr12	124940731	124940933	+	1000	508.0
124_53	chr10	28797203	28797406	+	1000	504.5
124_54	chr1	28736696	28736913	+	1000	503.0
124_55	chr17	63550097	63550306	+	1000	503.0
124_56	chrUn_KI270438v1	112033	112235	+	1000	502.5
124_57	chr3	171460329	171460539	+	1000	500.5
124_58	chr22	22508646	22508872	+	1000	498.0
124_59	chr15	59689252	59689501	+	1000	497.0
124_60	chr16	88992329	88992544	+	1000	494.0
124_61	chr22	22557111	22557331	+	1000	493.0
124_62	chr19	4334980	4335201	+	1000	490.0
124_63	chr10	97687329	97687530	+	1000	489.0
124_64	chr17	49362387	49362588	+	1000	488.5
124_65	chr22	21867752	21867970	+	1000	487.0
124_66	chr7	156893272	156893480	+	1000	487.0
124_67	chr1	234723987	234724193	+	1000	485.5
124_68	chr21	8219906	8220106	+	1000	485.5
124_69	chr16	89700232	89700440	+	1000	481.0
124_70	chr10	73908971	73909178	+	1000	480.5
124_71	chr7	16645970	16646193	+	1000	479.5
124_72	chr1	31938509	31938726	+	1000	478.0
124_73	chr1	10398738	10398940	+	1000	477.5
124_74	chr22	19725398	19725654	+	1000	477.0
124_75	chr19	47446091	47446316	+	1000	475.5
124_76	chrUn_KI270467v1	3050	3251	+	1000	472.5
124_77	chr22	19432335	19432550	+	1000	471.5
124_78	chr1	125180108	125180308	+	1000	470.5
124_79	chr9	113275509	113275709	+	1000	469.0
124_80	chr10	132331938	132332155	+	1000	468.0
124_81	chr22	22942797	22942999	+	1000	467.5
124_82	chr11	62545608	62545811	+	1000	458.0
124_83	chr19	54448941	54449173	+	1000	456.5
124_84	chr2	27890357	27890557	+	1000	456.5
124_85	chr16	85302339	85302563	+	1000	456.0
124_86	chr5	142357036	142357245	+	1000	456.0
124_87	chr1	46522642	46522844	+	1000	455.5
124_88	chr17	42017477	42017716	+	1000	454.5
124_89	chr2	148020785	148020987	+	1000	454.5
124_90	chr1	112700776	112700986	+	1000	454.0
124_91	chr5	138464712	138464928	+	1000	454.0
124_92	chr12	46383449	46383701	+	1000	451.5
124_93	chr22	19891669	19891899	+	1000	451.0
124_94	chr6	30907907	30908117	+	1000	449.5
124_95	chr17	51153407	51153608	+	1000	448.5
124_96	chr1	111755034	111755261	+	1000	448.0
124_97	chr1	205211536	205211743	+	1000	446.5
124_98	chr3	38024775	38024990	+	1000	446.0
124_99	chr6	31399907	31400112	+	1000	443.0
124_100	chr17	80980469	80980669	+	1000	440.5
124_101	chr22	40651978	40652332	+	1000	438.5
124_102	chr19	574777	574993	+	1000	438.0
124_103	chr7	100428734	100428944	+	1000	437.0
124_104	chr19	10420250	10420461	+	1000	436.0
124_105	chr1	30894451	30894669	+	1000	435.0
124_106	chr12	51246366	51246568	+	1000	435.0
124_107	chr3	100401108	100401308	+	1000	434.0
124_108	chr7	73562483	73562694	+	1000	434.0
124_109	chr19	40425524	40425750	+	1000	433.5
124_110	chr1	35557625	35557833	+	1000	433.0
124_111	chr1	228109279	228109509	+	1000	432.5
124_112	chr11	73598350	73598556	+	1000	431.5
124_113	chr12	52069631	52070009	+	1000	431.0
124_114	chr11	809258	809478	+	1000	430.5
124_115	chr21	43922171	43922391	+	1000	430.0
124_116	chr1	111592904	111593109	+	1000	429.5
124_117	chr1	154627907	154628113	+	1000	429.5
124_118	chr22	19727476	19727708	+	1000	428.5
124_119	chr2	191014202	191014407	+	1000	428.0
124_120	chr10	70477868	70478077	+	1000	427.0
124_121	chr5	2136933	2137217	+	1000	427.0
124_122	chrX	11341491	11341705	+	1000	426.5
124_123	chr20	56468321	56468526	+	1000	424.5
124_124	chr12	116359179	116359402	+	1000	424.0
124_125	chr1	40691717	40691933	+	1000	422.5
124_126	chr22	19723404	19723631	+	1000	422.0
124_127	chr1	205749261	205749482	+	1000	421.0
124_128	chr3	12892023	12892237	+	1000	421.0
124_129	chr6	32971579	32971802	+	1000	421.0
124_130	chr19	12782471	12782714	+	1000	420.0
124_131	chr19	7920894	7921094	+	1000	419.5
124_132	chr19	18433131	18433334	+	1000	419.0
124_133	chr22	23145174	23145375	+	1000	419.0
124_134	chr3	37994367	37994568	+	1000	419.0
124_135	chr6	151229380	151229602	+	1000	419.0
124_136	chr12	113358302	113358518	+	1000	418.5
124_137	chr17	45252729	45252936	+	1000	418.5
124_138	chr9	34665529	34665732	+	1000	418.0
124_139	chr16	34588134	34588336	+	1000	416.5
124_140	chr9	131125537	131125747	+	1000	416.5
124_141	chr17	81097389	81097613	+	1000	416.0
124_142	chr6	44246813	44247053	+	1000	416.0
124_143	chr1	37479701	37479908	+	1000	415.5
124_144	chr6	31660724	31660939	+	1000	415.5
124_145	chr7	106978671	106978881	+	1000	415.5
124_146	chr22	19854716	19855000	+	1000	415.0
124_147	chr10	67884480	67884686	+	1000	413.5
124_148	chr1	30907653	30907913	+	1000	411.5
124_149	chr16	89192827	89193047	+	1000	411.0
124_150	chr4	39639008	39639213	+	1000	411.0
124_151	chr19	55648409	55648630	+	1000	410.0
124_152	chr1	42963720	42963970	+	1000	409.5
124_153	chr16	1964660	1964869	+	1000	409.0
124_154	chr20	57090872	57091125	+	1000	408.5
124_155	chr4	77076151	77076382	+	1000	408.5
124_156	chr11	65497512	65497817	+	1000	408.0
124_157	chr5	132962723	132962923	+	1000	407.0
124_158	chr10	58385219	58385427	+	1000	406.0
124_159	chr10	100912612	100912836	+	1000	406.0
124_160	chr9	124202553	124202793	+	1000	406.0
124_161	chr2	61764165	61764404	+	1000	405.5
124_162	chr5	56123887	56124088	+	1000	405.5
124_163	chr7	27663070	27663280	+	1000	405.5
124_164	chrUn_KI270467v1	2263	2471	+	1000	405.5
124_165	chr7	121396181	121396424	+	1000	404.5
124_166	chr16	87854516	87854729	+	1000	404.0
124_167	chr5	176653449	176653668	+	1000	404.0
124_168	chr6	99515990	99516192	+	1000	403.0
124_169	chr6	31197638	31197851	+	1000	402.0
124_170	chr10	79067437	79067646	+	1000	401.0
124_171	chr22	20858313	20858556	+	1000	401.0
124_172	chr16	50741925	50742151	+	1000	400.0
124_173	chr4	13656563	13656783	+	1000	399.5
124_174	chr19	13163119	13163350	+	1000	399.0
124_175	chr20	56415244	56415445	+	1000	399.0
124_176	chr3	184174597	184174797	+	1000	399.0
124_177	chr6	18154974	18155191	+	1000	398.5
124_178	chr16	31179989	31180193	+	1000	398.0
124_179	chr19	47035615	47035818	+	1000	398.0
124_180	chr6	15905978	15906188	+	1000	398.0
124_181	chr10	46217472	46217686	+	1000	397.0
124_182	chr2	97645815	97646022	+	1000	397.0
124_183	chr7	2314758	2314968	+	1000	397.0
124_184	chr10	69124045	69124255	+	1000	396.5
124_185	chr12	57280285	57280500	+	1000	396.0
124_186	chr17	65537926	65538134	+	1000	396.0
124_187	chr16	113554	113763	+	1000	395.5
124_188	chr15	75066045	75066268	+	1000	395.0
124_189	chr19	33177243	33177488	+	1000	394.5
124_190	chr7	139977339	139977546	+	1000	394.5
124_191	chr6	28981622	28981842	+	1000	393.0
124_192	chr20	62302735	62302935	+	1000	392.5
124_193	chr15	65185354	65185557	+	1000	389.0
124_194	chr16	28822546	28822752	+	1000	389.0
124_195	chr15	63503860	63504067	+	1000	388.5
124_196	chr16	68245231	68245452	+	1000	388.5
124_197	chr9	14322686	14322889	+	1000	388.5
124_198	chr6	83430991	83431196	+	1000	388.0
124_199	chr16	88634865	88635071	+	1000	387.5
124_200	chr1	52056381	52056593	+	1000	387.0
124_201	chr1	165598096	165598333	+	1000	387.0
124_202	chr21	32612463	32612681	+	1000	387.0
124_203	chr10	73495942	73496144	+	1000	386.5
124_204	chr15	68818403	68818617	+	1000	386.5
124_205	chr21	17819636	17819898	+	1000	384.5
124_206	chr12	62256850	62257079	+	1000	384.0
124_207	chr7	100539163	100539364	+	1000	383.0
124_208	chr3	5023374	5023576	+	1000	382.5
124_209	chr7	12715596	12715806	+	1000	382.5
124_210	chr1	109984658	109984887	+	1000	382.0
124_211	chr17	7307415	7307623	+	1000	382.0
124_212	chr19	6532273	6532485	+	1000	382.0
124_213	chr2	112055160	112055394	+	1000	382.0
124_214	chr19	3477447	3477732	+	1000	381.0
124_215	chr22	43205613	43205837	+	1000	381.0
124_216	chr6	30742794	30743020	+	1000	381.0
124_217	chr20	50724811	50725030	+	1000	380.5
124_218	chr8	102653709	102653910	+	1000	380.5
124_219	chr6	137866634	137866851	+	1000	379.5
124_220	chr1	26284814	26285019	+	1000	379.0
124_221	chr1	89545698	89545918	+	1000	379.0
124_222	chr8	102806431	102806666	+	1000	378.5
124_223	chr9	128724157	128724502	+	1000	378.5
124_224	chr12	70242865	70243077	+	1000	378.0
124_225	chr15	97960426	97960649	+	1000	377.5
124_226	chr16	81314776	81314985	+	1000	377.5
124_227	chr8	22658734	22658940	+	1000	377.5
124_228	chr17	64975310	64975526	+	1000	377.0
124_229	chr12	48716969	48717172	+	1000	376.5
124_230	chr5	109409745	109410022	+	1000	376.5
124_231	chr6	139518642	139518859	+	1000	376.5
124_232	chr1	16146342	16146555	+	1000	376.0
124_233	chr1	36224151	36224477	+	1000	375.5
124_234	chr2	233426648	233426853	+	1000	375.0
124_235	chr5	88268902	88269108	+	1000	375.0
124_236	chr16	85613382	85613617	+	1000	374.0
124_237	chr19	47743638	47743838	+	1000	373.5
124_238	chr15	50260369	50260574	+	1000	373.0
124_239	chr14	95544667	95544888	+	1000	372.5
124_240	chr2	38602909	38603112	+	1000	372.5
124_241	chr7	107167984	107168224	+	1000	372.5
124_242	chr16	30634394	30634608	+	1000	372.0
124_243	chr1	8197876	8198088	+	1000	371.5
124_244	chr22	21014731	21014992	+	1000	371.0
124_245	chr4	1042530	1042773	+	1000	371.0
124_246	chr7	130135772	130135978	+	1000	371.0
124_247	chr2	168456033	168456249	+	1000	370.5
124_248	chr6	34249055	34249278	+	1000	369.5
124_249	chr8	123396415	123396617	+	1000	369.5
124_250	chr1	110619467	110619699	+	1000	369.0
124_251	chr6	44966876	44967091	+	1000	369.0
124_252	chr1	143214536	143214845	+	1000	367.0
124_253	chr16	22190328	22190555	+	1000	367.0
124_254	chr3	45551435	45551657	+	1000	367.0
124_255	chr8	22694734	22694955	+	1000	367.0
124_256	chr1	92852301	92852528	+	1000	366.5
124_257	chr7	138002120	138002322	+	1000	366.5
124_258	chr1	179047019	179047252	+	1000	366.0
124_259	chr5	141619098	141619318	+	1000	366.0
124_260	chr10	74854158	74854365	+	1000	365.5
124_261	chr3	150600863	150601104	+	1000	365.5
124_262	chr16	81007032	81007304	+	1000	365.0
124_263	chr10	7007599	7007836	+	1000	364.5
124_264	chr10	72272739	72272951	+	1000	364.5
124_265	chr17	47229848	47230048	+	1000	364.5
124_266	chr19	2475856	2476072	+	1000	364.5
124_267	chr19	35903770	35903971	+	1000	364.5
124_268	chr12	54473483	54473707	+	1000	363.0
124_269	chr15	99427737	99427947	+	1000	363.0
124_270	chr20	56429366	56429760	+	1000	363.0
124_271	chr1	26201174	26201394	+	1000	362.5
124_272	chr19	47112221	47112433	+	1000	362.5
124_273	chr7	76291562	76291765	+	1000	362.5
124_274	chr8	731302	731519	+	1000	362.5
124_275	chr11	65919260	65919468	+	1000	361.5
124_276	chr18	812487	812694	+	1000	361.5
124_277	chr3	13007572	13007833	+	1000	361.0
124_278	chr6	36680486	36680698	+	1000	361.0
124_279	chr7	105012597	105012809	+	1000	361.0
124_280	chr9	99819808	99820019	+	1000	361.0
124_281	chr11	17276209	17276443	+	1000	359.0
124_282	chr16	46394708	46394908	+	1000	359.0
124_283	chr10	27155160	27155370	+	1000	358.5
124_284	chr1	30768966	30769188	+	1000	357.5
124_285	chr12	51026226	51026453	+	1000	356.5
124_286	chr16	2136099	2136309	+	1000	356.5
124_287	chrX	152872568	152872778	+	1000	356.5
124_288	chr12	54369186	54369412	+	1000	356.0
124_289	chr22	20867434	20867697	+	1000	356.0
124_290	chr19	3435112	3435314	+	1000	355.5
124_291	chr2	152718204	152718594	+	1000	355.5
124_292	chr2	239269161	239269368	+	1000	355.5
124_293	chr1	201955134	201955335	+	1000	355.0
124_294	chr1	244353847	244354058	+	1000	354.0
124_295	chr7	10940308	10940524	+	1000	354.0
124_296	chr19	16111520	16111724	+	1000	353.0
124_297	chr22	29581089	29581304	+	1000	353.0
124_298	chr11	77994590	77994804	+	1000	352.5
124_299	chr2	46877642	46877850	+	1000	352.5
124_300	chrUn_KI270438v1	104786	104994	+	1000	352.5
124_301	chr17	75855415	75855617	+	1000	352.0
124_302	chr1	182300062	182300263	+	1000	351.5
124_303	chr12	57088600	57088813	+	1000	351.5
