#PeakID(python identify_motif.py ./ENCODE_processed_files/MYC_idr.fa MYC --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
640_10008	chr6	68635008	68635408	+	1000	83.0	[]	[]	[8.415534]	[184]	[]	[68635206]
640_10019	chr8	9438536	9438936	+	1000	83.0	[9.859796, 9.859796]	[78, 87]	[12.820818, 12.820818]	[79, 88]	[9438713, 9438722]	[9438714, 9438723]
640_10021	chr8	95131168	95131568	+	1000	83.0	[12.820818]	[118]	[9.859796]	[119]	[95131380]	[95131381]
640_10023	chr8	143952550	143952950	+	1000	83.0	[9.957076]	[73]	[12.820818]	[74]	[143952710]	[143952711]
640_1003	chr9	120897186	120897586	+	1000	259.0	[8.334265]	[119]	[]	[]	[120897368]	[]
640_10030	chr9	127825559	127825959	+	1000	83.0	[7.3538165]	[101]	[]	[]	[127825756]	[]
640_10035	chrX	153667930	153668330	+	1000	83.0	[12.820818]	[104]	[9.957076]	[105]	[153668132]	[153668133]
640_10037	chr1	1347864	1348264	+	1000	82.0	[7.3805842]	[103]	[7.981569]	[104]	[1348060]	[1348061]
640_10038	chr1	17437768	17438168	+	1000	82.0	[7.981569]	[84]	[]	[]	[17437937]	[]
640_10039	chr1	20493795	20494195	+	1000	82.0	[8.334265]	[79]	[7.5613456]	[80]	[20493969]	[20493970]
640_10044	chr1	71047616	71048016	+	1000	82.0	[]	[]	[7.4328523]	[161]	[]	[71047863]
640_10045	chr1	93847393	93847793	+	1000	82.0	[]	[]	[8.334265]	[87]	[]	[93847568]
640_10051	chr1	203273051	203273451	+	1000	82.0	[7.5613456]	[78]	[]	[]	[203273218]	[]
640_10065	chr11	69295120	69295520	+	1000	82.0	[7.2921777]	[62]	[]	[]	[69295278]	[]
