#PeakID(python identify_motif.py ./ENCODE_processed_files/JUND_idr.fa JUND --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
658_100	chr2	43293810	43294210	+	1000	564.0	[12.337575, 12.340323]	[67, 137]	[9.608511, 13.200696]	[67, 137]	[43293975, 43294045]	[43293975, 43294045]
658_10000	chr5	83095888	83096288	+	1000	121.0	[8.706673, 10.9372835]	[106, 128]	[10.9372835, 8.706673, 8.221637]	[106, 128, 141]	[83096092, 83096114]	[83096092, 83096114, 83096127]
658_10003	chr5	108801784	108802184	+	1000	121.0	[12.132883]	[86]	[12.128834]	[86]	[108801968]	[108801968]
658_10007	chr6	4928394	4928794	+	1000	121.0	[9.998118]	[92]	[11.547925]	[92]	[4928551]	[4928551]
658_10017	chr6	150169615	150170015	+	1000	121.0	[14.169626, 7.2844954]	[112, 123]	[11.371393]	[112]	[150169825, 150169836]	[150169825]
658_10018	chr7	56107137	56107537	+	1000	121.0	[6.2111917]	[68]	[7.349969]	[68]	[56107303]	[56107303]
658_10023	chr8	23551340	23551740	+	1000	121.0	[9.107981]	[78]	[10.535975]	[78]	[23551510]	[23551510]
658_10026	chr8	61627229	61627629	+	1000	121.0	[12.655612]	[109]	[11.393932]	[109]	[61627427]	[61627427]
658_10027	chr8	61789846	61790246	+	1000	121.0	[12.655612]	[116]	[11.393932]	[116]	[61790059]	[61790059]
658_10029	chr8	128251750	128252150	+	1000	121.0	[9.107981, 9.107981]	[91, 105]	[10.535975, 10.535975]	[91, 105]	[128251934, 128251948]	[128251934, 128251948]
658_10032	chr9	97876696	97877096	+	1000	121.0	[10.826309]	[76]	[13.223235]	[76]	[97876870]	[97876870]
658_10033	chr9	105053116	105053516	+	1000	121.0	[9.990892, 10.535975]	[79, 113]	[8.16159, 9.107981]	[79, 113]	[105053285, 105053319]	[105053285, 105053319]
658_10034	chr9	123340056	123340456	+	1000	121.0	[14.169626]	[98]	[11.371393]	[98]	[123340251]	[123340251]
658_10038	chrX	11239221	11239621	+	1000	121.0	[11.482367]	[86]	[9.653064]	[86]	[11239407]	[11239407]
658_10039	chrX	11374617	11375017	+	1000	121.0	[12.337575]	[97]	[9.608511]	[97]	[11374810]	[11374810]
658_10043	chr1	25256569	25256969	+	1000	120.0	[9.653064]	[80]	[11.482367]	[80]	[25256745]	[25256745]
658_10049	chr1	158686532	158686932	+	1000	120.0	[10.9372835]	[123]	[8.706673]	[123]	[158686754]	[158686754]
658_10053	chr1	234624739	234625139	+	1000	120.0	[11.393932]	[125]	[12.655612]	[125]	[234624946]	[234624946]
658_10058	chr10	21550084	21550484	+	1000	120.0	[12.340323]	[95]	[13.200696]	[95]	[21550268]	[21550268]
658_10061	chr10	77965356	77965756	+	1000	120.0	[9.650316]	[109]	[7.890182]	[109]	[77965565]	[77965565]
658_10063	chr10	97399981	97400381	+	1000	120.0	[10.338868]	[104]	[8.119912]	[104]	[97400185]	[97400185]
658_10064	chr11	12174485	12174885	+	1000	120.0	[11.393932]	[140]	[12.655612]	[140]	[12174713]	[12174713]
658_10065	chr11	61756372	61756772	+	1000	120.0	[13.223235]	[122]	[10.826309]	[122]	[61756578]	[61756578]
658_10069	chr11	75537079	75537479	+	1000	120.0	[9.464114, 9.990892]	[85, 96]	[8.90054, 8.16159]	[85, 96]	[75537262, 75537273]	[75537262, 75537273]
658_10075	chr11	124301478	124301878	+	1000	120.0	[14.058652]	[108]	[15.887955]	[108]	[124301676]	[124301676]
658_10076	chr12	28780033	28780433	+	1000	120.0	[14.058652, 10.826309]	[74, 131]	[15.887955, 13.223235]	[74, 131]	[28780207, 28780264]	[28780207, 28780264]
658_10077	chr12	49730553	49730953	+	1000	120.0	[9.949216, 6.12527]	[86, 100]	[8.509564, 7.592848]	[86, 140]	[49730738, 49730752]	[49730738, 49730792]
658_1008	chr1	156661328	156661728	+	1000	370.0	[10.9372835]	[86]	[8.706673]	[86]	[156661513]	[156661513]
658_10080	chr12	124920064	124920464	+	1000	120.0	[9.107981]	[114]	[8.620539, 10.535975]	[95, 114]	[124920278]	[124920259, 124920278]
658_10081	chr13	60399190	60399590	+	1000	120.0	[14.169626]	[94]	[11.371393]	[94]	[60399377]	[60399377]
658_10084	chr14	76959339	76959739	+	1000	120.0	[11.482367]	[109]	[9.653064]	[109]	[76959545]	[76959545]
658_10085	chr14	89000561	89000961	+	1000	120.0	[12.655612, 6.765775]	[90, 140]	[11.393932, 8.883204]	[90, 140]	[89000733, 89000783]	[89000733, 89000783]
658_10086	chr15	25850462	25850862	+	1000	120.0	[11.482367]	[103]	[9.653064]	[103]	[25850658]	[25850658]
658_10089	chr15	65295924	65296324	+	1000	120.0	[]	[]	[6.7076235]	[108]	[]	[65296123]
658_1009	chr10	17216171	17216571	+	1000	370.0	[8.680293, 11.371393]	[75, 96]	[10.575411, 14.169626]	[75, 96]	[17216339, 17216360]	[17216339, 17216360]
658_10090	chr15	81085219	81085619	+	1000	120.0	[7.0539017]	[121]	[8.595078]	[121]	[81085433]	[81085433]
658_10093	chr16	89216225	89216625	+	1000	120.0	[10.9372835]	[115]	[8.706673]	[115]	[89216430]	[89216430]
658_10097	chr17	13306594	13306994	+	1000	120.0	[9.998118]	[121]	[11.547925]	[121]	[13306809]	[13306809]
658_10098	chr17	33666909	33667309	+	1000	120.0	[9.653064]	[105]	[11.482367]	[105]	[33667107]	[33667107]
658_101	chr7	22350772	22351172	+	1000	564.0	[10.535975]	[94]	[9.107981]	[94]	[22350960]	[22350960]
658_10101	chr17	78986799	78987199	+	1000	120.0	[12.655612]	[103]	[11.393932]	[103]	[78986998]	[78986998]
658_10102	chr18	3604586	3604986	+	1000	120.0	[14.058652]	[146]	[15.887955]	[146]	[3604793]	[3604793]
658_10108	chr19	48206754	48207154	+	1000	120.0	[10.535975]	[117]	[9.107981]	[117]	[48206970]	[48206970]
658_10114	chr2	20141435	20141835	+	1000	120.0	[11.482367]	[85]	[9.653064]	[85]	[20141617]	[20141617]
658_10115	chr2	26396682	26397082	+	1000	120.0	[10.835192]	[134]	[8.335119]	[134]	[26396910]	[26396910]
658_10119	chr2	113842883	113843283	+	1000	120.0	[11.393932]	[93]	[12.655612]	[93]	[113843068]	[113843068]
658_10120	chr2	176018661	176019061	+	1000	120.0	[8.706673]	[117]	[10.9372835]	[117]	[176018862]	[176018862]
658_10122	chr20	35821828	35822228	+	1000	120.0	[8.595078]	[106]	[7.0539017]	[106]	[35822030]	[35822030]
658_10125	chr22	37762525	37762925	+	1000	120.0	[11.393932]	[97]	[12.655612]	[97]	[37762721]	[37762721]
658_10128	chr3	72008591	72008991	+	1000	120.0	[11.393932]	[91]	[12.655612]	[91]	[72008780]	[72008780]
658_10129	chr3	72018347	72018747	+	1000	120.0	[11.393932]	[84]	[12.655612]	[84]	[72018528]	[72018528]
658_10131	chr3	101936556	101936956	+	1000	120.0	[13.200696]	[83]	[12.340323, 7.6028485]	[83, 99]	[101936731]	[101936731, 101936747]
658_10132	chr3	142808071	142808471	+	1000	120.0	[8.706673, 10.410505]	[74, 114]	[10.9372835, 9.445623]	[74, 114]	[142808238, 142808278]	[142808238, 142808278]
658_10135	chr4	78650141	78650541	+	1000	120.0	[7.4771633]	[101]	[7.287559]	[101]	[78650337]	[78650337]
658_10138	chr4	122765697	122766097	+	1000	120.0	[10.9372835]	[98]	[8.706673]	[98]	[122765894]	[122765894]
658_10139	chr5	10627867	10628267	+	1000	120.0	[7.2759295]	[152]	[8.773093]	[152]	[10628116]	[10628116]
658_10140	chr5	89878257	89878657	+	1000	120.0	[14.169626]	[89]	[11.371393]	[89]	[89878445]	[89878445]
