#PeakID(python identify_motif.py ./ENCODE_processed_files/JUNB_idr.fa JUNB --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
771_10003	chr14	77059546	77059946	+	815	31.0	[8.426227]	[99]	[10.545317]	[99]	[77059729]	[77059729]
771_10015	chr15	65805042	65805442	+	991	31.0	[6.620499]	[233]	[]	[]	[65805290]	[]
771_10017	chr15	74954507	74954907	+	971	31.0	[7.6302204]	[144]	[7.619093]	[144]	[74954707]	[74954707]
771_10023	chr16	1961115	1961515	+	940	31.0	[]	[]	[7.4109645]	[145]	[]	[1961296]
771_1005	chr9	135951904	135952304	+	1000	83.0	[10.325372, 7.9042892]	[95, 164]	[7.9050317]	[95]	[135952083, 135952152]	[135952083]
771_10058	chr16	87806181	87806581	+	744	31.0	[13.28149]	[107]	[11.291996]	[107]	[87806374]	[87806374]
771_1006	chrX	154799045	154799445	+	1000	83.0	[9.447061, 9.447061]	[83, 126]	[6.725914, 7.995023, 6.725914]	[83, 89, 126]	[154799215, 154799258]	[154799215, 154799221, 154799258]
771_10062	chr17	2359566	2359966	+	1000	31.0	[15.927315]	[103]	[13.506975, 6.6615605, 7.161842]	[103, 122, 135]	[2359749]	[2359749, 2359768, 2359781]
771_10067	chr17	28646272	28646672	+	882	31.0	[]	[]	[6.683848]	[187]	[]	[28646472]
771_10081	chr17	54891159	54891559	+	908	31.0	[12.4798975]	[93]	[12.491025]	[93]	[54891350]	[54891350]
771_10082	chr17	55067691	55068091	+	1000	31.0	[13.506975]	[106]	[15.927315]	[106]	[55067896]	[55067896]
771_10087	chr17	73201283	73201683	+	1000	31.0	[15.927315]	[62]	[13.506975]	[62]	[73201443]	[73201443]
771_10094	chr17	79916049	79916449	+	895	31.0	[8.124977]	[121]	[10.846566]	[121]	[79916261]	[79916261]
771_10097	chr17	81553502	81553902	+	966	31.0	[8.646172]	[149]	[11.066511]	[149]	[81553698]	[81553698]
771_10103	chr18	864793	865193	+	973	31.0	[]	[]	[7.1393647]	[83]	[]	[864949]
771_10105	chr18	35240838	35241238	+	931	31.0	[7.8418097]	[211]	[]	[]	[35241076]	[]
771_1011	chr1	161132785	161133185	+	1000	82.0	[15.927315]	[168]	[13.506975]	[168]	[161133025]	[161133025]
771_1012	chr1	200150608	200151008	+	1000	82.0	[13.506975]	[120]	[15.927315]	[120]	[200150819]	[200150819]
