#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2C2_idr.fa NR2C2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
151_100	chr11	58578072	58578472	+	1000	1193.0	[]	[]	[7.9852743]	[72]	[]	[58578234]
151_10012	chr2	231675082	231675482	+	1000	106.0	[9.164563]	[113]	[]	[]	[231675291]	[]
151_10013	chr20	266644	267044	+	1000	106.0	[]	[]	[9.164563]	[89]	[]	[266812]
151_10015	chr20	57274897	57275297	+	1000	106.0	[9.164563]	[115]	[]	[]	[57275100]	[]
151_10026	chr3	9642754	9643154	+	1000	106.0	[9.443364]	[91]	[]	[]	[9642938]	[]
151_10028	chr3	38317119	38317519	+	1000	106.0	[9.443364, 9.443364]	[110, 117]	[]	[]	[38317328, 38317335]	[]
151_10033	chr3	101938416	101938816	+	1000	106.0	[]	[]	[9.164563]	[99]	[]	[101938590]
151_10040	chr4	74544951	74545351	+	1000	106.0	[9.443364, 9.443364]	[78, 127]	[]	[]	[74545128, 74545177]	[]
151_10043	chr4	84126815	84127215	+	1000	106.0	[9.164563, 9.164563]	[86, 146]	[]	[]	[84126996, 84127056]	[]
151_10044	chr4	150950611	150951011	+	1000	106.0	[9.443364, 9.443364]	[107, 118]	[]	[]	[150950811, 150950822]	[]
151_10050	chr5	111512860	111513260	+	1000	106.0	[]	[]	[9.443364]	[162]	[]	[111513100]
151_10051	chr5	138601398	138601798	+	1000	106.0	[9.443364]	[82]	[]	[]	[138601567]	[]
151_10054	chr6	17700779	17701179	+	1000	106.0	[7.9852743]	[143]	[]	[]	[17701011]	[]
151_10059	chr6	149717823	149718223	+	1000	106.0	[7.7064734]	[145]	[]	[]	[149718005]	[]
151_10063	chr8	9171789	9172189	+	1000	106.0	[]	[]	[9.443364]	[96]	[]	[9171974]
151_10067	chr9	98182242	98182642	+	1000	106.0	[]	[]	[9.164563]	[83]	[]	[98182400]
151_10069	chr9	98929771	98930171	+	1000	106.0	[]	[]	[9.443364]	[98]	[]	[98929959]
151_10075	chrX	119041151	119041551	+	1000	106.0	[9.164563]	[115]	[9.443364]	[137]	[119041361]	[119041383]
151_10078	chr1	7857015	7857415	+	1000	105.0	[]	[]	[9.443364]	[147]	[]	[7857228]
151_10082	chr1	23484508	23484908	+	1000	105.0	[]	[]	[9.443364]	[55]	[]	[23484662]
151_10087	chr1	53837193	53837593	+	1000	105.0	[9.443364]	[108]	[]	[]	[53837358]	[]
151_10088	chr1	60958009	60958409	+	1000	105.0	[]	[]	[9.164563]	[114]	[]	[60958206]
151_10089	chr1	61966778	61967178	+	1000	105.0	[]	[]	[9.443364, 9.443364]	[156, 173]	[]	[61966993, 61967010]
151_10098	chr10	63107926	63108326	+	1000	105.0	[]	[]	[9.443364]	[109]	[]	[63108098]
151_10099	chr10	67788530	67788930	+	1000	105.0	[9.443364, 9.164563]	[56, 97]	[]	[]	[67788685, 67788726]	[]
151_10106	chr10	119688108	119688508	+	1000	105.0	[]	[]	[9.443364, 9.443364]	[71, 88]	[]	[119688273, 119688290]
151_10107	chr11	67321521	67321921	+	1000	105.0	[9.443364]	[107]	[]	[]	[67321706]	[]
151_1011	chr6	20402812	20403212	+	1000	512.0	[9.164563]	[76]	[]	[]	[20402976]	[]
151_10113	chr12	111404522	111404922	+	1000	105.0	[9.443364]	[125]	[]	[]	[111404708]	[]
151_10119	chr14	71143627	71144027	+	1000	105.0	[]	[]	[9.443364]	[142]	[]	[71143863]
151_10122	chr15	70249579	70249979	+	1000	105.0	[]	[]	[9.164563]	[150]	[]	[70249829]
151_10127	chr16	30090108	30090508	+	1000	105.0	[9.443364]	[165]	[9.164563]	[199]	[30090291]	[30090325]
151_10131	chr17	3917432	3917832	+	1000	105.0	[9.164563, 9.443364]	[133, 175]	[]	[]	[3917635, 3917677]	[]
151_10144	chr2	10408171	10408571	+	1000	105.0	[9.443364]	[116]	[]	[]	[10408387]	[]
151_10147	chr2	45578482	45578882	+	1000	105.0	[9.443364]	[164]	[]	[]	[45578719]	[]
151_10153	chr20	17808399	17808799	+	1000	105.0	[]	[]	[9.443364]	[104]	[]	[17808591]
151_10160	chr22	28800585	28800985	+	1000	105.0	[9.164563]	[77]	[]	[]	[28800745]	[]
151_10161	chr22	29084019	29084419	+	1000	105.0	[9.443364]	[94]	[]	[]	[29084191]	[]
151_10163	chr3	4467040	4467440	+	1000	105.0	[]	[]	[9.164563]	[139]	[]	[4467264]
151_10168	chr4	41909172	41909572	+	952	105.0	[9.443364, 9.443364]	[100, 114]	[]	[]	[41909365, 41909379]	[]
151_10170	chr4	182917326	182917726	+	1000	105.0	[7.7064734]	[84]	[]	[]	[182917507]	[]
151_10171	chr5	55307643	55308043	+	1000	105.0	[7.9852743]	[132]	[]	[]	[55307829]	[]
151_10175	chr5	150142775	150143175	+	1000	105.0	[9.443364]	[193]	[9.443364]	[166]	[150143000]	[150142973]
151_10176	chr5	150428271	150428671	+	1000	105.0	[9.443364]	[141]	[]	[]	[150428499]	[]
151_10177	chr5	170331233	170331633	+	1000	105.0	[]	[]	[9.443364]	[162]	[]	[170331458]
151_10178	chr5	172150469	172150869	+	1000	105.0	[9.443364]	[122]	[]	[]	[172150630]	[]
151_10179	chr6	3212658	3213058	+	788	105.0	[9.443364]	[88]	[]	[]	[3212843]	[]
151_1018	chr1	12604386	12604786	+	1000	507.0	[]	[]	[9.443364, 9.164563]	[122, 133]	[]	[12604603, 12604614]
151_10180	chr6	6657140	6657540	+	1000	105.0	[]	[]	[9.443364]	[92]	[]	[6657295]
151_10183	chr6	28981842	28982242	+	1000	105.0	[9.443364]	[143]	[]	[]	[28982080]	[]
151_10186	chr6	139376610	139377010	+	1000	105.0	[9.443364]	[97]	[]	[]	[139376800]	[]
151_10188	chr6	150573013	150573413	+	1000	105.0	[9.164563]	[148]	[9.164563]	[131]	[150573257]	[150573240]
151_10189	chr7	16421243	16421643	+	1000	105.0	[7.7064734]	[103]	[]	[]	[16421395]	[]
151_10190	chr7	73341872	73342272	+	1000	105.0	[]	[]	[9.443364]	[152]	[]	[73342114]
151_10191	chr7	157319781	157320181	+	1000	105.0	[9.443364, 9.443364]	[104, 147]	[]	[]	[157319950, 157319993]	[]
151_10193	chr8	9338189	9338589	+	1000	105.0	[]	[]	[9.443364]	[144]	[]	[9338432]
151_10194	chr8	21959905	21960305	+	1000	105.0	[]	[]	[9.164563]	[144]	[]	[21960147]
151_10195	chr8	27490995	27491395	+	1000	105.0	[]	[]	[7.9852743]	[162]	[]	[27491232]
151_10199	chr9	126985049	126985449	+	1000	105.0	[]	[]	[9.443364, 9.164563]	[127, 137]	[]	[126985267, 126985277]
151_10200	chr9	127509443	127509843	+	1000	105.0	[9.443364]	[132]	[]	[]	[127509670]	[]
151_10201	chr9	128007516	128007916	+	1000	105.0	[]	[]	[9.443364]	[72]	[]	[128007686]
151_10206	chr1	7621841	7622241	+	1000	104.0	[]	[]	[9.443364, 9.164563]	[121, 142]	[]	[7622059, 7622080]
151_10208	chr1	21953070	21953470	+	1000	104.0	[9.443364]	[164]	[]	[]	[21953291]	[]
151_10211	chr1	40784295	40784695	+	830	104.0	[]	[]	[7.7064734]	[125]	[]	[40784514]
151_10220	chr1	155991064	155991464	+	1000	104.0	[9.164563, 9.164563]	[134, 163]	[9.443364, 9.443364]	[126, 155]	[155991282, 155991311]	[155991274, 155991303]
151_10223	chr1	181104958	181105358	+	1000	104.0	[9.443364]	[150]	[]	[]	[181105141]	[]
151_10229	chr1	245042547	245042947	+	1000	104.0	[]	[]	[9.443364]	[251]	[]	[245042793]
151_10234	chr10	22658666	22659066	+	1000	104.0	[9.443364, 9.443364]	[114, 122]	[]	[]	[22658866, 22658874]	[]
151_10236	chr10	60979728	60980128	+	1000	104.0	[9.443364]	[153]	[]	[]	[60979918]	[]
151_10240	chr11	69298371	69298771	+	1000	104.0	[9.443364]	[125]	[]	[]	[69298557]	[]
151_10244	chr11	129960190	129960590	+	1000	104.0	[9.443364]	[112]	[]	[]	[129960398]	[]
151_1025	chr11	113314284	113314684	+	1000	505.0	[]	[]	[9.164563]	[117]	[]	[113314482]
151_10253	chr16	4802034	4802434	+	1000	104.0	[7.9852743]	[100]	[]	[]	[4802226]	[]
151_10260	chr17	28726750	28727150	+	1000	104.0	[]	[]	[9.164563]	[99]	[]	[28726946]
151_10264	chr17	55332575	55332975	+	1000	104.0	[]	[]	[9.443364]	[123]	[]	[55332790]
151_10266	chr18	3585751	3586151	+	1000	104.0	[]	[]	[9.443364]	[112]	[]	[3585943]
151_1027	chr5	180809850	180810250	+	1000	505.0	[7.7064734, 7.7064734]	[114, 170]	[7.7064734]	[92]	[180810030, 180810086]	[180810008]
151_10278	chr2	86204503	86204903	+	1000	104.0	[]	[]	[9.443364]	[90]	[]	[86204683]
151_10284	chr2	200125004	200125404	+	1000	104.0	[9.443364]	[150]	[]	[]	[200125215]	[]
151_10289	chr21	35480968	35481368	+	1000	104.0	[]	[]	[9.164563]	[68]	[]	[35481135]
151_10290	chr21	43857530	43857930	+	1000	104.0	[9.443364]	[75]	[]	[]	[43857682]	[]
151_10292	chr22	21704686	21705086	+	1000	104.0	[]	[]	[7.9852743, 7.9852743]	[94, 156]	[]	[21704858, 21704920]
151_10293	chr22	23138998	23139398	+	1000	104.0	[9.164563]	[172]	[9.443364]	[153]	[23139246]	[23139227]
151_10299	chr3	14901458	14901858	+	1000	104.0	[9.443364]	[131]	[]	[]	[14901648]	[]
151_1030	chr12	56202360	56202760	+	1000	504.0	[]	[]	[9.443364, 9.443364]	[125, 132]	[]	[56202582, 56202589]
151_10300	chr3	24343155	24343555	+	741	104.0	[9.164563]	[134]	[]	[]	[24343358]	[]
151_10302	chr3	100089691	100090091	+	1000	104.0	[]	[]	[9.443364]	[73]	[]	[100089861]
151_10305	chr3	195141299	195141699	+	1000	104.0	[]	[]	[9.443364]	[84]	[]	[195141477]
151_10309	chr5	132666673	132667073	+	1000	104.0	[9.443364]	[112]	[]	[]	[132666876]	[]
151_10310	chr5	172433523	172433923	+	1000	104.0	[]	[]	[9.443364]	[107]	[]	[172433726]
151_10313	chr5	178232445	178232845	+	1000	104.0	[7.7064734]	[120]	[]	[]	[178232646]	[]
151_10316	chr6	15556674	15557074	+	1000	104.0	[9.443364, 9.443364]	[143, 182]	[]	[]	[15556881, 15556920]	[]
151_10323	chr6	137707985	137708385	+	1000	104.0	[]	[]	[9.443364]	[182]	[]	[137708208]
151_10324	chr6	139394238	139394638	+	1000	104.0	[]	[]	[9.443364]	[110]	[]	[139394434]
151_10335	chr8	94749397	94749797	+	1000	104.0	[9.443364]	[151]	[]	[]	[94749625]	[]
151_10336	chr8	102331072	102331472	+	1000	104.0	[9.164563]	[137]	[]	[]	[102331273]	[]
151_10340	chr9	92752784	92753184	+	1000	104.0	[9.443364, 9.443364]	[133, 153]	[]	[]	[92752999, 92753019]	[]
151_10341	chr9	97832178	97832578	+	1000	104.0	[]	[]	[9.164563]	[127]	[]	[97832389]
151_10343	chr9	98256812	98257212	+	1000	104.0	[]	[]	[7.7064734]	[137]	[]	[98257028]
151_10350	chr1	11060039	11060439	+	1000	103.0	[7.7064734]	[147]	[]	[]	[11060242]	[]
