#PeakID(python identify_motif.py ./ENCODE_processed_files/BACH1_idr.fa BACH1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
593_1	chr4	8303572	8303972	+	1000	782.0	[16.412586, 16.412586, 16.412586, 16.412586]	[64, 90, 116, 142]	[7.2059402, 7.2059402]	[62, 88]	[8303732, 8303758, 8303784, 8303810]	[8303730, 8303756]
593_100	chr1	92708367	92708767	+	1000	313.0	[16.412586]	[139]	[7.2059402]	[137]	[92708590]	[92708588]
593_1000	chr10	45495751	45496151	+	1000	83.0	[13.45553, 8.237969]	[96, 147]	[6.6792603, 8.011604]	[94, 145]	[45495929, 45495980]	[45495927, 45495978]
593_1002	chr17	20059747	20060147	+	1000	83.0	[]	[]	[11.999462]	[57]	[]	[20059902]
593_1004	chr3	45269977	45270377	+	1000	83.0	[6.861438, 12.32841]	[95, 104]	[13.902448]	[102]	[45270170, 45270179]	[45270177]
593_1006	chr3	155243391	155243791	+	1000	83.0	[]	[]	[16.412586]	[103]	[]	[155243588]
593_1007	chr3	177263683	177264083	+	1000	83.0	[]	[]	[12.082088]	[106]	[]	[177263883]
593_1009	chr4	88178269	88178669	+	1000	83.0	[6.6750875, 16.412586]	[86, 114]	[]	[]	[88178444, 88178472]	[]
593_101	chr6	149868268	149868668	+	1000	312.0	[16.412586, 11.6737585, 10.162996]	[84, 110, 123]	[9.636316, 9.636316, 7.407627]	[82, 108, 121]	[149868447, 149868473, 149868486]	[149868445, 149868471, 149868484]
593_1014	chr8	130194638	130195038	+	1000	83.0	[13.902448]	[124]	[9.189399]	[122]	[130194854]	[130194852]
593_1015	chr1	42962818	42963218	+	1000	82.0	[13.902448]	[73]	[]	[]	[42962969]	[]
593_1017	chr1	165836730	165837130	+	1000	82.0	[]	[]	[12.235088]	[103]	[]	[165836920]
593_1021	chr16	70332656	70333056	+	1000	82.0	[7.2059402]	[129]	[16.412586]	[127]	[70332880]	[70332878]
593_1022	chr19	13399122	13399522	+	1000	82.0	[13.902448]	[159]	[16.412586, 13.45553]	[91, 157]	[13399365]	[13399297, 13399363]
593_1024	chr20	22836822	22837222	+	1000	82.0	[16.412586]	[98]	[]	[]	[22837019]	[]
593_1025	chr20	35901205	35901605	+	1000	82.0	[7.1189213, 6.7715845]	[69, 91]	[]	[]	[35901371, 35901393]	[]
593_1026	chr22	20320072	20320472	+	1000	82.0	[]	[]	[16.412586]	[155]	[]	[20320323]
593_1027	chr4	4443715	4444115	+	1000	82.0	[16.412586]	[80]	[10.945392]	[78]	[4443893]	[4443891]
593_1029	chr6	13395287	13395687	+	1000	82.0	[6.7819014]	[84]	[12.235088]	[109]	[13395468]	[13395493]
593_103	chr9	87713337	87713737	+	1000	311.0	[11.977605, 7.9979124]	[92, 129]	[11.999462]	[90]	[87713527, 87713564]	[87713525]
593_1030	chr6	28542765	28543165	+	1000	82.0	[]	[]	[8.238153]	[114]	[]	[28542952]
593_1034	chr8	72111950	72112350	+	1000	82.0	[6.6792603, 16.412586]	[128, 148]	[11.6737585, 7.0733485]	[126, 146]	[72112151, 72112171]	[72112149, 72112169]
593_1035	chr10	22042542	22042942	+	1000	81.0	[16.412586]	[117]	[9.818272]	[115]	[22042749]	[22042747]
593_1039	chr17	55086553	55086953	+	1000	81.0	[9.5834875]	[154]	[13.902448]	[152]	[55086796]	[55086794]
593_1041	chr2	169050669	169051069	+	1000	81.0	[7.5900736, 12.082088]	[120, 148]	[6.3859158]	[146]	[169050857, 169050885]	[169050883]
593_1042	chr3	142886874	142887274	+	1000	81.0	[16.412586]	[121]	[]	[]	[142887082]	[]
593_1044	chr6	24822045	24822445	+	1000	81.0	[7.0733485]	[107]	[16.412586]	[105]	[24822245]	[24822243]
593_1046	chr7	67602241	67602641	+	1000	81.0	[10.945392]	[112]	[16.412586]	[110]	[67602444]	[67602442]
593_1047	chr9	128082184	128082584	+	1000	81.0	[]	[]	[16.412586]	[83]	[]	[128082365]
593_1048	chr1	20630724	20631124	+	1000	80.0	[16.412586, 6.3953323]	[99, 145]	[13.902448]	[97]	[20630917, 20630963]	[20630915]
593_1050	chr1	43776416	43776816	+	1000	80.0	[]	[]	[16.412586]	[95]	[]	[43776602]
593_1052	chr14	41597617	41598017	+	1000	80.0	[6.1916084]	[91]	[]	[]	[41597805]	[]
593_1054	chr15	90038243	90038643	+	1000	80.0	[6.6792603]	[98]	[16.412586]	[96]	[90038428]	[90038426]
593_1055	chr18	59918438	59918838	+	1000	80.0	[16.412586]	[104]	[7.2059402]	[102]	[59918638]	[59918636]
593_1058	chr2	70777446	70777846	+	1000	80.0	[16.412586]	[105]	[]	[]	[70777640]	[]
593_106	chr12	127083348	127083748	+	1000	304.0	[13.902448]	[104]	[9.5834875, 6.861438]	[102, 131]	[127083545]	[127083543, 127083572]
593_1061	chr3	40299845	40300245	+	1000	80.0	[6.6792603]	[105]	[16.412586]	[103]	[40300050]	[40300048]
593_1062	chr3	120839141	120839541	+	1000	80.0	[16.412586]	[117]	[7.0733485]	[115]	[120839344]	[120839342]
593_1064	chr4	76459443	76459843	+	1000	80.0	[7.2059402]	[105]	[16.412586]	[103]	[76459644]	[76459642]
593_1065	chr4	98878535	98878935	+	1000	80.0	[11.977605]	[147]	[]	[]	[98878762]	[]
593_1066	chr4	176879352	176879752	+	1000	80.0	[]	[]	[16.412586]	[118]	[]	[176879560]
593_1068	chr6	41966995	41967395	+	1000	80.0	[7.2059402]	[99]	[16.412586, 11.296419]	[97, 167]	[41967174]	[41967172, 41967242]
593_1069	chr6	96898392	96898792	+	1000	80.0	[6.6792603]	[116]	[16.412586]	[114]	[96898597]	[96898595]
593_1070	chr7	2757872	2758272	+	1000	80.0	[13.902448]	[126]	[13.45553, 13.45553]	[93, 124]	[2758079]	[2758046, 2758077]
593_1071	chr7	5562571	5562971	+	1000	80.0	[16.412586]	[115]	[]	[]	[5562777]	[]
593_1072	chr8	41490098	41490498	+	1000	80.0	[12.235088]	[105]	[]	[]	[41490267]	[]
593_1074	chr9	127919317	127919717	+	1000	80.0	[10.945392, 16.412586]	[84, 123]	[12.540544, 13.902448, 6.256924]	[82, 121, 158]	[127919492, 127919531]	[127919490, 127919529, 127919566]
593_1078	chr11	34427368	34427768	+	1000	79.0	[]	[]	[11.977605]	[66]	[]	[34427522]
593_1081	chr12	121316190	121316590	+	1000	79.0	[16.412586]	[120]	[7.2059402]	[118]	[121316404]	[121316402]
593_1082	chr14	50347459	50347859	+	1000	79.0	[13.902448]	[133]	[8.4563675]	[131]	[50347675]	[50347673]
593_1083	chr15	61989683	61990083	+	1000	79.0	[16.412586]	[105]	[7.0733485]	[103]	[61989887]	[61989885]
593_1088	chr21	15301051	15301451	+	1000	79.0	[7.2059402, 11.111503]	[108, 131]	[16.412586]	[106]	[15301255, 15301278]	[15301253]
593_1089	chr3	34056819	34057219	+	1000	79.0	[]	[]	[16.412586]	[101]	[]	[34057017]
593_109	chr14	103136994	103137394	+	1000	300.0	[7.0327816, 16.412586, 10.162996]	[64, 75, 106]	[7.2059402, 16.412586]	[73, 104]	[103137157, 103137168, 103137199]	[103137166, 103137197]
593_1091	chr4	81844758	81845158	+	1000	79.0	[11.6737585]	[101]	[6.6792603]	[99]	[81844944]	[81844942]
593_1092	chr4	102222828	102223228	+	1000	79.0	[7.2059402]	[108]	[16.412586]	[106]	[102223036]	[102223034]
593_1093	chr4	107210428	107210828	+	1000	79.0	[16.412586]	[90]	[7.2059402]	[88]	[107210615]	[107210613]
593_1094	chr5	72504074	72504474	+	1000	79.0	[7.2059402]	[89]	[16.412586]	[87]	[72504263]	[72504261]
593_1096	chr6	87674286	87674686	+	1000	79.0	[]	[]	[11.977605]	[130]	[]	[87674495]
593_1097	chr8	11884397	11884797	+	1000	79.0	[8.684887]	[87]	[12.235088]	[122]	[11884573]	[11884608]
593_1098	chr8	23518731	23519131	+	1000	79.0	[7.0733485]	[131]	[16.412586]	[129]	[23518945]	[23518943]
