#PeakID(python identify_motif.py ./ENCODE_processed_files/JUN_idr.fa JUN --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
92_10004	chr13	21137713	21138113	+	1000	47.0	[]	[]	[11.959139]	[112]	[]	[21137916]
92_10009	chr13	91134155	91134555	+	1000	47.0	[4.9324656]	[84]	[]	[]	[91134310]	[]
92_1001	chr17	76484735	76485135	+	1000	131.0	[15.161812]	[150]	[6.648359]	[150]	[76484983]	[76484983]
92_10014	chr14	103361786	103362186	+	1000	47.0	[]	[]	[14.052155]	[141]	[]	[103362019]
92_10017	chr15	60396953	60397353	+	1000	47.0	[]	[]	[9.072788]	[185]	[]	[60397201]
92_10018	chr15	65212071	65212471	+	1000	47.0	[9.640858]	[167]	[]	[]	[65212320]	[]
92_1002	chr19	55005942	55006342	+	1000	131.0	[13.636866, 7.964857]	[103, 140]	[8.650464, 6.984709]	[103, 140]	[55006141, 55006178]	[55006141, 55006178]
92_10021	chr15	90649987	90650387	+	1000	47.0	[9.022785]	[128]	[6.305617, 8.984027]	[90, 128]	[90650200]	[90650162, 90650200]
92_10031	chr16	29268753	29269153	+	1000	47.0	[6.5574484, 10.704721]	[90, 178]	[11.582608, 5.8644886, 15.729881]	[90, 122, 178]	[29268905, 29268993]	[29268905, 29268937, 29268993]
92_10037	chr16	66020615	66021015	+	1000	47.0	[8.545496]	[161]	[9.071738]	[161]	[66020859]	[66020859]
92_10040	chr16	78796230	78796630	+	1000	47.0	[11.582608]	[81]	[6.5574484]	[81]	[78796405]	[78796405]
92_10042	chr16	81314670	81315070	+	1000	47.0	[8.741374]	[153]	[11.236842]	[153]	[81314915]	[81314915]
92_10047	chr17	27573864	27574264	+	1000	47.0	[5.6556687]	[151]	[]	[]	[27574106]	[]
92_10048	chr17	27975072	27975472	+	1000	47.0	[7.0174127]	[117]	[]	[]	[27975283]	[]
92_1006	chr22	21037778	21038178	+	1000	131.0	[11.573731]	[82]	[6.9755206]	[82]	[21037956]	[21037956]
92_10062	chr18	8673800	8674200	+	1000	47.0	[6.9297695, 5.914794]	[105, 136]	[6.9297695, 6.8287253, 6.700985]	[105, 128, 139]	[8673999, 8674030]	[8673999, 8674022, 8674033]
92_10066	chr19	789202	789602	+	1000	47.0	[12.5632305]	[97]	[9.113695, 5.397019]	[97, 115]	[789397]	[789397, 789415]
92_1007	chr22	22520946	22521346	+	1000	131.0	[5.1886163]	[158]	[]	[]	[22521191]	[]
92_10072	chr19	11732720	11733120	+	1000	47.0	[8.611706]	[143]	[9.623063, 13.675624, 7.5866]	[84, 143, 158]	[11732946]	[11732887, 11732946, 11732961]
92_10073	chr19	14402284	14402684	+	1000	47.0	[]	[]	[9.469134]	[123]	[]	[14402486]
92_10078	chr19	42207687	42208087	+	1000	47.0	[]	[]	[5.3494015]	[91]	[]	[42207873]
92_10081	chr19	45443338	45443738	+	1000	47.0	[11.210287]	[84]	[11.210287]	[84]	[45443518]	[45443518]
