#PeakID(python identify_motif.py ./ENCODE_processed_files/E2F5_idr.fa E2F5 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
489_10004	chr11	63681384	63681784	+	1000	69.0	[]	[]	[11.7800665]	[123]	[]	[63681586]
489_10022	chr12	110450142	110450542	+	1000	69.0	[5.570742]	[181]	[]	[]	[110450345]	[]
489_10034	chr14	104677727	104678127	+	1000	69.0	[10.589524]	[154]	[10.378438]	[129]	[104677959]	[104677934]
489_10038	chr15	45548777	45549177	+	1000	69.0	[]	[]	[9.302818]	[137]	[]	[45548990]
489_10039	chr15	51622838	51623238	+	1000	69.0	[11.7800665]	[132]	[]	[]	[51623069]	[]
489_10042	chr15	66622073	66622473	+	1000	69.0	[]	[]	[11.7800665]	[87]	[]	[66622253]
489_10059	chr17	28527280	28527680	+	1000	69.0	[11.665144]	[159]	[]	[]	[28527516]	[]
489_10067	chr17	42824134	42824534	+	1000	69.0	[]	[]	[5.570742]	[56]	[]	[42824288]
489_10078	chr18	12883886	12884286	+	1000	69.0	[]	[]	[10.378438, 11.7800665]	[112, 181]	[]	[12884049, 12884118]
489_10085	chr19	6863466	6863866	+	1000	69.0	[6.051324]	[75]	[5.552912, 5.570742]	[65, 102]	[6863632]	[6863622, 6863659]
489_10095	chr19	45792614	45793014	+	1000	69.0	[]	[]	[10.378438]	[96]	[]	[45792790]
489_10120	chr2	128443638	128444038	+	1000	69.0	[5.667835]	[107]	[6.051324]	[114]	[128443842]	[128443849]
489_10124	chr2	158456696	158457096	+	1000	69.0	[11.7800665]	[151]	[]	[]	[158456906]	[]
489_10129	chr2	174248602	174249002	+	1000	69.0	[]	[]	[5.570742]	[116]	[]	[174248802]
489_10134	chr20	32584030	32584430	+	1000	69.0	[11.7800665, 10.704447]	[87, 93]	[]	[]	[32584189, 32584195]	[]
489_10138	chr20	63216140	63216540	+	1000	69.0	[11.665144]	[190]	[]	[]	[63216372]	[]
489_10146	chr22	20131029	20131429	+	1000	69.0	[11.7800665]	[126]	[]	[]	[20131199]	[]
489_10148	chr22	28772459	28772859	+	1000	69.0	[10.378438]	[117]	[]	[]	[28772652]	[]
489_1015	chr22	19941585	19941985	+	1000	164.0	[]	[]	[10.2635145]	[120]	[]	[19941794]
489_10161	chr3	31472910	31473310	+	1000	69.0	[]	[]	[5.570742]	[99]	[]	[31473073]
489_10177	chr4	1785097	1785497	+	1000	69.0	[5.570742]	[101]	[]	[]	[1785287]	[]
489_10178	chr4	25160201	25160601	+	1000	69.0	[11.7800665]	[126]	[5.667835]	[85]	[25160397]	[25160356]
489_10189	chr5	39149950	39150350	+	1000	69.0	[]	[]	[11.665144]	[61]	[]	[39150108]
489_10215	chr6	25652181	25652581	+	1000	69.0	[]	[]	[5.570742]	[104]	[]	[25652368]
489_10226	chr6	53348831	53349231	+	1000	69.0	[6.051324]	[152]	[]	[]	[53349074]	[]
489_10227	chr6	99520827	99521227	+	1000	69.0	[9.302818]	[100]	[]	[]	[99521002]	[]
489_10229	chr6	136792421	136792821	+	1000	69.0	[]	[]	[9.302818]	[143]	[]	[136792634]
489_10239	chr7	107874563	107874963	+	1000	69.0	[]	[]	[10.2635145]	[156]	[]	[107874811]
489_10259	chr9	97984152	97984552	+	1000	69.0	[]	[]	[11.665144, 5.667835]	[86, 131]	[]	[97984315, 97984360]
489_10266	chr9	137240273	137240673	+	1000	69.0	[]	[]	[5.667835]	[179]	[]	[137240513]
489_10271	chr1	959076	959476	+	1000	68.0	[]	[]	[5.570742]	[168]	[]	[959299]
489_10273	chr1	15833084	15833484	+	1000	68.0	[9.302818]	[169]	[]	[]	[15833304]	[]
489_10274	chr1	16173051	16173451	+	1000	68.0	[5.570742]	[135]	[]	[]	[16173279]	[]
489_10284	chr1	41361059	41361459	+	1000	68.0	[9.302818]	[79]	[]	[]	[41361229]	[]
489_10297	chr1	180117249	180117649	+	1000	68.0	[]	[]	[11.665144]	[66]	[]	[180117412]
489_103	chr17	67993530	67993930	+	1000	356.0	[9.302818]	[119]	[]	[]	[67993742]	[]
489_10312	chr1	228130958	228131358	+	1000	68.0	[]	[]	[5.552912]	[150]	[]	[228131192]
489_10341	chr12	576111	576511	+	1000	68.0	[9.302818]	[104]	[]	[]	[576284]	[]
489_1035	chr2	148644536	148644936	+	1000	163.0	[]	[]	[11.665144, 5.667835, 10.704447]	[78, 97, 99]	[]	[148644694, 148644713, 148644715]
489_10350	chr12	53047127	53047527	+	1000	68.0	[6.051324]	[97]	[]	[]	[53047294]	[]
489_10379	chr15	90931836	90932236	+	1000	68.0	[]	[]	[11.665144]	[223]	[]	[90932078]
489_10387	chr16	30628721	30629121	+	1000	68.0	[10.378438]	[156]	[]	[]	[30628942]	[]
489_10391	chr16	67028671	67029071	+	1000	68.0	[5.570742]	[72]	[]	[]	[67028827]	[]
