#PeakID	chr	start	end	strand	idrScore	count
890_0	chrM	16020	16228	+	1000	806.0
890_1	chrM	15111	15353	+	1000	798.0
890_2	chrM	12515	12875	+	1000	793.0
890_3	chrM	9740	10002	+	1000	792.0
890_4	chrM	22	240	+	1000	791.0
890_5	chrM	11132	11384	+	1000	791.0
890_6	chrM	13674	13892	+	1000	783.0
890_7	chr22	21629231	21629433	+	1000	774.0
890_8	chrM	10556	10778	+	1000	771.0
890_9	chr22	20858771	20858983	+	1000	757.0
890_10	chr6	37314884	37315089	+	1000	753.0
890_11	chr3	47475896	47476103	+	1000	746.0
890_12	chr22	21867733	21867944	+	1000	745.0
890_13	chr22	20557360	20557572	+	1000	736.0
890_14	chr19	36054358	36054561	+	1000	734.0
890_15	chrM	11810	12014	+	1000	729.0
890_16	chr13	113296984	113297191	+	1000	728.0
890_17	chr2	70142799	70142999	+	1000	727.0
890_18	chr1	41003749	41003962	+	1000	716.0
890_19	chr1	25906383	25906599	+	1000	715.0
890_20	chr6	43725189	43725390	+	1000	715.0
890_21	chr7	100429230	100429431	+	1000	714.0
890_22	chr12	57752451	57752657	+	1000	713.0
890_23	chr16	3500811	3501012	+	1000	711.0
890_24	chr8	134832384	134832584	+	1000	711.0
890_25	chr1	203861422	203861624	+	1000	708.0
890_26	chr7	155205413	155205620	+	1000	708.0
890_27	chr3	194572427	194572637	+	1000	705.0
890_28	chr3	4986907	4987110	+	1000	704.0
890_29	chr6	33418242	33418451	+	1000	703.0
890_30	chr12	57078665	57078885	+	1000	699.0
890_31	chr21	45067599	45067802	+	1000	698.0
890_32	chr22	21001719	21001933	+	1000	695.0
890_33	chr17	8156366	8156583	+	1000	692.0
890_34	chr18	9136634	9136857	+	1000	691.0
890_35	chr1	202927215	202927419	+	1000	688.0
890_36	chr16	89004224	89004429	+	1000	687.0
890_37	chr19	5720101	5720308	+	1000	682.0
890_38	chr3	170908703	170908906	+	1000	681.0
890_39	chr1	247104402	247104606	+	1000	679.0
890_40	chr11	60841965	60842170	+	1000	678.0
890_41	chr6	30571259	30571467	+	1000	677.0
890_42	chr11	57424781	57424986	+	1000	676.0
890_43	chr1	32817249	32817452	+	1000	673.0
890_44	chr1	38859784	38859988	+	1000	672.0
890_45	chr3	128725966	128726176	+	1000	672.0
890_46	chr1	36464325	36464526	+	1000	671.0
890_47	chr16	3283342	3283548	+	1000	671.0
890_48	chr19	47130630	47130836	+	1000	671.0
890_49	chr7	157387259	157387460	+	1000	670.0
890_50	chr1	154220656	154220874	+	1000	669.0
890_51	chr19	34359216	34359416	+	1000	669.0
890_52	chr17	82288084	82288288	+	1000	668.0
890_53	chr1	27012875	27013079	+	1000	665.0
890_54	chr19	48954687	48954900	+	1000	664.0
890_55	chr2	20822982	20823190	+	1000	663.0
890_56	chr3	143001398	143001604	+	1000	661.0
890_57	chr12	121686936	121687136	+	1000	660.0
890_58	chr1	11806087	11806289	+	1000	658.0
890_59	chr3	36993353	36993559	+	1000	656.0
890_60	chr17	7836789	7836995	+	1000	655.0
890_61	chr8	108443432	108443636	+	1000	655.0
890_62	chr19	39403914	39404118	+	1000	651.0
890_63	chr6	87155432	87155634	+	1000	650.0
890_64	chr19	32405524	32405734	+	1000	647.0
890_65	chr1	11929885	11930085	+	1000	646.0
890_66	chr12	112013282	112013491	+	1000	646.0
890_67	chr19	11482618	11482823	+	1000	646.0
890_68	chr19	48634455	48634674	+	1000	645.0
890_69	chr21	42973944	42974161	+	1000	643.0
890_70	chr15	84915076	84915277	+	1000	642.0
