#PeakID(python scan_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1000	chr10	73246885	73247285	+	1000	67.5	[8.786449, 10.0477295, 8.836867]	[59, 63, 140]	[7.797938]	[76]	[73247042, 73247046, 73247123]	[73247059]
293_1001	chr10	78256255	78256655	+	1000	67.5	[9.2401705]	[80]	[]	[]	[78256419]	[]
293_1002	chr12	49018644	49019044	+	1000	67.5	[10.534392, 7.5940995, 10.0477295]	[62, 69, 140]	[]	[]	[49018795, 49018802, 49018873]	[]
293_1003	chr12	49130521	49130921	+	1000	67.5	[9.792437]	[169]	[]	[]	[49130755]	[]
293_1005	chr15	51829034	51829434	+	1000	67.5	[14.252311]	[153]	[]	[]	[51829229]	[]
293_1006	chr16	67993359	67993759	+	1000	67.5	[6.483479]	[68]	[]	[]	[67993513]	[]
293_1009	chr17	27353640	27354040	+	1000	67.5	[7.5088573]	[180]	[7.2199736]	[107]	[27353873]	[27353800]
293_1010	chr18	2854080	2854480	+	1000	67.5	[]	[]	[12.520998]	[148]	[]	[2854298]
293_1011	chr20	1118340	1118740	+	1000	67.5	[12.265705, 7.2592225]	[113, 126]	[]	[]	[1118500, 1118513]	[]
293_1012	chr21	39183348	39183748	+	1000	67.5	[14.252311, 7.0663056, 10.823473]	[122, 149, 177]	[]	[]	[39183528, 39183555, 39183583]	[]
293_1013	chr22	19122201	19122601	+	1000	67.5	[10.534392, 6.0706253]	[216, 221]	[]	[]	[19122446, 19122451]	[]
293_1015	chr22	22297675	22298075	+	1000	67.5	[7.5088573, 7.1055546, 7.1055546]	[103, 125, 129]	[]	[]	[22297841, 22297863, 22297867]	[]
293_1016	chr22	22928508	22928908	+	1000	67.5	[9.495462, 7.801938]	[101, 139]	[]	[]	[22928697, 22928735]	[]
293_1017	chr22	23158487	23158887	+	1000	67.5	[9.052912, 7.591329]	[195, 216]	[8.057231]	[146]	[23158702, 23158723]	[23158653]
293_1018	chr3	4868195	4868595	+	1000	67.5	[12.520998, 7.2592225]	[127, 182]	[]	[]	[4868372, 4868427]	[]
293_102	chr17	60139815	60140215	+	1000	179.5	[12.265705]	[73]	[]	[]	[60139985]	[]
293_1020	chr6	139134784	139135184	+	1000	67.5	[]	[]	[8.797619]	[146]	[]	[139134972]
293_1021	chr6	169701867	169702267	+	1000	67.5	[12.265705]	[98]	[]	[]	[169702052]	[]
293_1023	chr7	102464709	102465109	+	1000	67.5	[]	[]	[10.534392]	[153]	[]	[102464903]
293_1025	chr7	129952762	129953162	+	1000	67.5	[]	[]	[8.061124, 7.5940995]	[166, 170]	[]	[129952997, 129953001]
293_1026	chr9	127862462	127862862	+	1000	67.5	[12.265705]	[133]	[]	[]	[127862692]	[]
293_1028	chr9	131080867	131081267	+	1000	67.5	[7.846622]	[53]	[]	[]	[131081019]	[]
293_1031	chrX	15675199	15675599	+	1000	67.5	[]	[]	[8.836867]	[150]	[]	[15675447]
293_1032	chr10	13146377	13146777	+	1000	67.0	[8.786449, 14.252311]	[139, 162]	[10.7842245]	[148]	[13146560, 13146583]	[13146569]
293_1035	chr14	75069087	75069487	+	1000	67.0	[7.5088573]	[198]	[]	[]	[75069327]	[]
293_1038	chr17	38677087	38677487	+	1000	67.0	[9.577935]	[82]	[]	[]	[38677269]	[]
293_1039	chr19	3626928	3627328	+	1000	67.0	[]	[]	[8.956747, 12.265705]	[123, 197]	[]	[3627097, 3627171]
293_1040	chr2	20650941	20651341	+	1000	67.0	[10.534392]	[102]	[]	[]	[20651130]	[]
293_1041	chr2	166375993	166376393	+	1000	67.0	[]	[]	[12.520998, 9.792437]	[123, 128]	[]	[166376212, 166376217]
293_1042	chr21	43728436	43728836	+	1000	67.0	[10.68806]	[176]	[]	[]	[43728682]	[]
293_1043	chr22	23151121	23151521	+	1000	67.0	[]	[]	[8.057231]	[158]	[]	[23151299]
293_1045	chr5	126514132	126514532	+	1000	67.0	[]	[]	[8.214792]	[88]	[]	[126514309]
293_1046	chr6	2841730	2842130	+	1000	67.0	[]	[]	[10.534392]	[122]	[]	[2841927]
293_1047	chr6	26171773	26172173	+	1000	67.0	[12.265705]	[100]	[]	[]	[26171946]	[]
293_1049	chr6	43053589	43053989	+	1000	67.0	[]	[]	[8.956747, 8.836867, 12.520998]	[86, 92, 148]	[]	[43053744, 43053750, 43053806]
293_105	chr1	224503402	224503802	+	1000	174.5	[]	[]	[8.061124]	[137]	[]	[224503602]
293_1050	chr8	101027326	101027726	+	1000	67.0	[14.252311]	[97]	[]	[]	[101027522]	[]
293_1051	chr9	130842997	130843397	+	1000	67.0	[]	[]	[6.149097]	[98]	[]	[130843153]
293_1053	chr1	35031564	35031964	+	1000	66.5	[7.5088573, 7.0663056, 7.9705]	[127, 140, 161]	[7.643828]	[118]	[35031771, 35031784, 35031805]	[35031762]
293_1055	chr1	44775304	44775704	+	1000	66.5	[]	[]	[10.534392]	[147]	[]	[44775528]
293_1057	chr12	56116353	56116753	+	1000	66.5	[10.534392, 7.782383]	[92, 134]	[6.253357, 8.797619]	[102, 114]	[56116544, 56116586]	[56116554, 56116566]
293_1058	chr19	555955	556355	+	1000	66.5	[12.520998]	[173]	[]	[]	[556180]	[]
293_1061	chr3	6490517	6490917	+	1000	66.5	[6.7998433]	[152]	[]	[]	[6490747]	[]
293_1064	chr4	186191315	186191715	+	1000	66.5	[9.2401705]	[145]	[]	[]	[186191538]	[]
293_1066	chr6	34560528	34560928	+	1000	66.5	[]	[]	[9.495462]	[115]	[]	[34560720]
293_1067	chr7	26200702	26201102	+	1000	66.5	[9.2401705, 8.057231, 9.052912]	[137, 142, 169]	[]	[]	[26200860, 26200865, 26200892]	[]
293_1069	chr7	128455509	128455909	+	1000	66.5	[7.5940995]	[128]	[12.520998]	[147]	[128455730]	[128455749]
293_107	chr12	116559370	116559770	+	1000	173.0	[14.252311, 7.5940995]	[118, 146]	[]	[]	[116559541, 116559569]	[]
293_1072	chr8	26391032	26391432	+	1000	66.5	[]	[]	[9.495462]	[152]	[]	[26391249]
293_1073	chr8	124474548	124474948	+	1000	66.5	[]	[]	[6.7998433]	[175]	[]	[124474791]
293_1074	chr8	143899445	143899845	+	1000	66.5	[8.956747]	[144]	[]	[]	[143899687]	[]
293_1077	chr1	36321276	36321676	+	1000	66.0	[]	[]	[6.0706253, 7.1055546]	[154, 220]	[]	[36321457, 36321523]
293_108	chr19	42217564	42217964	+	1000	173.0	[6.7998433, 12.265705, 10.534392]	[73, 115, 155]	[]	[]	[42217723, 42217765, 42217805]	[]
293_1080	chr1	180502441	180502841	+	1000	66.0	[]	[]	[10.534392]	[107]	[]	[180502627]
293_1081	chr11	64924056	64924456	+	1000	66.0	[]	[]	[8.786449]	[206]	[]	[64924299]
