#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT5A_idr.fa STAT5A --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
133_1	chrM	15042	15442	+	1000	802.0	[6.244324]	[90]	[]	[]	[15228]	[]
133_100	chr7	129958629	129959029	+	1000	469.0	[]	[]	[8.355901]	[141]	[]	[129958864]
133_1000	chr3	172391621	172392021	+	1000	230.0	[9.6861105, 15.901753]	[105, 142]	[8.538297]	[142]	[172391813, 172391850]	[172391850]
133_10004	chr1	23979359	23979759	+	1000	60.0	[14.173678]	[179]	[11.842608]	[179]	[23979606]	[23979606]
133_10009	chr1	32695057	32695457	+	1000	60.0	[11.820001]	[130]	[10.022524]	[130]	[32695273]	[32695273]
133_10020	chr1	155135077	155135477	+	1000	60.0	[8.496579]	[114]	[]	[]	[155135266]	[]
133_10027	chr1	204859917	204860317	+	807	60.0	[]	[]	[9.029213]	[82]	[]	[204860095]
133_1003	chr5	90658607	90659007	+	1000	230.0	[]	[]	[7.57549]	[59]	[]	[90658764]
133_10034	chr1	243255869	243256269	+	1000	60.0	[8.515688]	[204]	[11.750599]	[204]	[243256108]	[243256108]
133_1004	chr7	100897798	100898198	+	1000	230.0	[11.842608]	[108]	[14.173678]	[108]	[100898002]	[100898002]
133_10049	chr11	62621960	62622360	+	1000	60.0	[10.022524]	[138]	[11.820001]	[138]	[62622185]	[62622185]
133_10060	chr11	124115198	124115598	+	1000	60.0	[8.610671, 6.136779]	[93, 113]	[6.136779]	[114]	[124115390, 124115410]	[124115411]
133_10061	chr12	24695924	24696324	+	1000	60.0	[]	[]	[8.610671]	[130]	[]	[24696116]
133_10080	chr13	95243183	95243583	+	1000	60.0	[6.590865]	[97]	[]	[]	[95243362]	[]
133_10082	chr14	23034781	23035181	+	1000	60.0	[6.6379886]	[198]	[]	[]	[23035016]	[]
133_10083	chr14	23129097	23129497	+	1000	60.0	[]	[]	[10.196432]	[106]	[]	[23129276]
133_10091	chr16	11052027	11052427	+	808	60.0	[7.7337074, 10.266372, 13.5706835]	[75, 141, 164]	[8.685363, 6.9710217, 12.597441, 10.869366]	[75, 102, 141, 164]	[11052189, 11052255, 11052278]	[11052189, 11052216, 11052255, 11052278]
133_101	chr3	173007125	173007525	+	1000	468.0	[8.446286]	[71]	[10.243763]	[71]	[173007276]	[173007276]
133_10147	chr22	20020607	20021007	+	1000	60.0	[6.865278]	[76]	[]	[]	[20020761]	[]
133_10160	chr3	10419729	10420129	+	1000	60.0	[]	[]	[8.588062]	[143]	[]	[10419956]
133_10175	chr4	39458623	39459023	+	1000	60.0	[6.865278, 8.662755, 8.496579]	[179, 208, 231]	[]	[]	[39458803, 39458832, 39458855]	[]
133_10180	chr4	145097968	145098368	+	1000	60.0	[]	[]	[7.2863007]	[87]	[]	[145098154]
133_10184	chr4	185425960	185426360	+	1000	60.0	[]	[]	[6.744411, 10.2329445]	[104, 147]	[]	[185426140, 185426183]
133_10186	chr5	36151809	36152209	+	964	60.0	[7.879267]	[148]	[]	[]	[36152045]	[]
133_10188	chr5	65481911	65482311	+	1000	60.0	[7.130713]	[227]	[7.7121196]	[227]	[65482149]	[65482149]
