#PeakID(python identify_motif.py ./ENCODE_processed_files/JUNB_idr.fa JUNB --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
771_1000	chr6	6968643	6969043	+	1000	83.0	[11.291996]	[96]	[13.28149]	[96]	[6968824]	[6968824]
771_10001	chr14	55803033	55803433	+	889	31.0	[13.712336, 12.491025]	[125, 159]	[10.861151, 12.4798975]	[125, 159]	[55803239, 55803273]	[55803239, 55803273]
771_10002	chr14	76961769	76962169	+	974	31.0	[12.31283]	[98]	[9.462089]	[98]	[76961964]	[76961964]
771_10029	chr16	15489486	15489886	+	903	31.0	[15.927315]	[116]	[13.506975]	[116]	[15489687]	[15489687]
771_1003	chr6	163585845	163586245	+	1000	83.0	[15.927315]	[95]	[13.506975]	[95]	[163586033]	[163586033]
771_10030	chr16	15573381	15573781	+	972	31.0	[7.0369763]	[116]	[7.8418097]	[88]	[15573577]	[15573549]
771_10037	chr16	57530007	57530407	+	927	31.0	[11.066511]	[89]	[8.646172]	[89]	[57530194]	[57530194]
771_10038	chr16	57671452	57671852	+	941	31.0	[8.646172]	[82]	[11.066511]	[82]	[57671615]	[57671615]
771_1004	chr8	127618379	127618779	+	1000	83.0	[11.066511]	[120]	[8.646172]	[120]	[127618585]	[127618585]
771_10050	chr16	78742470	78742870	+	912	31.0	[11.066511]	[98]	[8.646172]	[98]	[78742638]	[78742638]
771_10057	chr16	87581838	87582238	+	1000	31.0	[10.770802]	[103]	[13.061545, 7.5641775]	[103, 163]	[87582019]	[87582019, 87582079]
771_10059	chr16	87809474	87809874	+	904	31.0	[15.927315]	[120]	[13.506975]	[120]	[87809678]	[87809678]
771_10064	chr17	27339985	27340385	+	769	31.0	[8.124977, 7.36485]	[135, 160]	[10.846566, 10.104691]	[135, 160]	[27340195, 27340220]	[27340195, 27340220]
771_10069	chr17	34975044	34975444	+	869	31.0	[13.191141]	[131]	[10.641206]	[131]	[34975264]	[34975264]
771_1007	chr1	26376785	26377185	+	1000	82.0	[13.28149, 7.8418097]	[115, 149]	[11.291996]	[115]	[26376988, 26377022]	[26376988]
771_10071	chr17	39001628	39002028	+	762	31.0	[7.8418097, 8.176992]	[157, 170]	[]	[]	[39001853, 39001866]	[]
771_10075	chr17	42183090	42183490	+	734	31.0	[15.927315]	[148]	[13.506975]	[148]	[42183317]	[42183317]
771_10079	chr17	48002576	48002976	+	713	31.0	[13.191141]	[133]	[10.641206]	[133]	[48002791]	[48002791]
771_1008	chr1	54408248	54408648	+	1000	82.0	[10.545317, 13.191141]	[120, 136]	[8.426227, 10.641206]	[120, 136]	[54408451, 54408467]	[54408451, 54408467]
771_10088	chr17	74931442	74931842	+	999	31.0	[10.846566]	[110]	[8.124977]	[110]	[74931641]	[74931641]
771_10099	chr17_GL000205v2_random	70465	70865	+	549	31.0	[6.7705946]	[164]	[]	[]	[70708]	[]
771_101	chr2	200811141	200811541	+	1000	245.0	[]	[]	[7.4553385]	[158]	[]	[200811373]
771_1010	chr1	119859568	119859968	+	1000	82.0	[13.506975]	[104]	[15.927315]	[104]	[119859756]	[119859756]
771_10104	chr18	31102234	31102634	+	969	31.0	[7.3936696]	[104]	[]	[]	[31102427]	[]
771_10106	chr18	46222699	46223099	+	696	31.0	[7.514847]	[78]	[]	[]	[46222864]	[]
771_10119	chr19	11142507	11142907	+	735	31.0	[8.426227]	[113]	[10.545317]	[113]	[11142707]	[11142707]
771_10122	chr19	15828722	15829122	+	996	31.0	[]	[]	[7.57021]	[173]	[]	[15828964]
771_10124	chr19	17507822	17508222	+	669	31.0	[10.276045]	[183]	[9.834072]	[183]	[17508046]	[17508046]
771_10125	chr19	18414382	18414782	+	987	31.0	[7.3442326]	[123]	[]	[]	[18414580]	[]
771_10128	chr19	33373234	33373634	+	837	31.0	[]	[]	[6.416048]	[218]	[]	[33373461]
771_10129	chr19	35166544	35166944	+	984	31.0	[7.2914376]	[189]	[]	[]	[35166747]	[]
771_1014	chr11	59857669	59858069	+	1000	82.0	[13.712336]	[119]	[10.861151]	[119]	[59857883]	[59857883]
771_10140	chr19	44588425	44588825	+	585	31.0	[13.712336]	[107]	[10.861151]	[107]	[44588626]	[44588626]
771_10142	chr19	48424738	48425138	+	817	31.0	[6.500429, 13.191141]	[80, 115]	[10.641206]	[115]	[48424897, 48424932]	[48424932]
771_10145	chr19	48875203	48875603	+	902	31.0	[8.426227]	[170]	[10.545317]	[170]	[48875436]	[48875436]
771_1015	chr12	47278108	47278508	+	1000	82.0	[13.506975, 13.506975]	[96, 107]	[15.927315, 15.927315]	[96, 107]	[47278271, 47278282]	[47278271, 47278282]
771_10157	chr2	19786405	19786805	+	861	31.0	[10.770802]	[139]	[7.1910195, 13.061545]	[114, 139]	[19786633]	[19786608, 19786633]
771_10158	chr2	20561612	20562012	+	943	31.0	[13.712336]	[116]	[10.861151]	[116]	[20561816]	[20561816]
771_1016	chr12	120230528	120230928	+	1000	82.0	[]	[]	[6.500429]	[108]	[]	[120230727]
771_10163	chr2	37822788	37823188	+	935	31.0	[10.770802]	[77]	[13.061545]	[77]	[37822963]	[37822963]
771_10166	chr2	55175587	55175987	+	975	31.0	[]	[]	[7.561598]	[159]	[]	[55175819]
771_10169	chr2	58667191	58667591	+	887	31.0	[10.846566]	[132]	[8.124977]	[132]	[58667417]	[58667417]
771_1017	chr14	102552013	102552413	+	1000	82.0	[10.545317]	[129]	[8.426227]	[129]	[102552221]	[102552221]
771_10176	chr2	97673151	97673551	+	959	31.0	[11.291996]	[132]	[13.28149]	[132]	[97673309]	[97673309]
771_10178	chr2	105601000	105601400	+	712	31.0	[6.8016787]	[156]	[]	[]	[105601180]	[]
771_1018	chr16	85612142	85612542	+	1000	82.0	[10.770802]	[114]	[13.061545]	[114]	[85612351]	[85612351]
771_10192	chr2	173965792	173966192	+	989	31.0	[6.889081]	[85]	[6.8779535]	[85]	[173965966]	[173965966]
771_10193	chr2	174059163	174059563	+	907	31.0	[12.491025]	[101]	[12.4798975]	[101]	[174059342]	[174059342]
771_10209	chr20	45036142	45036542	+	846	31.0	[12.4798975]	[119]	[6.8016787, 12.491025]	[68, 119]	[45036358]	[45036307, 45036358]
771_10212	chr20	57076094	57076494	+	977	31.0	[13.061545]	[112]	[10.770802]	[112]	[57076291]	[57076291]
771_10215	chr21	14321018	14321418	+	993	31.0	[15.927315]	[134]	[13.506975]	[134]	[14321233]	[14321233]
771_10216	chr21	14753721	14754121	+	947	31.0	[]	[]	[7.3033204]	[66]	[]	[14753872]
771_10218	chr21	33605726	33606126	+	702	31.0	[12.491025]	[94]	[12.4798975]	[94]	[33605912]	[33605912]
771_10219	chr21	34771537	34771937	+	902	31.0	[9.8452]	[112]	[10.264917]	[112]	[34771730]	[34771730]
771_10220	chr21	34950933	34951333	+	689	31.0	[10.846566]	[148]	[8.124977]	[148]	[34951165]	[34951165]
771_10221	chr21	37450403	37450803	+	910	31.0	[8.426227]	[79]	[10.545317]	[79]	[37450581]	[37450581]
771_10222	chr21	41706550	41706950	+	933	31.0	[11.291996]	[86]	[13.28149]	[86]	[41706736]	[41706736]
771_10226	chr21	45067450	45067850	+	990	31.0	[]	[]	[7.3685164]	[107]	[]	[45067634]
771_10233	chr22	19170063	19170463	+	962	31.0	[8.490399]	[88]	[]	[]	[19170218]	[]
771_1024	chr2	112706197	112706597	+	1000	82.0	[10.545317]	[74]	[8.426227]	[74]	[112706369]	[112706369]
771_10248	chr22	20524044	20524444	+	990	31.0	[6.475763]	[91]	[]	[]	[20524222]	[]
771_1025	chr2	176931797	176932197	+	1000	82.0	[15.927315]	[100]	[13.506975, 6.5979047]	[100, 107]	[176931990]	[176931990, 176931997]
771_10252	chr22	20862051	20862451	+	993	31.0	[8.747505]	[214]	[8.85852]	[214]	[20862299]	[20862299]
771_10256	chr22	20950564	20950964	+	990	31.0	[15.927315]	[128]	[13.506975]	[128]	[20950774]	[20950774]
771_10258	chr22	20959851	20960251	+	675	31.0	[7.352811]	[90]	[10.056789]	[90]	[20960036]	[20960036]
771_1026	chr20	51033743	51034143	+	1000	82.0	[11.291996]	[87]	[13.28149]	[87]	[51033919]	[51033919]
771_10271	chr22	21911170	21911570	+	805	31.0	[7.4109645]	[208]	[7.655798]	[188]	[21911407]	[21911387]
771_1028	chr22	20235378	20235778	+	1000	82.0	[6.7718644]	[77]	[6.682978]	[77]	[20235554]	[20235554]
771_10286	chr22	22544507	22544907	+	817	31.0	[7.8418097]	[181]	[]	[]	[22544689]	[]
771_10292	chr22	22846354	22846754	+	973	31.0	[]	[]	[7.4588656]	[150]	[]	[22846588]
771_10294	chr22	22948762	22949162	+	994	31.0	[12.183796]	[116]	[9.885598]	[116]	[22948978]	[22948978]
771_103	chr3	183532859	183533259	+	1000	240.0	[6.8162637]	[87]	[10.097851]	[87]	[183533032]	[183533032]
771_10306	chr22	25747339	25747739	+	864	31.0	[13.28149]	[104]	[11.291996]	[104]	[25747519]	[25747519]
771_10308	chr22	38178020	38178420	+	726	31.0	[13.28149]	[86]	[11.291996]	[86]	[38178202]	[38178202]
771_10313	chr3	5019460	5019860	+	968	31.0	[6.8779535]	[182]	[6.889081]	[182]	[5019679]	[5019679]
771_10314	chr3	5565030	5565430	+	837	31.0	[7.6888065]	[65]	[6.7552223]	[65]	[5565195]	[5565195]
771_10318	chr3	17632378	17632778	+	869	31.0	[]	[]	[6.5886245]	[155]	[]	[17632561]
771_1032	chr6	136610225	136610625	+	1000	82.0	[8.646172]	[109]	[11.066511]	[109]	[136610430]	[136610430]
771_10321	chr3	32493413	32493813	+	798	31.0	[12.183796]	[95]	[9.885598]	[95]	[32493607]	[32493607]
771_10328	chr3	40379899	40380299	+	827	31.0	[13.191141]	[113]	[10.641206]	[113]	[40380093]	[40380093]
771_10330	chr3	43584005	43584405	+	960	31.0	[8.267943]	[168]	[]	[]	[43584189]	[]
771_10331	chr3	45199975	45200375	+	588	31.0	[11.291996]	[158]	[13.28149]	[158]	[45200202]	[45200202]
771_10335	chr3	69212382	69212782	+	980	31.0	[11.291996]	[191]	[13.28149]	[191]	[69212617]	[69212617]
771_10337	chr3	112676809	112677209	+	986	31.0	[9.614127, 6.725914]	[81, 93]	[9.75485, 9.447061]	[81, 93]	[112676976, 112676988]	[112676976, 112676988]
771_1034	chr7	76364767	76365167	+	1000	82.0	[13.506975]	[127]	[15.927315]	[127]	[76364985]	[76364985]
771_10344	chr3	170730076	170730476	+	959	31.0	[]	[]	[7.091337]	[168]	[]	[170730257]
771_10345	chr3	172142512	172142912	+	830	31.0	[6.725914]	[113]	[9.447061]	[113]	[172142676]	[172142676]
771_10349	chr3	186700302	186700702	+	748	31.0	[13.061545]	[91]	[10.770802]	[91]	[186700458]	[186700458]
771_10360	chr4	74084892	74085292	+	982	31.0	[12.305938]	[199]	[9.763456]	[199]	[74085141]	[74085141]
771_10362	chr4	80179478	80179878	+	961	31.0	[]	[]	[7.558171]	[69]	[]	[80179645]
771_10368	chr4	183335324	183335724	+	961	31.0	[15.927315]	[93]	[13.506975]	[93]	[183335516]	[183335516]
771_10372	chr5	12772278	12772678	+	937	31.0	[7.0198283, 10.545317]	[87, 110]	[9.447621, 8.426227]	[87, 110]	[12772460, 12772483]	[12772460, 12772483]
771_10378	chr5	54738132	54738532	+	916	31.0	[7.232081]	[106]	[]	[]	[54738300]	[]
771_1038	chr9	96256764	96257164	+	1000	82.0	[11.291996]	[101]	[13.28149]	[101]	[96256965]	[96256965]
771_10386	chr5	98963675	98964075	+	779	31.0	[]	[]	[6.406234]	[83]	[]	[98963831]
771_10387	chr5	108735778	108736178	+	935	31.0	[9.743723]	[138]	[9.625255]	[138]	[108736008]	[108736008]
771_10388	chr5	109424722	109425122	+	957	31.0	[7.4553385]	[154]	[]	[]	[109424941]	[]
771_10397	chr5	141634167	141634567	+	975	31.0	[13.506975]	[104]	[15.927315]	[104]	[141634342]	[141634342]
771_10400	chr5	159773336	159773736	+	990	31.0	[11.066511]	[61]	[8.646172]	[61]	[159773494]	[159773494]
771_10401	chr5	160181999	160182399	+	557	31.0	[10.861151]	[150]	[13.712336]	[150]	[160182219]	[160182219]
771_10406	chr6	2982467	2982867	+	820	31.0	[6.725914]	[103]	[9.447061]	[103]	[2982639]	[2982639]
771_10407	chr6	3061406	3061806	+	548	31.0	[13.28149]	[115]	[11.291996]	[115]	[3061599]	[3061599]
771_1041	chr1	21638623	21639023	+	1000	81.0	[13.28149]	[122]	[11.291996]	[122]	[21638828]	[21638828]
771_10411	chr6	10759351	10759751	+	667	31.0	[7.514847]	[165]	[]	[]	[10759593]	[]
771_10418	chr6	17314062	17314462	+	954	31.0	[7.3535123]	[116]	[]	[]	[17314218]	[]
771_10420	chr6	25050360	25050760	+	715	31.0	[10.861151]	[117]	[13.712336]	[117]	[25050548]	[25050548]
771_10423	chr6	27795741	27796141	+	900	31.0	[8.124977]	[152]	[10.846566]	[152]	[27795980]	[27795980]
771_10428	chr6	30685249	30685649	+	1000	31.0	[6.91942]	[146]	[]	[]	[30685431]	[]
771_1044	chr1	152048029	152048429	+	1000	81.0	[11.066511]	[188]	[8.646172]	[188]	[152048264]	[152048264]
771_10441	chr6	41723433	41723833	+	988	31.0	[9.236603]	[173]	[7.677511]	[173]	[41723662]	[41723662]
771_10453	chr6	83867579	83867979	+	899	31.0	[13.061545, 8.124977]	[79, 156]	[10.770802, 10.846566]	[79, 156]	[83867743, 83867820]	[83867743, 83867820]
771_10459	chr6	136756567	136756967	+	965	31.0	[10.861151]	[144]	[7.0216236, 13.712336]	[135, 144]	[136756786]	[136756777, 136756786]
771_10462	chr6	146917129	146917529	+	877	31.0	[13.191141]	[146]	[10.641206]	[146]	[146917369]	[146917369]
771_10465	chr6	150297291	150297691	+	845	31.0	[15.927315, 13.061545]	[88, 95]	[13.506975, 10.770802]	[88, 95]	[150297472, 150297479]	[150297472, 150297479]
771_10468	chr6	163587725	163588125	+	806	31.0	[11.291996]	[164]	[6.3611712, 13.28149]	[149, 164]	[163587953]	[163587938, 163587953]
771_1047	chr15	101255579	101255979	+	1000	81.0	[7.9050317]	[104]	[10.325372]	[104]	[101255777]	[101255777]
771_10485	chr7	99126811	99127211	+	780	31.0	[7.253499, 8.490399]	[95, 132]	[]	[]	[99127005, 99127042]	[]
771_105	chr7	101138461	101138861	+	1000	238.0	[11.066511, 11.066511, 7.771173]	[79, 98, 111]	[8.646172, 8.646172, 11.136225]	[79, 98, 111]	[101138632, 101138651, 101138664]	[101138632, 101138651, 101138664]
771_1050	chr19	13731108	13731508	+	1000	81.0	[6.8162637, 10.770802]	[85, 96]	[10.097851, 13.061545]	[85, 96]	[13731289, 13731300]	[13731289, 13731300]
771_10509	chr7	143507163	143507563	+	899	31.0	[8.270454]	[129]	[]	[]	[143507383]	[]
771_1051	chr19	40416836	40417236	+	1000	81.0	[10.861151]	[112]	[13.712336]	[112]	[40417034]	[40417034]
771_1052	chr19	48876235	48876635	+	1000	81.0	[11.291996, 6.782992]	[106, 120]	[13.28149, 6.671851, 8.182513]	[106, 120, 137]	[48876434, 48876448]	[48876434, 48876448, 48876465]
771_10523	chr8	29737365	29737765	+	733	31.0	[]	[]	[7.812632]	[100]	[]	[29737524]
771_10524	chr8	30743309	30743709	+	694	31.0	[]	[]	[7.691465]	[149]	[]	[30743527]
771_10526	chr8	41604226	41604626	+	548	31.0	[8.124977]	[166]	[10.846566]	[166]	[41604434]	[41604434]
771_10527	chr8	54212240	54212640	+	976	31.0	[6.5886245]	[207]	[]	[]	[54212453]	[]
771_10530	chr8	72035059	72035459	+	996	31.0	[10.846566]	[99]	[8.124977]	[99]	[72035252]	[72035252]
771_10534	chr8	116728562	116728962	+	710	31.0	[13.506975]	[103]	[15.927315]	[103]	[116728735]	[116728735]
771_10548	chr9	107755256	107755656	+	988	31.0	[]	[]	[6.9073806]	[167]	[]	[107755468]
771_10551	chr9	121234232	121234632	+	740	31.0	[10.545317]	[113]	[8.426227]	[113]	[121234385]	[121234385]
771_10552	chr9	122580316	122580716	+	957	31.0	[15.927315]	[152]	[13.506975]	[152]	[122580545]	[122580545]
771_10556	chr9	128001747	128002147	+	786	31.0	[9.743723, 7.889711]	[96, 106]	[9.625255]	[96]	[128001935, 128001945]	[128001935]
771_10572	chr9	131206559	131206959	+	843	31.0	[]	[]	[7.976533]	[107]	[]	[131206725]
771_10577	chrX	11239202	11239602	+	621	31.0	[11.066511]	[140]	[8.646172]	[140]	[11239407]	[11239407]
771_10579	chrX	71229812	71230212	+	608	31.0	[11.066511]	[121]	[8.646172]	[121]	[71230012]	[71230012]
771_10588	chr1	12057374	12057774	+	944	30.0	[10.861151]	[158]	[13.712336]	[158]	[12057598]	[12057598]
771_10596	chr1	17128304	17128704	+	552	30.0	[13.712336]	[195]	[10.861151]	[195]	[17128543]	[17128543]
771_1060	chr6	29964836	29965236	+	1000	81.0	[10.770802]	[109]	[13.061545]	[109]	[29965020]	[29965020]
771_10600	chr1	23098535	23098935	+	722	30.0	[6.3611712]	[227]	[7.325743]	[184]	[23098768]	[23098725]
771_10604	chr1	26470272	26470672	+	874	30.0	[]	[]	[7.8418097]	[63]	[]	[26470427]
771_10612	chr1	31928705	31929105	+	957	30.0	[]	[]	[8.691453]	[139]	[]	[31928919]
771_10617	chr1	41238451	41238851	+	868	30.0	[15.927315]	[163]	[13.506975]	[163]	[41238633]	[41238633]
771_10618	chr1	42922952	42923352	+	698	30.0	[]	[]	[7.3206153]	[112]	[]	[42923145]
771_10628	chr1	67399956	67400356	+	615	30.0	[8.865413]	[192]	[8.446137]	[192]	[67400178]	[67400178]
771_10631	chr1	86780999	86781399	+	600	30.0	[11.066511]	[127]	[8.646172]	[127]	[86781165]	[86781165]
771_10632	chr1	89953060	89953460	+	859	30.0	[6.504784]	[143]	[7.3442326]	[89]	[89953272]	[89953218]
771_10633	chr1	90974353	90974753	+	600	30.0	[6.650433, 13.506975]	[77, 111]	[15.927315]	[111]	[90974518, 90974552]	[90974552]
771_10638	chr1	110421210	110421610	+	869	30.0	[15.927315, 13.061545]	[85, 92]	[13.506975, 10.770802]	[85, 92]	[110421390, 110421397]	[110421390, 110421397]
771_1064	chr7	134174684	134175084	+	1000	81.0	[9.667006, 13.712336]	[91, 171]	[7.2471085, 10.861151]	[91, 171]	[134174841, 134174921]	[134174841, 134174921]
771_1065	chr8	23074641	23075041	+	1000	81.0	[15.927315]	[106]	[13.506975]	[106]	[23074843]	[23074843]
771_10659	chr1	167561689	167562089	+	937	30.0	[15.927315]	[142]	[13.506975]	[142]	[167561916]	[167561916]
771_1066	chr8	42209759	42210159	+	1000	81.0	[13.506975]	[133]	[15.927315]	[133]	[42209986]	[42209986]
771_10662	chr1	172530065	172530465	+	835	30.0	[]	[]	[6.3543315]	[107]	[]	[172530245]
771_10668	chr1	182314656	182315056	+	936	30.0	[7.1737247]	[139]	[]	[]	[182314833]	[]
771_1067	chr8	73356300	73356700	+	1000	81.0	[11.066511]	[125]	[8.646172]	[125]	[73356515]	[73356515]
771_10678	chr1	206925384	206925784	+	905	30.0	[]	[]	[7.8418097]	[107]	[]	[206925546]
771_1068	chr8	123149035	123149435	+	1000	81.0	[10.210002, 9.462089, 6.8162637, 15.927315]	[81, 115, 129, 147]	[7.6191545, 12.31283, 10.097851, 13.506975]	[81, 115, 129, 147]	[123149213, 123149247, 123149261, 123149279]	[123149213, 123149247, 123149261, 123149279]
771_10689	chr1	230167287	230167687	+	941	30.0	[10.325372]	[141]	[7.9050317]	[141]	[230167458]	[230167458]
771_10695	chr1	244326039	244326439	+	957	30.0	[8.646172]	[143]	[11.066511]	[143]	[244326265]	[244326265]
771_10701	chr1	247367822	247368222	+	932	30.0	[]	[]	[7.232081, 7.6011157]	[84, 96]	[]	[247368001, 247368013]
771_10703	chr10	3668172	3668572	+	830	30.0	[9.447061]	[116]	[6.725914]	[116]	[3668387]	[3668387]
771_10707	chr10	16483280	16483680	+	903	30.0	[8.426227, 8.40005]	[99, 143]	[10.545317]	[99]	[16483450, 16483494]	[16483450]
771_10708	chr10	17203410	17203810	+	749	30.0	[7.47152]	[120]	[7.452026]	[73]	[17203614]	[17203567]
771_10709	chr10	24952785	24953185	+	884	30.0	[6.4833126]	[202]	[]	[]	[24953031]	[]
771_10721	chr10	69861447	69861847	+	751	30.0	[12.31283]	[129]	[9.462089]	[129]	[69861674]	[69861674]
771_10729	chr10	71357969	71358369	+	822	30.0	[8.646172]	[80]	[11.066511]	[80]	[71358131]	[71358131]
771_1073	chr10	25062444	25062844	+	931	80.0	[11.066511]	[179]	[8.646172]	[179]	[25062677]	[25062677]
