#PeakID(python identify_motif.py ./ENCODE_processed_files/CREM_idr.fa CREM --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
978_1	chr9	131125381	131125781	+	1000	844.0	[12.233896]	[75]	[12.236791]	[75]	[131125554]	[131125554]
978_1000	chr19	50679367	50679767	+	1000	482.0	[15.040159]	[96]	[15.039618]	[96]	[50679559]	[50679559]
978_10011	chr10	3852253	3852653	+	1000	128.0	[9.827688]	[76]	[9.827729]	[76]	[3852425]	[3852425]
978_10013	chr10	31928636	31929036	+	1000	128.0	[6.9189477]	[141]	[6.9155855]	[141]	[31928864]	[31928864]
978_10019	chr11	75768551	75768951	+	1000	128.0	[6.9284296]	[97]	[6.933033]	[97]	[75768739]	[75768739]
978_10031	chr14	58281165	58281565	+	1000	128.0	[10.049357]	[123]	[10.052485]	[123]	[58281382]	[58281382]
978_10052	chr19	1251295	1251695	+	1000	128.0	[8.565098]	[124]	[8.556258]	[124]	[1251515]	[1251515]
978_10061	chr2	46858296	46858696	+	1000	128.0	[13.447536, 7.3279977]	[89, 126]	[13.445972, 7.3189874]	[89, 126]	[46858484, 46858521]	[46858484, 46858521]
978_10063	chr2	231706156	231706556	+	1000	128.0	[6.800243]	[141]	[6.8013787]	[141]	[231706393]	[231706393]
978_10066	chr20	13638731	13639131	+	1000	128.0	[7.8891573]	[132]	[7.884736]	[132]	[13638961]	[13638961]
978_1007	chr10	13161290	13161690	+	1000	480.0	[10.860274]	[155]	[10.853247]	[155]	[13161525]	[13161525]
978_10078	chr3	28348323	28348723	+	1000	128.0	[7.4215484]	[83]	[7.415774]	[83]	[28348504]	[28348504]
978_1008	chr11	18526756	18527156	+	1000	480.0	[7.055522]	[101]	[7.056368]	[101]	[18526955]	[18526955]
978_10081	chr4	76213635	76214035	+	1000	128.0	[9.0520115]	[101]	[9.057158]	[101]	[76213836]	[76213836]
978_10082	chr4	121696133	121696533	+	1000	128.0	[9.389923]	[95]	[9.392767]	[95]	[121696319]	[121696319]
978_10089	chr5	139543311	139543711	+	1000	128.0	[8.240675]	[143]	[8.242057]	[143]	[139543549]	[139543549]
978_10096	chr6	25962529	25962929	+	1000	128.0	[6.6784024]	[95]	[6.677614]	[95]	[25962719]	[25962719]
978_10105	chr7	64307265	64307665	+	1000	128.0	[9.085848]	[167]	[9.082901]	[167]	[64307496]	[64307496]
978_1011	chr6	26204280	26204680	+	1000	480.0	[14.918352]	[95]	[14.917852]	[95]	[26204475]	[26204475]
978_10114	chr9	87551682	87552082	+	1000	128.0	[7.374832]	[73]	[7.3774476]	[73]	[87551841]	[87551841]
978_1013	chr1	110963931	110964331	+	1000	479.0	[7.6379137]	[111]	[7.639902]	[111]	[110964139]	[110964139]
978_10134	chr10	4708394	4708794	+	1000	127.0	[10.110578]	[110]	[10.109508]	[110]	[4708604]	[4708604]
978_10139	chr11	32894226	32894626	+	1000	127.0	[8.822909]	[112]	[8.821283]	[112]	[32894419]	[32894419]
978_10140	chr11	44780993	44781393	+	1000	127.0	[8.670545]	[129]	[8.671773]	[129]	[44781211]	[44781211]
978_10145	chr12	57454881	57455281	+	1000	127.0	[7.1856327]	[87]	[7.1853857]	[87]	[57455056]	[57455056]
978_10147	chr12	112342575	112342975	+	1000	127.0	[13.477578]	[118]	[13.479725]	[118]	[112342793]	[112342793]
978_1015	chr19	49496168	49496568	+	1000	479.0	[10.284995]	[102]	[10.281968]	[102]	[49496366]	[49496366]
978_10156	chr13	110715243	110715643	+	1000	127.0	[8.287608]	[137]	[8.279895]	[137]	[110715438]	[110715438]
978_10157	chr14	49999113	49999513	+	1000	127.0	[7.497747]	[91]	[7.5034437]	[91]	[49999297]	[49999297]
978_10167	chr16	68538744	68539144	+	1000	127.0	[7.8710594]	[118]	[7.873693]	[118]	[68538947]	[68538947]
978_1017	chr3	179604470	179604870	+	1000	479.0	[6.960716]	[92]	[6.962575]	[92]	[179604659]	[179604659]
978_10181	chr19	55175059	55175459	+	1000	127.0	[10.320515]	[103]	[10.32452]	[103]	[55175257]	[55175257]
978_10185	chr2	88600101	88600501	+	1000	127.0	[12.063261, 6.597241]	[90, 113]	[12.062157, 6.591971]	[90, 113]	[88600283, 88600306]	[88600283, 88600306]
978_1019	chr5	176869991	176870391	+	1000	479.0	[8.195263]	[61]	[8.200555]	[61]	[176870151]	[176870151]
978_10191	chr20	38083662	38084062	+	1000	127.0	[7.373333]	[109]	[7.3778634]	[109]	[38083868]	[38083868]
978_102	chr12	82358218	82358618	+	1000	715.0	[6.473916]	[104]	[6.479784]	[104]	[82358422]	[82358422]
978_10224	chr8	2181698	2182098	+	1000	127.0	[9.865229, 12.419882, 7.120965]	[62, 104, 146]	[9.863366, 12.417668, 7.1171455]	[62, 104, 146]	[2181858, 2181900, 2181942]	[2181858, 2181900, 2181942]
978_10225	chr8	55885399	55885799	+	1000	127.0	[9.6651125]	[105]	[9.66374]	[105]	[55885601]	[55885601]
978_10226	chr8	65633990	65634390	+	1000	127.0	[9.113578]	[116]	[9.104533]	[116]	[65634190]	[65634190]
978_10227	chr8	96213558	96213958	+	1000	127.0	[6.915659]	[61]	[6.913078]	[61]	[96213715]	[96213715]
978_10229	chr8	129692272	129692672	+	1000	127.0	[9.625126]	[121]	[9.626022]	[121]	[129692484]	[129692484]
978_1023	chr19	7943486	7943886	+	1000	478.0	[6.9091387]	[102]	[6.915297]	[102]	[7943686]	[7943686]
978_10233	chr1	11841224	11841624	+	1000	126.0	[15.889581]	[106]	[15.890714]	[106]	[11841423]	[11841423]
978_10234	chr1	15152306	15152706	+	1000	126.0	[10.270022]	[116]	[10.2639265]	[116]	[15152518]	[15152518]
978_10247	chr1	205749448	205749848	+	1000	126.0	[10.912886]	[106]	[10.910581]	[106]	[205749632]	[205749632]
978_10248	chr1	212485922	212486322	+	1000	126.0	[7.7527037]	[120]	[7.7600045]	[120]	[212486137]	[212486137]
978_10253	chr10	62057428	62057828	+	1000	126.0	[6.5488462, 6.578578]	[97, 124]	[6.535908, 6.5739493]	[97, 124]	[62057611, 62057638]	[62057611, 62057638]
978_10257	chr10	112912463	112912863	+	1000	126.0	[14.590253]	[121]	[14.592722]	[121]	[112912668]	[112912668]
978_10258	chr10	126199334	126199734	+	1000	126.0	[7.357447]	[104]	[7.3578405]	[104]	[126199535]	[126199535]
978_10264	chr12	6904540	6904940	+	1000	126.0	[10.165499]	[90]	[10.165988]	[90]	[6904716]	[6904716]
978_10268	chr12	132337513	132337913	+	1000	126.0	[8.604512, 8.456158, 9.0576515, 12.700779]	[97, 116, 135, 154]	[8.602815, 8.4548235, 9.055041, 12.699456]	[97, 116, 135, 154]	[132337694, 132337713, 132337732, 132337751]	[132337694, 132337713, 132337732, 132337751]
978_10269	chr13	110575366	110575766	+	1000	126.0	[14.256594, 9.13959]	[89, 144]	[14.25524, 9.137192]	[89, 144]	[110575537, 110575592]	[110575537, 110575592]
978_1028	chr7	112940128	112940528	+	1000	477.0	[10.198732]	[99]	[10.202785]	[99]	[112940327]	[112940327]
978_10285	chr17	28336238	28336638	+	1000	126.0	[11.457867]	[101]	[11.461112]	[101]	[28336436]	[28336436]
978_103	chr3	16264798	16265198	+	1000	714.0	[8.218489]	[117]	[8.212645]	[117]	[16265012]	[16265012]
978_1030	chr1	230978846	230979246	+	1000	476.0	[8.045629]	[110]	[8.039444]	[110]	[230979050]	[230979050]
978_10300	chr19	45455696	45456096	+	1000	126.0	[11.964642]	[153]	[11.962177]	[153]	[45455931]	[45455931]
978_1031	chr12	27243908	27244308	+	1000	476.0	[6.5114355, 12.55359]	[72, 107]	[6.5205884, 12.551785]	[72, 107]	[27244077, 27244112]	[27244077, 27244112]
978_10315	chr22	44025760	44026160	+	1000	126.0	[6.924329]	[103]	[6.9171267]	[103]	[44025962]	[44025962]
978_10326	chr6	36660800	36661200	+	1000	126.0	[10.218993]	[69]	[10.22629]	[69]	[36660963]	[36660963]
978_10327	chr6	53313778	53314178	+	1000	126.0	[6.7018538, 10.813079]	[100, 105]	[6.703544, 10.809008]	[100, 105]	[53313972, 53313977]	[53313972, 53313977]
978_10336	chr7	5045651	5046051	+	1000	126.0	[7.4183273]	[131]	[7.4232836]	[131]	[5045880]	[5045880]
978_10344	chr8	145002789	145003189	+	1000	126.0	[9.253974]	[160]	[9.248454]	[160]	[145003011]	[145003011]
978_10345	chr9	71638672	71639072	+	1000	126.0	[8.143425]	[105]	[8.146975]	[105]	[71638868]	[71638868]
978_10353	chrX	103310799	103311199	+	1000	126.0	[9.978909]	[65]	[9.971047]	[65]	[103310963]	[103310963]
978_1036	chr1	15524440	15524840	+	1000	475.0	[7.2568383]	[124]	[7.2582116]	[124]	[15524663]	[15524663]
978_10378	chr11	10490570	10490970	+	1000	125.0	[9.380857]	[104]	[9.381887]	[104]	[10490770]	[10490770]
978_10379	chr11	32379589	32379989	+	1000	125.0	[7.464815]	[132]	[7.461691]	[132]	[32379794]	[32379794]
978_1038	chr10	91923558	91923958	+	1000	475.0	[11.287143]	[86]	[11.283288]	[86]	[91923738]	[91923738]
978_10385	chr11	76445553	76445953	+	1000	125.0	[6.6220894]	[79]	[6.6212907]	[79]	[76445722]	[76445722]
978_10388	chr11	118338546	118338946	+	1000	125.0	[8.896893]	[99]	[8.895109]	[99]	[118338732]	[118338732]
978_1039	chr19	13152803	13153203	+	1000	475.0	[18.344078]	[106]	[18.344442]	[106]	[13153004]	[13153004]
978_10391	chr12	48814588	48814988	+	1000	125.0	[8.174683]	[144]	[8.173047]	[144]	[48814811]	[48814811]
978_10424	chr2	135052370	135052770	+	1000	125.0	[13.247364]	[113]	[13.241618]	[113]	[135052566]	[135052566]
978_10437	chr22	22100221	22100621	+	1000	125.0	[10.663611]	[118]	[10.655317]	[118]	[22100439]	[22100439]
978_10445	chr3	194323773	194324173	+	1000	125.0	[6.9881687]	[125]	[6.980345]	[125]	[194323980]	[194323980]
978_10446	chr4	39182125	39182525	+	1000	125.0	[9.121989]	[122]	[9.118351]	[122]	[39182341]	[39182341]
978_10449	chr5	141651293	141651693	+	1000	125.0	[9.292598]	[92]	[9.294856]	[92]	[141651485]	[141651485]
