#PeakID(python identify_motif.py ./ENCODE_processed_files/FOXA3_idr.fa FOXA3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
876_1000	chr17	65074785	65075185	+	1000	139.0	[8.264141, 12.570299]	[53, 82]	[]	[]	[65074936, 65074965]	[]
876_1001	chr21	35483127	35483527	+	1000	139.0	[]	[]	[9.252844]	[107]	[]	[35483308]
876_10011	chrX	118724805	118725205	+	611	42.0	[]	[]	[8.361351, 7.676677]	[109, 159]	[]	[118724993, 118725043]
876_1002	chr6	4320887	4321287	+	1000	139.0	[]	[]	[12.570299]	[93]	[]	[4321069]
876_10024	chr1	109960445	109960845	+	735	41.5	[]	[]	[10.2047415, 10.2047415]	[111, 126]	[]	[109960626, 109960641]
876_10026	chr1	111721889	111722289	+	1000	41.5	[]	[]	[9.53014]	[107]	[]	[111722079]
876_10037	chr1	183996571	183996971	+	1000	41.5	[10.2047415]	[146]	[]	[]	[183996803]	[]
876_10047	chr1	247840413	247840813	+	1000	41.5	[12.570299, 7.5891633]	[116, 162]	[]	[]	[247840618, 247840664]	[]
876_10049	chr10	11170885	11171285	+	1000	41.5	[]	[]	[8.361351]	[125]	[]	[11171095]
876_1005	chr3	101196039	101196439	+	1000	138.5	[]	[]	[10.2047415, 9.53014]	[88, 128]	[]	[101196213, 101196253]
876_10052	chr10	21052074	21052474	+	1000	41.5	[8.361351]	[99]	[]	[]	[21052265]	[]
876_10056	chr10	60353530	60353930	+	1000	41.5	[7.578352, 9.53014]	[115, 177]	[]	[]	[60353717, 60353779]	[]
876_10058	chr10	63522244	63522644	+	1000	41.5	[12.570299]	[156]	[]	[]	[63522495]	[]
876_10059	chr10	74150681	74151081	+	1000	41.5	[]	[]	[7.676677]	[153]	[]	[74150891]
876_10060	chr10	88045667	88046067	+	655	41.5	[8.84223]	[161]	[]	[]	[88045877]	[]
876_10061	chr11	5522396	5522796	+	1000	41.5	[8.361351]	[85]	[]	[]	[5522580]	[]
876_10073	chr12	19130879	19131279	+	1000	41.5	[]	[]	[12.570299]	[91]	[]	[19131065]
876_10075	chr12	46124143	46124543	+	1000	41.5	[12.570299]	[121]	[]	[]	[46124334]	[]
