#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1000	chr10	73246885	73247285	+	1000	67.5	[8.786449, 10.0477295, 8.836867]	[59, 63, 140]	[7.797938]	[76]	[73247042, 73247046, 73247123]	[73247059]
293_1002	chr12	49018644	49019044	+	1000	67.5	[10.534392, 7.5940995, 10.0477295]	[62, 69, 140]	[]	[]	[49018795, 49018802, 49018873]	[]
293_1003	chr12	49130521	49130921	+	1000	67.5	[9.792437]	[169]	[]	[]	[49130755]	[]
293_1005	chr15	51829034	51829434	+	1000	67.5	[14.252311]	[153]	[]	[]	[51829229]	[]
293_1006	chr16	67993359	67993759	+	1000	67.5	[6.483479]	[68]	[]	[]	[67993513]	[]
293_1009	chr17	27353640	27354040	+	1000	67.5	[7.5088573]	[180]	[7.2199736]	[107]	[27353873]	[27353800]
293_1010	chr18	2854080	2854480	+	1000	67.5	[]	[]	[12.520998]	[148]	[]	[2854298]
293_1011	chr20	1118340	1118740	+	1000	67.5	[12.265705, 7.2592225]	[113, 126]	[]	[]	[1118500, 1118513]	[]
293_1016	chr22	22928508	22928908	+	1000	67.5	[9.495462, 7.801938]	[101, 139]	[]	[]	[22928697, 22928735]	[]
293_1017	chr22	23158487	23158887	+	1000	67.5	[9.052912, 7.591329]	[195, 216]	[8.057231]	[146]	[23158702, 23158723]	[23158653]
293_1018	chr3	4868195	4868595	+	1000	67.5	[12.520998, 7.2592225]	[127, 182]	[]	[]	[4868372, 4868427]	[]
293_102	chr17	60139815	60140215	+	1000	179.5	[12.265705]	[73]	[]	[]	[60139985]	[]
293_1020	chr6	139134784	139135184	+	1000	67.5	[]	[]	[8.797619]	[146]	[]	[139134972]
