#PeakID(python scan_motif.py ./ENCODE_processed_files/ARID1B_idr.fa ARID1B --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
892_1	chrM	12028	12428	+	1000	2805.0	[]	[]	[9.257497]	[156]	[]	[12276]
892_100	chr7	56107179	56107579	+	1000	1626.5	[]	[]	[9.257497]	[92]	[]	[56107361]
892_1000	chr13	97259875	97260275	+	1000	912.0	[]	[]	[9.257497, 9.257497]	[76, 109]	[]	[97260037, 97260070]
892_10004	chr2	189521690	189522090	+	1000	205.5	[]	[]	[9.257497]	[163]	[]	[189521906]
892_10006	chr2	241543895	241544295	+	1000	205.5	[9.257497]	[151]	[]	[]	[241544110]	[]
892_10007	chr20	32634414	32634814	+	1000	205.5	[9.257497]	[131]	[]	[]	[32634594]	[]
892_10008	chr22	12554636	12555036	+	1000	205.5	[]	[]	[9.257497, 9.257497]	[81, 124]	[]	[12554811, 12554854]
892_10009	chr22	44689158	44689558	+	1000	205.5	[9.257497]	[130]	[]	[]	[44689361]	[]
892_1001	chr15	58111188	58111588	+	1000	912.0	[]	[]	[9.257497, 9.257497]	[76, 114]	[]	[58111358, 58111396]
892_10010	chr3	67033066	67033466	+	1000	205.5	[]	[]	[9.257497]	[154]	[]	[67033308]
892_10012	chr3	157128269	157128669	+	1000	205.5	[]	[]	[9.257497]	[127]	[]	[157128465]
892_10014	chr5	53543389	53543789	+	1000	205.5	[]	[]	[9.257497]	[139]	[]	[53543622]
892_10017	chr6	150844387	150844787	+	1000	205.5	[9.257497]	[81]	[]	[]	[150844556]	[]
892_10020	chr7	32648768	32649168	+	1000	205.5	[]	[]	[9.257497]	[118]	[]	[32648970]
892_10023	chr1	47213382	47213782	+	1000	205.0	[]	[]	[9.257497]	[120]	[]	[47213570]
892_10028	chr11	96322901	96323301	+	1000	205.0	[9.257497]	[200]	[]	[]	[96323147]	[]
892_10029	chr14	102629122	102629522	+	1000	205.0	[9.257497, 9.257497]	[141, 168]	[]	[]	[102629326, 102629353]	[]
