#PeakID(python identify_motif.py ./ENCODE_processed_files/JUNB_idr.fa JUNB --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
771_1000	chr6	6968643	6969043	+	1000	83.0	[11.291996]	[96]	[13.28149]	[96]	[6968824]	[6968824]
771_10001	chr14	55803033	55803433	+	889	31.0	[13.712336, 12.491025]	[125, 159]	[10.861151, 12.4798975]	[125, 159]	[55803239, 55803273]	[55803239, 55803273]
771_10002	chr14	76961769	76962169	+	974	31.0	[12.31283]	[98]	[9.462089]	[98]	[76961964]	[76961964]
771_10003	chr14	77059546	77059946	+	815	31.0	[8.426227]	[99]	[10.545317]	[99]	[77059729]	[77059729]
771_10015	chr15	65805042	65805442	+	991	31.0	[6.620499]	[233]	[]	[]	[65805290]	[]
771_10017	chr15	74954507	74954907	+	971	31.0	[7.6302204]	[144]	[7.619093]	[144]	[74954707]	[74954707]
771_10023	chr16	1961115	1961515	+	940	31.0	[]	[]	[7.4109645]	[145]	[]	[1961296]
771_10029	chr16	15489486	15489886	+	903	31.0	[15.927315]	[116]	[13.506975]	[116]	[15489687]	[15489687]
771_1003	chr6	163585845	163586245	+	1000	83.0	[15.927315]	[95]	[13.506975]	[95]	[163586033]	[163586033]
771_10030	chr16	15573381	15573781	+	972	31.0	[7.0369763]	[116]	[7.8418097]	[88]	[15573577]	[15573549]
771_10037	chr16	57530007	57530407	+	927	31.0	[11.066511]	[89]	[8.646172]	[89]	[57530194]	[57530194]
771_10038	chr16	57671452	57671852	+	941	31.0	[8.646172]	[82]	[11.066511]	[82]	[57671615]	[57671615]
771_1004	chr8	127618379	127618779	+	1000	83.0	[11.066511]	[120]	[8.646172]	[120]	[127618585]	[127618585]
771_1005	chr9	135951904	135952304	+	1000	83.0	[10.325372, 7.9042892]	[95, 164]	[7.9050317]	[95]	[135952083, 135952152]	[135952083]
771_10050	chr16	78742470	78742870	+	912	31.0	[11.066511]	[98]	[8.646172]	[98]	[78742638]	[78742638]
771_10057	chr16	87581838	87582238	+	1000	31.0	[10.770802]	[103]	[13.061545, 7.5641775]	[103, 163]	[87582019]	[87582019, 87582079]
771_10058	chr16	87806181	87806581	+	744	31.0	[13.28149]	[107]	[11.291996]	[107]	[87806374]	[87806374]
771_10059	chr16	87809474	87809874	+	904	31.0	[15.927315]	[120]	[13.506975]	[120]	[87809678]	[87809678]
771_1006	chrX	154799045	154799445	+	1000	83.0	[9.447061, 9.447061]	[83, 126]	[6.725914, 7.995023, 6.725914]	[83, 89, 126]	[154799215, 154799258]	[154799215, 154799221, 154799258]
771_10062	chr17	2359566	2359966	+	1000	31.0	[15.927315]	[103]	[13.506975, 6.6615605, 7.161842]	[103, 122, 135]	[2359749]	[2359749, 2359768, 2359781]
771_10064	chr17	27339985	27340385	+	769	31.0	[8.124977, 7.36485]	[135, 160]	[10.846566, 10.104691]	[135, 160]	[27340195, 27340220]	[27340195, 27340220]
771_10067	chr17	28646272	28646672	+	882	31.0	[]	[]	[6.683848]	[187]	[]	[28646472]
771_10069	chr17	34975044	34975444	+	869	31.0	[13.191141]	[131]	[10.641206]	[131]	[34975264]	[34975264]
771_1007	chr1	26376785	26377185	+	1000	82.0	[13.28149, 7.8418097]	[115, 149]	[11.291996]	[115]	[26376988, 26377022]	[26376988]
771_10071	chr17	39001628	39002028	+	762	31.0	[7.8418097, 8.176992]	[157, 170]	[]	[]	[39001853, 39001866]	[]
771_10075	chr17	42183090	42183490	+	734	31.0	[15.927315]	[148]	[13.506975]	[148]	[42183317]	[42183317]
771_10079	chr17	48002576	48002976	+	713	31.0	[13.191141]	[133]	[10.641206]	[133]	[48002791]	[48002791]
771_1008	chr1	54408248	54408648	+	1000	82.0	[10.545317, 13.191141]	[120, 136]	[8.426227, 10.641206]	[120, 136]	[54408451, 54408467]	[54408451, 54408467]
771_10081	chr17	54891159	54891559	+	908	31.0	[12.4798975]	[93]	[12.491025]	[93]	[54891350]	[54891350]
771_10082	chr17	55067691	55068091	+	1000	31.0	[13.506975]	[106]	[15.927315]	[106]	[55067896]	[55067896]
771_10087	chr17	73201283	73201683	+	1000	31.0	[15.927315]	[62]	[13.506975]	[62]	[73201443]	[73201443]
771_10088	chr17	74931442	74931842	+	999	31.0	[10.846566]	[110]	[8.124977]	[110]	[74931641]	[74931641]
771_10094	chr17	79916049	79916449	+	895	31.0	[8.124977]	[121]	[10.846566]	[121]	[79916261]	[79916261]
771_10097	chr17	81553502	81553902	+	966	31.0	[8.646172]	[149]	[11.066511]	[149]	[81553698]	[81553698]
771_10099	chr17_GL000205v2_random	70465	70865	+	549	31.0	[6.7705946]	[164]	[]	[]	[70708]	[]
771_101	chr2	200811141	200811541	+	1000	245.0	[]	[]	[7.4553385]	[158]	[]	[200811373]
771_1010	chr1	119859568	119859968	+	1000	82.0	[13.506975]	[104]	[15.927315]	[104]	[119859756]	[119859756]
771_10103	chr18	864793	865193	+	973	31.0	[]	[]	[7.1393647]	[83]	[]	[864949]
771_10104	chr18	31102234	31102634	+	969	31.0	[7.3936696]	[104]	[]	[]	[31102427]	[]
771_10105	chr18	35240838	35241238	+	931	31.0	[7.8418097]	[211]	[]	[]	[35241076]	[]
771_10106	chr18	46222699	46223099	+	696	31.0	[7.514847]	[78]	[]	[]	[46222864]	[]
771_1011	chr1	161132785	161133185	+	1000	82.0	[15.927315]	[168]	[13.506975]	[168]	[161133025]	[161133025]
771_10119	chr19	11142507	11142907	+	735	31.0	[8.426227]	[113]	[10.545317]	[113]	[11142707]	[11142707]
771_1012	chr1	200150608	200151008	+	1000	82.0	[13.506975]	[120]	[15.927315]	[120]	[200150819]	[200150819]
771_10122	chr19	15828722	15829122	+	996	31.0	[]	[]	[7.57021]	[173]	[]	[15828964]
771_10124	chr19	17507822	17508222	+	669	31.0	[10.276045]	[183]	[9.834072]	[183]	[17508046]	[17508046]
771_10125	chr19	18414382	18414782	+	987	31.0	[7.3442326]	[123]	[]	[]	[18414580]	[]
771_10128	chr19	33373234	33373634	+	837	31.0	[]	[]	[6.416048]	[218]	[]	[33373461]
771_10129	chr19	35166544	35166944	+	984	31.0	[7.2914376]	[189]	[]	[]	[35166747]	[]
771_1014	chr11	59857669	59858069	+	1000	82.0	[13.712336]	[119]	[10.861151]	[119]	[59857883]	[59857883]
771_10140	chr19	44588425	44588825	+	585	31.0	[13.712336]	[107]	[10.861151]	[107]	[44588626]	[44588626]
771_10142	chr19	48424738	48425138	+	817	31.0	[6.500429, 13.191141]	[80, 115]	[10.641206]	[115]	[48424897, 48424932]	[48424932]
771_10145	chr19	48875203	48875603	+	902	31.0	[8.426227]	[170]	[10.545317]	[170]	[48875436]	[48875436]
771_1015	chr12	47278108	47278508	+	1000	82.0	[13.506975, 13.506975]	[96, 107]	[15.927315, 15.927315]	[96, 107]	[47278271, 47278282]	[47278271, 47278282]
771_10154	chr2	8615739	8616139	+	610	31.0	[10.33729]	[206]	[7.9716325]	[206]	[8615973]	[8615973]
771_10157	chr2	19786405	19786805	+	861	31.0	[10.770802]	[139]	[7.1910195, 13.061545]	[114, 139]	[19786633]	[19786608, 19786633]
771_10158	chr2	20561612	20562012	+	943	31.0	[13.712336]	[116]	[10.861151]	[116]	[20561816]	[20561816]
771_1016	chr12	120230528	120230928	+	1000	82.0	[]	[]	[6.500429]	[108]	[]	[120230727]
771_10163	chr2	37822788	37823188	+	935	31.0	[10.770802]	[77]	[13.061545]	[77]	[37822963]	[37822963]
771_10166	chr2	55175587	55175987	+	975	31.0	[]	[]	[7.561598]	[159]	[]	[55175819]
771_10167	chr2	55232079	55232479	+	946	31.0	[]	[]	[6.91942]	[75]	[]	[55232236]
771_10168	chr2	55365292	55365692	+	631	31.0	[13.28149]	[81]	[11.291996]	[81]	[55365456]	[55365456]
771_10169	chr2	58667191	58667591	+	887	31.0	[10.846566]	[132]	[8.124977]	[132]	[58667417]	[58667417]
771_1017	chr14	102552013	102552413	+	1000	82.0	[10.545317]	[129]	[8.426227]	[129]	[102552221]	[102552221]
771_10175	chr2	96157862	96158262	+	897	31.0	[9.743723]	[107]	[9.625255]	[107]	[96158036]	[96158036]
771_10176	chr2	97673151	97673551	+	959	31.0	[11.291996]	[132]	[13.28149]	[132]	[97673309]	[97673309]
771_10178	chr2	105601000	105601400	+	712	31.0	[6.8016787]	[156]	[]	[]	[105601180]	[]
771_10179	chr2	111100775	111101175	+	775	31.0	[8.85852, 13.506975]	[114, 155]	[8.747505, 15.927315]	[114, 155]	[111100969, 111101010]	[111100969, 111101010]
771_1018	chr16	85612142	85612542	+	1000	82.0	[10.770802]	[114]	[13.061545]	[114]	[85612351]	[85612351]
771_10180	chr2	111168459	111168859	+	894	31.0	[13.061545]	[134]	[10.770802]	[134]	[111168672]	[111168672]
771_10183	chr2	112764392	112764792	+	979	31.0	[10.210002]	[163]	[7.6191545]	[163]	[112764597]	[112764597]
771_10184	chr2	120237436	120237836	+	1000	31.0	[11.291996]	[140]	[13.28149]	[140]	[120237657]	[120237657]
771_10187	chr2	144441564	144441964	+	798	31.0	[8.26105, 7.1273255]	[98, 141]	[]	[]	[144441737, 144441780]	[]
771_10191	chr2	171807080	171807480	+	877	31.0	[13.506975]	[122]	[15.927315]	[122]	[171807296]	[171807296]
771_10192	chr2	173965792	173966192	+	989	31.0	[6.889081]	[85]	[6.8779535]	[85]	[173965966]	[173965966]
771_10193	chr2	174059163	174059563	+	907	31.0	[12.491025]	[101]	[12.4798975]	[101]	[174059342]	[174059342]
771_10197	chr2	215830310	215830710	+	689	31.0	[9.447061]	[108]	[6.725914]	[108]	[215830492]	[215830492]
771_10198	chr2	218679043	218679443	+	845	31.0	[11.291996]	[122]	[13.28149]	[122]	[218679262]	[218679262]
771_1020	chr18	9869917	9870317	+	1000	82.0	[8.138908, 15.927315]	[57, 99]	[13.506975]	[99]	[9870071, 9870113]	[9870113]
771_10201	chr20	1266678	1267078	+	982	31.0	[13.712336]	[105]	[10.861151]	[105]	[1266883]	[1266883]
771_10209	chr20	45036142	45036542	+	846	31.0	[12.4798975]	[119]	[6.8016787, 12.491025]	[68, 119]	[45036358]	[45036307, 45036358]
771_1021	chr19	41323501	41323901	+	1000	82.0	[10.770802]	[149]	[13.061545]	[149]	[41323723]	[41323723]
771_10212	chr20	57076094	57076494	+	977	31.0	[13.061545]	[112]	[10.770802]	[112]	[57076291]	[57076291]
771_10214	chr20	62364405	62364805	+	799	31.0	[10.861151]	[137]	[13.712336]	[137]	[62364626]	[62364626]
771_10215	chr21	14321018	14321418	+	993	31.0	[15.927315]	[134]	[13.506975]	[134]	[14321233]	[14321233]
771_10216	chr21	14753721	14754121	+	947	31.0	[]	[]	[7.3033204]	[66]	[]	[14753872]
771_10218	chr21	33605726	33606126	+	702	31.0	[12.491025]	[94]	[12.4798975]	[94]	[33605912]	[33605912]
771_10219	chr21	34771537	34771937	+	902	31.0	[9.8452]	[112]	[10.264917]	[112]	[34771730]	[34771730]
771_1022	chr2	8544908	8545308	+	1000	82.0	[11.066511]	[148]	[8.646172]	[148]	[8545139]	[8545139]
771_10220	chr21	34950933	34951333	+	689	31.0	[10.846566]	[148]	[8.124977]	[148]	[34951165]	[34951165]
771_10221	chr21	37450403	37450803	+	910	31.0	[8.426227]	[79]	[10.545317]	[79]	[37450581]	[37450581]
771_10222	chr21	41706550	41706950	+	933	31.0	[11.291996]	[86]	[13.28149]	[86]	[41706736]	[41706736]
771_10224	chr21	43646528	43646928	+	938	31.0	[]	[]	[7.5734572]	[180]	[]	[43646755]
771_10226	chr21	45067450	45067850	+	990	31.0	[]	[]	[7.3685164]	[107]	[]	[45067634]
771_1023	chr2	26769091	26769491	+	1000	82.0	[11.066511]	[87]	[8.646172]	[87]	[26769269]	[26769269]
771_10233	chr22	19170063	19170463	+	962	31.0	[8.490399]	[88]	[]	[]	[19170218]	[]
771_10235	chr22	19434814	19435214	+	826	31.0	[7.6843505]	[119]	[9.78519]	[119]	[19435020]	[19435020]
771_1024	chr2	112706197	112706597	+	1000	82.0	[10.545317]	[74]	[8.426227]	[74]	[112706369]	[112706369]
771_10248	chr22	20524044	20524444	+	990	31.0	[6.475763]	[91]	[]	[]	[20524222]	[]
771_1025	chr2	176931797	176932197	+	1000	82.0	[15.927315]	[100]	[13.506975, 6.5979047]	[100, 107]	[176931990]	[176931990, 176931997]
771_10252	chr22	20862051	20862451	+	993	31.0	[8.747505]	[214]	[8.85852]	[214]	[20862299]	[20862299]
771_10256	chr22	20950564	20950964	+	990	31.0	[15.927315]	[128]	[13.506975]	[128]	[20950774]	[20950774]
771_10258	chr22	20959851	20960251	+	675	31.0	[7.352811]	[90]	[10.056789]	[90]	[20960036]	[20960036]
771_1026	chr20	51033743	51034143	+	1000	82.0	[11.291996]	[87]	[13.28149]	[87]	[51033919]	[51033919]
771_10260	chr22	21016728	21017128	+	1000	31.0	[]	[]	[6.7830076]	[160]	[]	[21016962]
771_10261	chr22	21066726	21067126	+	1000	31.0	[7.3936696]	[161]	[]	[]	[21066920]	[]
771_10271	chr22	21911170	21911570	+	805	31.0	[7.4109645]	[208]	[7.655798]	[188]	[21911407]	[21911387]
771_1028	chr22	20235378	20235778	+	1000	82.0	[6.7718644]	[77]	[6.682978]	[77]	[20235554]	[20235554]
771_10286	chr22	22544507	22544907	+	817	31.0	[7.8418097]	[181]	[]	[]	[22544689]	[]
771_10289	chr22	22663773	22664173	+	976	31.0	[7.161842]	[134]	[]	[]	[22663959]	[]
771_1029	chr3	119795055	119795455	+	1000	82.0	[13.061545]	[115]	[10.770802]	[115]	[119795263]	[119795263]
771_10292	chr22	22846354	22846754	+	973	31.0	[]	[]	[7.4588656]	[150]	[]	[22846588]
771_10294	chr22	22948762	22949162	+	994	31.0	[12.183796]	[116]	[9.885598]	[116]	[22948978]	[22948978]
771_103	chr3	183532859	183533259	+	1000	240.0	[6.8162637]	[87]	[10.097851]	[87]	[183533032]	[183533032]
771_10305	chr22	24555773	24556173	+	963	31.0	[9.660112]	[137]	[7.5484767]	[137]	[24556005]	[24556005]
771_10306	chr22	25747339	25747739	+	864	31.0	[13.28149]	[104]	[11.291996]	[104]	[25747519]	[25747519]
771_10308	chr22	38178020	38178420	+	726	31.0	[13.28149]	[86]	[11.291996]	[86]	[38178202]	[38178202]
771_1031	chr6	129683930	129684330	+	1000	82.0	[13.061545]	[94]	[10.770802]	[94]	[129684121]	[129684121]
771_10313	chr3	5019460	5019860	+	968	31.0	[6.8779535]	[182]	[6.889081]	[182]	[5019679]	[5019679]
771_10314	chr3	5565030	5565430	+	837	31.0	[7.6888065]	[65]	[6.7552223]	[65]	[5565195]	[5565195]
771_10316	chr3	9862517	9862917	+	971	31.0	[]	[]	[7.381787]	[88]	[]	[9862698]
771_10318	chr3	17632378	17632778	+	869	31.0	[]	[]	[6.5886245]	[155]	[]	[17632561]
771_1032	chr6	136610225	136610625	+	1000	82.0	[8.646172]	[109]	[11.066511]	[109]	[136610430]	[136610430]
771_10321	chr3	32493413	32493813	+	798	31.0	[12.183796]	[95]	[9.885598]	[95]	[32493607]	[32493607]
771_10328	chr3	40379899	40380299	+	827	31.0	[13.191141]	[113]	[10.641206]	[113]	[40380093]	[40380093]
771_1033	chr6	161393861	161394261	+	1000	82.0	[10.861151]	[110]	[13.712336]	[110]	[161394065]	[161394065]
771_10330	chr3	43584005	43584405	+	960	31.0	[8.267943]	[168]	[]	[]	[43584189]	[]
771_10331	chr3	45199975	45200375	+	588	31.0	[11.291996]	[158]	[13.28149]	[158]	[45200202]	[45200202]
771_10335	chr3	69212382	69212782	+	980	31.0	[11.291996]	[191]	[13.28149]	[191]	[69212617]	[69212617]
771_10336	chr3	101147953	101148353	+	767	31.0	[10.770802]	[106]	[13.061545]	[106]	[101148154]	[101148154]
771_10337	chr3	112676809	112677209	+	986	31.0	[9.614127, 6.725914]	[81, 93]	[9.75485, 9.447061]	[81, 93]	[112676976, 112676988]	[112676976, 112676988]
771_1034	chr7	76364767	76365167	+	1000	82.0	[13.506975]	[127]	[15.927315]	[127]	[76364985]	[76364985]
771_10344	chr3	170730076	170730476	+	959	31.0	[]	[]	[7.091337]	[168]	[]	[170730257]
771_10345	chr3	172142512	172142912	+	830	31.0	[6.725914]	[113]	[9.447061]	[113]	[172142676]	[172142676]
771_10349	chr3	186700302	186700702	+	748	31.0	[13.061545]	[91]	[10.770802]	[91]	[186700458]	[186700458]
771_10353	chr4	10285021	10285421	+	722	31.0	[12.305938, 12.31283]	[131, 187]	[9.763456, 9.462089]	[131, 187]	[10285207, 10285263]	[10285207, 10285263]
771_10360	chr4	74084892	74085292	+	982	31.0	[12.305938]	[199]	[9.763456]	[199]	[74085141]	[74085141]
771_10362	chr4	80179478	80179878	+	961	31.0	[]	[]	[7.558171]	[69]	[]	[80179645]
771_10366	chr4	152581770	152582170	+	868	31.0	[10.545317]	[113]	[8.426227]	[113]	[152581968]	[152581968]
771_10368	chr4	183335324	183335724	+	961	31.0	[15.927315]	[93]	[13.506975]	[93]	[183335516]	[183335516]
771_1037	chr8	128149989	128150389	+	1000	82.0	[10.861151]	[92]	[13.712336, 8.40005]	[92, 141]	[128150169]	[128150169, 128150218]
771_10371	chr5	10913868	10914268	+	829	31.0	[7.4109645]	[91]	[]	[]	[10914043]	[]
771_10372	chr5	12772278	12772678	+	937	31.0	[7.0198283, 10.545317]	[87, 110]	[9.447621, 8.426227]	[87, 110]	[12772460, 12772483]	[12772460, 12772483]
771_10378	chr5	54738132	54738532	+	916	31.0	[7.232081]	[106]	[]	[]	[54738300]	[]
771_1038	chr9	96256764	96257164	+	1000	82.0	[11.291996]	[101]	[13.28149]	[101]	[96256965]	[96256965]
771_10382	chr5	68343412	68343812	+	863	31.0	[10.861151]	[112]	[13.712336]	[112]	[68343624]	[68343624]
771_10384	chr5	75567746	75568146	+	804	31.0	[10.641206]	[130]	[13.191141]	[130]	[75567922]	[75567922]
771_10386	chr5	98963675	98964075	+	779	31.0	[]	[]	[6.406234]	[83]	[]	[98963831]
771_10387	chr5	108735778	108736178	+	935	31.0	[9.743723]	[138]	[9.625255]	[138]	[108736008]	[108736008]
771_10388	chr5	109424722	109425122	+	957	31.0	[7.4553385]	[154]	[]	[]	[109424941]	[]
771_10390	chr5	132103301	132103701	+	842	31.0	[8.124977]	[131]	[10.846566]	[131]	[132103519]	[132103519]
771_10397	chr5	141634167	141634567	+	975	31.0	[13.506975]	[104]	[15.927315]	[104]	[141634342]	[141634342]
771_10400	chr5	159773336	159773736	+	990	31.0	[11.066511]	[61]	[8.646172]	[61]	[159773494]	[159773494]
771_10401	chr5	160181999	160182399	+	557	31.0	[10.861151]	[150]	[13.712336]	[150]	[160182219]	[160182219]
771_10406	chr6	2982467	2982867	+	820	31.0	[6.725914]	[103]	[9.447061]	[103]	[2982639]	[2982639]
771_10407	chr6	3061406	3061806	+	548	31.0	[13.28149]	[115]	[11.291996]	[115]	[3061599]	[3061599]
771_1041	chr1	21638623	21639023	+	1000	81.0	[13.28149]	[122]	[11.291996]	[122]	[21638828]	[21638828]
771_10411	chr6	10759351	10759751	+	667	31.0	[7.514847]	[165]	[]	[]	[10759593]	[]
771_10414	chr6	13454523	13454923	+	907	31.0	[10.861151]	[152]	[13.712336]	[152]	[13454756]	[13454756]
771_10415	chr6	13573671	13574071	+	954	31.0	[8.646172]	[114]	[11.066511]	[114]	[13573860]	[13573860]
771_10418	chr6	17314062	17314462	+	954	31.0	[7.3535123]	[116]	[]	[]	[17314218]	[]
771_1042	chr1	43835122	43835522	+	1000	81.0	[13.061545]	[119]	[10.770802]	[119]	[43835324]	[43835324]
771_10420	chr6	25050360	25050760	+	715	31.0	[10.861151]	[117]	[13.712336]	[117]	[25050548]	[25050548]
771_10423	chr6	27795741	27796141	+	900	31.0	[8.124977]	[152]	[10.846566]	[152]	[27795980]	[27795980]
771_10428	chr6	30685249	30685649	+	1000	31.0	[6.91942]	[146]	[]	[]	[30685431]	[]
771_1043	chr1	150507792	150508192	+	1000	81.0	[10.770802]	[156]	[13.061545]	[156]	[150508030]	[150508030]
771_10431	chr6	32168831	32169231	+	579	31.0	[8.124977]	[113]	[10.846566]	[113]	[32168988]	[32168988]
771_10435	chr6	35259992	35260392	+	963	31.0	[11.066511]	[157]	[8.646172]	[157]	[35260223]	[35260223]
771_10436	chr6	35370349	35370749	+	981	31.0	[10.861151]	[140]	[13.712336]	[140]	[35370575]	[35370575]
771_1044	chr1	152048029	152048429	+	1000	81.0	[11.066511]	[188]	[8.646172]	[188]	[152048264]	[152048264]
771_10440	chr6	37691941	37692341	+	937	31.0	[10.33729]	[94]	[7.9716325]	[94]	[37692112]	[37692112]
