#PeakID(python identify_motif.py ./ENCODE_processed_files/ETS1_idr.fa ETS1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
503_10	chr9	129863143	129863543	+	1000	583.0	[]	[]	[10.389162, 12.327155]	[115, 142]	[]	[129863345, 129863372]
503_10005	chr14	34539452	34539852	+	1000	43.0	[10.150553]	[60]	[]	[]	[34539612]	[]
503_10007	chr14	74763180	74763580	+	1000	43.0	[]	[]	[7.916553]	[130]	[]	[74763398]
503_10013	chr15	58521415	58521815	+	1000	43.0	[6.993913, 7.4008026]	[106, 123]	[]	[]	[58521599, 58521616]	[]
503_10036	chr16	58629541	58629941	+	1000	43.0	[10.389162]	[131]	[]	[]	[58629754]	[]
503_1004	chr1	15975874	15976274	+	1000	122.0	[]	[]	[12.885004]	[176]	[]	[15976120]
503_10040	chr16	70746654	70747054	+	1000	43.0	[8.322755]	[116]	[]	[]	[70746854]	[]
503_10050	chr17	7351731	7352131	+	1000	43.0	[]	[]	[9.875317]	[211]	[]	[7351964]
503_10061	chr17	49677796	49678196	+	1000	43.0	[]	[]	[9.875317]	[131]	[]	[49677995]
503_10067	chr17	63433202	63433602	+	1000	43.0	[]	[]	[8.830775]	[133]	[]	[63433411]
503_10085	chr19	4066541	4066941	+	1000	43.0	[7.1638846]	[114]	[]	[]	[4066716]	[]
503_101	chr9	135961216	135961616	+	1000	271.0	[14.901949]	[76]	[]	[]	[135961385]	[]
503_10106	chr19	50325570	50325970	+	1000	43.0	[]	[]	[7.7103596]	[173]	[]	[50325815]
503_10130	chr20	34876443	34876843	+	1000	43.0	[]	[]	[7.57576]	[117]	[]	[34876651]
503_10141	chr22	20082767	20083167	+	1000	43.0	[]	[]	[9.1684675]	[72]	[]	[20082919]
503_10142	chr22	20526637	20527037	+	1000	43.0	[]	[]	[10.288883]	[185]	[]	[20526881]
503_10168	chr22	36480046	36480446	+	1000	43.0	[8.77996]	[92]	[]	[]	[36480225]	[]
503_10188	chr4	68349613	68350013	+	1000	43.0	[7.937324]	[154]	[7.896186]	[59]	[68349861]	[68349766]
503_10195	chr4	172155928	172156328	+	1000	43.0	[12.327155]	[171]	[]	[]	[172156153]	[]
503_10201	chr5	149731594	149731994	+	1000	43.0	[]	[]	[7.1638846]	[153]	[]	[149731803]
503_10202	chr5	159128045	159128445	+	1000	43.0	[10.288883]	[86]	[]	[]	[159128223]	[]
503_10203	chr5	173328478	173328878	+	1000	43.0	[6.9121566]	[112]	[]	[]	[173328672]	[]
503_10212	chr6	33201143	33201543	+	1000	43.0	[]	[]	[6.993913]	[160]	[]	[33201311]
503_10222	chr6	118651289	118651689	+	1000	43.0	[]	[]	[6.406941]	[68]	[]	[118651452]
503_10228	chr6	157221209	157221609	+	1000	43.0	[7.4008026]	[119]	[]	[]	[157221373]	[]
503_10255	chr8	28401791	28402191	+	1000	43.0	[]	[]	[8.372218]	[138]	[]	[28401968]
503_10257	chr8	95090342	95090742	+	1000	43.0	[]	[]	[11.819135]	[140]	[]	[95090569]
