#PeakID	chr	start	end	strand	idrScore	count
156_0	chrM	15008	15230	+	1000	805.0
156_1	chrM	9799	10002	+	1000	804.0
156_2	chrM	11155	11399	+	1000	802.0
156_3	chrM	13667	13940	+	1000	802.0
156_4	chrM	10687	10894	+	1000	784.0
156_5	chrM	2702	2910	+	1000	741.0
156_6	chrM	11745	12011	+	1000	735.0
156_7	chrM	5298	5499	+	1000	661.0
156_8	chrM	6373	6573	+	1000	644.0
156_9	chrM	4861	5061	+	1000	631.0
156_10	chr3	93470496	93470696	+	1000	622.0
156_11	chr6	70337569	70337770	+	1000	562.0
156_12	chr12	119665684	119665891	+	1000	560.0
156_13	chr12	54295793	54295999	+	1000	554.0
156_14	chr9	125284939	125285140	+	1000	554.0
156_15	chr6	37302159	37302364	+	1000	540.0
156_16	chr7	73886147	73886355	+	1000	534.0
156_17	chr7	116876933	116877133	+	1000	534.0
156_18	chr1	164712313	164712531	+	1000	533.0
156_19	chr1	47181265	47181468	+	1000	525.0
156_20	chr4	78692000	78692211	+	1000	519.0
156_21	chr8	11879405	11879617	+	1000	518.0
156_22	chr8	23494203	23494406	+	1000	517.0
156_23	chr10	61765727	61765938	+	1000	515.0
156_24	chr3	171470822	171471023	+	1000	515.0
156_25	chr1	44036021	44036222	+	1000	512.0
156_26	chrM	8040	8244	+	1000	507.0
156_27	chr1	5885902	5886110	+	1000	497.0
156_28	chr22	23223914	23224126	+	1000	492.0
156_29	chr1	160540212	160540418	+	1000	482.0
156_30	chr5	154653956	154654189	+	1000	476.0
156_31	chr3	5108392	5108599	+	1000	471.0
156_32	chr9	112422835	112423038	+	1000	470.0
156_33	chr7	138257646	138257849	+	1000	457.0
156_34	chr7	107836435	107836643	+	1000	456.0
156_35	chr15	74389607	74389813	+	1000	455.0
156_36	chr16	46390446	46390797	+	1000	449.0
156_37	chr7	155324132	155324335	+	1000	449.0
156_38	chr6	119542181	119542382	+	1000	447.0
156_39	chr1	40057559	40057760	+	1000	443.0
156_40	chr17	76406006	76406215	+	1000	443.0
156_41	chr5	76658050	76658253	+	1000	441.0
156_42	chr6	37667581	37667794	+	1000	441.0
156_43	chr11	102342086	102342294	+	1000	438.0
156_44	chr21	34908529	34908739	+	1000	437.0
156_45	chr1	43522854	43523059	+	1000	433.0
156_46	chr11	59960507	59960728	+	1000	432.0
156_47	chr2	178273812	178274020	+	1000	430.0
156_48	chr3	193660786	193661000	+	1000	430.0
156_49	chr1	12448911	12449115	+	1000	426.0
156_50	chr1	30769010	30769210	+	1000	426.0
156_51	chr10	45470668	45470882	+	1000	425.0
156_52	chr2	168936173	168936378	+	1000	424.0
156_53	chr8	102590993	102591205	+	1000	421.0
156_54	chr16	89004198	89004399	+	1000	420.0
156_55	chr7	16269069	16269270	+	1000	418.0
156_56	chr11	62396762	62396969	+	1000	412.0
156_57	chr2	6893957	6894175	+	1000	411.0
156_58	chrM	9151	9352	+	1000	410.0
156_59	chr1	202076154	202076365	+	1000	409.0
156_60	chr19	3560575	3560778	+	1000	409.0
156_61	chr1	166705513	166705723	+	1000	407.0
156_62	chr17	28865391	28865601	+	1000	407.0
156_63	chr16	25771854	25772056	+	1000	406.0
156_64	chr1	204711409	204711616	+	1000	404.0
156_65	chr12	1304372	1304580	+	1000	404.0
156_66	chr21	34110748	34110961	+	1000	403.0
156_67	chr3	20022976	20023178	+	1000	403.0
156_68	chr6	3393053	3393261	+	1000	403.0
156_69	chr10	46001343	46001549	+	1000	402.0
156_70	chr12	113649294	113649503	+	1000	402.0
156_71	chr6	144886770	144886976	+	1000	401.0
156_72	chr22	19723312	19723540	+	1000	400.0
156_73	chr6	43631309	43631509	+	1000	399.0
156_74	chr1	181153034	181153240	+	1000	398.0
156_75	chr12	117042369	117042571	+	1000	398.0
156_76	chr7	150960393	150960611	+	1000	398.0
156_77	chr1	207024398	207024600	+	1000	396.0
156_78	chr12	32005587	32005788	+	1000	395.0
156_79	chr3	37987001	37987206	+	1000	395.0
156_80	chr8	18122778	18122986	+	1000	393.0
156_81	chr15	50261055	50261277	+	1000	391.0
156_82	chr21	44854873	44855082	+	1000	391.0
156_83	chr2	157324417	157324623	+	1000	388.0
156_84	chr4	5003575	5003779	+	1000	387.0
156_85	chr1	114380103	114380303	+	1000	386.0
156_86	chr16	57690063	57690266	+	1000	385.0
156_87	chr16	88491721	88491938	+	1000	385.0
156_88	chr3	197444324	197444533	+	1000	383.0
156_89	chr4	123349483	123349700	+	1000	382.0
156_90	chr15	95710115	95710352	+	1000	381.0
156_91	chr19	13102744	13102958	+	1000	381.0
156_92	chr1	179047030	179047257	+	1000	380.0
156_93	chr1	47232274	47232480	+	1000	379.0
156_94	chr10	60262843	60263062	+	1000	379.0
156_95	chr2	157930025	157930232	+	1000	379.0
156_96	chr9	114238987	114239193	+	1000	378.0
156_97	chr6	135323214	135323428	+	1000	377.0
156_98	chrX	47817509	47817710	+	1000	376.0
156_99	chr1	236913792	236913993	+	1000	372.0
156_100	chr17	11908818	11909040	+	1000	371.0
156_101	chr22	21947733	21947939	+	1000	371.0
156_102	chr7	134834962	134835167	+	1000	371.0
156_103	chr7	107007442	107007645	+	1000	370.0
156_104	chrUn_KI270467v1	2233	2433	+	1000	370.0
156_105	chr10	92756316	92756531	+	1000	369.0
156_106	chr3	46509251	46509460	+	1000	368.0
156_107	chr1	12218600	12218809	+	1000	367.0
156_108	chr2	6847379	6847582	+	1000	366.0
156_109	chr8	95093219	95093425	+	1000	366.0
156_110	chr19	50269714	50269915	+	1000	365.0
156_111	chr20	53175519	53175719	+	1000	365.0
156_112	chr1	28883921	28884129	+	1000	364.0
156_113	chr1	111161952	111162157	+	1000	363.0
156_114	chr22	41846074	41846275	+	1000	363.0
