#PeakID	chr	start	end	strand	idrScore	count
642_0	chrM	25	290	+	1000	787.0
642_1	chrM	3188	3455	+	1000	784.0
642_2	chrM	12500	12709	+	1000	778.0
642_3	chrM	9795	10083	+	1000	772.0
642_4	chrM	11150	11377	+	1000	772.0
642_5	chr3	93470496	93470696	+	1000	766.0
642_6	chrM	10579	10839	+	1000	761.0
642_7	chrM	13696	13909	+	1000	757.0
642_8	chr6	32838684	32838887	+	1000	748.0
642_9	chr7	140062865	140063065	+	1000	747.0
642_10	chr1	110034345	110034546	+	1000	731.0
642_11	chr16	28212117	28212317	+	1000	729.0
642_12	chrM	2605	2805	+	1000	722.0
642_13	chr1	27672190	27672392	+	1000	718.0
642_14	chr1	35637428	35637636	+	1000	716.0
642_15	chrM	11809	12035	+	1000	712.0
642_16	chr12	10365011	10365212	+	1000	706.0
642_17	chr8	89983981	89984181	+	1000	704.0
642_18	chr1	199932102	199932303	+	1000	703.0
642_19	chr1	1013302	1013502	+	1000	702.0
642_20	chr22	19259695	19259897	+	1000	699.0
642_21	chr11	63574585	63574787	+	1000	692.0
642_22	chr1	117735127	117735328	+	1000	686.0
642_23	chr20	408196	408397	+	1000	680.0
642_24	chr5	96807848	96808048	+	1000	679.0
642_25	chr7	139111961	139112175	+	1000	677.0
642_26	chr6	34657464	34657667	+	1000	671.0
642_27	chr1	168348402	168348618	+	1000	668.0
642_28	chr20	49278004	49278204	+	1000	648.0
642_29	chr12	127083400	127083605	+	1000	646.0
642_30	chr5	25569074	25569277	+	1000	646.0
642_31	chr2	151261709	151261915	+	1000	645.0
642_32	chr22	36239517	36239719	+	1000	643.0
642_33	chr1	247906730	247906931	+	1000	641.0
642_34	chr10	43623439	43623644	+	1000	641.0
642_35	chr7	135147932	135148132	+	1000	640.0
642_36	chr1	46062687	46062888	+	1000	639.0
642_37	chr10	25466073	25466274	+	1000	638.0
642_38	chr11	39371285	39371503	+	1000	637.0
642_39	chr7	43834562	43834763	+	1000	637.0
642_40	chr18	38941309	38941554	+	1000	632.0
642_41	chrM	5296	5504	+	1000	630.0
642_42	chr5	5523274	5523480	+	1000	629.0
642_43	chr12	126772190	126772390	+	1000	621.0
642_44	chr12	112938245	112938446	+	1000	619.0
642_45	chr17	43006667	43006877	+	1000	617.0
642_46	chrM	6208	6465	+	1000	617.0
642_47	chr6	32853741	32853943	+	1000	615.0
642_48	chr8	10630446	10630646	+	1000	615.0
642_49	chr19	10086186	10086388	+	1000	612.0
642_50	chr3	128804304	128804507	+	1000	608.0
642_51	chr16	11312710	11312910	+	1000	603.0
642_52	chrM	4861	5064	+	1000	603.0
642_53	chr10	3828950	3829158	+	1000	602.0
642_54	chr8	123037646	123037847	+	1000	602.0
642_55	chr4	37073262	37073467	+	1000	589.0
642_56	chr12	68236662	68236862	+	1000	588.0
642_57	chr6	121334851	121335051	+	1000	588.0
642_58	chr3	142447901	142448116	+	1000	587.0
642_59	chr1	155637507	155637709	+	1000	585.0
642_60	chr6	33313977	33314180	+	1000	583.0
642_61	chr4	77735029	77735235	+	1000	581.0
642_62	chr1	166490047	166490256	+	1000	577.0
642_63	chr5	5025777	5025980	+	1000	576.0
642_64	chr8	128377094	128377302	+	1000	576.0
642_65	chr2	151288216	151288423	+	1000	575.0
642_66	chr19	49474094	49474315	+	1000	574.0
642_67	chr5	96876372	96876578	+	1000	572.0
642_68	chr5	132410795	132410997	+	1000	572.0
642_69	chr7	116511793	116511994	+	1000	572.0
642_70	chr10	50327081	50327288	+	1000	569.0
642_71	chr17	45227155	45227359	+	1000	568.0
642_72	chr10	119131710	119131918	+	1000	565.0
642_73	chr16	85055379	85055581	+	1000	551.0
642_74	chr4	88379304	88379517	+	1000	550.0
642_75	chrUn_KI270467v1	2233	2538	+	1000	549.0
642_76	chr3	36908026	36908232	+	1000	544.0
642_77	chr12	57965970	57966173	+	1000	543.0
642_78	chr19	46714529	46714729	+	1000	541.0
642_79	chr14	76953704	76953906	+	1000	539.0
642_80	chr10	5684670	5684874	+	1000	537.0
642_81	chr1	32962328	32962528	+	1000	536.0
642_82	chr14	91114537	91114742	+	1000	536.0
642_83	chr8	122919078	122919280	+	1000	534.0
642_84	chr1	154608095	154608320	+	1000	530.0
642_85	chr16	25111463	25111666	+	1000	529.0
642_86	chr4	132123959	132124163	+	1000	529.0
642_87	chr12	14216480	14216680	+	1000	528.0
642_88	chr12	33588465	33588674	+	1000	525.0
642_89	chr1	182588797	182588998	+	1000	519.0
642_90	chr5	18746131	18746333	+	1000	517.0
642_91	chr1	84693017	84693218	+	1000	513.0
642_92	chr20	62804708	62804914	+	1000	513.0
642_93	chr4	184268013	184268233	+	1000	512.0
642_94	chr4	168480429	168480630	+	1000	511.0
642_95	chr1	222644229	222644431	+	1000	509.0
642_96	chr11	59144620	59144824	+	1000	509.0
642_97	chr7	151350111	151350312	+	1000	509.0
642_98	chr6	26440299	26440500	+	1000	506.0
642_99	chr5	179836812	179837014	+	1000	505.0
642_100	chr2	219387530	219387735	+	1000	503.0
642_101	chr19	49717511	49717729	+	1000	500.0
642_102	chr21	36260572	36260778	+	1000	499.0
642_103	chr1	161044896	161045106	+	1000	497.0
642_104	chr1	241944896	241945097	+	1000	495.0
642_105	chr16	46390447	46390650	+	1000	495.0
642_106	chr3	122680717	122680920	+	1000	493.0
642_107	chr22	18149956	18150158	+	1000	492.0
642_108	chr22	36252967	36253167	+	1000	492.0
642_109	chrX	40644813	40645015	+	1000	491.0
642_110	chr6	105992429	105992634	+	1000	489.0
642_111	chr8	143986366	143986567	+	1000	488.0
642_112	chrM	8032	8245	+	1000	488.0
642_113	chr7	141738181	141738408	+	1000	487.0
642_114	chr12	34126253	34126455	+	1000	485.0
642_115	chr3	122564234	122564440	+	1000	480.0
642_116	chr5	65482806	65483035	+	1000	480.0
642_117	chr10	5977499	5977705	+	1000	479.0
642_118	chr1	23119308	23119519	+	1000	478.0
642_119	chr22	36156851	36157053	+	1000	474.0
642_120	chr6	3258829	3259045	+	1000	471.0
642_121	chr19	42049129	42049334	+	1000	468.0
642_122	chr22	35648271	35648475	+	1000	467.0
642_123	chr6	132813057	132813257	+	1000	467.0
642_124	chr16	11256185	11256395	+	1000	465.0
642_125	chr22	32138018	32138224	+	1000	465.0
642_126	chr7	12257716	12257918	+	1000	465.0
642_127	chr17	40554353	40554556	+	1000	464.0
642_128	chr6	31203970	31204182	+	1000	462.0
642_129	chr4	81747231	81747437	+	1000	461.0
642_130	chrUn_KI270467v1	3307	3513	+	1000	461.0
642_131	chr16	88785490	88785694	+	1000	460.0
642_132	chr17	48585504	48585706	+	1000	460.0
642_133	chr16	18946023	18946224	+	1000	459.0
642_134	chr11	114346693	114346902	+	1000	453.0
642_135	chr3	118851923	118852127	+	1000	451.0
642_136	chr8	118921020	118921226	+	1000	451.0
642_137	chr1	112674757	112674957	+	1000	450.0
642_138	chr2	151289830	151290032	+	1000	450.0
642_139	chr1	65068574	65068776	+	1000	447.0
642_140	chr15	44711288	44711490	+	1000	447.0
642_141	chrX	41331609	41331810	+	1000	446.0
642_142	chr15	88638860	88639062	+	1000	445.0
642_143	chr11	59142777	59142982	+	1000	443.0
642_144	chr15	44712585	44712787	+	1000	442.0
642_145	chr3	62445413	62445616	+	1000	442.0
642_146	chr17	42112636	42112856	+	1000	440.0
642_147	chr5	71887766	71887971	+	1000	440.0
642_148	chr3	88031845	88032051	+	1000	439.0
642_149	chr1	31487267	31487480	+	1000	438.0
642_150	chr8	102287399	102287603	+	1000	436.0
642_151	chr11	35662647	35662862	+	1000	432.0
642_152	chr12	101877343	101877548	+	1000	431.0
642_153	chr2	162318627	162318828	+	1000	431.0
642_154	chr4	184474672	184474893	+	1000	429.0
642_155	chr6	129748433	129748635	+	1000	427.0
642_156	chr8	29499401	29499614	+	1000	426.0
642_157	chr1	112668777	112668980	+	1000	423.0
642_158	chr7	93117980	93118204	+	1000	423.0
642_159	chr6	26402068	26402269	+	1000	422.0
642_160	chr13	44274451	44274661	+	1000	419.0
642_161	chr5	177300345	177300551	+	1000	418.0
642_162	chr1	179129744	179129945	+	1000	417.0
642_163	chr21	34640280	34640488	+	1000	417.0
642_164	chr11	63536690	63536907	+	1000	416.0
642_165	chr17	27808077	27808282	+	1000	414.0
642_166	chr20	5078546	5078747	+	1000	414.0
642_167	chr14	58245149	58245351	+	1000	413.0
