#PeakID(python identify_motif.py ./ENCODE_processed_files/SP1_idr.fa SP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
328_10005	chr1	148402193	148402593	+	670	32.5	[3.2848659]	[111]	[10.958839, 3.000941]	[75, 154]	[148402383]	[148402347, 148402426]
328_10007	chr1	155140207	155140607	+	609	32.5	[3.0935175]	[178]	[]	[]	[155140403]	[]
328_10011	chr1	173302933	173303333	+	592	32.5	[]	[]	[2.8858345]	[160]	[]	[173303149]
328_1002	chr6	43769934	43770334	+	1000	179.0	[12.7226095, 3.90029]	[91, 138]	[13.477011, 9.304511]	[115, 131]	[43770109, 43770156]	[43770133, 43770149]
328_10020	chr10	22513806	22514206	+	665	32.5	[10.099494, 10.602403]	[127, 210]	[]	[]	[22513971, 22514054]	[]
328_10021	chr10	43420493	43420893	+	640	32.5	[]	[]	[4.281078]	[165]	[]	[43420707]
328_10023	chr10	72301308	72301708	+	654	32.5	[]	[]	[13.520647]	[165]	[]	[72301550]
328_10025	chr10	72364217	72364617	+	606	32.5	[]	[]	[2.9073746]	[54]	[]	[72364371]
328_10039	chr15	44784068	44784468	+	613	32.5	[3.4065306]	[203]	[]	[]	[44784300]	[]
328_1004	chr1	15617103	15617503	+	1000	178.5	[7.757479, 15.4701605]	[64, 126]	[]	[]	[15617265, 15617327]	[]
328_10040	chr15	65049337	65049737	+	656	32.5	[]	[]	[3.383324]	[156]	[]	[65049567]
328_10043	chr16	16022247	16022647	+	667	32.5	[]	[]	[4.7233872]	[128]	[]	[16022445]
328_10044	chr16	23951826	23952226	+	603	32.5	[]	[]	[2.5856442]	[75]	[]	[23951990]
328_10047	chr16	87317338	87317738	+	636	32.5	[6.8801794]	[222]	[4.186034]	[144]	[87317574]	[87317496]
328_10049	chr16	90096994	90097394	+	551	32.5	[]	[]	[5.4112988]	[101]	[]	[90097151]
328_1005	chr1	230978711	230979111	+	1000	178.5	[]	[]	[8.720917]	[129]	[]	[230978919]
328_10052	chr19	2392888	2393288	+	543	32.5	[]	[]	[13.520647]	[126]	[]	[2393100]
328_10055	chr19	10701181	10701581	+	631	32.5	[11.971921]	[190]	[]	[]	[10701413]	[]
328_10058	chr19	16890599	16890999	+	663	32.5	[]	[]	[2.6827552, 2.9533458]	[113, 133]	[]	[16890756, 16890776]
328_10061	chr19	34973276	34973676	+	672	32.5	[2.773543]	[227]	[]	[]	[34973504]	[]
328_10064	chr19	48780640	48781040	+	643	32.5	[]	[]	[7.1340737]	[195]	[]	[48780869]
328_10067	chr2	70136111	70136511	+	683	32.5	[3.120523]	[139]	[]	[]	[70136332]	[]
328_10075	chr21	45554823	45555223	+	622	32.5	[7.4101353]	[89]	[10.355799]	[176]	[45554980]	[45555067]
328_10077	chr22	21076477	21076877	+	673	32.5	[3.815525]	[104]	[]	[]	[21076670]	[]
328_10087	chr22	32474698	32475098	+	638	32.5	[8.872077]	[235]	[3.917157]	[204]	[32474939]	[32474908]
328_10089	chr22	49945440	49945840	+	592	32.5	[11.998065, 3.8434052, 11.998065, 11.998065]	[69, 97, 115, 159]	[]	[]	[49945593, 49945621, 49945639, 49945683]	[]
