#PeakID	chr	start	end	strand	idrScore	count
874_0	chr3	93470484	93470687	+	1000	1218.0
874_1	chrM	12216	12599	+	1000	1013.0
874_2	chrM	16209	16418	+	1000	882.0
874_3	chr1	125180106	125180308	+	1000	881.0
874_4	chr16	46390592	46390806	+	1000	869.0
874_5	chrUn_KI270438v1	103993	104203	+	1000	847.0
874_6	chrM	14302	14504	+	1000	840.0
874_7	chrM	13752	14010	+	1000	839.5
874_8	chrM	9880	10137	+	1000	836.0
874_9	chrM	11204	11414	+	1000	831.5
874_10	chrM	2830	3174	+	1000	831.0
874_11	chrM	14979	15180	+	1000	828.0
874_12	chrM	2255	2478	+	1000	827.5
874_13	chrM	7968	8250	+	1000	822.0
874_14	chrUn_KI270438v1	109330	109533	+	1000	822.0
874_15	chrM	5291	5494	+	1000	814.0
874_16	chrM	6283	6546	+	1000	812.5
874_17	chrM	4868	5080	+	1000	811.0
874_18	chrM	7132	7356	+	1000	806.5
874_19	chr16	34588141	34588347	+	1000	774.0
874_20	chrUn_KI270467v1	2231	2458	+	1000	767.0
874_21	chrUn_KI270438v1	104798	105021	+	1000	750.0
874_22	chr17	26603807	26604009	+	1000	701.5
874_23	chr16	46394707	46394918	+	1000	641.0
874_24	chr1	143214636	143214836	+	1000	634.0
874_25	chrUn_KI270438v1	112034	112237	+	1000	613.0
874_26	chr16	46398819	46399020	+	1000	599.0
874_27	chrUn_KI270467v1	2994	3204	+	1000	586.0
874_28	chr16	46386333	46386562	+	1000	580.5
874_29	chr17	26881292	26881507	+	1000	555.0
874_30	chrUn_KI270466v1	914	1117	+	1000	546.5
874_31	chr16	46387828	46388035	+	1000	521.5
874_32	chr17	25920114	25920323	+	1000	513.0
874_33	chr17	26619940	26620153	+	1000	505.5
874_34	chr16	46401330	46401532	+	1000	484.5
874_35	chr16	46391230	46391447	+	1000	459.0
874_36	chr17	26885375	26885601	+	1000	458.0
874_37	chr3	45065170	45065383	+	1000	455.5
874_38	chr21	8234395	8234605	+	1000	448.0
874_39	chr16	34585868	34586072	+	1000	424.0
874_40	chr16	34587135	34587340	+	1000	404.0
874_41	chr17	78272434	78272635	+	1000	403.0
874_42	chr1	123175898	123176110	+	1000	401.5
874_43	chr5	5585831	5586066	+	1000	391.5
874_44	chrUn_GL000224v1	3797	3998	+	1000	389.0
874_45	chr17	76453206	76453423	+	1000	360.0
874_46	chr1	143264582	143264783	+	1000	351.0
874_47	chr16	34583022	34583229	+	1000	346.0
874_48	chr1	124250638	124250852	+	1000	341.0
874_49	chrUn_KI270438v1	110443	110646	+	1000	338.5
874_50	chr16	34582153	34582356	+	1000	331.5
874_51	chr1	233665844	233666069	+	1000	330.0
874_52	chr17	25389840	25390042	+	1000	326.0
874_53	chr16	34592644	34592844	+	1000	318.5
874_54	chr1	18422067	18422269	+	1000	317.5
874_55	chrUn_KI270438v1	105651	105863	+	1000	312.0
874_56	chr1	155859429	155859657	+	1000	308.5
874_57	chr17	23190262	23190465	+	1000	300.0
874_58	chr17	4002584	4002796	+	1000	289.0
874_59	chr2	90398458	90398673	+	1000	286.5
874_60	chr22	21014351	21014553	+	1000	286.0
874_61	chr1_KI270709v1_random	7246	7492	+	1000	282.0
874_62	chr15	90648357	90648587	+	1000	277.5
874_63	chr16	46388621	46388824	+	1000	274.5
874_64	chr16	34593301	34593513	+	1000	272.5
874_65	chr11	64723110	64723337	+	1000	271.5
874_66	chr22	22023802	22024004	+	1000	267.5
874_67	chr16	46386899	46387109	+	1000	265.0
874_68	chrUn_GL000216v2	278	597	+	1000	263.5
874_69	chr16	20944861	20945072	+	1000	261.0
874_70	chr1	143194911	143195164	+	1000	260.0
874_71	chr6	146887566	146887768	+	1000	259.5
874_72	chr16	46395712	46395919	+	1000	254.0
874_73	chr1	123783604	123783808	+	1000	252.0
874_74	chr19	9834690	9834937	+	1000	251.5
874_75	chr7	138257424	138257638	+	1000	245.0
874_76	chr8	49110598	49110813	+	1000	244.5
874_77	chr1	143217263	143217469	+	1000	243.5
874_78	chr6	15896123	15896356	+	1000	243.5
874_79	chr22	22681590	22681795	+	1000	243.0
874_80	chr1	124098884	124099086	+	1000	242.0
874_81	chr4	67722165	67722393	+	1000	242.0
874_82	chr16	34576380	34576597	+	1000	239.0
874_83	chr20	48139667	48139875	+	1000	239.0
874_84	chr1	123195640	123195841	+	1000	238.5
874_85	chr21	8420073	8420282	+	1000	238.5
874_86	chr1_KI270709v1_random	13767	13968	+	1000	237.0
874_87	chr1	125183615	125183838	+	1000	236.5
874_88	chr3	101641418	101641651	+	1000	233.5
874_89	chr1_KI270713v1_random	21658	21861	+	1000	230.5
874_90	chr6	43243364	43243598	+	1000	221.5
874_91	chr22	20982022	20982245	+	1000	220.0
874_92	chrUn_KI270438v1	108614	108818	+	1000	219.0
874_93	chr16	65769059	65769265	+	1000	218.0
874_94	chr20	51339069	51339286	+	1000	218.0
874_95	chr1_KI270709v1_random	5476	5678	+	1000	216.0
874_96	chr1	16644664	16644880	+	1000	213.5
874_97	chr22	19432379	19432610	+	1000	212.5
874_98	chr22	21629183	21629450	+	1000	211.0
874_99	chr13	16688916	16689121	+	1000	210.0
874_100	chr16	34584635	34584848	+	1000	210.0
874_101	chr2	90390637	90390854	+	1000	210.0
874_102	chr22	19722319	19722528	+	1000	210.0
874_103	chr22	22559187	22559423	+	1000	208.0
874_104	chr22	21938165	21938476	+	1000	204.5
874_105	chrUn_KI270466v1	314	547	+	1000	204.5
874_106	chr21	8219896	8220100	+	1000	203.0
874_107	chr9	131125559	131125791	+	1000	203.0
874_108	chr22	21629799	21630067	+	1000	202.0
874_109	chr1	247367772	247368005	+	1000	199.5
874_110	chr16	87777832	87778060	+	1000	199.5
874_111	chr3	141312646	141312855	+	1000	199.5
874_112	chrUn_GL000224v1	2217	2448	+	1000	194.5
874_113	chr22	21982731	21982945	+	1000	193.5
874_114	chr1	143185064	143185264	+	1000	190.0
874_115	chr16	46400027	46400248	+	1000	189.5
874_116	chr22	20545936	20546150	+	1000	188.0
874_117	chr7	123993012	123993243	+	1000	188.0
874_118	chr1	143213054	143213257	+	1000	187.0
874_119	chr17	22521297	22521508	+	1000	187.0
874_120	chr16	34594951	34595162	+	1000	186.5
874_121	chr16	88491617	88491853	+	1000	186.5
874_122	chr17	26883940	26884142	+	1000	186.5
874_123	chr22	20858862	20859083	+	1000	185.5
874_124	chr5	108531703	108531923	+	1000	185.0
874_125	chr22	21867835	21868058	+	1000	181.5
874_126	chr22	22720236	22720461	+	1000	181.5
874_127	chr17	25074367	25074589	+	1000	180.5
874_128	chr8	144061021	144061221	+	1000	180.5
874_129	chr6	136550445	136550655	+	1000	180.0
874_130	chrUn_KI270442v1	391101	391395	+	1000	180.0
874_131	chr1	143255500	143255756	+	1000	179.5
874_132	chr17	23016252	23016457	+	1000	179.5
874_133	chr3	99777030	99777253	+	1000	176.0
874_134	chr12	131362701	131362929	+	1000	174.0
874_135	chr22	23281870	23282188	+	1000	174.0
874_136	chr16	46400547	46400749	+	1000	173.0
874_137	chr5	49601480	49601685	+	1000	172.0
874_138	chr11	97973416	97973640	+	1000	171.5
874_139	chr3	196843082	196843287	+	1000	171.5
874_140	chr22	23145328	23145559	+	1000	170.5
874_141	chr3	101643873	101644101	+	1000	169.0
874_142	chr22	22720786	22721181	+	1000	168.5
874_143	chr7	45089353	45089642	+	1000	168.0
874_144	chr22	22736122	22736344	+	1000	165.5
874_145	chr1	204693051	204693362	+	1000	165.0
874_146	chrUn_KI270754v1	18091	18296	+	1000	165.0
874_147	chr1	16613317	16613596	+	1000	164.5
874_148	chr6	34392808	34393031	+	1000	164.5
874_149	chr22	23178521	23178748	+	1000	164.0
874_150	chr1	143266364	143266600	+	1000	161.5
874_151	chr19	49036797	49037008	+	1000	159.5
874_152	chr1	143192982	143193183	+	1000	157.5
874_153	chr2	201126389	201126600	+	1000	155.0
874_154	chr20	31068168	31068486	+	1000	155.0
874_155	chr11	44542412	44542628	+	1000	153.5
874_156	chr22	21642296	21642500	+	1000	152.5
874_157	chr5	95728567	95728780	+	1000	152.5
874_158	chr14	102533929	102534134	+	1000	152.0
874_159	chr14	103427944	103428145	+	1000	152.0
874_160	chr6	164337731	164337943	+	1000	151.5
874_161	chr12	96489422	96489632	+	1000	151.0
874_162	chr19	46203283	46203489	+	1000	151.0
874_163	chr22	20917052	20917271	+	1000	151.0
874_164	chr22	21735567	21735810	+	1000	151.0
874_165	chr22	20079693	20079958	+	1000	150.5
874_166	chrUn_GL000219v1	99791	100049	+	1000	150.5
874_167	chr1	124377113	124377330	+	1000	150.0
874_168	chr22	21657333	21657724	+	1000	148.5
874_169	chr15	60021910	60022126	+	1000	147.5
874_170	chr22	21567754	21567976	+	1000	146.5
874_171	chr11	72201584	72201786	+	1000	146.0
874_172	chr1	124741348	124741578	+	1000	145.5
874_173	chr22	23223918	23224128	+	1000	145.5
874_174	chr1	123926168	123926432	+	1000	145.0
874_175	chr17	26594789	26595018	+	1000	144.5
874_176	chr4	78694289	78694524	+	1000	144.5
874_177	chrUn_KI270744v1	108104	108340	+	1000	144.5
874_178	chr1	21749926	21750161	+	1000	143.5
874_179	chr1	143202704	143202910	+	1000	143.5
874_180	chr22	19431705	19431987	+	1000	143.5
874_181	chr22	22631470	22631676	+	1000	143.5
874_182	chr16	87779206	87779439	+	1000	143.0
874_183	chr5	49657159	49657373	+	1000	143.0
874_184	chr7	155298839	155299066	+	1000	143.0
874_185	chr22	19718016	19718226	+	1000	142.5
874_186	chr22	19855022	19855230	+	1000	142.5
874_187	chr17_KI270729v1_random	3033	3255	+	1000	141.5
874_188	chr22	22748354	22748599	+	1000	141.5
874_189	chr5	49601996	49602201	+	1000	141.5
874_190	chr22	20117024	20117226	+	1000	141.0
874_191	chr1	212478236	212478476	+	1000	140.5
874_192	chr22	22810067	22810275	+	1000	140.5
874_193	chr19	40218245	40218477	+	1000	139.5
874_194	chr22	22745731	22745962	+	1000	139.0
874_195	chr1	125182524	125182731	+	1000	138.5
874_196	chr16	34571693	34571904	+	1000	138.0
874_197	chr22	22652107	22652369	+	1000	138.0
874_198	chr22	22710856	22711092	+	1000	138.0
874_199	chr15	66623966	66624171	+	1000	137.5
874_200	chr1	12075563	12075770	+	1000	137.0
874_201	chr17	24421360	24421599	+	1000	137.0
874_202	chr2	207772169	207772442	+	1000	137.0
874_203	chr22	22520138	22520377	+	1000	137.0
874_204	chr22	19723373	19723576	+	1000	136.5
874_205	chr22	22651684	22651912	+	1000	136.5
874_206	chr1	167064705	167064921	+	1000	136.0
874_207	chr22	22508594	22508953	+	1000	135.5
874_208	chr4	183348692	183348926	+	1000	135.5
874_209	chr16	46380789	46380993	+	1000	135.0
874_210	chr6	110819557	110819762	+	1000	134.0
874_211	chr1	63523204	63523558	+	1000	132.5
874_212	chr22	21736152	21736379	+	1000	132.5
874_213	chr22	22735346	22735599	+	1000	132.5
874_214	chr21	8228637	8228843	+	1000	132.0
874_215	chr22	23141832	23142176	+	1000	132.0
874_216	chr7	139092169	139092429	+	1000	132.0
874_217	chr9	130941009	130941318	+	1000	132.0
874_218	chr9	131046773	131047015	+	1000	131.5
874_219	chr22	20496051	20496275	+	1000	130.5
874_220	chr22	22666598	22666824	+	1000	130.0
874_221	chr10	77582910	77583165	+	1000	129.0
874_222	chr22	19730703	19731042	+	1000	128.0
874_223	chr6	44058750	44058970	+	1000	128.0
874_224	chr1	30769157	30769480	+	1000	127.0
874_225	chr19	49031784	49031987	+	1000	127.0
874_226	chr5	5523120	5523339	+	1000	127.0
874_227	chr22	20319788	20320005	+	1000	126.5
874_228	chrUn_GL000219v1	99232	99570	+	1000	126.5
874_229	chr1	228490521	228490784	+	1000	126.0
874_230	chr22	21652077	21652369	+	1000	126.0
874_231	chr19	38229759	38229989	+	1000	125.5
874_232	chr1	207024239	207024449	+	1000	125.0
874_233	chr19	45903060	45903271	+	1000	125.0
874_234	chr9	99301805	99302049	+	1000	125.0
874_235	chrUn_GL000220v1	142794	143006	+	1000	125.0
874_236	chr1	27542800	27543065	+	1000	124.5
874_237	chrUn_KI270744v1	111857	112193	+	1000	124.5
874_238	chr19	11435054	11435266	+	1000	124.0
874_239	chr2	170264101	170264309	+	1000	124.0
874_240	chr6	15691303	15691566	+	1000	124.0
874_241	chr1	30872429	30872657	+	1000	123.5
874_242	chr2	96921730	96922026	+	1000	123.0
874_243	chr22	20507529	20507853	+	1000	123.0
874_244	chr12	126908389	126908598	+	1000	122.5
874_245	chr12	120086981	120087223	+	1000	121.5
874_246	chr22	21102874	21103096	+	1000	121.5
874_247	chr22	22848385	22848677	+	1000	121.5
874_248	chr9	131277273	131277625	+	1000	121.5
874_249	chr1	183471821	183472141	+	1000	121.0
874_250	chr12	132446062	132446338	+	1000	121.0
874_251	chr22	20885684	20885886	+	1000	121.0
874_252	chr3	43584143	43584361	+	1000	121.0
874_253	chr6	73564567	73564782	+	1000	121.0
874_254	chr16	46393404	46393605	+	1000	120.0
874_255	chr22	23219994	23220358	+	1000	120.0
874_256	chr6	16214441	16214720	+	1000	120.0
874_257	chr1	143267006	143267213	+	1000	119.5
874_258	chr22	21642958	21643349	+	1000	119.0
874_259	chr22	22788318	22788572	+	1000	119.0
874_260	chr22	19447474	19447693	+	1000	118.5
874_261	chr11	65487663	65487882	+	1000	118.0
874_262	chr11	97963584	97963787	+	1000	118.0
874_263	chr16	34591727	34591928	+	1000	118.0
874_264	chr4	74096602	74096847	+	1000	118.0
874_265	chr6	31795735	31796063	+	1000	118.0
874_266	chr22	21784830	21785174	+	1000	117.5
874_267	chr22	22928650	22928883	+	1000	117.5
874_268	chr16	58495125	58495340	+	1000	117.0
874_269	chr9	130955062	130955290	+	1000	117.0
874_270	chr1	125181505	125181742	+	1000	116.5
874_271	chr1	124778013	124778220	+	1000	116.0
874_272	chr1	143253041	143253282	+	1000	115.5
874_273	chr10	72272888	72273123	+	1000	115.5
874_274	chr15	58352434	58352635	+	1000	115.5
874_275	chr17	33908371	33908617	+	1000	115.0
874_276	chr2	110204904	110205111	+	1000	115.0
874_277	chr22	23069907	23070231	+	1000	115.0
874_278	chr9	122905403	122905680	+	1000	115.0
874_279	chr2	240832449	240832660	+	1000	114.5
874_280	chr3	45061186	45061399	+	1000	114.5
874_281	chr5	95707641	95707860	+	1000	114.5
874_282	chr6	158004056	158004297	+	1000	114.5
874_283	chr1	181173821	181174029	+	1000	114.0
874_284	chr22	19171389	19171727	+	1000	114.0
874_285	chr7	143370254	143370454	+	1000	114.0
874_286	chr9	131256276	131256544	+	1000	114.0
874_287	chrX	110001165	110001424	+	1000	114.0
874_288	chr22	23177065	23177383	+	1000	113.5
874_289	chr9	128249990	128250331	+	1000	113.5
874_290	chr11	3509709	3509910	+	1000	113.0
874_291	chr17	79011534	79011797	+	1000	112.5
874_292	chr1	122912667	122912882	+	1000	112.0
874_293	chr13	91347744	91348007	+	1000	112.0
874_294	chr22	22727820	22728077	+	1000	112.0
874_295	chr22	23181300	23181540	+	1000	112.0
874_296	chr22	23182088	23182304	+	1000	112.0
874_297	chr6	52995441	52995757	+	1000	112.0
874_298	chr8	93874163	93874385	+	1000	112.0
874_299	chr9	128322771	128322976	+	1000	112.0
874_300	chr9	131178362	131178635	+	1000	112.0
874_301	chr10	3890726	3891008	+	1000	111.5
874_302	chr1_KI270709v1_random	3620	3834	+	1000	111.5
874_303	chr22	22692737	22693090	+	1000	111.5
