#PeakID	chr	start	end	strand	idrScore	count
758_0	chrM	143	344	+	1000	1104.5
758_1	chrM	12314	12516	+	1000	1032.0
758_2	chr6	157515211	157515417	+	1000	977.0
758_3	chrM	16021	16277	+	1000	891.0
758_4	chrUn_KI270438v1	109335	109535	+	1000	867.0
758_5	chr22	20079886	20080092	+	1000	832.5
758_6	chr1	125180089	125180309	+	1000	832.0
758_7	chrM	14481	14685	+	1000	826.5
758_8	chrM	10732	10996	+	1000	822.0
758_9	chrM	2160	2480	+	1000	817.0
758_10	chrM	9675	9885	+	1000	816.0
758_11	chrM	3705	3916	+	1000	815.5
758_12	chr22	20496298	20496503	+	1000	814.5
758_13	chrM	8572	8778	+	1000	814.0
758_14	chrM	3078	3291	+	1000	812.0
758_15	chr19	55038405	55038607	+	1000	810.5
758_16	chrM	5255	5455	+	1000	809.5
758_17	chrM	4829	5036	+	1000	807.0
758_18	chrM	6381	6596	+	1000	807.0
758_19	chrM	7767	7972	+	1000	807.0
758_20	chr16	46390598	46390800	+	1000	806.0
758_21	chr7	139091085	139091293	+	1000	806.0
758_22	chrM	8975	9175	+	1000	800.5
758_23	chrUn_KI270438v1	104003	104204	+	1000	799.0
758_24	chr22	23223876	23224090	+	1000	797.5
758_25	chr16	24135974	24136175	+	1000	793.0
758_26	chr1	234724040	234724247	+	1000	789.0
758_27	chr11	86193523	86193743	+	1000	777.5
758_28	chr2	170263845	170264050	+	1000	776.0
758_29	chr1	179047005	179047220	+	1000	773.0
758_30	chrM	7131	7335	+	1000	769.0
758_31	chr7	111475226	111475428	+	1000	767.0
758_32	chr7	116950185	116950389	+	1000	763.5
758_33	chr1	30184566	30184773	+	1000	761.0
758_34	chr22	28560456	28560684	+	1000	756.0
758_35	chr6	36025634	36025837	+	1000	752.5
758_36	chr5	154835005	154835210	+	1000	747.5
758_37	chr10	73997832	73998034	+	1000	746.5
758_38	chr14	90573820	90574087	+	1000	746.0
758_39	chr6	28980845	28981055	+	1000	737.5
758_40	chr6	26556603	26556807	+	1000	731.5
758_41	chr5	119321728	119321928	+	1000	730.0
758_42	chr1	37999594	37999800	+	1000	728.5
758_43	chr15	66679836	66680043	+	1000	727.0
758_44	chr16	57800561	57800761	+	1000	727.0
758_45	chr9	112867374	112867642	+	1000	724.5
758_46	chr1	12448991	12449226	+	1000	724.0
758_47	chrUn_KI270438v1	104794	104994	+	1000	723.0
758_48	chr1	14437034	14437236	+	1000	722.5
758_49	chr3	15305579	15305793	+	1000	720.5
758_50	chr22	22559053	22559279	+	1000	718.5
758_51	chr10	4867687	4867894	+	1000	713.0
758_52	chr1	116687644	116687868	+	1000	712.5
758_53	chr7	72805843	72806044	+	1000	712.5
758_54	chr17	41679079	41679285	+	1000	710.5
758_55	chr5	160197815	160198018	+	1000	707.5
758_56	chr1	207635595	207635830	+	1000	705.5
758_57	chr12	56988327	56988688	+	1000	705.0
758_58	chr5	56123971	56124179	+	1000	701.0
758_59	chr6	36820956	36821158	+	1000	699.0
758_60	chr7	135490917	135491126	+	1000	698.5
758_61	chr10	69018721	69018931	+	1000	695.5
758_62	chr10	13415762	13415979	+	1000	694.0
758_63	chr1	12218643	12218859	+	1000	693.5
758_64	chr9	128558563	128558771	+	1000	693.5
758_65	chr1	176879947	176880159	+	1000	692.5
758_66	chr22	29780935	29781139	+	1000	687.0
758_67	chr4	126850416	126850621	+	1000	686.0
758_68	chr19	45443467	45443710	+	1000	685.5
758_69	chr7	116876901	116877103	+	1000	685.0
758_70	chr1	109198119	109198320	+	1000	684.5
758_71	chr1	186375700	186375904	+	1000	683.5
758_72	chr6	31814677	31814880	+	1000	682.5
758_73	chrUn_KI270467v1	2256	2459	+	1000	682.5
758_74	chr1	205678691	205678895	+	1000	681.0
758_75	chr10	71635550	71635767	+	1000	680.5
758_76	chr22	20917079	20917283	+	1000	680.5
758_77	chr5	119324282	119324513	+	1000	680.0
758_78	chrX	152177194	152177403	+	1000	677.0
758_79	chr9	136662739	136662952	+	1000	676.5
758_80	chr2	219510127	219510329	+	1000	673.5
758_81	chr5	150482068	150482268	+	1000	673.0
758_82	chr6	158040511	158040717	+	1000	672.0
758_83	chr19	14496190	14496397	+	1000	670.0
758_84	chr1	206673252	206673457	+	1000	668.0
758_85	chr6	16215642	16215844	+	1000	667.5
758_86	chr16	88773941	88774146	+	1000	666.5
758_87	chr11	12201058	12201267	+	1000	665.5
758_88	chr11	113635006	113635231	+	1000	665.5
758_89	chr6	31690382	31690591	+	1000	665.5
758_90	chr5	41904079	41904287	+	1000	664.5
758_91	chr1	21905031	21905296	+	1000	662.5
758_92	chr13	28574858	28575061	+	1000	661.5
758_93	chr4	99842421	99842650	+	1000	660.0
758_94	chr20	49790359	49790559	+	1000	659.0
758_95	chr15	28294578	28294788	+	1000	656.5
758_96	chr4	48683808	48684017	+	1000	656.5
758_97	chr17	64006758	64006958	+	1000	656.0
758_98	chr3	4978652	4978901	+	1000	656.0
758_99	chr9	121287088	121287294	+	1000	655.0
758_100	chr19	40464489	40464709	+	1000	650.5
758_101	chr19	46844212	46844423	+	1000	648.5
758_102	chr18	9005535	9005739	+	1000	643.5
758_103	chr5	32369618	32369819	+	1000	643.5
758_104	chr3	196108301	196108515	+	1000	643.0
758_105	chr12	49092236	49092505	+	1000	640.5
758_106	chr6	30877746	30877961	+	1000	640.5
758_107	chr12	6639203	6639409	+	1000	639.0
758_108	chr17	28865465	28865665	+	1000	638.5
