#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2C2_idr.fa NR2C2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
151_10	chr11	71928418	71928818	+	1000	1318.0	[9.164563]	[159]	[]	[]	[71928657]	[]
151_1000	chr6	109307969	109308369	+	1000	517.0	[9.443364]	[97]	[]	[]	[109308151]	[]
151_10005	chr2	63712620	63713020	+	1000	106.0	[]	[]	[9.443364]	[138]	[]	[63712849]
151_10009	chr2	111320968	111321368	+	1000	106.0	[9.443364]	[89]	[]	[]	[111321156]	[]
151_10010	chr2	169694386	169694786	+	1000	106.0	[9.164563]	[210]	[]	[]	[169694621]	[]
151_10020	chr22	21652989	21653389	+	1000	106.0	[9.164563]	[135]	[]	[]	[21653202]	[]
151_10021	chr22	21700868	21701268	+	1000	106.0	[9.443364]	[105]	[]	[]	[21701024]	[]
151_10024	chr22	29603416	29603816	+	1000	106.0	[]	[]	[9.164563]	[151]	[]	[29603634]
151_10025	chr3	9398723	9399123	+	1000	106.0	[9.164563]	[105]	[9.443364]	[123]	[9398924]	[9398942]
151_10036	chr4	10458181	10458581	+	1000	106.0	[7.9852743]	[117]	[]	[]	[10458392]	[]
151_10064	chr8	29225714	29226114	+	1000	106.0	[9.443364]	[145]	[]	[]	[29225959]	[]
151_1007	chr1	155911127	155911527	+	1000	513.0	[9.164563]	[84]	[9.443364, 9.164563]	[128, 135]	[155911305]	[155911349, 155911356]
151_10070	chr9	99259306	99259706	+	1000	106.0	[]	[]	[7.9852743]	[135]	[]	[99259508]
151_10072	chr9	128150568	128150968	+	884	106.0	[9.164563]	[138]	[]	[]	[128150791]	[]
151_10081	chr1	22983820	22984220	+	1000	105.0	[]	[]	[7.7064734]	[109]	[]	[22983996]
151_10093	chr1	180632409	180632809	+	1000	105.0	[7.7064734]	[141]	[9.443364]	[185]	[180632600]	[180632644]
151_10096	chr10	25117808	25118208	+	1000	105.0	[]	[]	[9.164563]	[165]	[]	[25118037]
151_101	chr3	14651410	14651810	+	1000	1193.0	[]	[]	[9.443364, 9.443364]	[88, 123]	[]	[14651598, 14651633]
151_10104	chr10	97648903	97649303	+	1000	105.0	[]	[]	[9.443364]	[133]	[]	[97649116]
151_10109	chr12	57138702	57139102	+	1000	105.0	[]	[]	[9.164563]	[136]	[]	[57138907]
151_10110	chr12	108123416	108123816	+	1000	105.0	[9.164563]	[118]	[]	[]	[108123580]	[]
151_10111	chr12	108838317	108838717	+	1000	105.0	[]	[]	[9.443364]	[153]	[]	[108838493]
151_10115	chr13	93320853	93321253	+	1000	105.0	[9.443364]	[135]	[]	[]	[93321039]	[]
151_10120	chr15	66294020	66294420	+	1000	105.0	[]	[]	[9.443364]	[106]	[]	[66294181]
151_10123	chr15	90869636	90870036	+	1000	105.0	[]	[]	[9.443364]	[121]	[]	[90869807]
151_1013	chr16	90168628	90169028	+	1000	510.0	[9.443364, 9.443364]	[166, 215]	[]	[]	[90168823, 90168872]	[]
151_1014	chr22	20916914	20917314	+	1000	510.0	[7.9852743]	[103]	[]	[]	[20917072]	[]
151_10141	chr19	38879128	38879528	+	1000	105.0	[9.443364, 9.443364, 9.164563]	[104, 120, 138]	[]	[]	[38879323, 38879339, 38879357]	[]
151_10145	chr2	12201399	12201799	+	1000	105.0	[]	[]	[9.164563]	[105]	[]	[12201589]
151_10152	chr2	240560739	240561139	+	1000	105.0	[]	[]	[7.7064734]	[134]	[]	[240560900]
151_1016	chr16	29815917	29816317	+	1000	509.0	[]	[]	[9.164563]	[110]	[]	[29816116]
151_10167	chr4	3532177	3532577	+	1000	105.0	[]	[]	[7.9852743, 9.164563]	[127, 132]	[]	[3532389, 3532394]
151_10172	chr5	88825724	88826124	+	1000	105.0	[9.443364]	[131]	[]	[]	[88825932]	[]
151_10202	chr9	128818492	128818892	+	1000	105.0	[7.7064734, 7.9852743]	[106, 121]	[9.164563]	[159]	[128818654, 128818669]	[128818707]
151_10205	chrX	49163752	49164152	+	1000	105.0	[9.164563]	[154]	[]	[]	[49164003]	[]
151_10215	chr1	86915158	86915558	+	1000	104.0	[9.443364]	[114]	[]	[]	[86915363]	[]
151_10222	chr1	174968710	174969110	+	1000	104.0	[9.443364]	[98]	[]	[]	[174968903]	[]
151_10226	chr1	230126957	230127357	+	1000	104.0	[]	[]	[9.164563]	[119]	[]	[230127137]
151_1023	chr2	65420752	65421152	+	1000	506.0	[]	[]	[9.443364]	[109]	[]	[65420953]
151_10231	chr10	6033929	6034329	+	1000	104.0	[9.443364, 9.443364]	[111, 161]	[]	[]	[6034126, 6034176]	[]
151_10238	chr10	63268905	63269305	+	1000	104.0	[9.164563, 7.9852743]	[108, 129]	[]	[]	[63269059, 63269080]	[]
151_10239	chr10	80454801	80455201	+	1000	104.0	[]	[]	[9.164563, 9.164563, 9.443364]	[142, 194, 201]	[]	[80454980, 80455032, 80455039]
151_10248	chr12	92144083	92144483	+	1000	104.0	[9.164563]	[172]	[]	[]	[92144273]	[]
151_10257	chr16	88452653	88453053	+	1000	104.0	[]	[]	[9.443364]	[159]	[]	[88452902]
151_10258	chr17	1628914	1629314	+	1000	104.0	[]	[]	[9.164563]	[187]	[]	[1629127]
