#PeakID	chr	start	end	strand	idrScore	count
642_0	chr3	93470516	93470722	+	1000	1118.5
642_1	chrM	8033	8245	+	1000	901.0
642_2	chrM	16191	16394	+	1000	894.5
642_3	chr1	125180084	125180287	+	1000	875.5
642_4	chr16	46390585	46390801	+	1000	857.0
642_5	chrM	9802	10133	+	1000	837.0
642_6	chrM	3069	3275	+	1000	836.0
642_7	chrM	2120	2481	+	1000	830.0
642_8	chrM	13114	13361	+	1000	830.0
642_9	chrM	6213	6568	+	1000	817.5
642_10	chrM	5293	5529	+	1000	815.0
642_11	chrM	4847	5054	+	1000	811.0
642_12	chrM	7132	7332	+	1000	801.5
642_13	chrUn_KI270438v1	103967	104168	+	1000	794.0
642_14	chrUn_KI270438v1	109332	109536	+	1000	754.0
642_15	chr16	34588123	34588349	+	1000	726.0
642_16	chr17	26603810	26604014	+	1000	662.5
642_17	chrUn_KI270467v1	2244	2453	+	1000	662.0
642_18	chrUn_KI270438v1	104830	105032	+	1000	652.0
642_19	chr12	56150656	56150857	+	1000	614.0
642_20	chr21	34544009	34544211	+	1000	584.0
642_21	chr16	29943558	29943765	+	1000	566.5
642_22	chr16	46394707	46394929	+	1000	560.5
642_23	chr1	143214641	143214844	+	1000	535.5
642_24	chr14	24425786	24426000	+	1000	532.0
642_25	chrUn_KI270467v1	3328	3537	+	1000	532.0
642_26	chr16	46386349	46386559	+	1000	513.0
642_27	chr16	46398821	46399032	+	1000	504.0
642_28	chr1	11657768	11657978	+	1000	497.5
642_29	chr8	144074372	144074593	+	1000	479.0
642_30	chr17	26619924	26620132	+	1000	471.0
642_31	chrUn_KI270438v1	112034	112243	+	1000	470.5
642_32	chr14	73772266	73772490	+	1000	466.0
642_33	chr17	26881288	26881503	+	1000	465.0
642_34	chr11	59842424	59842635	+	1000	457.5
642_35	chr2	68588658	68588860	+	1000	454.5
642_36	chr22	22596954	22597158	+	1000	454.0
642_37	chrUn_KI270466v1	910	1118	+	1000	452.0
642_38	chr6	31777278	31777483	+	1000	448.0
642_39	chr16	46387832	46388036	+	1000	446.5
642_40	chr3	43704804	43705006	+	1000	444.5
642_41	chr22	22995259	22995477	+	1000	441.0
642_42	chr6	85600831	85601038	+	1000	435.0
642_43	chr1	194081524	194081747	+	1000	427.5
642_44	chr4	154439314	154439527	+	1000	426.5
642_45	chr15	20193519	20193726	+	1000	422.0
642_46	chr16	46401333	46401541	+	1000	421.0
642_47	chr16	50323570	50323784	+	1000	417.5
642_48	chr8	60751717	60751924	+	1000	416.5
642_49	chr17	25920113	25920318	+	1000	412.5
642_50	chr7	127803636	127803866	+	1000	410.5
642_51	chr11	13105379	13105595	+	1000	409.0
642_52	chr1	185721642	185721851	+	1000	404.5
642_53	chr10	87586314	87586533	+	1000	404.5
642_54	chr7	104884228	104884430	+	1000	400.5
642_55	chr12	65624626	65624838	+	1000	396.5
642_56	chr2	69462884	69463092	+	1000	395.5
642_57	chr6	118660327	118660529	+	1000	394.0
642_58	chr9	37349013	37349228	+	1000	393.5
642_59	chr1	52502901	52503101	+	1000	391.0
642_60	chr6	44105200	44105405	+	1000	387.5
642_61	chr17	26885349	26885562	+	1000	386.5
642_62	chr12	57245344	57245554	+	1000	385.5
642_63	chr1	27116341	27116543	+	1000	385.0
642_64	chr9	128007599	128007815	+	1000	384.0
642_65	chr7	76303415	76303628	+	1000	380.5
642_66	chr2	169647591	169647807	+	1000	379.5
642_67	chr9	87816132	87816344	+	1000	377.0
642_68	chr1	45876079	45876289	+	1000	375.0
642_69	chr16	46391252	46391482	+	1000	374.5
642_70	chr5	109468861	109469076	+	1000	372.0
642_71	chr15	64562094	64562300	+	1000	369.0
642_72	chr18	27250028	27250240	+	1000	368.0
642_73	chr18	31197864	31198065	+	1000	366.0
642_74	chr5	41747333	41747538	+	1000	365.5
642_75	chr12	104387294	104387500	+	1000	364.5
642_76	chr21	29277534	29277747	+	1000	362.0
642_77	chr1	221284180	221284388	+	1000	361.5
