#PeakID(python identify_motif.py ./ENCODE_processed_files/MEF2A_idr.fa MEF2A --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
9_100	chr14	35367625	35368025	+	1000	314.0	[]	[]	[6.985101, 14.124345]	[90, 96]	[]	[35367813, 35367819]
9_1000	chr11	73963831	73964231	+	1000	94.0	[16.258217]	[98]	[]	[]	[73964029]	[]
9_10002	chr22	22596469	22596869	+	1000	29.0	[10.132373]	[184]	[]	[]	[22596708]	[]
9_10003	chr22	22676379	22676779	+	1000	29.0	[5.5439005]	[166]	[]	[]	[22676552]	[]
9_10004	chr22	22698918	22699318	+	1000	29.0	[7.247928]	[138]	[6.0590153]	[98]	[22699137]	[22699097]
9_10006	chr22	22774161	22774561	+	1000	29.0	[]	[]	[5.7547994]	[230]	[]	[22774409]
9_10009	chr22	22840733	22841133	+	1000	29.0	[]	[]	[9.151792]	[159]	[]	[22840919]
9_10011	chr22	22859440	22859840	+	1000	29.0	[9.652307]	[233]	[]	[]	[22859679]	[]
9_10012	chr22	22891017	22891417	+	1000	29.0	[]	[]	[5.7609663, 10.81022]	[201, 231]	[]	[22891227, 22891257]
9_10015	chr22	23147799	23148199	+	1000	29.0	[]	[]	[8.701899]	[125]	[]	[23147970]
9_10018	chr22	23169996	23170396	+	1000	29.0	[8.701899]	[102]	[]	[]	[23170179]	[]
9_10019	chr22	23200088	23200488	+	871	29.0	[]	[]	[5.6707325, 9.5953865]	[161, 212]	[]	[23200277, 23200328]
9_10023	chr22	27686526	27686926	+	804	29.0	[9.5187025]	[80]	[11.966377]	[80]	[27686706]	[27686706]
9_10033	chr3	12556266	12556666	+	1000	29.0	[11.108269]	[159]	[]	[]	[12556502]	[]
9_10034	chr3	12716474	12716874	+	1000	29.0	[8.206055]	[151]	[]	[]	[12716682]	[]
9_10035	chr3	12728936	12729336	+	1000	29.0	[6.6379375]	[80]	[]	[]	[12729096]	[]
9_10048	chr3	45062000	45062400	+	918	29.0	[]	[]	[5.922209]	[137]	[]	[45062190]
9_10049	chr3	45269915	45270315	+	709	29.0	[6.1815386]	[124]	[]	[]	[45270096]	[]
9_1005	chr2	36449901	36450301	+	1000	94.0	[15.811725]	[62]	[8.015269]	[62]	[36450059]	[36450059]
9_10052	chr3	48158019	48158419	+	1000	29.0	[6.8134856]	[214]	[]	[]	[48158257]	[]
9_10057	chr3	127817475	127817875	+	989	29.0	[]	[]	[11.636929]	[120]	[]	[127817670]
9_10061	chr3	141735210	141735610	+	957	29.0	[]	[]	[7.7696743]	[202]	[]	[141735444]
9_10063	chr3	151674080	151674480	+	1000	29.0	[]	[]	[7.588517]	[194]	[]	[151674324]
9_1007	chr4	15010165	15010565	+	1000	94.0	[]	[]	[17.315159]	[92]	[]	[15010350]
9_10070	chr3	183369078	183369478	+	1000	29.0	[6.295346]	[68]	[]	[]	[183369236]	[]
9_10072	chr3	185733838	185734238	+	1000	29.0	[]	[]	[9.118975]	[62]	[]	[185733994]
9_10081	chr4	48963030	48963430	+	1000	29.0	[]	[]	[8.206055]	[78]	[]	[48963188]
9_10082	chr4	52943668	52944068	+	1000	29.0	[12.991903]	[111]	[15.057976]	[161]	[52943859]	[52943909]
9_10086	chr4	78876716	78877116	+	587	29.0	[8.580311]	[146]	[13.929092]	[146]	[78876954]	[78876954]
9_10087	chr4	79213657	79214057	+	1000	29.0	[5.92816]	[89]	[12.497601]	[141]	[79213836]	[79213888]
9_10092	chr4	98880936	98881336	+	819	29.0	[]	[]	[9.72239]	[69]	[]	[98881102]
9_10093	chr4	105224123	105224523	+	844	29.0	[]	[]	[14.422394]	[183]	[]	[105224358]
9_10096	chr4	159305143	159305543	+	549	29.0	[]	[]	[13.067403]	[121]	[]	[159305345]
9_10097	chr4	185242725	185243125	+	740	29.0	[]	[]	[14.001035]	[106]	[]	[185242921]
9_10098	chr5	10317726	10318126	+	1000	29.0	[5.7025995]	[148]	[]	[]	[10317956]	[]
9_101	chr17	59784342	59784742	+	1000	314.0	[8.015269]	[77]	[15.811725]	[77]	[59784519]	[59784519]
9_1010	chr7	93945719	93946119	+	1000	94.0	[]	[]	[7.6240788, 12.991903]	[81, 118]	[]	[93945873, 93945910]
9_1011	chr8	97777392	97777792	+	1000	94.0	[8.015269]	[119]	[7.391603, 15.811725]	[72, 119]	[97777611]	[97777564, 97777611]
9_10118	chr5	149046300	149046700	+	931	29.0	[5.685467]	[140]	[]	[]	[149046486]	[]
9_10119	chr5	150073685	150074085	+	1000	29.0	[12.872151]	[119]	[]	[]	[150073902]	[]
9_10123	chr5	176621595	176621995	+	1000	29.0	[]	[]	[14.048844]	[114]	[]	[176621790]
9_10129	chr6	3126328	3126728	+	1000	29.0	[13.356004]	[113]	[]	[]	[3126519]	[]
9_1013	chr1	207361910	207362310	+	1000	93.0	[]	[]	[6.3821535]	[114]	[]	[207362114]
9_10140	chr6	27157906	27158306	+	1000	29.0	[6.415022]	[66]	[]	[]	[27158060]	[]
9_10143	chr6	27668559	27668959	+	1000	29.0	[]	[]	[6.0789614]	[162]	[]	[27668798]
9_10146	chr6	28658032	28658432	+	1000	29.0	[5.875587]	[147]	[]	[]	[28658219]	[]
9_1015	chr1	248872734	248873134	+	1000	93.0	[17.315159]	[132]	[]	[]	[248872959]	[]
9_10150	chr6	30725281	30725681	+	906	29.0	[]	[]	[8.538445]	[82]	[]	[30725439]
9_10156	chr6	33506160	33506560	+	820	29.0	[]	[]	[14.001035]	[99]	[]	[33506352]
9_10158	chr6	36960709	36961109	+	1000	29.0	[7.588517]	[141]	[]	[]	[36960917]	[]
9_1017	chr11	67257624	67258024	+	1000	93.0	[]	[]	[10.04188]	[111]	[]	[67257832]
