#PeakID	chr	start	end	strand	idrScore	count
328_0	chr3	93470445	93470648	+	1000	1363.0
328_1	chr16	46390459	46390911	+	1000	1070.0
328_2	chrM	12329	12706	+	1000	938.5
328_3	chr1	125180108	125180308	+	1000	850.0
328_4	chrM	11101	11369	+	1000	823.5
328_5	chrM	14183	14505	+	1000	820.5
328_6	chr19	1123066	1123327	+	1000	819.0
328_7	chrM	1222	1478	+	1000	819.0
328_8	chrUn_KI270438v1	109162	109533	+	1000	818.0
328_9	chrM	8052	8258	+	1000	813.0
328_10	chrM	5249	5500	+	1000	806.5
328_11	chr17	39461261	39461463	+	1000	798.5
328_12	chrM	6307	6536	+	1000	798.5
328_13	chr7	6503685	6503894	+	1000	797.5
328_14	chr2	17518408	17518619	+	1000	796.0
328_15	chr9	120842888	120843140	+	1000	786.0
328_16	chrUn_KI270467v1	2236	2452	+	1000	749.5
328_17	chr13	113725150	113725355	+	1000	742.0
328_18	chr20	35742231	35742447	+	1000	741.0
328_19	chr19	49496071	49496317	+	1000	732.0
328_20	chr12	122752699	122752902	+	1000	727.0
328_21	chr16	34588168	34588372	+	1000	707.5
328_22	chr7	106112240	106112509	+	1000	699.5
328_23	chr19	4328431	4328691	+	1000	669.5
328_24	chr6	36027556	36027824	+	1000	667.0
328_25	chrUn_KI270466v1	879	1114	+	1000	653.5
328_26	chr2	241881624	241881836	+	1000	651.0
328_27	chr14	101948069	101948282	+	1000	648.0
328_28	chr9	95875512	95875718	+	1000	641.0
328_29	chr1	110034385	110034664	+	1000	630.0
328_30	chr2	55617662	55617874	+	1000	624.5
328_31	chrUn_KI270438v1	104003	104209	+	1000	608.0
328_32	chr15	78437966	78438286	+	1000	604.5
328_33	chr2	677329	677551	+	1000	594.5
328_34	chr6	44387401	44387625	+	1000	592.5
328_35	chr8	143829269	143829532	+	1000	588.0
328_36	chr15	23039493	23039728	+	1000	586.0
328_37	chr7	130205386	130205597	+	1000	584.5
328_38	chr17	26603812	26604013	+	1000	581.0
328_39	chr19	41859583	41859904	+	1000	577.5
328_40	chr22	20858751	20859066	+	1000	577.5
328_41	chrUn_KI270438v1	112034	112234	+	1000	552.5
328_42	chr9	128275960	128276205	+	1000	549.0
328_43	chr16	46398815	46399017	+	1000	548.0
328_44	chr9	128218797	128218998	+	1000	546.5
328_45	chr6	37169985	37170220	+	1000	541.5
328_46	chr16	22190648	22190871	+	1000	532.5
328_47	chr2	119759593	119759799	+	1000	529.0
328_48	chr4	17810823	17811026	+	1000	527.0
328_49	chr7	43582801	43583113	+	1000	520.0
328_50	chr4	15681527	15681743	+	1000	516.5
328_51	chr10	46030544	46030754	+	1000	511.0
328_52	chr1	45521826	45522035	+	1000	510.5
328_53	chr10	5889907	5890158	+	1000	510.0
328_54	chr19	4402402	4402617	+	1000	510.0
328_55	chr3	42600488	42600727	+	1000	507.5
328_56	chr21	29073684	29073901	+	1000	504.5
328_57	chr15	66356593	66356795	+	1000	504.0
328_58	chr7	75914976	75915186	+	1000	504.0
328_59	chr3	14178704	14178920	+	1000	503.0
328_60	chr7	139359636	139359847	+	1000	501.0
328_61	chr3	49093999	49094200	+	1000	497.5
328_62	chr17	4940153	4940354	+	1000	496.0
328_63	chr1	143214621	143214824	+	1000	495.5
328_64	chr11	13463192	13463427	+	1000	495.5
328_65	chr9	127225039	127225293	+	1000	495.0
328_66	chr10	68331877	68332090	+	1000	494.0
