#PeakID(python identify_motif.py ./ENCODE_processed_files/NFIX_idr.fa NFIX --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_1006	chr22	22559130	22559530	+	1000	96.5	[7.4974093]	[102]	[]	[]	[22559298]	[]
642_1008	chr1	177174926	177175326	+	1000	96.0	[8.844542]	[112]	[7.4974093]	[102]	[177175132]	[177175122]
642_1009	chr1	232620553	232620953	+	1000	96.0	[7.4974093, 7.4974093]	[85, 144]	[7.4974093]	[75]	[232620721, 232620780]	[232620711]
642_101	chr1	166695106	166695506	+	1000	307.5	[8.844542]	[113]	[7.4974093, 7.4974093, 7.4974093]	[63, 82, 103]	[166695319]	[166695269, 166695288, 166695309]
642_1011	chr10	124792057	124792457	+	1000	96.0	[8.844542]	[143]	[8.844542, 8.844542, 7.4974093]	[125, 133, 156]	[124792273]	[124792255, 124792263, 124792286]
642_1014	chr15	32898937	32899337	+	1000	96.0	[]	[]	[7.4974093]	[179]	[]	[32899179]
642_1017	chr20	50366617	50367017	+	1000	96.0	[7.4974093]	[124]	[7.4974093, 7.4974093]	[69, 114]	[50366832]	[50366777, 50366822]
642_1019	chr3	55518366	55518766	+	1000	96.0	[8.844542]	[120]	[8.844542, 8.844542]	[110, 155]	[55518573]	[55518563, 55518608]
642_1020	chr3	164302627	164303027	+	1000	96.0	[8.844542, 7.4974093]	[109, 169]	[8.844542]	[99]	[164302813, 164302873]	[164302803]
642_1022	chr5	37412998	37413398	+	1000	96.0	[]	[]	[8.844542]	[138]	[]	[37413221]
642_1027	chr4	141912882	141913282	+	1000	95.5	[8.844542]	[153]	[8.844542]	[143]	[141913081]	[141913071]
642_1031	chr7	128053037	128053437	+	1000	95.5	[8.844542]	[95]	[8.844542]	[85]	[128053232]	[128053222]
642_1032	chr1	158674281	158674681	+	1000	95.0	[8.844542]	[118]	[7.4974093, 7.4974093]	[99, 108]	[158674492]	[158674473, 158674482]
642_1040	chr14	33943027	33943427	+	1000	94.5	[8.844542]	[159]	[8.844542, 7.4974093, 7.4974093]	[102, 149, 180]	[33943252]	[33943195, 33943242, 33943273]
642_1041	chr2	38598995	38599395	+	1000	94.5	[]	[]	[8.844542]	[118]	[]	[38599186]
642_1043	chr1	232432315	232432715	+	1000	94.0	[8.844542]	[118]	[7.4974093]	[108]	[232432532]	[232432522]
642_1048	chr6	4675109	4675509	+	1000	94.0	[8.844542]	[118]	[7.4974093]	[108]	[4675317]	[4675307]
642_1050	chr6	144845131	144845531	+	1000	94.0	[8.844542]	[119]	[7.4974093]	[109]	[144845350]	[144845340]
642_1056	chr18	1488958	1489358	+	1000	93.5	[8.844542]	[106]	[8.844542, 7.4974093]	[77, 96]	[1489157]	[1489128, 1489147]
642_1060	chr6	43436502	43436902	+	1000	93.5	[8.844542]	[129]	[7.4974093]	[119]	[43436722]	[43436712]
642_1065	chr11	12200296	12200696	+	1000	93.0	[7.4974093]	[113]	[8.844542, 8.844542]	[103, 170]	[12200490]	[12200480, 12200547]
642_1069	chr4	27910225	27910625	+	1000	93.0	[7.4974093]	[110]	[8.844542]	[100]	[27910429]	[27910419]
642_107	chr3	156171844	156172244	+	1000	301.0	[8.844542]	[113]	[8.844542]	[103]	[156172055]	[156172045]
642_1073	chr17	74744561	74744961	+	1000	92.5	[8.844542]	[104]	[7.4974093]	[94]	[74744744]	[74744734]
642_1076	chr9	113343753	113344153	+	1000	92.5	[8.844542]	[111]	[7.4974093]	[142]	[113343959]	[113343990]
642_1077	chr1	185300119	185300519	+	1000	92.0	[8.844542]	[130]	[7.4974093]	[120]	[185300348]	[185300338]
642_1080	chr15	65156717	65157117	+	1000	92.0	[8.844542]	[104]	[7.4974093]	[94]	[65156898]	[65156888]
642_1082	chr19	57419415	57419815	+	1000	92.0	[8.844542]	[168]	[8.844542]	[158]	[57419649]	[57419639]
642_1083	chr2	26801343	26801743	+	1000	92.0	[8.844542]	[106]	[7.4974093]	[96]	[26801545]	[26801535]
642_110	chr6	110207641	110208041	+	1000	295.0	[8.844542]	[113]	[8.844542]	[103]	[110207853]	[110207843]
642_1102	chrX	38426783	38427183	+	1000	91.0	[8.844542, 8.844542]	[126, 145]	[8.844542]	[116]	[38427001, 38427020]	[38426991]
642_1105	chr13	49293082	49293482	+	1000	90.5	[7.4974093]	[114]	[7.4974093]	[104]	[49293295]	[49293285]
642_1107	chr2	20066266	20066666	+	1000	90.5	[8.844542, 8.844542]	[78, 119]	[7.4974093]	[109]	[20066435, 20066476]	[20066466]
642_1110	chr4	43932452	43932852	+	1000	90.5	[7.4974093]	[101]	[8.844542]	[91]	[43932633]	[43932623]
642_1112	chr7	105012558	105012958	+	1000	90.5	[8.844542]	[127]	[]	[]	[105012745]	[]
642_1113	chr7	107168205	107168605	+	1000	90.5	[8.844542]	[115]	[7.4974093, 7.4974093]	[105, 141]	[107168418]	[107168408, 107168444]
642_1116	chr17	8040727	8041127	+	1000	90.0	[7.4974093]	[117]	[8.844542]	[107]	[8040934]	[8040924]
642_1117	chr2	20634475	20634875	+	1000	90.0	[7.4974093]	[112]	[7.4974093]	[102]	[20634674]	[20634664]
642_112	chr6	9257208	9257608	+	1000	292.0	[8.844542]	[104]	[8.844542]	[94]	[9257410]	[9257400]
642_1121	chr22	19467378	19467778	+	1000	90.0	[7.4974093]	[151]	[7.4974093]	[141]	[19467602]	[19467592]
642_1126	chrX	38649205	38649605	+	1000	90.0	[8.844542]	[121]	[8.844542]	[111]	[38649422]	[38649412]
642_1132	chr15	95894584	95894984	+	1000	89.5	[7.4974093]	[104]	[8.844542]	[94]	[95894774]	[95894764]
642_1139	chr17	63675944	63676344	+	1000	89.0	[]	[]	[7.4974093, 7.4974093]	[113, 141]	[]	[63676139, 63676167]
642_114	chr12	121404722	121405122	+	1000	291.5	[7.4974093]	[112]	[7.4974093]	[102]	[121404932]	[121404922]
642_1140	chr2	222952232	222952632	+	1000	89.0	[7.4974093]	[90]	[7.4974093, 7.4974093]	[64, 80]	[222952412]	[222952386, 222952402]
642_1141	chr20	3666237	3666637	+	1000	89.0	[7.4974093, 7.4974093]	[95, 141]	[8.844542]	[85]	[3666426, 3666472]	[3666416]
642_1142	chr5	10288502	10288902	+	1000	89.0	[8.844542, 8.844542]	[62, 101]	[7.4974093, 7.4974093]	[91, 142]	[10288660, 10288699]	[10288689, 10288740]
642_1145	chr7	100706791	100707191	+	1000	89.0	[7.4974093]	[95]	[7.4974093]	[85]	[100706985]	[100706975]
642_1146	chr8	109918302	109918702	+	1000	89.0	[8.844542]	[114]	[8.844542]	[104]	[109918511]	[109918501]
642_1147	chrX	2475363	2475763	+	1000	89.0	[7.4974093, 8.844542]	[97, 133]	[]	[]	[2475560, 2475596]	[]
642_1155	chr19	13847004	13847404	+	1000	88.5	[7.4974093]	[108]	[7.4974093, 7.4974093, 7.4974093]	[98, 145, 159]	[13847178]	[13847168, 13847215, 13847229]
642_1159	chr12	71972635	71973035	+	1000	88.0	[8.844542]	[121]	[8.844542]	[111]	[71972843]	[71972833]
642_1165	chr17	28577421	28577821	+	1000	87.5	[7.4974093]	[137]	[8.844542]	[127]	[28577623]	[28577613]
642_118	chr22	21975265	21975665	+	1000	287.5	[7.4974093]	[108]	[8.844542]	[98]	[21975469]	[21975459]
642_1183	chr8	79960173	79960573	+	1000	86.5	[7.4974093]	[93]	[7.4974093]	[83]	[79960365]	[79960355]
642_1187	chr11	96199610	96200010	+	1000	86.0	[8.844542]	[122]	[8.844542]	[112]	[96199819]	[96199809]
642_119	chr1	78334062	78334462	+	1000	287.0	[8.844542]	[139]	[8.844542]	[129]	[78334280]	[78334270]
642_1193	chr3	98056054	98056454	+	1000	86.0	[8.844542]	[93]	[8.844542, 7.4974093]	[70, 83]	[98056240]	[98056217, 98056230]
642_1197	chr6	38113809	38114209	+	1000	86.0	[8.844542]	[145]	[7.4974093]	[135]	[38114026]	[38114016]
642_1200	chr13	98050067	98050467	+	1000	85.5	[7.4974093, 7.4974093]	[98, 112]	[7.4974093]	[88]	[98050261, 98050275]	[98050251]
642_1204	chr17	55817202	55817602	+	1000	85.0	[7.4974093]	[115]	[8.844542, 7.4974093]	[86, 105]	[55817408]	[55817379, 55817398]
642_1206	chr2	138572311	138572711	+	1000	85.0	[8.844542]	[147]	[8.844542]	[137]	[138572535]	[138572525]
642_1208	chr2	241443796	241444196	+	1000	85.0	[7.4974093]	[114]	[8.844542]	[104]	[241444010]	[241444000]
642_1216	chr17	69486241	69486641	+	1000	84.5	[7.4974093]	[112]	[7.4974093]	[102]	[69486442]	[69486432]
642_1217	chr19	39891573	39891973	+	1000	84.5	[7.4974093]	[169]	[8.844542]	[105]	[39891813]	[39891749]
642_1219	chr21	29349705	29350105	+	1000	84.5	[7.4974093]	[98]	[8.844542]	[88]	[29349887]	[29349877]
642_1222	chr6	133768871	133769271	+	1000	84.5	[8.844542]	[105]	[7.4974093, 7.4974093]	[95, 102]	[133769076]	[133769066, 133769073]
642_1225	chr22	21982622	21983022	+	1000	84.0	[7.4974093]	[112]	[7.4974093]	[90]	[21982834]	[21982812]
642_1227	chr5	78888768	78889168	+	1000	84.0	[8.844542]	[122]	[7.4974093]	[112]	[78888978]	[78888968]
642_1229	chr9	93453135	93453535	+	1000	84.0	[7.4974093]	[99]	[8.844542, 7.4974093]	[70, 89]	[93453318]	[93453289, 93453308]
642_1230	chr9	123246564	123246964	+	1000	84.0	[8.844542, 8.844542]	[116, 158]	[8.844542]	[106]	[123246772, 123246814]	[123246762]
642_1245	chr17	62426192	62426592	+	1000	83.0	[8.844542]	[139]	[8.844542, 7.4974093]	[104, 129]	[62426413]	[62426378, 62426403]
642_125	chr7	103307802	103308202	+	1000	282.0	[8.844542]	[113]	[8.844542]	[103]	[103308013]	[103308003]
642_1251	chr6	30781855	30782255	+	1000	83.0	[7.4974093]	[103]	[]	[]	[30782058]	[]
642_1253	chrX	13043141	13043541	+	1000	83.0	[8.844542]	[120]	[8.844542]	[110]	[13043349]	[13043339]
642_1258	chr1	110780883	110781283	+	1000	82.5	[]	[]	[8.844542]	[123]	[]	[110781093]
642_126	chr1	206455782	206456182	+	1000	281.0	[7.4974093, 7.4974093]	[72, 97]	[7.4974093]	[87]	[206455954, 206455979]	[206455969]
642_1260	chr11	113167597	113167997	+	1000	82.5	[7.4974093]	[98]	[7.4974093, 8.844542]	[88, 104]	[113167784]	[113167774, 113167790]
642_1264	chr5	68221460	68221860	+	1000	82.5	[8.844542]	[147]	[8.844542]	[137]	[68221689]	[68221679]
642_1265	chr9	131125175	131125575	+	1000	82.5	[]	[]	[7.4974093]	[164]	[]	[131125402]
642_1269	chr2	170355152	170355552	+	1000	82.0	[7.4974093]	[110]	[7.4974093, 8.844542]	[61, 100]	[170355352]	[170355303, 170355342]
642_1270	chr3	57919987	57920387	+	1000	82.0	[7.4974093]	[119]	[8.844542]	[109]	[57920193]	[57920183]
642_128	chr2	178484660	178485060	+	1000	278.5	[8.844542, 8.844542]	[65, 107]	[8.844542]	[97]	[178484821, 178484863]	[178484853]
642_1282	chr12	34350683	34351083	+	1000	81.0	[7.4974093, 8.844542]	[127, 134]	[8.844542]	[124]	[34350869, 34350876]	[34350866]
642_1286	chr18	67776924	67777324	+	1000	81.0	[7.4974093, 8.844542]	[103, 107]	[8.844542]	[97]	[67777126, 67777130]	[67777120]
642_129	chr18	45755992	45756392	+	1000	278.0	[7.4974093]	[110]	[8.844542, 7.4974093]	[100, 120]	[45756199]	[45756189, 45756209]
642_1292	chrX	121028435	121028835	+	1000	81.0	[8.844542]	[89]	[8.844542]	[79]	[121028615]	[121028605]
642_1294	chr1	201490639	201491039	+	1000	80.5	[8.844542]	[124]	[8.844542]	[114]	[201490825]	[201490815]
642_1295	chr10	72308273	72308673	+	1000	80.5	[7.4974093, 7.4974093]	[150, 168]	[7.4974093, 8.844542]	[96, 102]	[72308502, 72308520]	[72308448, 72308454]
642_1303	chr20	9141075	9141475	+	1000	80.5	[7.4974093, 8.844542]	[91, 114]	[8.844542]	[104]	[9141254, 9141277]	[9141267]
642_1310	chr11	110857256	110857656	+	1000	80.0	[8.844542]	[111]	[8.844542]	[101]	[110857464]	[110857454]
642_1313	chr2	216773022	216773422	+	1000	80.0	[7.4974093]	[122]	[8.844542]	[112]	[216773232]	[216773222]
642_1316	chr5	85621628	85622028	+	1000	80.0	[8.844542]	[166]	[8.844542]	[139]	[85621870]	[85621843]
642_1318	chr9	98906773	98907173	+	1000	80.0	[8.844542]	[123]	[7.4974093]	[113]	[98906972]	[98906962]
642_1321	chr13	67224200	67224600	+	1000	79.5	[7.4974093]	[121]	[8.844542, 7.4974093]	[111, 118]	[67224403]	[67224393, 67224400]
642_1328	chr8	143598090	143598490	+	1000	79.5	[8.844542, 7.4974093]	[85, 137]	[7.4974093, 7.4974093, 7.4974093]	[82, 127, 158]	[143598258, 143598310]	[143598255, 143598300, 143598331]
642_133	chr10	55474253	55474653	+	1000	273.5	[8.844542]	[100]	[8.844542]	[90]	[55474452]	[55474442]
642_1330	chrX	140360318	140360718	+	1000	79.5	[8.844542]	[110]	[8.844542]	[100]	[140360497]	[140360487]
642_1332	chr10	24383572	24383972	+	1000	79.0	[7.4974093]	[97]	[7.4974093]	[87]	[24383763]	[24383753]
642_1340	chr9	132798987	132799387	+	1000	79.0	[7.4974093]	[133]	[8.844542]	[151]	[132799195]	[132799213]
642_1343	chr12	56299791	56300191	+	1000	78.5	[7.4974093, 7.4974093, 8.844542]	[120, 171, 175]	[7.4974093]	[165]	[56299977, 56300028, 56300032]	[56300022]
642_1345	chr14	44370714	44371114	+	1000	78.5	[8.844542]	[129]	[8.844542]	[119]	[44370934]	[44370924]
642_135	chr7	123351881	123352281	+	1000	272.5	[8.844542]	[119]	[8.844542]	[109]	[123352096]	[123352086]
642_1353	chr9	37678955	37679355	+	1000	78.5	[7.4974093]	[104]	[8.844542]	[94]	[37679156]	[37679146]
642_1355	chr1	93591722	93592122	+	1000	78.0	[8.844542]	[106]	[7.4974093, 7.4974093]	[96, 103]	[93591925]	[93591915, 93591922]
642_1363	chr3	123244107	123244507	+	1000	78.0	[7.4974093]	[151]	[8.844542]	[141]	[123244341]	[123244331]
642_1365	chr5	25553081	25553481	+	1000	78.0	[8.844542, 8.844542]	[67, 110]	[7.4974093]	[100]	[25553238, 25553281]	[25553271]
642_1368	chrUn_KI270742v1	9494	9894	+	1000	78.0	[]	[]	[8.844542]	[85]	[]	[9678]
642_1372	chr2	70369070	70369470	+	1000	77.5	[7.4974093]	[130]	[8.844542, 8.844542]	[120, 158]	[70369285]	[70369275, 70369313]
642_1385	chr7	156763941	156764341	+	1000	77.0	[8.844542]	[105]	[]	[]	[156764145]	[]
642_1386	chr1	51284490	51284890	+	1000	76.5	[8.844542]	[137]	[7.4974093]	[106]	[51284692]	[51284661]
642_1387	chr1	191875996	191876396	+	1000	76.5	[8.844542]	[99]	[]	[]	[191876181]	[]
642_1394	chr18	25298765	25299165	+	1000	76.5	[8.844542, 7.4974093]	[84, 92]	[8.844542]	[74]	[25298946, 25298954]	[25298936]
642_1396	chr20	9368894	9369294	+	1000	76.5	[8.844542, 8.844542]	[112, 123]	[8.844542, 7.4974093]	[102, 109]	[9369093, 9369104]	[9369083, 9369090]
