#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPB_idr.fa CEBPB --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
878_1	chr6	45445802	45446202	+	1000	780.0	[11.303083]	[96]	[11.9157095]	[95]	[45445998]	[45445997]
878_100	chr3	14204926	14205326	+	1000	649.0	[11.489543]	[98]	[12.102169]	[97]	[14205124]	[14205123]
878_1000	chr7	102286136	102286536	+	1000	401.0	[6.960019]	[98]	[9.059302]	[97]	[102286332]	[102286331]
878_10002	chr1	169112220	169112620	+	1000	109.0	[8.646096]	[98]	[6.417001, 11.1945915]	[58, 97]	[169112413]	[169112373, 169112412]
878_10006	chr1	246187995	246188395	+	1000	109.0	[7.1624045]	[105]	[11.303083]	[104]	[246188197]	[246188196]
878_10011	chr10	46925805	46926205	+	1000	109.0	[11.473993]	[123]	[12.245977]	[122]	[46926027]	[46926026]
878_10014	chr10	110504001	110504401	+	1000	109.0	[8.280743]	[99]	[12.245977]	[98]	[110504198]	[110504197]
878_10017	chr11	61417717	61418117	+	1000	109.0	[11.993677]	[113]	[8.03347]	[112]	[61417925]	[61417924]
878_10023	chr12	113932525	113932925	+	1000	109.0	[8.253193]	[123]	[9.824262]	[122]	[113932733]	[113932732]
878_10028	chr14	99535943	99536343	+	1000	109.0	[14.523885]	[104]	[14.710344]	[103]	[99536143]	[99536142]
878_10029	chr15	34442892	34443292	+	1000	109.0	[12.432437]	[110]	[8.280743]	[109]	[34443095]	[34443094]
878_1003	chr12	6383906	6384306	+	1000	400.0	[]	[]	[9.245763]	[95]	[]	[6384100]
878_10033	chr15	79978735	79979135	+	1000	109.0	[9.162824]	[104]	[11.365501]	[103]	[79978936]	[79978935]
878_10035	chr15	83108525	83108925	+	1000	109.0	[]	[]	[8.194376]	[104]	[]	[83108722]
878_10037	chr16	25031480	25031880	+	1000	109.0	[9.871238]	[91]	[9.095225]	[90]	[25031671]	[25031670]
878_10038	chr17	29241594	29241994	+	1000	109.0	[11.489543]	[111]	[11.9157095]	[110]	[29241796]	[29241795]
878_10039	chr18	3155530	3155930	+	1000	109.0	[11.303083]	[117]	[8.729034, 12.102169]	[84, 116]	[3155744]	[3155711, 3155743]
878_10044	chr19	18058306	18058706	+	1000	109.0	[]	[]	[6.5052404]	[103]	[]	[18058501]
878_10058	chr22	39918093	39918493	+	1000	109.0	[8.331161]	[105]	[6.368189]	[104]	[39918289]	[39918288]
878_10067	chr4	2591082	2591482	+	1000	109.0	[]	[]	[9.0522785]	[122]	[]	[2591298]
878_10069	chr4	111641979	111642379	+	1000	109.0	[11.381051, 11.9157095]	[82, 107]	[8.832556, 11.489543, 6.637587]	[81, 106, 117]	[111642156, 111642181]	[111642155, 111642180, 111642191]
878_10073	chr5	131640133	131640533	+	1000	109.0	[]	[]	[7.277224]	[157]	[]	[131640381]
878_10075	chr5	148482768	148483168	+	1000	109.0	[]	[]	[7.4068704]	[115]	[]	[148482977]
878_10077	chr6	14727820	14728220	+	1000	109.0	[9.211636, 7.9763064]	[69, 131]	[8.865818]	[68]	[14727985, 14728047]	[14727984]
878_1008	chr1	109722914	109723314	+	1000	399.0	[11.440731]	[100]	[14.601852]	[99]	[109723113]	[109723112]
878_10083	chr6	136250189	136250589	+	1000	109.0	[]	[]	[9.871238]	[92]	[]	[136250369]
878_10084	chr6	137968081	137968481	+	1000	109.0	[8.439652]	[95]	[9.824262]	[94]	[137968276]	[137968275]
878_10085	chr6	149015481	149015881	+	1000	109.0	[11.440731]	[103]	[14.415392]	[102]	[149015684]	[149015683]
878_1009	chr1	150067085	150067485	+	1000	399.0	[11.415177, 7.4926724]	[95, 133]	[6.740297, 11.473993]	[94, 132]	[150067278, 150067316]	[150067277, 150067315]
878_10094	chr7	106484578	106484978	+	1000	109.0	[8.722458]	[105]	[8.943787, 11.489543]	[52, 104]	[106484783]	[106484730, 106484782]
878_10097	chr7	134922747	134923147	+	1000	109.0	[9.437598]	[114]	[]	[]	[134922956]	[]
