#PeakID	chr	start	end	strand	idrScore	count
685_0	chrM	14989	15191	+	1000	659.0
685_1	chrM	12820	13089	+	1000	658.0
685_2	chrM	9728	10002	+	1000	641.0
685_3	chrM	11094	11319	+	1000	629.0
685_4	chr1	4007558	4007760	+	1000	621.0
685_5	chr16	81752325	81752525	+	1000	618.0
685_6	chrM	13696	13901	+	1000	616.0
685_7	chr1	64864206	64864407	+	1000	602.0
685_8	chr6	47242652	47242852	+	1000	589.0
685_9	chr17	79826291	79826498	+	1000	586.0
685_10	chrM	10573	10781	+	1000	584.0
685_11	chr4	182970041	182970241	+	1000	576.0
685_12	chr7	103025424	103025653	+	1000	576.0
685_13	chr1	160540240	160540446	+	1000	567.0
685_14	chr19	35205397	35205597	+	1000	565.0
685_15	chr11	93718305	93718505	+	1000	564.0
685_16	chr3	44439859	44440061	+	1000	561.0
685_17	chr22	22559248	22559451	+	1000	560.0
685_18	chr7	117792275	117792475	+	1000	560.0
685_19	chr11	72815747	72815948	+	1000	558.0
685_20	chr9	75088993	75089198	+	1000	556.0
685_21	chr1	179882693	179882898	+	1000	552.0
685_22	chr7	113142420	113142621	+	1000	549.0
685_23	chr21	34615343	34615544	+	1000	548.0
685_24	chr19	19444905	19445105	+	1000	545.0
685_25	chr22	23220516	23220717	+	1000	545.0
685_26	chr7	100887662	100887862	+	1000	542.0
685_27	chrX	66162404	66162606	+	1000	542.0
685_28	chr1	26541846	26542047	+	1000	540.0
685_29	chr11	73983133	73983333	+	1000	539.0
685_30	chr19	14440121	14440323	+	1000	535.0
685_31	chr9	120897233	120897439	+	1000	535.0
685_32	chr5	10505664	10505864	+	1000	534.0
685_33	chr15	82802619	82802819	+	1000	533.0
685_34	chr2	11753559	11753775	+	1000	529.0
685_35	chr22	21632584	21632797	+	1000	529.0
685_36	chr6	96917172	96917372	+	1000	529.0
685_37	chr7	99473357	99473557	+	1000	527.0
685_38	chr1	32981243	32981443	+	1000	522.0
685_39	chr17	42775499	42775700	+	1000	520.0
685_40	chr8	123178962	123179164	+	1000	518.0
685_41	chr1	4007062	4007304	+	1000	517.0
685_42	chr11	118980393	118980593	+	1000	517.0
685_43	chr7	131075493	131075693	+	1000	516.0
685_44	chr14	34078134	34078336	+	1000	515.0
685_45	chr21	36150346	36150546	+	1000	514.0
685_46	chr6	37005538	37005739	+	1000	513.0
685_47	chr2	121611775	121611977	+	1000	511.0
685_48	chr22	19419260	19419460	+	1000	511.0
685_49	chrM	6391	6596	+	1000	510.0
685_50	chr8	73371782	73371983	+	1000	507.0
685_51	chr1	9717693	9717894	+	1000	506.0
685_52	chr15	74391078	74391278	+	1000	506.0
685_53	chr12	57874191	57874391	+	1000	505.0
685_54	chr5	87081604	87081805	+	1000	505.0
685_55	chr12	89574719	89574919	+	1000	504.0
685_56	chr1	230150366	230150566	+	1000	502.0
685_57	chr17	41506168	41506369	+	1000	499.0
685_58	chr12	56793	56997	+	1000	498.0
685_59	chr6	157521040	157521241	+	1000	498.0
685_60	chr1	236503254	236503454	+	1000	497.0
685_61	chr2	111642952	111643152	+	1000	496.0
685_62	chr4	40621735	40621935	+	1000	496.0
685_63	chr22	31490507	31490709	+	1000	495.0
685_64	chr4	85725978	85726178	+	1000	495.0
685_65	chr1	156725911	156726111	+	1000	494.0
685_66	chr22	21666147	21666357	+	1000	494.0
685_67	chr2	26769019	26769221	+	1000	493.0
685_68	chr18	3178018	3178218	+	1000	492.0
685_69	chr19	18401938	18402139	+	1000	492.0
685_70	chr5	1190968	1191169	+	1000	492.0
685_71	chr20	33476138	33476342	+	1000	485.0
685_72	chr11	88359669	88359869	+	1000	483.0
685_73	chr22	19942441	19942642	+	1000	482.0
685_74	chr6	36618992	36619192	+	1000	481.0
685_75	chr3	42847252	42847452	+	1000	480.0
685_76	chr3	44518190	44518391	+	1000	480.0
685_77	chr4	154485214	154485414	+	1000	480.0
685_78	chr1	161227670	161227873	+	1000	478.0
685_79	chr22	21754520	21754720	+	1000	477.0
685_80	chr10	60975840	60976040	+	1000	475.0
685_81	chr11	47408002	47408204	+	1000	475.0
685_82	chr17	68498071	68498274	+	1000	474.0
685_83	chr3	156579408	156579608	+	1000	474.0
685_84	chr9	98045456	98045656	+	1000	474.0
685_85	chr16	81481414	81481614	+	1000	473.0
685_86	chr1	244325083	244325283	+	1000	472.0
685_87	chr6	10643211	10643413	+	1000	472.0
685_88	chr6	154302217	154302417	+	1000	472.0
685_89	chr5	141960871	141961071	+	1000	470.0
685_90	chr12	54497473	54497675	+	1000	469.0
685_91	chr16	50281985	50282193	+	1000	469.0
685_92	chr19	56321963	56322163	+	1000	469.0
685_93	chr12	111775565	111775766	+	1000	467.0
685_94	chr21	44880911	44881115	+	1000	467.0
685_95	chr16	11819879	11820079	+	1000	466.0
685_96	chr7	67454110	67454310	+	1000	466.0
685_97	chr1	108043804	108044005	+	1000	464.0
685_98	chr2	65420836	65421037	+	1000	464.0
685_99	chr9	70398251	70398451	+	1000	463.0
685_100	chr16	66524838	66525040	+	1000	462.0
685_101	chr1	206012153	206012353	+	1000	461.0
685_102	chr6	14982136	14982336	+	1000	461.0
685_103	chr1	45753505	45753705	+	1000	459.0
685_104	chr22	20235479	20235679	+	1000	459.0
685_105	chr1	30741203	30741404	+	1000	458.0
685_106	chr12	56991569	56991769	+	1000	458.0
685_107	chr16	15591046	15591255	+	1000	458.0
685_108	chr1	25216200	25216403	+	1000	457.0
685_109	chr1	27015264	27015465	+	1000	457.0
685_110	chr6	135323289	135323490	+	1000	457.0
685_111	chr1	212152325	212152525	+	1000	455.0
685_112	chr10	72320733	72320939	+	1000	455.0
685_113	chr15	40847415	40847615	+	1000	455.0
685_114	chrM	4839	5065	+	1000	455.0
685_115	chr6	31727611	31727811	+	1000	454.0
685_116	chr6	13702894	13703100	+	1000	452.0
685_117	chr18	9825579	9825779	+	1000	451.0
685_118	chr11	47268885	47269086	+	1000	450.0
685_119	chr20	36843452	36843653	+	1000	448.0
685_120	chr3	72144847	72145047	+	1000	447.0
685_121	chr6	44264304	44264505	+	1000	446.0
685_122	chr7	98218321	98218521	+	1000	444.0
685_123	chrX	152136414	152136629	+	1000	442.0
685_124	chr10	79132749	79132951	+	1000	440.0
685_125	chr16	30166284	30166493	+	1000	440.0
685_126	chr7	76358225	76358426	+	1000	440.0
685_127	chr2	66481287	66481488	+	1000	438.0
685_128	chr21	37364806	37365007	+	1000	438.0
685_129	chr17	47001260	47001463	+	1000	437.0
685_130	chr19	46863068	46863268	+	1000	437.0
685_131	chr6	89260351	89260552	+	1000	437.0
685_132	chr1	181129212	181129412	+	1000	436.0
685_133	chr21	14675831	14676032	+	1000	436.0
685_134	chr5	141691480	141691680	+	1000	436.0
685_135	chr1	110873005	110873212	+	1000	435.0
685_136	chr1	180611408	180611608	+	1000	435.0
685_137	chr3	138862681	138862890	+	1000	435.0
685_138	chr19	54208197	54208414	+	1000	434.0
685_139	chr16	46390443	46390646	+	1000	432.0
685_140	chr5	170339030	170339244	+	1000	432.0
685_141	chr8	41792472	41792672	+	1000	430.0
685_142	chr2	16625317	16625518	+	1000	429.0
685_143	chr8	40600471	40600671	+	1000	429.0
685_144	chr9	112061361	112061562	+	1000	429.0
685_145	chr1	203287569	203287771	+	1000	427.0
685_146	chr17	38752510	38752710	+	1000	427.0
685_147	chr4	76090317	76090518	+	1000	427.0
685_148	chrM	5286	5486	+	1000	427.0
685_149	chr11	86193371	86193573	+	1000	426.0
685_150	chr20	32277509	32277713	+	1000	426.0
685_151	chr12	121927496	121927696	+	1000	425.0
685_152	chr6	134373545	134373746	+	1000	425.0
685_153	chr19	28685892	28686092	+	1000	424.0
685_154	chr17	75571289	75571493	+	1000	421.0
685_155	chr16	85055506	85055706	+	1000	419.0
685_156	chr8	23074382	23074583	+	1000	419.0
685_157	chr8	102239760	102239961	+	1000	418.0
685_158	chr19	7887738	7887939	+	1000	417.0
685_159	chr19	49409666	49409869	+	1000	416.0
685_160	chr2	178177151	178177352	+	1000	416.0
685_161	chr15	44710234	44710438	+	1000	415.0
685_162	chr22	31750045	31750245	+	1000	415.0
685_163	chr5	177321006	177321208	+	1000	415.0
685_164	chr8	43056182	43056382	+	1000	415.0
685_165	chr14	100015433	100015634	+	1000	414.0
685_166	chr2	54077488	54077688	+	1000	414.0
685_167	chr2	112683883	112684085	+	1000	414.0
685_168	chr2	65228353	65228555	+	1000	413.0
685_169	chr1	65165692	65165892	+	1000	412.0
685_170	chr7	100152523	100152723	+	1000	412.0
685_171	chr1	226029080	226029282	+	1000	411.0
685_172	chr19	14384007	14384209	+	1000	411.0
685_173	chr5	34731997	34732200	+	1000	411.0
685_174	chr1	207309954	207310154	+	1000	410.0
685_175	chr19	44207387	44207588	+	1000	410.0
685_176	chr6	135306855	135307056	+	1000	410.0
685_177	chr10	69049678	69049878	+	1000	408.0
685_178	chr19	44943897	44944097	+	1000	408.0
685_179	chr3	193842023	193842224	+	1000	408.0
685_180	chr8	105395434	105395635	+	1000	408.0
685_181	chr1	40709099	40709300	+	1000	407.0
685_182	chr1	204378282	204378484	+	1000	407.0
685_183	chr14	102573628	102573828	+	1000	407.0
685_184	chr3	186209862	186210063	+	1000	407.0
685_185	chr5	132467754	132467955	+	1000	407.0
685_186	chr6	150167999	150168204	+	1000	407.0
685_187	chrM	8036	8236	+	1000	407.0
685_188	chr1	30756656	30756867	+	1000	406.0
685_189	chrX	131987307	131987507	+	1000	406.0
685_190	chr1	115976133	115976338	+	1000	405.0
685_191	chr11	65355556	65355756	+	1000	404.0
685_192	chr5	61408604	61408807	+	1000	404.0
685_193	chr1	19469443	19469643	+	1000	403.0
685_194	chr19	18152562	18152762	+	1000	403.0
685_195	chr7	99380204	99380404	+	1000	403.0
685_196	chr9	131125515	131125718	+	1000	403.0
685_197	chr9	137127594	137127795	+	1000	402.0
685_198	chr21	32022236	32022436	+	1000	401.0
