#PeakID	chr	start	end	strand	idrScore	count
28_0	chrM	12322	12528	+	1000	1203.0
28_1	chr3	93470432	93470637	+	1000	968.5
28_2	chrM	16015	16219	+	1000	904.5
28_3	chrM	2948	3231	+	1000	891.5
28_4	chrM	10741	10956	+	1000	855.5
28_5	chrM	2214	2475	+	1000	849.0
28_6	chrM	5250	5493	+	1000	825.0
28_7	chrM	8577	8782	+	1000	824.0
28_8	chrM	6287	6582	+	1000	821.0
28_9	chrM	7141	7356	+	1000	806.0
28_10	chr16	46390592	46390793	+	1000	790.5
28_11	chr1	125180093	125180309	+	1000	786.0
28_12	chrUn_KI270438v1	104000	104207	+	1000	687.0
28_13	chr11	112086626	112086831	+	1000	681.5
28_14	chr19	50607972	50608194	+	1000	677.0
28_15	chr7	16645634	16645839	+	1000	675.0
28_16	chr17	59964927	59965129	+	1000	596.0
28_17	chr16	34588150	34588352	+	1000	583.5
28_18	chr19	1605984	1606184	+	1000	574.5
28_19	chrUn_KI270438v1	109332	109536	+	1000	537.0
28_20	chr16	82170267	82170474	+	1000	484.0
28_21	chr17	26603810	26604014	+	1000	467.0
28_22	chr1	247078467	247078819	+	1000	463.5
28_23	chrUn_KI270438v1	104794	104995	+	1000	454.0
28_24	chrUn_KI270467v1	3348	3576	+	1000	452.5
28_25	chrX	154136663	154136885	+	1000	449.0
28_26	chrUn_KI270467v1	2233	2442	+	1000	422.5
28_27	chr14	23094761	23094970	+	1000	410.0
28_28	chr6	157515211	157515412	+	1000	394.0
28_29	chr16	46394708	46394917	+	1000	383.0
28_30	chr1	143214619	143214819	+	1000	370.0
28_31	chr16	46398815	46399019	+	1000	366.0
28_32	chr17	26881309	26881510	+	1000	364.5
28_33	chr9	120714585	120714796	+	1000	358.0
28_34	chr3	186827580	186827785	+	1000	355.5
28_35	chr3	198080772	198081124	+	1000	339.0
28_36	chr16	3150341	3150599	+	1000	338.5
28_37	chr1	230771903	230772110	+	1000	335.5
28_38	chr16	46386330	46386530	+	1000	328.5
28_39	chr14	102046377	102046599	+	1000	328.0
28_40	chr1	207024406	207024637	+	1000	324.0
28_41	chr1_KI270713v1_random	21666	21885	+	1000	322.5
28_42	chr10	62816434	62816638	+	1000	316.0
28_43	chr17	45149647	45149848	+	1000	312.5
28_44	chr1	37515046	37515256	+	1000	307.0
28_45	chr20	34955633	34955841	+	1000	305.5
28_46	chr16	25107113	25107320	+	1000	304.5
