#PeakID	chr	start	end	strand	idrScore	count
133_0	chrM	12439	12708	+	1000	803.0
133_1	chrM	15138	15346	+	1000	802.0
133_2	chrM	9745	10069	+	1000	799.0
133_3	chrM	11154	11359	+	1000	799.0
133_4	chrM	3182	3442	+	1000	797.0
133_5	chrM	13706	14012	+	1000	791.0
133_6	chrM	11759	12012	+	1000	729.0
133_7	chr20	31675879	31676083	+	1000	718.0
133_8	chr6	72561123	72561327	+	1000	680.0
133_9	chrM	5308	5509	+	1000	652.0
133_10	chr3	93470494	93470696	+	1000	651.0
133_11	chr10	50326927	50327131	+	1000	641.0
133_12	chrM	6202	6567	+	1000	639.0
133_13	chr3	187745349	187745569	+	1000	638.0
133_14	chr1	12657592	12657808	+	1000	628.0
133_15	chr10	61765692	61765920	+	1000	623.0
133_16	chr12	126908024	126908239	+	1000	617.0
133_17	chr7	106774766	106774978	+	1000	615.0
133_18	chrM	4851	5055	+	1000	612.0
133_19	chr1	186112358	186112560	+	1000	611.0
133_20	chr22	24729053	24729266	+	1000	611.0
133_21	chr1	28883916	28884121	+	1000	610.0
133_22	chr6	49940098	49940299	+	1000	605.0
133_23	chr1	179047064	179047272	+	1000	600.0
133_24	chr12	92403823	92404039	+	1000	594.0
133_25	chr19	50374853	50375055	+	1000	591.0
133_26	chr3	138875850	138876065	+	1000	590.0
133_27	chr7	30761323	30761524	+	1000	575.0
133_28	chr20	56412238	56412439	+	1000	570.0
133_29	chr17	55816906	55817116	+	1000	566.0
133_30	chr5	173853509	173853713	+	1000	559.0
133_31	chr6	15895783	15896006	+	1000	556.0
133_32	chr9	112546237	112546439	+	1000	556.0
133_33	chr8	125942223	125942424	+	1000	552.0
133_34	chr22	20025461	20025694	+	1000	548.0
133_35	chr1	113914323	113914530	+	1000	547.0
133_36	chr8	123182557	123182764	+	1000	544.0
133_37	chr1	159077198	159077402	+	1000	535.0
133_38	chr6	37183310	37183510	+	1000	534.0
133_39	chr4	78692011	78692214	+	1000	530.0
133_40	chr5	54325683	54325907	+	1000	529.0
133_41	chr6	49646356	49646567	+	1000	528.0
133_42	chr15	100596888	100597092	+	1000	526.0
133_43	chr14	31059638	31059840	+	1000	524.0
133_44	chr15	74389572	74389781	+	1000	524.0
133_45	chr1	225928516	225928729	+	1000	523.0
133_46	chr15	96273576	96273794	+	1000	523.0
133_47	chr12	108628465	108628675	+	1000	521.0
133_48	chr5	154653969	154654169	+	1000	519.0
133_49	chr7	103996206	103996415	+	1000	519.0
133_50	chr9	135951980	135952220	+	1000	517.0
133_51	chr7	32905371	32905573	+	1000	516.0
133_52	chr8	23494226	23494450	+	1000	516.0
133_53	chr20	50292597	50292798	+	1000	515.0
133_54	chr8	18122769	18122971	+	1000	515.0
133_55	chr16	46390456	46390716	+	1000	514.0
133_56	chr1	21791518	21791726	+	1000	513.0
133_57	chr19	51546731	51546947	+	1000	512.0
133_58	chr6	47420559	47420781	+	1000	512.0
133_59	chr9	107784547	107784748	+	1000	511.0
133_60	chr1	12448910	12449114	+	1000	508.0
133_61	chr7	20219864	20220073	+	1000	507.0
133_62	chr8	37891862	37892066	+	1000	507.0
133_63	chr8	143547271	143547487	+	1000	507.0
133_64	chr10	50550413	50550617	+	1000	506.0
133_65	chr5	173839316	173839521	+	1000	506.0
133_66	chr3	45064797	45065002	+	1000	503.0
133_67	chr7	138257651	138257858	+	1000	502.0
133_68	chrM	8017	8233	+	1000	502.0
133_69	chr1	236351799	236352010	+	1000	500.0
133_70	chr6	135323243	135323477	+	1000	500.0
133_71	chr10	46001343	46001552	+	1000	499.0
133_72	chr6	25535370	25535570	+	1000	496.0
133_73	chr1	248889485	248889685	+	1000	494.0
133_74	chr6	70337570	70337775	+	1000	493.0
133_75	chr11	33944828	33945038	+	1000	491.0
133_76	chr5	180555377	180555579	+	1000	491.0
133_77	chr7	73886147	73886351	+	1000	491.0
133_78	chr1	47181261	47181465	+	1000	490.0
133_79	chr19	51547789	51547996	+	1000	489.0
133_80	chr4	70903302	70903512	+	1000	489.0
133_81	chr7	116876938	116877140	+	1000	489.0
133_82	chr1	164712312	164712516	+	1000	488.0
133_83	chr3	14232810	14233028	+	1000	482.0
133_84	chr10	11710786	11711002	+	1000	480.0
133_85	chr14	36264699	36264901	+	1000	480.0
133_86	chr2	207772568	207772768	+	1000	479.0
133_87	chr3	143085116	143085317	+	1000	479.0
133_88	chr6	151229393	151229598	+	1000	477.0
133_89	chr8	127960287	127960504	+	1000	477.0
133_90	chr1	166705524	166705727	+	1000	476.0
133_91	chr7	16269025	16269241	+	1000	476.0
133_92	chr1	46522616	46522836	+	1000	474.0
133_93	chr19	48878755	48878957	+	1000	473.0
133_94	chr21	14753844	14754045	+	1000	473.0
133_95	chr9	110371444	110371689	+	1000	473.0
133_96	chr1	229555205	229555410	+	1000	472.0
