#PeakID(python identify_motif.py ./ENCODE_processed_files/CTCF_idr.fa CTCF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
322_100	chr16	67816525	67816925	+	1000	667.0	[20.26583, 11.986258]	[62, 119]	[]	[]	[67816686, 67816743]	[]
322_1000	chr9	92634678	92635078	+	1000	422.0	[]	[]	[14.799742, 5.6602592]	[109, 127]	[]	[92634885, 92634903]
322_10000	chr17	78186967	78187367	+	1000	235.0	[]	[]	[15.58632]	[113]	[]	[78187171]
322_10008	chr2	39059341	39059741	+	1000	235.0	[14.60097]	[104]	[]	[]	[39059542]	[]
322_1001	chr9	129726586	129726986	+	1000	422.0	[12.56178]	[90]	[]	[]	[129726773]	[]
322_10010	chr2	176554436	176554836	+	1000	235.0	[]	[]	[5.7542834, 18.556536]	[76, 111]	[]	[176554608, 176554643]
322_10011	chr2	201118494	201118894	+	1000	235.0	[12.024116]	[95]	[]	[]	[201118671]	[]
322_10013	chr20	19662379	19662779	+	1000	235.0	[]	[]	[12.98553]	[97]	[]	[19662576]
322_10016	chr21	40143828	40144228	+	1000	235.0	[17.07877]	[98]	[]	[]	[40144017]	[]
322_10018	chr22	31947267	31947667	+	1000	235.0	[]	[]	[15.172642]	[99]	[]	[31947463]
322_10019	chr3	17645084	17645484	+	1000	235.0	[16.189545]	[88]	[]	[]	[17645269]	[]
322_10022	chr3	185354095	185354495	+	1000	235.0	[10.896976, 6.21363]	[83, 93]	[]	[]	[185354278, 185354288]	[]
322_10023	chr4	1693382	1693782	+	1000	235.0	[19.485754]	[101]	[7.434972]	[66]	[1693580]	[1693545]
322_10024	chr4	68175560	68175960	+	1000	235.0	[]	[]	[17.982405]	[80]	[]	[68175738]
322_10025	chr4	99811750	99812150	+	1000	235.0	[13.163476]	[106]	[]	[]	[99811953]	[]
322_10029	chr5	43305954	43306354	+	1000	235.0	[]	[]	[15.34933]	[87]	[]	[43306137]
322_10034	chr6	30357557	30357957	+	1000	235.0	[5.6663165]	[108]	[]	[]	[30357764]	[]
322_10035	chr6	42963825	42964225	+	1000	235.0	[17.813152]	[76]	[]	[]	[42964001]	[]
322_10038	chr6	130322653	130323053	+	1000	235.0	[16.432808]	[109]	[]	[]	[130322859]	[]
322_1004	chr13	46126564	46126964	+	1000	421.0	[10.465398]	[137]	[8.852575]	[74]	[46126800]	[46126737]
322_10045	chr7	123682630	123683030	+	1000	235.0	[14.912884]	[88]	[]	[]	[123682817]	[]
322_10046	chr7	127253892	127254292	+	1000	235.0	[7.5322933]	[120]	[14.033705]	[97]	[127254100]	[127254077]
322_10047	chr7	149799797	149800197	+	1000	235.0	[]	[]	[18.197966]	[95]	[]	[149799992]
322_10049	chr8	56248250	56248650	+	1000	235.0	[12.857855]	[90]	[]	[]	[56248440]	[]
